id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOGWx0BUb_NrOXGW8OOBhT7LwV8B2JtDqNUWVvqcYKaFlcHmpaTL3v-vN3Cfgy0bYerOs148sjTam8G2W9k,Olivia McAllister,https://lh5.googleusercontent.com/-aZVAufZHGWY/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUeMXfUY57ZdHKNfpTkirLyCd_ngg/w96-h96-p/photo.jpg,"February 3, 2018",https://play.google.com/store/apps/details?id=com.wavemining.emoji.elite&reviewId=Z3A6QU9xcFRPR1d4MEJVYl9Ock9YR1c4T09CaFQ3THdWOEIySnREcU5VV1Z2cWNZS2FGbGNIbXBhVEwzdi12TjNDZmd5MGJZZXJPczE0OHNqVGFtOEcyVzlr,5,,Love this app it always has something to show how I feel,undefined,undefined
gp:AOqpTOFj7lNpPUJooqe-JZQKIchD7Ykm_O-lQqqiy62hHjuwg-l0aq-vXRFkGu7vI092Zb9QITBawDjcjzGQLvw,roberto guerrero,https://lh5.googleusercontent.com/-8YOsrf1NMbk/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUzUOzG1L8ES0fM9s1x_L0svQRr_Q/w96-h96-p/photo.jpg,"February 4, 2018",https://play.google.com/store/apps/details?id=com.wavemining.emoji.elite&reviewId=Z3A6QU9xcFRPRmo3bE5wUFVKb29xZS1KWlFLSWNoRDdZa21fTy1sUXFxaXk2MmhIanV3Zy1sMGFxLXZYUkZrR3U3dkkwOTJaYjlRSVRCYXdEamNqekdRTHZ3,5,,Esto esta súper,undefined,undefined
gp:AOqpTOHXDsXj-u4nIHJWf5QyIsg6So66P09mnNBQmflRstrdwWeBHxiOiyV4-lW5Ly_7tLHiqmDke-O3T9990Gs,vandana malhotra,https://lh4.googleusercontent.com/-MMa5y5sPWoM/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVzfngV8n4Qh56OWbUUkuGGrxDA6g/w96-h96-p/photo.jpg,"February 3, 2018",https://play.google.com/store/apps/details?id=com.wavemining.emoji.elite&reviewId=Z3A6QU9xcFRPSFhEc1hqLXU0bklISldmNVF5SXNnNlNvNjZQMDltbk5CUW1mbFJzdHJkd1dlQkh4aU9peVY0LWxXNUx5Xzd0TEhpcW1Ea2UtTzNUOTk5MEdz,5,,Very good,undefined,undefined
gp:AOqpTOFGylrEW9QGTDrctFjhcKty7kVp4kGMXCsxcFZ9w4rzYGhAWM_LmKwDHgqEb4dvwMbRpVKAm-8FvUQoS4s,Joya Gelera,https://lh3.googleusercontent.com/-N8sXGQp8ZQw/AAAAAAAAAAI/AAAAAAAABpc/bKMoNVuDoU0/w96-h96-p/photo.jpg,"February 3, 2018",https://play.google.com/store/apps/details?id=com.wavemining.emoji.elite&reviewId=Z3A6QU9xcFRPRkd5bHJFVzlRR1REcmN0RmpoY0t0eTdrVnA0a0dNWENzeGNGWjl3NHJ6WUdoQVdNX0xtS3dESGdxRWI0ZHZ3TWJScFZLQW0tOEZ2VVFvUzRz,5,,Love it,undefined,undefined
gp:AOqpTOFJdO5YHVybZ1U5JTwOFMQFAP6aliIiglIDz0fcNMNM9z2xlduavHO_8N5Zaa-lIXN27Fyuf1oHDOTbYsg,YuanHong Li,https://lh5.googleusercontent.com/-0mqGc1xxY6g/AAAAAAAAAAI/AAAAAAAAAAA/OJ5GdYlpJCU/w96-h96-p/photo.jpg,"February 4, 2018",https://play.google.com/store/apps/details?id=com.wavemining.emoji.elite&reviewId=Z3A6QU9xcFRPRkpkTzVZSFZ5YloxVTVKVHdPRk1RRkFQNmFsaUlpZ2xJRHowZmNOTU5NOXoyeGxkdWF2SE9fOE41WmFhLWxJWE4yN0Z5dWYxb0hET1RiWXNn,5,,So Good Recommend,undefined,undefined
gp:AOqpTOEG75ZaXxQZ0qVEMEumNCretnptuTWorFF3n3NxkO3Ppu13gxXa6moHBYExL4ejqY4BwXhSMbi8-AqmwbE,who dance it better,https://lh5.googleusercontent.com/-h0fGMAO1bb4/AAAAAAAAAAI/AAAAAAAAAEQ/8HS_htukoC4/w96-h96-p/photo.jpg,"February 5, 2018",https://play.google.com/store/apps/details?id=com.wavemining.emoji.elite&reviewId=Z3A6QU9xcFRPRUc3NVphWHhRWjBxVkVNRXVtTkNyZXRucHR1VFdvckZGM24zTnhrTzNQcHUxM2d4WGE2bW9IQllFeEw0ZWpxWTRCd1hoU01iaTgtQXFtd2JF,5,,Wow awesome emoji,undefined,undefined
gp:AOqpTOFVQ9SuYSzEjqOCNMzmCYb0PuyQLpki26-ekCOj7GfQWWUjrbVD2HNwksM6fWxDaIun2D9X1frkQbB3rSo,anamika gupta,https://lh3.googleusercontent.com/-7p3fm0MHP9k/AAAAAAAAAAI/AAAAAAAAB0M/zknILLyjuwM/w96-h96-p/photo.jpg,"February 4, 2018",https://play.google.com/store/apps/details?id=com.wavemining.emoji.elite&reviewId=Z3A6QU9xcFRPRlZROVN1WVN6RWpxT0NOTXptQ1liMFB1eVFMcGtpMjYtZWtDT2o3R2ZRV1dVanJiVkQySE53a3NNNmZXeERhSXVuMkQ5WDFmcmtRYkIzclNv,5,,Nice app,undefined,undefined
gp:AOqpTOEKE6oVITl4MMr-pu6SVqnRUKHBBc7qTSr8i3sGUTHxGPf0M3vn1Tk_Uu0TJpZiET2GWe1GAWBUOIx5FsQ,Liz Whitehead,https://lh5.googleusercontent.com/-E1pinNBMvCA/AAAAAAAAAAI/AAAAAAAAACA/a0VH4TcxIdY/w96-h96-p/photo.jpg,"January 20, 2018",https://play.google.com/store/apps/details?id=com.wavemining.emoji.elite&reviewId=Z3A6QU9xcFRPRUtFNm9WSVRsNE1Nci1wdTZTVnFuUlVLSEJCYzdxVFNyOGkzc0dVVEh4R1BmME0zdm4xVGtfVXUwVEpwWmlFVDJHV2UxR0FXQlVPSXg1RnNR,5,,Lots of variety to choose from very good,undefined,undefined
gp:AOqpTOGOtF0YaEhx4fR-9hYzNJVg6x4wOFjs7J9XtJocjVuGMnciZ79EKH8awO-30IR0F7VgXafW3UcM7ISuESA,micheal manning,https://lh5.googleusercontent.com/-LQTMxq_NzJg/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjXA1WfaRk6jJuP9mWkIm2emEC5XHQ/w96-h96-p/photo.jpg,"January 23, 2018",https://play.google.com/store/apps/details?id=com.wavemining.emoji.elite&reviewId=Z3A6QU9xcFRPR090RjBZYUVoeDRmUi05aFl6TkpWZzZ4NHdPRmpzN0o5WHRKb2NqVnVHTW5jaVo3OUVLSDhhd08tMzBJUjBGN1ZnWGFmVzNVY003SVN1RVNB,5,,I get tI talk to people,undefined,undefined
gp:AOqpTOEd7G9Y765hdekcFF9bzM9Fu27cNxT8FEK-Md5VE-PNyshOpETaFcCmn3lCtw3FedjvZSLPy67qDHwydY0,,https://lh3.googleusercontent.com/-TazotXaM8Fc/AAAAAAAAAAI/AAAAAAAAAAA/CnQqTa9y99o/w96-h96-p/photo.jpg,"January 23, 2018",https://play.google.com/store/apps/details?id=com.wavemining.emoji.elite&reviewId=Z3A6QU9xcFRPRWQ3RzlZNzY1aGRla2NGRjliek05RnUyN2NOeFQ4RkVLLU1kNVZFLVBOeXNoT3BFVGFGY0NtbjNsQ3R3M0ZlZGp2WlNMUHk2N3FESHd5ZFkw,5,,Love the app would like to see some cartoons added x,undefined,undefined
gp:AOqpTOFjcwm55VK49Cltxpj7z7iSsyNqwNOItXTSJKzenUa1MzPT16lmherGn_wNapoY03CYlZCopsg_qWsL2a8,Ben Crabb,https://lh3.googleusercontent.com/-2BwaZbMl4Vs/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjWilqRj_s4I7qj_sW42vr_feSZR1g/w96-h96-p/photo.jpg,"January 24, 2018",https://play.google.com/store/apps/details?id=com.wavemining.emoji.elite&reviewId=Z3A6QU9xcFRPRmpjd201NVZLNDlDbHR4cGo3ejdpU3N5TnF3Tk9JdFhUU0pLemVuVWExTXpQVDE2bG1oZXJHbl93TmFwb1kwM0NZbFpDb3BzZ19xV3NMMmE4,5,,"Love it, not everything is useful but the majority is and the bots and animations are great.",undefined,undefined
gp:AOqpTOEZlUG0PguhVkJ83E2k8zHB5gNvcI8VkmnizJ2IkT0_gZxpe3Q-bzGVU6nz7TLbdxLGE3fOn-cHpCO22gc,Esther Lozoya,https://lh5.googleusercontent.com/-7hMkJBZrS_Y/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUPyo7kmTlIf8_Of8OXdzaqyQdCvQ/w96-h96-p/photo.jpg,"January 16, 2018",https://play.google.com/store/apps/details?id=com.wavemining.emoji.elite&reviewId=Z3A6QU9xcFRPRVpsVUcwUGd1aFZrSjgzRTJrOHpIQjVnTnZjSThWa21uaXpKMklrVDBfZ1p4cGUzUS1iekdWVTZuejdUTGJkeExHRTNmT24tY0hwQ08yMmdj,5,,It is so funny to plat with it,undefined,undefined
gp:AOqpTOGQdQgfByCIRrDyW1cG4nDUPMugHesg93DhlmTCmw3dI3fz7j7O7e3tsRuiohvKGE7m7MAhQRcDfSSVv1w,,https://lh3.googleusercontent.com/-WQ_g_VilK3w/AAAAAAAAAAI/AAAAAAAAAAA/3-EEnw2VDIQ/w96-h96-p/photo.jpg,"January 17, 2018",https://play.google.com/store/apps/details?id=com.wavemining.emoji.elite&reviewId=Z3A6QU9xcFRPR1FkUWdmQnlDSVJyRHlXMWNHNG5EVVBNdWdIZXNnOTNEaGxtVENtdzNkSTNmejdqN083ZTN0c1J1aW9odktHRTdtN01BaFFSY0RmU1NWdjF3,5,,It's very nice,undefined,undefined
gp:AOqpTOHv7sS9hL-zSiqayTHpd6QBZptLt9j9L0Mz-Jgxg11CIoLdcE4QaMR-MJ-hOvDnqu8lqzAqlC8jyj_GkVU,Marcia Schindler,https://lh5.googleusercontent.com/-NYtzJovV4xA/AAAAAAAAAAI/AAAAAAAAExM/LlsNzaQRB_o/w96-h96-p/photo.jpg,"January 19, 2018",https://play.google.com/store/apps/details?id=com.wavemining.emoji.elite&reviewId=Z3A6QU9xcFRPSHY3c1M5aEwtelNpcWF5VEhwZDZRQlpwdEx0OWo5TDBNei1KZ3hnMTFDSW9MZGNFNFFhTVItTUotaE92RG5xdThscXpBcWxDOGp5al9Ha1ZV,5,,Kinda wired but fun,undefined,undefined
gp:AOqpTOHuqdYz_vJpAVfrIpJelsENsu4TrNt2QBGVejhYbfiyjqVm_5FQ4YtrS4VtkRi2tytgVylW0Yq-1hn4vI4,Jagadeesh Vikram,https://lh6.googleusercontent.com/-vPnovk5Md1A/AAAAAAAAAAI/AAAAAAAAACI/3PK530Pfz9c/w96-h96-p/photo.jpg,"January 24, 2018",https://play.google.com/store/apps/details?id=com.wavemining.emoji.elite&reviewId=Z3A6QU9xcFRPSHVxZFl6X3ZKcEFWZnJJcEplbHNFTnN1NFRyTnQyUUJHVmVqaFliZml5anFWbV81RlE0WXRyUzRWdGtSaTJ0eXRnVnlsVzBZcS0xaG40dkk0,5,,More sensible and fascinating Emoji Application. Really Good and Great user interface. 👍👏,undefined,undefined
