id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOGsxBrCKsFC14X3sGxuW7w-oI1h0YN3uaCCgHnC8p_vYdEDxiGNPrIFmPOTIHl3vv-BcuZD0yfygXmSoQ,,https://lh5.googleusercontent.com/-IkvMauhoO08/AAAAAAAAAAI/AAAAAAAAAX8/mfM-AMB-Q5I/w96-h96-p/photo.jpg,"February 1, 2018",https://play.google.com/store/apps/details?id=com.emoji.androidl.keyboard&reviewId=Z3A6QU9xcFRPR3N4QnJDS3NGQzE0WDNzR3h1Vzd3LW9JMWgwWU4zdWFDQ2dIbkM4cF92WWRFRHhpR05QcklGbVBPVElIbDN2di1CY3VaRDB5ZnlnWG1Tb1E,1,,The emoji that I wanted never look like it when I typed😬😬,undefined,undefined
gp:AOqpTOFJTT-OzHA0vYzTzREyhzDLoePw6dw0YTTnJtbPzErNnMGre8dZ4ot_vrW-jSmxWi6N-BrcIbhCeLbDOQ,,https://lh6.googleusercontent.com/-QjNSaJ7ow14/AAAAAAAAAAI/AAAAAAAAQkY/k6LooqRIBuI/w96-h96-p/photo.jpg,"August 20, 2016",https://play.google.com/store/apps/details?id=com.emoji.androidl.keyboard&reviewId=Z3A6QU9xcFRPRkpUVC1PekhBMHZZelR6UkV5aHpETG9lUHc2ZHcwWVRUbkp0YlB6RXJObk1HcmU4ZFo0b3RfdnJXLWpTbXhXaTZOLUJyY0liaENlTGJET1E,3,Kinda Disappointed,Kinda Disappointed The emojis in the picture look different once you download the app. I really thought this one was gonna work. There is a difference between Samsung emojis and Android emojis. Get the picture right next time😪,undefined,undefined
gp:AOqpTOGFSv3vJSg9CVMIryI23SGAO48Z3B1VWmfJpkYBJcM4yGev3UuP_zg6afK0D7mf8eyM5NgyXNPJ7goqmw,,https://lh5.googleusercontent.com/-JVjpSQk10Hs/AAAAAAAAAAI/AAAAAAAAAAA/BXNtcLyVwjs/w96-h96-p/photo.jpg,"April 16, 2017",https://play.google.com/store/apps/details?id=com.emoji.androidl.keyboard&reviewId=Z3A6QU9xcFRPR0ZTdjN2SlNnOUNWTUlyeUkyM1NHQU80OFozQjFWV21mSnBrWUJKY000eUdldjNVdVBfemc2YWZLMEQ3bWY4ZXlNNU5neVhOUEo3Z29xbXc,3,,It forces me to rate it even beforvI have usedt us have the taste of your service before. You force us to rate you because we. Want to give the best feedback or the worst depending on your design  it. That is unfair now. Le,undefined,undefined
gp:AOqpTOFMdIxCrMd3inu5YkuJOLTuJ3WoAfUDfBO0gTTEpzVE63FjbT3B-W3bSgVJ_A8ZM3wbw7DUo2rjH8INNQ,Tasha G,https://lh5.googleusercontent.com/-OuOYdl6dyFQ/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjXm4esLYlZYSn9IDVIaHew-1o_vkQ/w96-h96-p/photo.jpg,"December 29, 2016",https://play.google.com/store/apps/details?id=com.emoji.androidl.keyboard&reviewId=Z3A6QU9xcFRPRk1kSXhDck1kM2ludTVZa3VKT0xUdUozV29BZlVEZkJPMGdUVEVwelZFNjNGamJUM0ItVzNiU2dWSl9BOFpNM3didzdEVW8ycmpIOElOTlE,3,,Its brilliant works fine but every time I go to save a word I end up with a stupid white bar that I cannot get rid of unless I uninstall and reinstall app again. Also if you spell 2 words together it doesn't give a option to space it so you have to delete and start again,undefined,undefined
gp:AOqpTOEJDahKp7BgDn3e-XLMvSo7JEhZlcgcoljgeh_7eV-F42skugLQhB-qQ2W6JB_2zMzarkS9JIShgaHtyw,Brandon's Video Collection,https://lh3.googleusercontent.com/-x4DudHWIRAc/AAAAAAAAAAI/AAAAAAAAAIs/tNlNUIqxF4E/w96-h96-p/photo.jpg,"August 20, 2016",https://play.google.com/store/apps/details?id=com.emoji.androidl.keyboard&reviewId=Z3A6QU9xcFRPRUpEYWhLcDdCZ0RuM2UtWExNdlNvN0pFaFpsY2djb2xqZ2VoXzdlVi1GNDJza3VnTFFoQi1xUTJXNkpCXzJ6TXphcmtTOUpJU2hnYUh0eXc,4,Misleading but works,Misleading but works The ones in the picture aren't on here. But I have a PRIV and on certain apps emoticons don't show up. So this is good enough for me.,undefined,undefined
gp:AOqpTOGVLD0lwE8pvHH4HlPpMSamRXfm7hYvkWbsr4Kk80V8jdkFoKUchELiiMg0XifmsAtAba1JYhmBOF3GHA,Adrian Eranzi,https://lh5.googleusercontent.com/-tvmQwMq7mtA/AAAAAAAAAAI/AAAAAAAAAQE/aryV6dzb3Rc/w96-h96-p/photo.jpg,"February 18, 2017",https://play.google.com/store/apps/details?id=com.emoji.androidl.keyboard&reviewId=Z3A6QU9xcFRPR1ZMRDBsd0U4cHZISDRIbFBwTVNhbVJYZm03aFl2a1dic3I0S2s4MFY4amRrRm9LVWNoRUxpaU1nMFhpZm1zQXRBYmExSllobUJPRjNHSEE,4,,"Please update the emoji to the latest version (Android 6 Emojis). I'm sticking with this app, I'm not changing to other keyboard, but please update! 4 stars for now. *Please make this review on the top*",undefined,undefined
gp:AOqpTOGmAGZgoiMrTVemYWxS1S3uQCzSovuSUOXddcjaCvMm-U9azAImDwzgA3RrNUv7e1CQsfKNC8hA_rYkRg,Vickie Carter,https://lh4.googleusercontent.com/-t2pCu_HEjck/AAAAAAAAAAI/AAAAAAAAAG8/4Fgmvli-sTM/w96-h96-p/photo.jpg,"November 11, 2016",https://play.google.com/store/apps/details?id=com.emoji.androidl.keyboard&reviewId=Z3A6QU9xcFRPR21BR1pnb2lNclRWZW1ZV3hTMVMzdVFDelNvdnVTVU9YZGRjamFDdk1tLVU5YXpBSW1Ed3pnQTNSck5VdjdlMUNRc2ZLTkM4aEFfcllrUmc,4,Love the keyboard. Hate the new update.,"Love the keyboard. Hate the new update. With the update, my emojis show up in white on the keyboard. Very hard to pick out your emojis. .After you post them, they become colored.",undefined,undefined
gp:AOqpTOH4UBguFRgfRaC8BHZVKUhFNUCoTKP9ZPxBnYr4m_cJH6BE9u_1kHVnnjXnxSyliU3cMQr3qu8-Ik-2EA,Nicole Lee Watson,https://lh3.googleusercontent.com/-nH8qlUBa96o/AAAAAAAAAAI/AAAAAAAAA_c/Mx5ui3b3paI/w96-h96-p/photo.jpg,"June 30, 2017",https://play.google.com/store/apps/details?id=com.emoji.androidl.keyboard&reviewId=Z3A6QU9xcFRPSDRVQmd1RlJnZlJhQzhCSFpWS1VoRk5VQ29US1A5WlB4Qm5ZcjRtX2NKSDZCRTl1XzFrSFZubmpYbnhTeWxpVTNjTVFyM3F1OC1Jay0yRUE,5,Kill my text problem,Kill my text problem This app is so good if you want emoji,undefined,undefined
gp:AOqpTOERuvI_8bpu-E3P75nLYhTZPz3TA4oHqqjmydc-m6x_Gk7SyL3WiOipmdCWXuDyEJ1M5B9WI_RsmCdtxQ,,https://lh4.googleusercontent.com/-GANwcntPnWw/AAAAAAAAAAI/AAAAAAAAAAA/Qmi0Yy8hHUY/w96-h96-p/photo.jpg,"July 31, 2017",https://play.google.com/store/apps/details?id=com.emoji.androidl.keyboard&reviewId=Z3A6QU9xcFRPRVJ1dklfOGJwdS1FM1A3NW5MWWhUWlB6M1RBNG9IcXFqbXlkYy1tNnhfR2s3U3lMM1dpT2lwbWRDV1h1RHlFSjFNNUI5V0lfUnNtQ2R0eFE,1,,I've tried too many emongi apps to setup NONE will work on my LG not even those entended for LG.  When I had my Samsung I could use any one I'm frustrated and ready TO leave Google all I'll go over to Yahoo,undefined,undefined
gp:AOqpTOHOwM_ErOgY11W1mI4aJXVo9SfPy6gzkr70ZEq4-QIhqx3_GLa82WBXahK_6sjZpBHQyZeYXwJ9wxuMSw,john chakder,https://lh6.googleusercontent.com/-YegloHuJqzc/AAAAAAAAAAI/AAAAAAAABKA/nszLx-eIeko/w96-h96-p/photo.jpg,"August 8, 2016",https://play.google.com/store/apps/details?id=com.emoji.androidl.keyboard&reviewId=Z3A6QU9xcFRPSE93TV9Fck9nWTExVzFtSTRhSlhWbzlTZlB5Nmd6a3I3MFpFcTQtUUlocXgzX0dMYTgyV0JYYWhLXzZzalpwQkhReVplWVh3Sjl3eHVNU3c,5,Cool but,"Cool but This app is good....just some bugs...like; when i disable suggestion, it disables the emoji....and yes the numbers written top of qwertyuiop keys are annoying.........otherwise grate app.....😇😇😇",undefined,undefined
gp:AOqpTOHFH_Kt6hT2GBu9nejKZUxobyYXQJ0L4YykXQ-svu_BOxqvtQiwh50GXWF9i2dd2y_-EBqMMCrO-EFsww,Jasmine Rankin,https://lh5.googleusercontent.com/-Ct7DbhA1E2M/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjViJvUYoh0djGCc0gtymKU9X9lgeA/w96-h96-p/photo.jpg,"April 6, 2017",https://play.google.com/store/apps/details?id=com.emoji.androidl.keyboard&reviewId=Z3A6QU9xcFRPSEZIX0t0NmhUMkdCdTluZWpLWlV4b2J5WVhRSjBMNFl5a1hRLXN2dV9CT3hxdnRRaXdoNTBHWFdGOWkyZGQyeV8tRUJxTU1Dck8tRUZzd3c,1,,Emojis in the pictures are not what you get. The only reason I say that is because I have an LG and was hoping for these specific emojis. How disappointing.,undefined,undefined
gp:AOqpTOFeLw6qQIQ7XNoVZOw7Ioi2EORRSaECt-zukaXdCClMuqu8LHM_NtX2AHHODkR9vBY-RSSlzRvuQ9K7Ug,Marlo Brooks,https://lh6.googleusercontent.com/-PfFfM1rVOJE/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUhv412raM7SBgBFosmk1Yr8XU46w/w96-h96-p/photo.jpg,"September 19, 2017",https://play.google.com/store/apps/details?id=com.emoji.androidl.keyboard&reviewId=Z3A6QU9xcFRPRmVMdzZxUUlRN1hOb1ZaT3c3SW9pMkVPUlJTYUVDdC16dWthWGRDQ2xNdXF1OExITV9OdFgyQUhIT0RrUjl2QlktUlNTbHpSdnVROUs3VWc,1,,Trash.... never worked just pops up ads.,undefined,undefined
