id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOHCuBmXzuCxRBBUIbZX_yQOYx-Xv9mDvLLmUDXUfn2YEGR8EcxXK3ux4pYYJxQGKqtx2G2YRQp5zzo6XKM,Tabby Turner,https://lh6.googleusercontent.com/-Kdpdms3xsLs/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUam2pUAWMTRuq4tVpjAzNgtWV0sw/w96-h96-p/photo.jpg,"February 4, 2018",https://play.google.com/store/apps/details?id=com.emoji.coolkeyboard&reviewId=Z3A6QU9xcFRPSEN1Qm1YenVDeFJCQlVJYlpYX3lRT1l4LVh2OW1EdkxMbVVEWFVmbjJZRUdSOEVjeFhLM3V4NHBZWUp4UUdLcXR4MkcyWVJRcDV6em82WEtN,3,,"The autocorrect has been pretty awful for about a month now. I've waited for an update to fix it, and the recent one sort of helped, but it's still ""correcting"" words into completely different words (like when I type ""hi"" it will turn into ""him"" or ""his"" when I press space for the next word, or ""into"" will turn into ""I told,"" among other random assumptions). On top of ""correcting"" words into different ones altogether, there will be a few typos that it will refuse to correct at all on random occasions (I just typed ""efuse"" in that sentence and it did not even offer ""refuse"" as a word to correct to). I have a Samsung S5 if it helps any, and I have had and loved this app for a few years now. I don't want to give it up, but it has become very difficult to deal with retyping everything over and over again.","February 4, 2018","Hello! We have received your feedback and we are really sorry for your experience. Would you please send me some screenshots about the mistake, better the videos made by screen recording software to support@kikatech.com. I want to see what you want to type and how the app autocorrect it mistakenly. Thank you very much!"
gp:AOqpTOFYDqJpHXpqopFYF_UHxyNESM_2CZV6TV6S7XLQuheM9Q2hoMg5G6884SSDXIDkHLwTBo_97JKzM6-Q-og,,https://lh3.googleusercontent.com/-DMDDY2qGow8/AAAAAAAAAAI/AAAAAAAAAAA/6996ZMJzZEk/w96-h96-p/photo.jpg,"February 3, 2018",https://play.google.com/store/apps/details?id=com.emoji.coolkeyboard&reviewId=Z3A6QU9xcFRPRllEcUpwSFhwcW9wRllGX1VIeHlORVNNXzJDWlY2VFY2UzdYTFF1aGVNOVEyaG9NZzVHNjg4NFNTRFhJRGtITHdUQm9fOTdKS3pNNi1RLW9n,5,,Very good app. A lot of awesome themes on it!❤,undefined,undefined
gp:AOqpTOFgu2dyqU1yQsYCnJ7Ore80fgWEYYvbo74A3pzUGB1yvnD1WuquoJJvzRy1WgaFqidpNokFlVpgnjFDmJ0,,https://lh4.googleusercontent.com/-xldiB3IB1zc/AAAAAAAAAAI/AAAAAAAAAAA/XlkRMCBRFX0/w96-h96-p/photo.jpg,"February 1, 2018",https://play.google.com/store/apps/details?id=com.emoji.coolkeyboard&reviewId=Z3A6QU9xcFRPRmd1MmR5cVUxeVFzWUNuSjdPcmU4MGZnV0VZWXZibzc0QTNwelVHQjF5dm5EMVd1cXVvSkp2elJ5MVdnYUZxaWRwTm9rRmxWcGduakZEbUow,5,,Took,undefined,undefined
gp:AOqpTOEm2h6BWlcQNXwF-irBX2UwPB5prjyVLmWR7icwFwqxjTaEwgT7LFBMOXFb05bDxwucSJXaunifLEHwqzI,superplush wins14,https://lh6.googleusercontent.com/-1Bn6fvtQP5s/AAAAAAAAAAI/AAAAAAAAAnk/68xTZ_5QDM0/w96-h96-p/photo.jpg,"February 3, 2018",https://play.google.com/store/apps/details?id=com.emoji.coolkeyboard&reviewId=Z3A6QU9xcFRPRW0yaDZCV2xjUU5Yd0YtaXJCWDJVd1BCNXByanlWTG1XUjdpY3dGd3F4alRhRXdnVDdMRkJNT1hGYjA1YkR4d3VjU0pYYXVuaWZMRUh3cXpJ,5,,Lol,undefined,undefined
gp:AOqpTOFXlIktyeHT1__U6Es_YfpmlxbKiLjGBuOYMagyvUTb_lrDQ7u8QTvlPiYWvmRcF-OkN_mmZoBTpPPR_Yg,,https://lh5.googleusercontent.com/-3UcYEHj2ZDM/AAAAAAAAAAI/AAAAAAAAAAA/klF2DjGmwEU/w96-h96-p/photo.jpg,"February 5, 2018",https://play.google.com/store/apps/details?id=com.emoji.coolkeyboard&reviewId=Z3A6QU9xcFRPRlhsSWt0eWVIVDFfX1U2RXNfWWZwbWx4YktpTGpHQnVPWU1hZ3l2VVRiX2xyRFE3dThRVHZsUGlZV3ZtUmNGLU9rTl9tbVpvQlRwUFBSX1ln,5,,Thanks for tho app.it's seriously amazing,undefined,undefined
gp:AOqpTOFs3hcYw3bLUYc4BPZdVzG_nIF0poI-6blv3rpGecpH8hSpUupGZ5dyozzYWWSIJ2ZLFOVdyxvQt8gH5CQ,,https://lh4.googleusercontent.com/-UDFXn7TjnXM/AAAAAAAAAAI/AAAAAAAAAAA/RMKkKSDmZ_c/w96-h96-p/photo.jpg,"February 2, 2018",https://play.google.com/store/apps/details?id=com.emoji.coolkeyboard&reviewId=Z3A6QU9xcFRPRnMzaGNZdzNiTFVZYzRCUFpkVnpHX25JRjBwb0ktNmJsdjNycEdlY3BIOGhTcFV1cEdaNWR5b3p6WVdXU0lKMlpMRk9WZHl4dlF0OGdINUNR,5,,Nice application,undefined,undefined
gp:AOqpTOHFfa92C83t0fslpqN-vYUHwYxA8yFkAu5ABWwa3a_IhQ6PmkzXVceDoZuGDyXtToIHBOf2S74501paY6Y,,https://lh4.googleusercontent.com/-47LawHPxwCc/AAAAAAAAAAI/AAAAAAAAAA8/SX1oOUmReB8/w96-h96-p/photo.jpg,"February 2, 2018",https://play.google.com/store/apps/details?id=com.emoji.coolkeyboard&reviewId=Z3A6QU9xcFRPSEZmYTkyQzgzdDBmc2xwcU4tdllVSHdZeEE4eUZrQXU1QUJXd2EzYV9JaFE2UG1relhWY2VEb1p1R0R5WHRUb0lIQk9mMlM3NDUwMXBhWTZZ,5,,Awsm,undefined,undefined
gp:AOqpTOFhlNYiX8pluMNJEA8CM78Atl3P20Ia28rLdH2WYsURP5VnsCGDHMFG_9Wz0PVKhwAt9Jb6FbcuX-eq4GE,,https://lh3.googleusercontent.com/-LaZD7spWW5E/AAAAAAAAAAI/AAAAAAAAAAA/LygTjH-8ERc/w96-h96-p/photo.jpg,"February 4, 2018",https://play.google.com/store/apps/details?id=com.emoji.coolkeyboard&reviewId=Z3A6QU9xcFRPRmhsTllpWDhwbHVNTkpFQThDTTc4QXRsM1AyMElhMjhyTGRIMldZc1VSUDVWbnNDR0RITUZHXzlXejBQVktod0F0OUpiNkZiY3VYLWVxNEdF,5,,Asowm,undefined,undefined
gp:AOqpTOEEeYQgPgtzoLviSKFMiPyM4-LQ4zsyVqfD2FTwZ4bcp9BlCcMr6HRb2aLTz8N34OvI5vQm-0z6F9nNH-Y,,https://lh6.googleusercontent.com/-ltm43tIJTQk/AAAAAAAAAAI/AAAAAAAAAAA/Ewz7KTMXkas/w96-h96-p/photo.jpg,"February 1, 2018",https://play.google.com/store/apps/details?id=com.emoji.coolkeyboard&reviewId=Z3A6QU9xcFRPRUVlWVFnUGd0em9MdmlTS0ZNaVB5TTQtTFE0enN5VnFmRDJGVHdaNGJjcDlCbENjTXI2SFJiMmFMVHo4TjM0T3ZJNXZRbS0wejZGOW5OSC1Z,4,,it's nice,undefined,undefined
gp:AOqpTOFkpLYhZPvHweMutZbyrqKS2QY1dMfkgMbEk1bbgskUbD4wDni7uYkG3Cjy4iSjcuCZa6DvIs6ZqH0Dt9A,,https://lh6.googleusercontent.com/-CpAe1v9XL6Q/AAAAAAAAAAI/AAAAAAAAAAA/ELB96mv5300/w96-h96-p/photo.jpg,"February 1, 2018",https://play.google.com/store/apps/details?id=com.emoji.coolkeyboard&reviewId=Z3A6QU9xcFRPRmtwTFloWlB2SHdlTXV0WmJ5cnFLUzJRWTFkTWZrZ01iRWsxYmJnc2tVYkQ0d0RuaTd1WWtHM0NqeTRpU2pjdUNaYTZEdklzNlpxSDBEdDlB,4,,Top,undefined,undefined
