id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOE2v6SP8duZDeYHUQ_3x8yxKYYCn6lKxZ8WqXS_Hxku9gBI1oxZVR3N-K4eH3gIMvwnqZF1Z-Hcp2r9d-Q,Lord Sonarika,https://lh4.googleusercontent.com/-WEPz9XC2uQg/AAAAAAAAAAI/AAAAAAAAAzo/69wX2OP8OXs/w96-h96-p/photo.jpg,"July 7, 2017",https://play.google.com/store/apps/details?id=com.cstecnologia.appinteligenciaemocional&reviewId=Z3A6QU9xcFRPRTJ2NlNQOGR1WkRlWUhVUV8zeDh5eEtZWUNuNmxLeFo4V3FYU19IeGt1OWdCSTFveFpWUjNOLUs0ZUgzZ0lNdnducVpGMVotSGNwMnI5ZC1R,3,,"Its okay so far, but could you make a bit more elaborate pie chart, like include the feelings instead of others. Also, I have a suggestion, could you maybe add an option that explains feeling nothing. Like there are times when you feel nothing among the feelings that are given in the options. Some of the suggestions are kind of rude, so please work on that too. Overall I liked the app, but also include some tips instead of notifications. Thanks",undefined,undefined
gp:AOqpTOE1ds2Ok1Dc3wq9Mhr4vDhVRyAX3ZXulz_vU_lLlQBTiclUQCsJAnvyilPfHBzzpYnvta-nTbkc6q3dGK8,Daniel Siemens,https://lh3.googleusercontent.com/-Uq29E6_zqOk/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjXUeIlFZCGRUF0qzGYAF-acu4MwQQ/w96-h96-p/photo.jpg,"June 25, 2017",https://play.google.com/store/apps/details?id=com.cstecnologia.appinteligenciaemocional&reviewId=Z3A6QU9xcFRPRTFkczJPazFEYzN3cTlNaHI0dkRoVlJ5QVgzWlh1bHpfdlVfbExsUUJUaWNsVVFDc0pBbnZ5aWxQZkhCenpwWW52dGEtblRia2M2cTNkR0s4,4,,This app is really helpful.  I rated it a four though for two reasons.  When I press on the stress emotion a little pop up comes up at the bottom asking if the things I'm stressed about are valid.  Yes they are.  Dont trivialize my emotions.  Second the smaller items are put into an other section on the pie chart.  It would be helpful to be able to view more details on those.,undefined,undefined
gp:AOqpTOHETm6PoNuUqcoD6wPeCGqUD4GvpWtNo8T9s9gEtuFqdNI4TQPpM7poNJj6EjY7thiO9oSJjbchZZlG3OA,,https://lh3.googleusercontent.com/-qtDsx6k2A6U/AAAAAAAAAAI/AAAAAAAAACU/RnTIeyprxIE/w96-h96-p/photo.jpg,"July 13, 2017",https://play.google.com/store/apps/details?id=com.cstecnologia.appinteligenciaemocional&reviewId=Z3A6QU9xcFRPSEVUbTZQb051VXFjb0Q2d1BlQ0dxVUQ0R3ZwV3RObzhUOXM5Z0V0dUZxZE5JNFRRUHBNN3BvTkpqNkVqWTd0aGlPOW9TSmpiY2haWmxHM09B,4,,"I think it is really a brilliant app with reagrd to its idea. However, it would be better to have more emotions, more than one emotional choice and an option not to check worried. Other than that great work! Thanks! I dont feel alone anymore, ur app cares for me. :)",undefined,undefined
gp:AOqpTOFDSG1CPPawuUbcQfTN8MvXukRjwWlu0G6MUG-rIjXOTpnFQtiErdDYpTVS0NAtnf8535_-D4rUwN9jFXc,Kerry Mapp,https://lh6.googleusercontent.com/-ME65EbTa7LE/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjXLW1S8PLfYrV_jvzXgd5SWN6i8ew/w96-h96-p/photo.jpg,"July 28, 2017",https://play.google.com/store/apps/details?id=com.cstecnologia.appinteligenciaemocional&reviewId=Z3A6QU9xcFRPRkRTRzFDUFBhd3VVYmNRZlROOE12WHVrUmp3V2x1MEc2TVVHLXJJalhPVHBuRlF0aUVyZERZcFRWUzBOQXRuZjg1MzVfLUQ0clV3TjlqRlhj,3,,Settings are very limited. It also inputs your info if you choose a feeling before you set your anxiety and you have to choose at least half a circle which I think is unfair as you may feel zero anxiety at the moment. Only been using this for two days but think it's cool just needs some improvements.,undefined,undefined
gp:AOqpTOEm-vQajt7aFr_uSEsoN-xcSn0PEt88rwdXX5jHT4HKS0MQTBrp50d40NR9ugOZNjPA_zqQJcwXDcS1ShU,Marc Mulligan,https://lh4.googleusercontent.com/-9-8_kZEXXKM/AAAAAAAAAAI/AAAAAAAAAS8/fqduB9kla8M/w96-h96-p/photo.jpg,"May 13, 2017",https://play.google.com/store/apps/details?id=com.cstecnologia.appinteligenciaemocional&reviewId=Z3A6QU9xcFRPRW0tdlFhanQ3YUZyX3VTRXNvTi14Y1NuMFBFdDg4cndkWFg1akhUNEhLUzBNUVRCcnA1MGQ0ME5SOXVnT1pOalBBX3pxUUpjd1hEY1MxU2hV,4,,"Designed to be simple and usable so that you really do make use of it a regular basis (it's most valuable when used regularly). Never seen anything like it before. Fantastic. Small criticisms: 1. Use of english is a bit off. He needs some proofreading done. 2. The graphs which show your emotional history are too limited. Especially the pie chart. Most of the time only 3 emotions are displayed on the pie chart. The other almost 50% represented simply as ""other"". Why not try a different type of chart, not pie? If these 2 things were fixed, I would pay to have adverts removed because I would know I would defo use it for a long time into the future.",undefined,undefined
gp:AOqpTOH5n9aih_4OOptDlktLZXNZRWG-nPsxe9sksbbyXUxaqYmf9WR8sY6AdOFNxs_PliueLVStIqlnCVUItSY,Vladimir Nesic,https://lh5.googleusercontent.com/-0zdBWoIOxa8/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjX_P9RQ0DhviEqbsuwt_EgYP3Ewyw/w96-h96-p/photo.jpg,"November 29, 2017",https://play.google.com/store/apps/details?id=com.cstecnologia.appinteligenciaemocional&reviewId=Z3A6QU9xcFRPSDVuOWFpaF80T09wdERsa3RMWlhOWlJXRy1uUHN4ZTlza3NiYnlYVXhhcVltZjlXUjhzWTZBZE9GTnhzX1BsaXVlTFZTdElxbG5DVlVJdFNZ,4,,"Quite limited for now, you need more feelings to fulfill the app's purpose to it's maximum. ""Other"" feelings in report should be separate. I know it may be annoying to program but it would most likely get you better reviews. Please work on that",undefined,undefined
gp:AOqpTOGv-_mVFaFQSh4-jryJgmmgwjn295bFH1SHM9iVUTJmKw57gJrl22ZWLtIiXEn9JgD3zvRiRcRNGICnlwQ,jennifer durgin,https://lh4.googleusercontent.com/--WIBN07bs1Q/AAAAAAAAAAI/AAAAAAAAAIU/dU2itNPS3d8/w96-h96-p/photo.jpg,"February 1, 2018",https://play.google.com/store/apps/details?id=com.cstecnologia.appinteligenciaemocional&reviewId=Z3A6QU9xcFRPR3YtX21WRmFGUVNoNC1qcnlKZ21tZ3dqbjI5NWJGSDFTSE05aVZVVEptS3c1N2dKcmwyMlpXTHRJaVhFbjlKZ0QzenZSaVJjUk5HSUNubHdR,2,,"This app isn't at all what I expected. It won't allow you to multiselect , as if people only feel 1 emotion at a time. The range of emotion is also weak. There is more depth to human emotion than angry, anxious, happy etc. So, personally this is not helpful.",undefined,undefined
gp:AOqpTOFlqkq5TDFfFP6KG3CbRzkzKvO4YhYBpSkDtfoWTiEHUY6SZyyOMoArnjvvOboMGUPbLuWHtEVjh9wB9vE,,https://lh5.googleusercontent.com/-Jm9eQQJprlA/AAAAAAAAAAI/AAAAAAAAAAA/vC4I-4eetgU/w96-h96-p/photo.jpg,"August 21, 2017",https://play.google.com/store/apps/details?id=com.cstecnologia.appinteligenciaemocional&reviewId=Z3A6QU9xcFRPRmxxa3E1VERGZkZQNktHM0NiUnprekt2TzRZaFlCcFNrRHRmb1dUaUVIVVk2U1p5eU9Nb0Fybmp2dk9ib01HVVBiTHVXSHRFVmpoOXdCOXZF,5,,It helps me with keeping track of how my mood is throughout the day and night. I have severe mental illnesses. Too many to list but this is on app that i find very useful..,undefined,undefined
gp:AOqpTOFPMlVmX6vnDaJ3ZZGI66A31f6FJg0cQ9kGLdfm8v_zE3s2peh37h4DrUM0N-K9QmBvaajEo7HDG-E42-8,Toradellin McLennan,https://lh3.googleusercontent.com/--m3deH6QFB8/AAAAAAAAAAI/AAAAAAAAAf4/Z7alQ9VzMUw/w96-h96-p/photo.jpg,"June 20, 2017",https://play.google.com/store/apps/details?id=com.cstecnologia.appinteligenciaemocional&reviewId=Z3A6QU9xcFRPRlBNbFZtWDZ2bkRhSjNaWkdJNjZBMzFmNkZKZzBjUTlrR0xkZm04dl96RTNzMnBlaDM3aDREclVNME4tSzlRbUJ2YWFqRW83SERHLUU0Mi04,1,,I was very disturbed to be given the suggestion of joining a religious cult rather than seek psychological counseling when I indicated that I was feeling very sad. This is extremely bad advice. The last thing  people need when they are feeling vulnerable is to be manipulated and exploited by religious mutters. An unethical app.,undefined,undefined
gp:AOqpTOEkAAKREefw04kfYn9bLE2jbVjzntxPLE5sRqZhF5awejDH-3lLlld8S2w0KCnmfCsLbRzKzL2floaEjJA,Alberto Neto,https://lh5.googleusercontent.com/-Dwtn8yS7g0g/AAAAAAAAAAI/AAAAAAAANDk/msuWMNI1eNI/w96-h96-p/photo.jpg,"June 29, 2017",https://play.google.com/store/apps/details?id=com.cstecnologia.appinteligenciaemocional&reviewId=Z3A6QU9xcFRPRWtBQUtSRWVmdzA0a2ZZbjliTEUyamJWanpudHhQTEU1c1JxWmhGNWF3ZWpESC0zbExsbGQ4UzJ3MEtDbm1mQ3NMYlJ6S3pMMmZsb2FFakpB,3,,I think the app would improve a lot if it add the possibility of let a coment with the feeling. This way the user could see the reasons of his/her mood change.,undefined,undefined
