id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOHtH-s5oyZHUk23f-hRi2Wqgl8HhJmvpGIlVOVlvvKiYJyJN5x3I6j5KXgsqQyH-wOgnjH68mvxfxjFOg,RetroMum Ash,https://lh6.googleusercontent.com/-fFRx0nL2MNY/AAAAAAAAAAI/AAAAAAAAA7A/w6i9wNNG7O8/w96-h96-p/photo.jpg,"January 3, 2017",https://play.google.com/store/apps/details?id=com.kidokoinside.kidokoemotionsfree&reviewId=Z3A6QU9xcFRPSHRILXM1b3laSFVrMjNmLWhSaTJXcWdsOEhoSm12cEdJbFZPVmx2dktpWUp5Sk41eDNJNmo1S1hnc3FReUgtd09nbmpINjhtdnhmeGpGT2c,1,What?,"What? I don't get it, I download, open it, it takes me to play store, I open it from play store it takes me back to app, I try and open it again from app which again takes me back to play store which brings me to this review. Annoyed.",undefined,undefined
gp:AOqpTOFV-mqbkSFpMrx_7MC7wWL2j5MrSPXgrlOqvLeeuS-fA91XEw7x9AxZAq0zHxv-KzbJvrz0jrLZJ-EOXA,Mueen Khan,https://lh3.googleusercontent.com/-8zTjZgBz2zE/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUxJfMQHLS8pP_EpCCee2gDPdJTgg/w96-h96-p/photo.jpg,"May 4, 2016",https://play.google.com/store/apps/details?id=com.kidokoinside.kidokoemotionsfree&reviewId=Z3A6QU9xcFRPRlYtbXFia1NGcE1yeF83TUM3d1dMMmo1TXJTUFhncmxPcXZMZWV1Uy1mQTkxWEV3N3g5QXhaQXEwekh4di1LemJKdnJ6MGpyTFpKLUVPWEE,4,MZAK,MZAK Very simple and educative,undefined,undefined
gp:AOqpTOGUPqCYp32ht94F8mtQ9KOSLmF7TZExs44zWqVKQioH-mMWQ1zeFTl5z7TyR5kwR8KbBH9sQU-1_rjY6g,Bsideweesing,https://lh3.googleusercontent.com/-IU9f_5kZANA/AAAAAAAAAAI/AAAAAAAAAIU/Fzf3mBSPY7E/w96-h96-p/photo.jpg,"December 26, 2016",https://play.google.com/store/apps/details?id=com.kidokoinside.kidokoemotionsfree&reviewId=Z3A6QU9xcFRPR1VQcUNZcDMyaHQ5NEY4bXRROUtPU0xtRjdUWkV4czQ0eldxVktRaW9ILW1NV1ExemVGVGw1ejdUeVI1a3dSOEtiQkg5c1FVLTFfcmpZNmc,3,,Even as an adult I like it,undefined,undefined
gp:AOqpTOGCKfLqApadoAsPPxPT3ROWX8gzSM-kPjiYpcbYN02jsMNXckUBVvYBzHlJfs14mOMQ0Px8bt1hcjmHTA,,https://lh5.googleusercontent.com/-Xr8lfHconrQ/AAAAAAAAAAI/AAAAAAAAAAA/rn3hTQ6rFkw/w96-h96-p/photo.jpg,"February 13, 2017",https://play.google.com/store/apps/details?id=com.kidokoinside.kidokoemotionsfree&reviewId=Z3A6QU9xcFRPR0NLZkxxQXBhZG9Bc1BQeFBUM1JPV1g4Z3pTTS1rUGppWXBjYllOMDJqc01OWGNrVUJWdllCekhsSmZzMTRtT01RMFB4OGJ0MWhjam1IVEE,5,,"My kids enjoy it and is the best I have seen,",undefined,undefined
gp:AOqpTOFQgjep433jx9IQeI_r-GsJV4Q9o_MFyEJLDhUozNklrBJc_HaPGHropDog9aC29tBxLXVRbWpOTltqAA,Vita Divine,https://lh5.googleusercontent.com/-uRLfOeCXDKs/AAAAAAAAAAI/AAAAAAAABO8/ych5GpiRRGU/w96-h96-p/photo.jpg,"August 30, 2017",https://play.google.com/store/apps/details?id=com.kidokoinside.kidokoemotionsfree&reviewId=Z3A6QU9xcFRPRlFnamVwNDMzang5SVFlSV9yLUdzSlY0UTlvX01GeUVKTERoVW96TmtsckJKY19IYVBHSHJvcERvZzlhQzI5dEJ4TFhWUmJXcE9UbHRxQUE,5,,Different games in one app is always a plus.,undefined,undefined
gp:AOqpTOHdb5d2VfvARNxZudiXjQSBaSfJb1k2lgV_mar377bg8Fzw2vBbMDsht5IvJCG7idLcc86uWC1eh2_LRg,Karen J. Price,https://lh6.googleusercontent.com/-s2gVyEur5Ik/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjXY50quoLx-3crzzBzYU4MAjP3OFQ/w96-h96-p/photo.jpg,"February 3, 2018",https://play.google.com/store/apps/details?id=com.kidokoinside.kidokoemotionsfree&reviewId=Z3A6QU9xcFRPSGRiNWQyVmZ2QVJOeFp1ZGlYalFTQmFTZkpiMWsybGdWX21hcjM3N2JnOEZ6dzJ2QmJNRHNodDVJdkpDRzdpZExjYzg2dVdDMWVoMl9MUmc,4,,Good,undefined,undefined
gp:AOqpTOGjNnDzsKB6nbcbxgwvOkgVHisJ16DjZI-tuv7StztIcOdqHKUrK6Uc_Pcb5Ssuyt0_xlnqU99xvlPKjg,diseno berro,https://lh6.googleusercontent.com/-WAESAw8ON0U/AAAAAAAAAAI/AAAAAAAAADA/-clCKDFAU8I/w96-h96-p/photo.jpg,"August 19, 2014",https://play.google.com/store/apps/details?id=com.kidokoinside.kidokoemotionsfree&reviewId=Z3A6QU9xcFRPR2pObkR6c0tCNm5iY2J4Z3d2T2tnVkhpc0oxNkRqWkktdHV2N1N0enRJY09kcUhLVXJLNlVjX1BjYjVTc3V5dDBfeGxucVU5OXh2bFBLamc,4,Real good,"Real good Good game, very educative and fun",undefined,undefined
gp:AOqpTOFhtDYlbyYQ9rx7_Hzpzutnu1Jxr-nQJxSoOStyYcVdYRjF-XB5ZgXsfzOTEaxgr-_xO5MA0C85r4NaaA,Lew Podgurskiy,https://lh5.googleusercontent.com/-a_HDkaauBLg/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjU1_sGG7dYnbBcJjQ31AGyN089OOA/w96-h96-p/photo.jpg,"February 4, 2014",https://play.google.com/store/apps/details?id=com.kidokoinside.kidokoemotionsfree&reviewId=Z3A6QU9xcFRPRmh0RFlsYnlZUTlyeDdfSHpwenV0bnUxSnhyLW5RSnhTb09TdHlZY1ZkWVJqRi1YQjVaZ1hzZnpPVEVheGdyLV94TzVNQTBDODVyNE5hYUE,5,"Excellent game,we love it","Excellent game,we love it",undefined,undefined
gp:AOqpTOFGOqhPQl74Z2B2WEa8ob96Efio-xtWof3NdAnF0jnd8HwX7LFwu6MOcq2bJTNiYmne_RR-GH_kXx_fDg,Robyn Wise,https://lh5.googleusercontent.com/-to5_KGWXSoE/AAAAAAAAAAI/AAAAAAAAMjg/BwzjdlQRN1k/w96-h96-p/photo.jpg,"June 4, 2013",https://play.google.com/store/apps/details?id=com.kidokoinside.kidokoemotionsfree&reviewId=Z3A6QU9xcFRPRkdPcWhQUWw3NFoyQjJXRWE4b2I5NkVmaW8teHRXb2YzTmRBbkYwam5kOEh3WDdMRnd1Nk1PY3EyYkpUTmlZbW5lX1JSLUdIX2tYeF9mRGc,1,"Too slow, phone frozen","Too slow, phone frozen Froze the phone! Uninstalled.","June 4, 2013","Thank you for your feedback.
We understand you use Galaxy S III - the app was checked on few different Galaxy S III devices,
and once again after we saw your comment. Unfortunately we couldn't reproduce the problem,
as it worked flawlessly in all of our tests.

We will be happy to assist you further at kidoko+support@kidokoinside.com."
gp:AOqpTOFjavN5ddxmQfwaKwFjgoxImd_LLv2J3g9-Abqe9gK0yJM1K8qlLzg-_epU29V23xrQQ98vRN2MIZLpFA,Breanna Davis,https://lh5.googleusercontent.com/-zAwU2EUp97k/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjWQsBBNgQ3EyfpueScDzAS_MrOKJQ/w96-h96-p/photo.jpg,"June 23, 2015",https://play.google.com/store/apps/details?id=com.kidokoinside.kidokoemotionsfree&reviewId=Z3A6QU9xcFRPRmphdk41ZGR4bVFmd2FLd0ZqZ294SW1kX0xMdjJKM2c5LUFicWU5Z0sweUpNMUs4cWxMemctX2VwVTI5VjIzeHJRUTk4dlJOMk1JWkxwRkE,5,So cool,So cool I love this app,undefined,undefined
