id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOH_LmSR7sVMpayrFQJKcaS58AH3PfWwI1DFO5xeIjfo0vRYTisnDvWpbIAFJALbRx2xR8Ko_lgOlbBWig,semi god,https://lh3.googleusercontent.com/-IEKzAOejAcc/AAAAAAAAAAI/AAAAAAAAAAo/vB8CweBJkKA/w96-h96-p/photo.jpg,"April 18, 2016",https://play.google.com/store/apps/details?id=enldesign.learn_your_emotions_free&reviewId=Z3A6QU9xcFRPSF9MbVNSN3NWTXBheXJGUUpLY2FTNThBSDNQZld3STFERk81eGVJamZvMHZSWVRpc25EdldwYklBRkpBTGJSeDJ4UjhLb19sZ09sYkJXaWc,5,Cute and educational,Cute and educational Very nicely done with simple and cute design. Great for a fun way to learn a new language.,"April 19, 2016","Hi, thanks for a good review!"
gp:AOqpTOEhN1kZnVifdWa5CRRPpt0RmFJTCzkmFFtpwnLceDd2oRClLWD8kjLhN0rjfTf9vQ-b7C4OA2gc7E_siA,Manojit Ghosh,https://lh3.googleusercontent.com/-lCwU38OviKg/AAAAAAAAAAI/AAAAAAAAGp8/ThkfVTyo90Y/w96-h96-p/photo.jpg,"March 31, 2016",https://play.google.com/store/apps/details?id=enldesign.learn_your_emotions_free&reviewId=Z3A6QU9xcFRPRWhOMWtablZpZmRXYTVDUlJQcHQwUm1GSlRDemttRkZ0cHduTGNlRGQyb1JDbExXRDhrakxoTjByamZUZjl2US1iN0M0T0EyZ2M3RV9zaUE,4,Fun play for kids,"Fun play for kids It's really nice, easy fun app for kids. Kudos to the team. Only expecting more versatility in these games. It should not repeat same questions multiple times.","April 1, 2016","Hi Manojit, thank you for a good review. Content expansion is not planned, idea is to keep only basic emotions in the app."
gp:AOqpTOFrgLYZwQ0tExn1-tRGGZieof8RCln8LkeVNuTZ8S1uhcQYTz4XSeORGh8_7TZxbx3NlufmL4yKo19SKA,Amitha V.A.,https://lh6.googleusercontent.com/-hS32PEIR3Uk/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVwHc7fh5SZAGw3DmNUZqeH2CW0gg/w96-h96-p/photo.jpg,"May 21, 2016",https://play.google.com/store/apps/details?id=enldesign.learn_your_emotions_free&reviewId=Z3A6QU9xcFRPRnJnTFlad1EwdEV4bjEtdFJHR1ppZW9mOFJDbG44TGtlVk51VFo4UzF1aGNRWVR6NFhTZU9SR2g4XzdUWnhieDNObHVmbUw0eUtvMTlTS0E,4,Nice learning app for kids,Nice learning app for kids I liked the app but ads are too frequent. The drawings used are kind of fun too.,undefined,undefined
gp:AOqpTOForBqhwm14CfwenofS-cDF5t7NdHJBGXUMWV-gJKxi1aghBo4zO_t9dD3sp-6r7bHXeiW-o7l2X_fWDQ,Olga Fr,https://lh6.googleusercontent.com/-rzuR0YhxRus/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjWmGz_ZpVCEor-xMRSmvc3hYPczoQ/w96-h96-p/photo.jpg,"May 11, 2016",https://play.google.com/store/apps/details?id=enldesign.learn_your_emotions_free&reviewId=Z3A6QU9xcFRPRm9yQnFod20xNENmd2Vub2ZTLWNERjV0N05kSEpCR1hVTVdWLWdKS3hpMWFnaEJvNHpPX3Q5ZEQzc3AtNnI3YkhYZWlXLW83bDJYX2ZXRFE,4,Cool thing,Cool thing Cool thing for education. Children can play and educate at the same time.,undefined,undefined
gp:AOqpTOEkxgWYxVpF2pcu9DzPNjwyU5BhwpjXoxyJQcfHDtpAjio6u0a0CNKZSwxjqAOIhhlA1YwiQl7JnGBzSA,Antia Mir Suarez,https://lh5.googleusercontent.com/-_hrfMvQbqjQ/AAAAAAAAAAI/AAAAAAAAABY/Z5_2M_82HBo/w96-h96-p/photo.jpg,"April 28, 2016",https://play.google.com/store/apps/details?id=enldesign.learn_your_emotions_free&reviewId=Z3A6QU9xcFRPRWt4Z1dZeFZwRjJwY3U5RHpQTmp3eVU1Qmh3cGpYb3h5SlFjZkhEdHBBamlvNnUwYTBDTktaU3d4anFBT0loaGxBMVl3aVFsN0puR0J6U0E,4,,Hahaha glad to see this one very time killer .... Thank you .. Developers ! Nice :),"April 9, 2016",Thank you for a good review!
gp:AOqpTOFc5uozLFIem_WWoVbkv3qV6CQmWx-T0HuydBkyKwkaO3pf6lTaGX58WAZXoNP4NyQUUMkyhdr7CG-i8Q,Ultimate Videos,https://lh4.googleusercontent.com/-DelNS7_-ltI/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjX1HPQwshcv4olfboxT1A4E0UUUjA/w96-h96-p/photo.jpg,"April 28, 2016",https://play.google.com/store/apps/details?id=enldesign.learn_your_emotions_free&reviewId=Z3A6QU9xcFRPRmM1dW96TEZJZW1fV1dvVmJrdjNxVjZDUW1XeC1UMEh1eWRCa3lLd2thTzNwZjZsVGFHWDU4V0FaWG9OUDROeVFVVU1reWhkcjdDRy1pOFE,5,gud app for baby,gud app for baby this is such a nice app for my child.,undefined,undefined
gp:AOqpTOEOtBuq06cXKm-J3AyvtXDE6KJcciOT-NH-0McfDMCmnEIQ2bRviHGxSwNH_H2HkqPOIasIxBs0QByXXA,Ismail Farooq,https://lh5.googleusercontent.com/-G8zGjOMCoqE/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjWqDIReQYKUnWDYAuhBYe1PGsl6MQ/w96-h96-p/photo.jpg,"May 29, 2016",https://play.google.com/store/apps/details?id=enldesign.learn_your_emotions_free&reviewId=Z3A6QU9xcFRPRU90QnVxMDZjWEttLUozQXl2dFhERTZLSmNjaU9ULU5ILTBNY2ZETUNtbkVJUTJiUnZpSEd4U3dOSF9IMkhrcVBPSWFzSXhCczBRQnlYWEE,4,Ahan its good to,Ahan its good to Kill the time.   Nice  idea goody work ... i like,undefined,undefined
gp:AOqpTOFYVrG-faPJ__TksPB091GBn5CJyCoeRI7zUIIytwSKve-Ew3s0FEFT_Oz7XNEBB4AkPUYNSCrrs42mGg,Joshua Meng,https://lh3.googleusercontent.com/-e7dssA8kTVI/AAAAAAAAAAI/AAAAAAAAAEs/O-XP-dH8J1w/w96-h96-p/photo.jpg,"May 11, 2016",https://play.google.com/store/apps/details?id=enldesign.learn_your_emotions_free&reviewId=Z3A6QU9xcFRPRllWckctZmFQSl9fVGtzUEIwOTFHQm41Q0p5Q29lUkk3elVJSXl0d1NLdmUtRXczczBGRUZUX096N1hORUJCNEFrUFVZTlNDcnJzNDJtR2c,4,Interesting,"Interesting Interesting app, you need to connect right comic pic to appropriate emotions.",undefined,undefined
gp:AOqpTOGyLYufsZPzjjEU5hDK1l5xStAt20uAoGgArUJaSrgXST2GVah1dkhWRbhc3MOFuCEwdTkgn6MNn8Lytw,Frank Line,https://lh3.googleusercontent.com/-2KXOnQFv75w/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVwyErn1wCp2nqvYkmYfqa7c0ui9A/w96-h96-p/photo.jpg,"May 24, 2016",https://play.google.com/store/apps/details?id=enldesign.learn_your_emotions_free&reviewId=Z3A6QU9xcFRPR3lMWXVmc1pQempqRVU1aERLMWw1eFN0QXQyMHVBb0dnQXJVSmFTcmdYU1QyR1ZhaDFka2hXUmJoYzNNT0Z1Q0V3ZFRrZ242TU5uOEx5dHc,5,,Its very funny emotion i like it very much.,undefined,undefined
gp:AOqpTOFr761GnR1eXZwqOrW8Hr5Ifl2ZPzpKOFR-S2t2Htg82tkLduf3xtdwxYYZx4TaWjDdT2M6J3zS7MTypw,FIFA 2017 Videos,https://lh3.googleusercontent.com/-arb1f_QP5q8/AAAAAAAAAAI/AAAAAAAAAJA/0bP3UvtFiaY/w96-h96-p/photo.jpg,"May 28, 2016",https://play.google.com/store/apps/details?id=enldesign.learn_your_emotions_free&reviewId=Z3A6QU9xcFRPRnI3NjFHblIxZVhad3FPclc4SHI1SWZsMlpQenBLT0ZSLVMydDJIdGc4MnRrTGR1ZjN4dGR3eFlZWng0VGFXakRkVDJNNkozelM3TVR5cHc,4,Good,Good This is a very good app and very useful for kids learn. I like this app.,undefined,undefined
