id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOHrNiuggjiWW1nubGOks1H7rcN2QtiN01yCob3d0_wkGWGC-D02dksSo9GDJGtUbNy1nHxk4MjMLbhdFw,Leo Ang Jr,https://lh4.googleusercontent.com/-tK3UL98lpKs/AAAAAAAAAAI/AAAAAAABF20/Vkiy51fsB7U/w96-h96-p/photo.jpg,"December 27, 2015",https://play.google.com/store/apps/details?id=com.luckyworld.stickerswhatsappemotion&reviewId=Z3A6QU9xcFRPSHJOaXVnZ2ppV1cxbnViR09rczFIN3JjTjJRdGlOMDF5Q29iM2QwX3drR1dHQy1EMDJka3NTbzlHREpHdFViTnkxbkh4azRNak1MYmhkRnc,4,"It's ""Tap,"" not ""Tab""","It's ""Tap,"" not ""Tab"" People are all confused over a misspelling in the instructions. It's ""Tap,"" not ""Tab."" You either Tap on an emoji then tap the green ""Whats app"" button at the bottom. Or you extend Tap an emoji and it opens up in WhatsApp. I agree about changing the black background to white. Otherwise it works just fine.",undefined,undefined
gp:AOqpTOE2FL-W6gWJrmqPfrJwyst8k2_AiqSquZvOsooVX0UAY4uTrgoHFgyN3_3AgLfuQYkdpPBIgbPRoj89Ow,Arpita Singh,https://lh5.googleusercontent.com/-F2bzWZyuXz4/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjW14OUgOYVaSXPqRjfW5ojoNCmleQ/w96-h96-p/photo.jpg,"September 14, 2015",https://play.google.com/store/apps/details?id=com.luckyworld.stickerswhatsappemotion&reviewId=Z3A6QU9xcFRPRTJGTC1XNmdXSnJtcVBmckp3eXN0OGsyX0FpcVNxdVp2T3Nvb1ZYMFVBWTR1VHJnb0hGZ3lOM18zQWdMZnVRWWtkcFBCSWdiUFJvajg5T3c,4,They r cute...,They r cute... But wud actually like it more if black background removed. Also people..facing problem... there is button stating WhatsApp underneath the selected smiley clicking on that will take u to sharing ....all the best!,undefined,undefined
gp:AOqpTOFIah55JDrh9-lHSUWkLQKoK0uL9k-tbLZgCi_IPn_AljESTc_C_dp4WMAuHDjnjiS0K71uRWoPVCBirg,Daisy Washington,https://lh3.googleusercontent.com/-dHpmSot3ly4/AAAAAAAAAAI/AAAAAAAADT0/lsw7YQPftws/w96-h96-p/photo.jpg,"April 15, 2016",https://play.google.com/store/apps/details?id=com.luckyworld.stickerswhatsappemotion&reviewId=Z3A6QU9xcFRPRklhaDU1SkRyaDktbEhTVVdrTFFLb0swdUw5ay10YkxaZ0NpX0lQbl9BbGpFU1RjX0NfZHA0V01BdUhEam5qaVMwSzcxdVJXb1BWQ0Jpcmc,1,"Can't figure out how to ""share""","Can't figure out how to ""share"" App installed with no problems. Has great images but can't read all of directions at top of app explainable how to share. Tried simply tapping image but NOTHING happens when I do this. Anyone else experience problems?",undefined,undefined
gp:AOqpTOFMFAykZt4bqhWKmKY7-jwvscFDp1iPOnccK8zXTVes3448oGHcESVVPbC7aBsKk9TYJJHTr5AFgZUF-Q,Richard Raymundo,https://lh6.googleusercontent.com/-g3jvr2lusS4/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjU7ZUcj3whMSdETpTiLxydt6Qa9BQ/w96-h96-p/photo.jpg,"June 22, 2016",https://play.google.com/store/apps/details?id=com.luckyworld.stickerswhatsappemotion&reviewId=Z3A6QU9xcFRPRk1GQXlrWnQ0YnFoV0ttS1k3LWp3dnNjRkRwMWlQT25jY0s4elhUVmVzMzQ0OG9HSGNFU1ZWUGJDN2FCc0trOVRZSkpIVHI1QUZnWlVGLVE,1,Not good,Not good It does not have a button to share the sticker. It's only a waste of time to download the app.  Pls fix the problem and then app users will install the app again. I do not recommend the app at this time.,undefined,undefined
gp:AOqpTOGOMTYDayh2Im2AYQYCLRXEbKEPiPMCHlujCWqTQJZVm09i9zv71hwm-x4UnSGtf3VnK22xxtdHCGNegQ,tam miller,https://lh3.googleusercontent.com/-UpTTb4eJWso/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVVTYfjZo0SCIKWDSIEU4gUFbeQrg/w96-h96-p/photo.jpg,"June 20, 2016",https://play.google.com/store/apps/details?id=com.luckyworld.stickerswhatsappemotion&reviewId=Z3A6QU9xcFRPR09NVFlEYXloMkltMkFZUVlDTFJYRWJLRVBpUE1DSGx1akNXcVRRSlpWbTA5aTl6djcxaHdtLXg0VW5TR3RmM1ZuSzIyeHh0ZEhDR05lZ1E,1,Useless,"Useless Always love emojis of this kind, i have the samsung 7 edge, there is no tab nor any type of share button which makes them worthless to try an use. Maybe your quality control or designers shoud do the job im sure theyre paid quite well for. Deleting this app since its impossible to use.",undefined,undefined
gp:AOqpTOEPk3qAEdBx3np8tjx2iGT7ckSbvb6B1TOgGUxeeT5xQ40gU-rZdG5vwHVgDbT9dctFYksQOfijA07rPw,Ms Lady,https://lh6.googleusercontent.com/-c7UVdiatBEo/AAAAAAAAAAI/AAAAAAAAAUg/ZTNTeUrQi44/w96-h96-p/photo.jpg,"September 4, 2015",https://play.google.com/store/apps/details?id=com.luckyworld.stickerswhatsappemotion&reviewId=Z3A6QU9xcFRPRVBrM3FBRWRCeDNucDh0angyaUdUN2NrU2J2YjZCMVRPZ0dVeGVlVDV4UTQwZ1UtclpkRzV2d0hWZ0RiVDlkY3RGWWtzUU9maWpBMDdyUHc,1,Hate it,"Hate it The emoticons attached to whatsapp are very big. Not suitable to chat. Same like we attach a photo to our frens. Emoticon should be small size, not a big photo size.",undefined,undefined
gp:AOqpTOHEElM7fHFXRi_RXFs3_VTVswvgeM6pN8qubN2bAVGtxtTEcyQhL8yDHvHPU1pYZJtC1blqDABvaHHipg,Amy Hurst,https://lh6.googleusercontent.com/-ENF83cdHEpA/AAAAAAAAAAI/AAAAAAAAADk/6Fe8YxGaOdU/w96-h96-p/photo.jpg,"December 16, 2016",https://play.google.com/store/apps/details?id=com.luckyworld.stickerswhatsappemotion&reviewId=Z3A6QU9xcFRPSEVFbE03ZkhGWFJpX1JYRnMzX1ZUVnN3dmdlTTZwTjhxdWJOMmJBVkd0eHRURWN5UWhMOHlESHZIUFUxcFlaSnRDMWJscURBQnZhSEhpcGc,1,Can't share images,"Can't share images The 'what's app' button does nothing. Really like the images, but if unable to share, I'll just delete the app. Disappointing!",undefined,undefined
gp:AOqpTOE9p7H-V6yLbqzsO8ACMLexsDB_U57VYYD2iQuoW3z6yRm-xEEN4Gq21PYiLTdiK-i32y58JqIBlXSpAg,Teresa Stafford,https://lh6.googleusercontent.com/-QeCcKOg794I/AAAAAAAAAAI/AAAAAAAAF7c/VFUdueQtO1I/w96-h96-p/photo.jpg,"June 1, 2015",https://play.google.com/store/apps/details?id=com.luckyworld.stickerswhatsappemotion&reviewId=Z3A6QU9xcFRPRTlwN0gtVjZ5TGJxenNPOEFDTUxleHNEQl9VNTdWWVlEMmlRdW9XM3o2eVJtLXhFRU40R3EyMVBZaUxUZGlLLWkzMnk1OEpxSUJsWFNwQWc,4,,"Would not work on my Samsung 4. Very frustrating. I learned from another app. When you tap the emoticon, it saves to your picture gallery, you share it from there.  Better description, instruction on this app would be helpful.",undefined,undefined
gp:AOqpTOGGDLA31OIN0BIYvQZPGG1JAjVfdqx6qc8UVwtQX37oxvhTqwO5UZNBpiiZ3sZZQnM32eFHzwUwNqnLNQ,Diana Martin,https://lh5.googleusercontent.com/-HL_9gHdmlTU/AAAAAAAAAAI/AAAAAAAACDI/Mw7e7jghoGE/w96-h96-p/photo.jpg,"August 10, 2016",https://play.google.com/store/apps/details?id=com.luckyworld.stickerswhatsappemotion&reviewId=Z3A6QU9xcFRPR0dETEEzMU9JTjBCSVl2UVpQR0cxSkFqVmZkcXg2cWM4VVZ3dFFYMzdveHZoVHF3TzVVWk5CcGlpWjNzWlpRbk0zMmVGSHp3VXdOcW5MTlE,1,Wth?,"Wth? Love the emojis but can't share them. It's not a mispelling error, the stupid button doesn't work! I'm uninstalling it now.",undefined,undefined
gp:AOqpTOFc9dMalXA0WWlde8EfRmc0baHVV_ntFovMor9TZxpy1ekAl-nKrdxFEcyjPFgRjYjlm9SlbiDJwCe1UQ,Miss W,https://lh4.googleusercontent.com/-hlo6XR7nHVg/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVW6vqdwGQCQuIFprsKqO_fGQs4Zw/w96-h96-p/photo.jpg,"December 14, 2015",https://play.google.com/store/apps/details?id=com.luckyworld.stickerswhatsappemotion&reviewId=Z3A6QU9xcFRPRmM5ZE1hbFhBMFdXbGRlOEVmUm1jMGJhSFZWX250Rm92TW9yOVRaeHB5MWVrQWwtbktyZHhGRWN5alBGZ1JqWWpsbTlTbGJpREp3Q2UxVVE,1,No Tab to share,No Tab to share Very cute but there's no share button at all. If there is no share button this app is pretty much worthless.,undefined,undefined
gp:AOqpTOFg4yd0toUOqGGNMXY3Gag5yv_FYaK14XkoSNdjaj1XWAii5PTgUBf65FnjN-POMtxB47rbqQxKc-tD5A,Debi Bertran,https://lh4.googleusercontent.com/-82aAGBaZoOs/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjV9aYx7AfXQrUxnAf1TT4_4au7QBA/w96-h96-p/photo.jpg,"January 26, 2016",https://play.google.com/store/apps/details?id=com.luckyworld.stickerswhatsappemotion&reviewId=Z3A6QU9xcFRPRmc0eWQwdG9VT3FHR05NWFkzR2FnNXl2X0ZZYUsxNFhrb1NOZGphajFYV0FpaTVQVGdVQmY2NUZuak4tUE9NdHhCNDdyYnFReEtjLXRENUE,2,Loved the stickers,Loved the stickers There was no tab button when I held down on a sticker.  I was bummed that it didn't work for my Samsung Galaxy S4 tablet.,undefined,undefined
gp:AOqpTOGpnUG7KVLOivQcuO34zyFzxSK0BU_1bizp-MDWr7BJsDlD2-FUFoQhA2W60TEuGuvOlIfHZa4IymXlgg,Robert Butler,https://lh3.googleusercontent.com/-tmDR3COnRhc/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVgIKUDe4pc0OhhfIhYfJEDQwAn-Q/w96-h96-p/photo.jpg,"December 11, 2015",https://play.google.com/store/apps/details?id=com.luckyworld.stickerswhatsappemotion&reviewId=Z3A6QU9xcFRPR3BuVUc3S1ZMT2l2UWN1TzM0enlGenhTSzBCVV8xYml6cC1NRFdyN0JKc0RsRDItRlVGb1FoQTJXNjBURXVHdXZPbElmSFphNEl5bVhsZ2c,1,,This app doesnt work. There is no share button. To share them. Disappointed.,undefined,undefined
gp:AOqpTOFge41NDsJ-xhOysGccTak0dw-BtQ9TiB0_RCFBqN9ITunMgU55w_TNuZAhUJvwTGPdjLTQ9cQlrxZVMw,Carlton691,https://lh4.googleusercontent.com/-Eu0vWEChlnE/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUY1uPEgcbR6Y6T3Gfq8XfupztSZQ/w96-h96-p/photo.jpg,"August 12, 2015",https://play.google.com/store/apps/details?id=com.luckyworld.stickerswhatsappemotion&reviewId=Z3A6QU9xcFRPRmdlNDFORHNKLXhoT3lzR2NjVGFrMGR3LUJ0UTlUaUIwX1JDRkJxTjlJVHVuTWdVNTV3X1ROdVpBaFVKdndUR1BkakxUUTljUWxyeFpWTXc,2,,Until the images called Emoji's are set in the text input box as with the standard Emoji's then the images in this app can not be considered Emoji's... Rather than pictures with a message tacked On... :^(,undefined,undefined
