id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOECujPH3APbbqAb72zdS6J_1-rovOnC-uchRKodxVVCjDeiLcxKqJCISXrjoeK6Yu4xIDyYY_6VdaRWvA,kr khan,https://lh4.googleusercontent.com/-ZeOvBlvVljw/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjWmiNBIeXHENyHx1pWH_KFKksjwFA/w96-h96-p/photo.jpg,"January 25, 2018",https://play.google.com/store/apps/details?id=com.fotoable.emojikeyboard&reviewId=Z3A6QU9xcFRPRUN1alBIM0FQYmJxQWI3MnpkUzZKXzEtcm92T25DLXVjaFJLb2R4VlZDakRlaUxjeEtxSkNJU1hyam9lSzZZdTR4SUR5WVlfNlZkYVJXdkE,5,,Love it because it is smooth and easy to use without any ads. I reinstall it after reset my handset.,undefined,undefined
gp:AOqpTOHUOHXc0Nb2LXTrcmDZHGAokGaxLlOhSe19RnSprRnAygATgSbbiVt6LXKbNhDTI1gujpqsvGs0nhweRA,Anissa Ani,https://lh3.googleusercontent.com/-k2uXcEusBvw/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjWL7LNU636Pmg5ciNh4XhKcFWnJRA/w96-h96-p/photo.jpg,"January 28, 2018",https://play.google.com/store/apps/details?id=com.fotoable.emojikeyboard&reviewId=Z3A6QU9xcFRPSFVPSFhjME5iMkxYVHJjbURaSEdBb2tHYXhMbE9oU2UxOVJuU3ByUm5BeWdBVGdTYmJpVnQ2TFhLYk5oRFRJMWd1anBxc3ZHczBuaHdlUkE,3,,I really like it but you can't turn the auto correction off 😕  Please fix that,undefined,undefined
gp:AOqpTOEdbaLYxZLr2ceVjVQ6-EFBhoYJ-Huijtau5ZwZHXVy733auDIEwKtWgrT0Fh66XJHEtymK7xDCtEMHLQ,,https://lh5.googleusercontent.com/-kTRJ_86JUx0/AAAAAAAAAAI/AAAAAAAAAAA/lVOQYj_gMIg/w96-h96-p/photo.jpg,"January 23, 2018",https://play.google.com/store/apps/details?id=com.fotoable.emojikeyboard&reviewId=Z3A6QU9xcFRPRWRiYUxZeFpMcjJjZVZqVlE2LUVGQmhvWUotSHVpanRhdTVad1pIWFZ5NzMzYXVESUV3S3RXZ3JUMEZoNjZYSkhFdHltSzd4REN0RU1ITFE,5,,Very nice app! Best ever,undefined,undefined
gp:AOqpTOHlWSHGhAiPvIjbFjTnzM5sHBRtBQYI7CorkJ3SFnuKkloX47DBBxMMJ9RxNcTAGe-x9bw2JjgkEwFjLg,,https://lh5.googleusercontent.com/-dB_NStdjLcE/AAAAAAAAAAI/AAAAAAAAAAA/02UpqfZSwTY/w96-h96-p/photo.jpg,"February 3, 2018",https://play.google.com/store/apps/details?id=com.fotoable.emojikeyboard&reviewId=Z3A6QU9xcFRPSGxXU0hHaEFpUHZJamJGalRuek01c0hCUnRCUVlJN0NvcmtKM1NGbnVLa2xvWDQ3REJCeE1NSjlSeE5jVEFHZS14OWJ3MkpqZ2tFd0ZqTGc,5,,I really love this App,undefined,undefined
gp:AOqpTOEbXfkiqYE8y9ffRA6ciZTZkQZaZ6iTFwuae1UmwPlkSZlq6yF7auf_xVE1uVLG-rVub5wF4XppodBhPQ,euis devi y,https://lh6.googleusercontent.com/-ai9QhKVrfGg/AAAAAAAAAAI/AAAAAAAAAIY/AWpp4aBT6tE/w96-h96-p/photo.jpg,"January 25, 2018",https://play.google.com/store/apps/details?id=com.fotoable.emojikeyboard&reviewId=Z3A6QU9xcFRPRWJYZmtpcVlFOHk5ZmZSQTZjaVpUWmtRWmFaNmlURnd1YWUxVW13UGxrU1pscTZ5RjdhdWZfeFZFMXVWTEctclZ1YjV3RjRYcHBvZEJoUFE,5,,"So easy to wear it, love 😊",undefined,undefined
gp:AOqpTOHStsEYxQzkqY5w6uOXPH3l0tLFT7IlDTPN0s3j5QZPLa-KejHrhTVJnUycOTBP-uY9CJvpp8A5JmLpmw,,https://lh6.googleusercontent.com/-OE1xFA1W8G8/AAAAAAAAAAI/AAAAAAAAAAo/s7_X36CbJlI/w96-h96-p/photo.jpg,"January 28, 2018",https://play.google.com/store/apps/details?id=com.fotoable.emojikeyboard&reviewId=Z3A6QU9xcFRPSFN0c0VZeFF6a3FZNXc2dU9YUEgzbDB0TEZUN0lsRFRQTjBzM2o1UVpQTGEtS2VqSHJoVFZKblV5Y09UQlAtdVk5Q0p2cHA4QTVKbUxwbXc,5,,I really liked it and am loving it,undefined,undefined
gp:AOqpTOEWR6tROEjV1SUuQv-CuVmC3HNYU-zYl_DzmddpB7X3LyaTBRyYXmd73mlduMhUZlTkC4fhMVBmSB4nfA,,https://lh6.googleusercontent.com/-gUIyVb-5g8w/AAAAAAAAAAI/AAAAAAAAAAA/hpedEG7-3F8/w96-h96-p/photo.jpg,"January 26, 2018",https://play.google.com/store/apps/details?id=com.fotoable.emojikeyboard&reviewId=Z3A6QU9xcFRPRVdSNnRST0VqVjFTVXVRdi1DdVZtQzNITllVLXpZbF9Eem1kZHBCN1gzTHlhVEJSeVlYbWQ3M21sZHVNaFVabFRrQzRmaE1WQm1TQjRuZkE,5,,Nysh,undefined,undefined
gp:AOqpTOEFP0Pvk5-roG-HnYyuOM_lIBpdBuRQCz0Cf4AqSV1qTXj4M5Spxg9a_WfV6jrmI5XDiShkkWVlU1vfsg,Darren Rivera,https://lh6.googleusercontent.com/-syJnYRVkvoY/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjW1zJpLnkj2cofSjSN-9V1OcsJ1kA/w96-h96-p/photo.jpg,"January 9, 2018",https://play.google.com/store/apps/details?id=com.fotoable.emojikeyboard&reviewId=Z3A6QU9xcFRPRUZQMFB2azUtcm9HLUhuWXl1T01fbElCcGRCdVJRQ3owQ2Y0QXFTVjFxVFhqNE01U3B4ZzlhX1dmVjZqcm1JNVhEaVNoa2tXVmxVMXZmc2c,4,,I like the emoji keyboard. It has a lot to offer.Best one I've tried,undefined,undefined
gp:AOqpTOHKajf_iCBI99M2fKYNc7Bz3EmgTC14ArbDcPKkMPUl_JyOVcjUx0hnIV1PLqfnExcyUZp5dYsa32AwFg,,https://lh4.googleusercontent.com/-Y1MLNAUGvow/AAAAAAAAAAI/AAAAAAAAAAA/kHfD1gMP6Pg/w96-h96-p/photo.jpg,"January 15, 2018",https://play.google.com/store/apps/details?id=com.fotoable.emojikeyboard&reviewId=Z3A6QU9xcFRPSEthamZfaUNCSTk5TTJmS1lOYzdCejNFbWdUQzE0QXJiRGNQS2tNUFVsX0p5T1ZjalV4MGhuSVYxUExxZm5FeGN5VVpwNWRZc2EzMkF3Rmc,5,,Its absolutely good n best for impressive typing ..,undefined,undefined
gp:AOqpTOHcFVhu-nf5N5VR9GWWpt2AyB5aXW-bHL5Tp-5seRgiqX8ZyP7LZHe3D8JbmZJ7TEAXQFYkZsZ2yY7rdw,,https://lh4.googleusercontent.com/-3pzqwJ0_XQw/AAAAAAAAAAI/AAAAAAAAAAA/dxFyRJH8zHQ/w96-h96-p/photo.jpg,"January 8, 2018",https://play.google.com/store/apps/details?id=com.fotoable.emojikeyboard&reviewId=Z3A6QU9xcFRPSGNGVmh1LW5mNU41VlI5R1dXcHQyQXlCNWFYVy1iSEw1VHAtNXNlUmdpcVg4WnlQN0xaSGUzRDhKYm1aSjdURUFYUUZZa1pzWjJ5WTdyZHc,5,,Its better than my expectation,undefined,undefined
