id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOHJzUZx3-uNa0l2cc4imCq3A5Gy2JKFLnXLTwj63bKPcPsWz6RZ6P7nASeKmDtLDrVob4LhKEp7MurnsA,,https://lh5.googleusercontent.com/-y96iHlG10m4/AAAAAAAAAAI/AAAAAAAAAAg/ii250dR7Ev0/w96-h96-p/photo.jpg,"February 4, 2018",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPSEp6VVp4My11TmEwbDJjYzRpbUNxM0E1R3kySktGTG5YTFR3ajYzYktQY1BzV3o2Ulo2UDduQVNlS21EdExEclZvYjRMaEtFcDdNdXJuc0E,3,,Giving a 3 cause they asked me so fast I have only been on the app for less than 5 mins with this aside i was really enjoying it this far so after i use the app for a few days I'll come back and give a more informed decision.,"February 5, 2018",Thanks :)
gp:AOqpTOHsEKiTNNo9K1reneM8JpT9M9IZlSHeNaTgJgVg31ytYDl6gPbeyNdHShzYtvPE5MnANJQQkrUztPMWJA,Time Fourty,https://lh6.googleusercontent.com/-Dieg22o9dRg/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjXCMMIJftd_E6WcGQ7cFyq0eIuzPA/w96-h96-p/photo.jpg,"February 1, 2018",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPSHNFS2lUTk5vOUsxcmVuZU04SnBUOU05SVpsU0hlTmFUZ0pnVmczMXl0WURsNmdQYmV5TmRIU2h6WXR2UEU1TW5BTkpRUWtyVXp0UE1XSkE,5,,It helps me to change my current thoughts to something more positive.  I have at time obsessive thinking this app helps me to redirect my thoughts.  I may not agree with everything about the information this sight has to offer. It sure does have a good benefit to change thinking from a negative loop to another more positive direction.  My experience so far.,"February 1, 2018",Thanks for feedback :)
gp:AOqpTOE5PS5D_Zp00ET5r-YE9luoL27gEyMMJVfegMkhrz4n3xcckylbr3f39A5hE_7L7INTFIotFNStwYTinA,,https://lh5.googleusercontent.com/-5_jSjGufEpc/AAAAAAAAAAI/AAAAAAAAAAA/_V_b0Y-zvi8/w96-h96-p/photo.jpg,"January 3, 2018",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPRTVQUzVEX1pwMDBFVDVyLVlFOWx1b0wyN2dFeU1NSlZmZWdNa2hyejRuM3hjY2t5bGJyM2YzOUE1aEVfN0w3SU5URklvdEZOU3R3WVRpbkE,3,,I took some of the quizzes. I chose the correct answer it even puts your answer next to the correct one. 2x it told me I was wrong when I was CLEARLY correct! Had fun until this nonsense! Now I'm uninstalling it!,"January 3, 2018","Thanks for feedback, we'll correct that :)"
gp:AOqpTOH33Qxh6XGxye-l1VZDEy2FnP6w5wHv8Ld727zlkea53mkKhCc5Ulg71LXBDK5xav0jz8fFm8qFxUbDAg,Michael Blunck,https://lh4.googleusercontent.com/-hdUm5cntsCU/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjWSzdwmyQ9VujJhE5IrIgdtPd04yg/w96-h96-p/photo.jpg,"January 7, 2018",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPSDMzUXhoNlhHeHllLWwxVlpERXkyRm5QNnc1d0h2OExkNzI3emxrZWE1M21rS2hDYzVVbGc3MUxYQkRLNXhhdjBqejhmRm04cUZ4VWJEQWc,2,,"This app was full of grammar and spelling errors that made it difficult to read and often broke the illusion of it being any kind of authoritative source. I was disappointed by this app as it looked pretty legit at first glance, but after reading through its ""learn"" section I felt like this app was more hooky than educational.","January 7, 2018",Thanks for feedback. We'll try to correct all grammar and spelling error in feature update.
gp:AOqpTOEVeAGZUTEjo427NyMaaUQUigY31D1q7x-j8eTU42-cNlVEqjzx9JB_f0PwIy5c1UqwPqS5X-RWJA79Kw,david paul,https://lh5.googleusercontent.com/-wNprtY9eSFk/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjWNMiNfVltQp-3MdT6VbjrXjA7_OA/w96-h96-p/photo.jpg,"January 28, 2018",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPRVZlQUdaVVRFam80MjdOeU1hYVVRVWlnWTMxRDFxN3gtajhlVFU0Mi1jTmxWRXFqeng5SkJfZjBQd0l5NWMxVXF3UHFTNVgtUldKQTc5S3c,3,,It's ok. I still think some humans need to die though. Nothing personal. Sometimes there are those who have nothing to contribute.,"January 28, 2018",Thanks :)
gp:AOqpTOG4EEoWr2VcF_MHnKXSR9vRg22xA-CJ9qCQFgCEO237-4466qeLDWoWNxiyMkFjTJY_CJqi97nUyRXtJw,Moe Ron,https://lh3.googleusercontent.com/-2g6r32sI83g/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUxIyHaSHTDlAQw7KWyYV5DqcG-tQ/w96-h96-p/photo.jpg,"December 18, 2017",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPRzRFRW9XcjJWY0ZfTUhuS1hTUjl2UmcyMnhBLUNKOXFDUUZnQ0VPMjM3LTQ0NjZxZUxEV29XTnhpeU1rRmpUSllfQ0pxaTk3blV5Ulh0Snc,5,,"I downloaded this app, in hopes of helping my own emotional wellbeing... not only did I find what I was looking for there, I am also able to help others because of this app!! Thanks for the help!!!","December 18, 2017",Thank you for feedback :)
gp:AOqpTOEUO8EZTxdRceCFcyc-LEo8csLznmu_I_01Gymtt4fYONMff7vasu3J6Vk5H_wd8ZiZ6PTNzov59cM0HA,Robert Montgomery,https://lh5.googleusercontent.com/-lr5TrYn04r0/AAAAAAAAAAI/AAAAAAAAAVA/WSGj_l15v0M/w96-h96-p/photo.jpg,"February 2, 2018",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPRVVPOEVaVHhkUmNlQ0ZjeWMtTEVvOGNzTHpubXVfSV8wMUd5bXR0NGZZT05NZmY3dmFzdTNKNlZrNUhfd2Q4WmlaNlBUTnpvdjU5Y00wSEE,2,,"Dear app makers, if you decide to encourage me to look at your app by using a little red circle with a number in it on your icon and there isn't a good reason for trying to gain my attention, I WILL UNINSTALL YOUR APP regardless as to how useful your app might be. Uninstalled.","February 4, 2018",We are fixed that issues in new release. Thanks for the feedback
gp:AOqpTOFj-cGp5m11OUL7_MVp-F9gIb_ktw2oouLFNbPNr-FacksTKADQMXZd6K9Smf6BRth2n4qPtYTwti5O_g,Zipporah Christian,https://lh5.googleusercontent.com/-zrjgkub8L7I/AAAAAAAAAAI/AAAAAAAAAOw/up3Tz2wQkTA/w96-h96-p/photo.jpg,"January 12, 2018",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPRmotY0dwNW0xMU9VTDdfTVZwLUY5Z0liX2t0dzJvb3VMRk5iUE5yLUZhY2tzVEtBRFFNWFpkNks5U21mNkJSdGgybjRxUHRZVHd0aTVPX2c,3,,I gave it three stars because I do not appreciate a new app ask me to rate it if I have not had the app for too long.,"January 12, 2018",Thanks for feedback and sorry for disturbing you.
gp:AOqpTOFuGVS7Fts05ERWMoFj70NAZHwfPI_Vxo6zU2876KXKSvY8tUyGfDx__B_OayUS82qORcN9vVz-elZtNw,Elizabeth Quinn,https://lh6.googleusercontent.com/-cTl7Z2q-4V0/AAAAAAAAAAI/AAAAAAAAAAw/0-k6Ij7ACsk/w96-h96-p/photo.jpg,"January 30, 2018",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPRnVHVlM3RnRzMDVFUldNb0ZqNzBOQVpId2ZQSV9WeG82elUyODc2S1hLU3ZZOHRVeUdmRHhfX0JfT2F5VVM4MnFPUmNOOXZWei1lbFp0Tnc,4,,News was the best part so far. Haven't used it very much because I haven't had it to long. Will use again.,"January 31, 2018",Thanks :)
gp:AOqpTOG-ZXqCc-z-YuaU4r3Ag8mHETA152PEb_BFiAB3v1pgaH_cH46utHffOkv55XD_wOqRptM97CLvkcS3Jg,Elaine Moore,https://lh3.googleusercontent.com/-_BhEoPZdPpM/AAAAAAAAAAI/AAAAAAAAANM/SXEYZRV7VFg/w96-h96-p/photo.jpg,"December 23, 2017",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPRy1aWHFDYy16LVl1YVU0cjNBZzhtSEVUQTE1MlBFYl9CRmlBQjN2MXBnYUhfY0g0NnV0SGZmT2t2NTVYRF93T3FScHRNOTdDTHZrY1MzSmc,5,,"It's very useful to facilitate growth since EI isn't fixed as IQ..is, I find it interesting to say the least and something one can work with ongoing...","December 23, 2017",Thanks :)
gp:AOqpTOFwvczKFypT1hET6cpey0yuD1PaQn57Kzba933HcIu0rrwjha4WWoYy1-vOqULSrdhBvIWorNMHSS5mRA,Muzi Mollson,https://lh6.googleusercontent.com/-0Jhvc5Tzk2g/AAAAAAAAAAI/AAAAAAAAAag/jg0dHl6K7B0/w96-h96-p/photo.jpg,"December 30, 2017",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPRnd2Y3pLRnlwVDFoRVQ2Y3BleTB5dUQxUGFRbjU3S3piYTkzM0hjSXUwcnJ3amhhNFdXb1l5MS12T3FVTFNyZGhCdklXb3JOTUhTUzVtUkE,5,,"Great app. Not only did I find insightful knowledge, I also found the quiz and logical reasoning exercises very helpful. Would definitely recommend this app to my team.","December 30, 2017",Thanks :)
gp:AOqpTOEN2zrsm8RUweV6PeEU2lzX6IkjF9qA52j1NxA3WVIaJoRAQrDvssIcnyK38GZW2_ZTf4mFs3Q0b6rk9w,princess Zantsi,https://lh5.googleusercontent.com/-Dy9_cWlRmYw/AAAAAAAAAAI/AAAAAAAAAGs/1ErQ04kfNGA/w96-h96-p/photo.jpg,"January 17, 2018",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPRU4yenJzbThSVXdlVjZQZUVVMmx6WDZJa2pGOXFBNTJqMU54QTNXVklhSm9SQVFyRHZzc0ljbnlLMzhHWlcyX1pUZjRtRnMzUTBiNnJrOXc,5,,An awesome App!!!!  We need more of these apps. would be nice if you would add more of how one can take the path to improve their emotional intelligence. Everything proper guys 👏👏👏,"January 17, 2018","Thanks, we will in future update :)"
gp:AOqpTOFt56vnU8QzV3RzTWtnNlY6Boj9Cwsz2t7TUhnmdS9fx0bTMWthEphZAfyMYmUThGfxU5XEMLmww4WHtg,spookyplay,https://lh3.googleusercontent.com/-wKHVfIwCg7o/AAAAAAAAAAI/AAAAAAAAKeA/KKQWoGgJx_A/w96-h96-p/photo.jpg,"January 21, 2018",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPRnQ1NnZuVThRelYzUnpUV3RuTmxZNkJvajlDd3N6MnQ3VFVobm1kUzlmeDBiVE1XdGhFcGhaQWZ5TVltVVRoR2Z4VTVYRU1MbXd3NFdIdGc,5,,I really enjoy the exercises they have to improve memory and IQ. This is a truly beautiful app well designed to give you amazing tools for success. I recommend it 💯,"January 21, 2018",Thanks :)
gp:AOqpTOGD_AM2KP_U74ICNKH8nuiS2yKQjliP1fcYncRqYNRb_LpVYkeowdRJlo0zgpBiPolj0RnVkLNgJpQgrw,Stephen Moore,https://lh6.googleusercontent.com/-tpptN0u3t2Q/AAAAAAAAAAI/AAAAAAAAACo/mrfrCHFadLs/w96-h96-p/photo.jpg,"January 18, 2018",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPR0RfQU0yS1BfVTc0SUNOS0g4bnVpUzJ5S1FqbGlQMWZjWW5jUnFZTlJiX0xwVllrZW93ZFJKbG8wemdwQmlQb2xqMFJuVmtMTmdKcFFncnc,4,,Good app with beautiful content and wealth of information. Spelling and grammatical errors takes away from the content but overall nice app.,"January 19, 2018","Thanks, we'll fix that in future release :)"
gp:AOqpTOG2jwBiNuiP3PzkZnsrSRgYyFgcWGNly_n9ATAbMMvwdDYugotkJpDuE6D4dPVQCaUQIhSCWxD8g57VNQ,,https://lh3.googleusercontent.com/-55O9Ru6eUb8/AAAAAAAAAAI/AAAAAAAAAAA/jRrtfANMoQ4/w96-h96-p/photo.jpg,"January 11, 2018",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPRzJqd0JpTnVpUDNQemtabnNyU1JnWXlGZ2NXR05seV9uOUFUQWJNTXZ3ZERZdWdvdGtKcER1RTZENGRQVlFDYVVRSWhTQ1d4RDhnNTdWTlE,2,,"""Connection to the server was unsuccessful""  error message when i try to open app.","January 11, 2018","May you have check Internet connection, or try downloading app again."
gp:AOqpTOGdRJX3dT3-mFewcP1RbGUE7G1kIR6DpjPUlKuijC12wq6PWkuWtfiPuN0WIja43U41yYQdHASn_BWwXw,Richelle Buckingham,https://lh6.googleusercontent.com/-6uMwq4aVOEE/AAAAAAAAAAI/AAAAAAAACk0/hwVpLj2Apus/w96-h96-p/photo.jpg,"January 8, 2018",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPR2RSSlgzZFQzLW1GZXdjUDFSYkdVRTdHMWtJUjZEcGpQVWxLdWlqQzEyd3E2UFdrdVd0ZmlQdU4wV0lqYTQzVTQxeVlRZEhBU25fQld3WHc,5,,"Just got it.. so far I like how it challenges me and it has a nice, easy format.. looks good","January 8, 2018",Thanks :)
gp:AOqpTOFmR4bZ4SJ6FRswcvBFM4LjK4-6z_HVVq02U67PkwY2fGndQTTwP7-u9Kk36wPWj9ya2MFCThFTp7zFBA,,https://lh3.googleusercontent.com/-pz0dqQhpz6M/AAAAAAAAAAI/AAAAAAAAAAA/jGLZJfWQO0w/w96-h96-p/photo.jpg,"January 17, 2018",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPRm1SNGJaNFNKNkZSc3djdkJGTTRMaks0LTZ6X0hWVnEwMlU2N1Brd1kyZkduZFFUVHdQNy11OUtrMzZ3UFdqOXlhMk1GQ1RoRlRwN3pGQkE,5,,This product is applicable inside its very name as well as it is now included in all of my days.,"January 17, 2018",Thanks :)
gp:AOqpTOGRPd_w8AtNgAAadFwWwpZE-07vMv7laRojf4OVpaJ7OdLPOtuCmiMIpAdTSPt6eo-R3gDitFHRwyfFMg,Timothy Grossman,https://lh4.googleusercontent.com/-1GPKfHvP1D4/AAAAAAAAAAI/AAAAAAAAM7w/nuiyYhwluW4/w96-h96-p/photo.jpg,"December 31, 2017",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPR1JQZF93OEF0TmdBQWFkRndXd3BaRS0wN3ZNdjdsYVJvamY0T1ZwYUo3T2RMUE90dUNtaU1JcEFkVFNQdDZlby1SM2dEaXRGSFJ3eWZGTWc,5,,I look at this app on a daily or weekly basis great information here and I love using it thanks so much!,"December 31, 2017",Thank you :)
gp:AOqpTOFdKPzrNHt1YLmXmIEdUgDhs_e6T2nK7XzUtE6J7Kru8DHlyL45-Mh1zpsagfetPTZA4Ea0QPxG2jOk1Q,Ride,https://lh6.googleusercontent.com/-VO4mjgL6IJ4/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUOXwlsKoE96ta8HNLWOkiAV4zZLQ/w96-h96-p/photo.jpg,"December 25, 2017",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPRmRLUHpyTkh0MVlMbVhtSUVkVWdEaHNfZTZUMm5LN1h6VXRFNko3S3J1OERIbHlMNDUtTWgxenBzYWdmZXRQVFpBNEVhMFFQeEcyak9rMVE,5,,. It has helped me out quite a bit very useful very good app to have on your phone,"December 25, 2017",Thanks :)
gp:AOqpTOE1qhXTTArdqlWn3k1_n6STSCDsUU2ATbcfUWfX6LVKw7xyFDtjC6AFuaXKsMPdjp79x-RfUTEOcQRpWA,,https://lh5.googleusercontent.com/-pe1cPMgQdj4/AAAAAAAAAAI/AAAAAAAAAAA/DsWFUX7dI0s/w96-h96-p/photo.jpg,"February 2, 2018",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPRTFxaFhUVEFyZHFsV24zazFfbjZTVFNDRHNVVTJBVGJjZlVXZlg2TFZLdzd4eUZEdGpDNkFGdWFYS3NNUGRqcDc5eC1SZlVURU9jUVJwV0E,5,,"Useful, informative and well structured. Games and quizzes are great for personal improvement and keeping track of progress.","February 2, 2018",Thanks :)
gp:AOqpTOHzF_I-0u6w9dHnKzs6ALuklNhNT4yg6u21OTo6ifE1JueOZcLY_hA5WxM8YUEptrUoiXqfy8n5aT6FkA,deuron ntshingila,https://lh3.googleusercontent.com/-ODCZPwhBQgA/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjX7jJsR9Hd7FsumeaEbLOJB8_Fp5g/w96-h96-p/photo.jpg,"December 29, 2017",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPSHpGX0ktMHU2dzlkSG5LenM2QUx1a2xOaE5UNHlnNnUyMU9UbzZpZkUxSnVlT1pjTFlfaEE1V3hNOFlVRXB0clVvaVhxZnk4bjVhVDZGa0E,5,,It has a lot of interesting information and is enlightening if you are a person who is fascinated by the human mind,"December 29, 2017",Thanks :)
gp:AOqpTOHXOaN0GW4hf1L5eZcZDEML_ECVt8-7whbziucOv_QYGPSPu3dwc2dYVcVF_2qN8Va-kHPT6l6otngIiQ,christelle nassour,https://lh5.googleusercontent.com/-cipRrzY_2h8/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjXaTtkxQLb81ug6oX2apRVWQFtMuQ/w96-h96-p/photo.jpg,"January 4, 2018",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPSFhPYU4wR1c0aGYxTDVlWmNaREVNTF9FQ1Z0OC03d2hieml1Y092X1FZR1BTUHUzZHdjMmRZVmNWRl8ycU44VmEta0hQVDZsNm90bmdJaVE,5,,"It develops mental health which "" is the most important factor in the perception of one's happiness "" .","January 4, 2018",Thanks :)
gp:AOqpTOFWmgq0g_zC589QN4cap_ascVmgRRZZAQP0PeiLQR5TBLUboJv2KVTl1fDrWMW9k60qHHvXD4ayUoctaw,,https://lh5.googleusercontent.com/-7ak2gsd3Q6k/AAAAAAAAAAI/AAAAAAAAAAg/dAoj93W8WV0/w96-h96-p/photo.jpg,"December 25, 2017",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPRldtZ3EwZ196QzU4OVFONGNhcF9hc2NWbWdSUlpaQVFQMFBlaUxRUjVUQkxVYm9KdjJLVlRsMWZEcldNVzlrNjBxSEh2WEQ0YXlVb2N0YXc,3,,Plz don't have much expectations from this app,"December 26, 2017",Thanks :)
gp:AOqpTOF_8qAd-BltlSOowBkXKHuKc-kurt4D4uHWbPpvTcKA6U4AsSAC_frcPaPfwVlm3MU6lTe67zygP-dZ_A,Swig Playa,https://lh6.googleusercontent.com/-oWExqiv5YVM/AAAAAAAAAAI/AAAAAAAAB2o/CdDOu0V9LSc/w96-h96-p/photo.jpg,"January 1, 2018",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPRl84cUFkLUJsdGxTT293QmtYS0h1S2Mta3VydDRENHVIV2JQcHZUY0tBNlU0QXNTQUNfZnJjUGFQZndWbG0zTVU2bFRlNjd6eWdQLWRaX0E,5,Best ways for development,Best ways for development THIS APP ALLOWED ME TO DEVELOP MY INTELLIGGENCE I LIKE IT VERY MUCH,"January 2, 2018",Thanks :)
gp:AOqpTOFvLwH7a23pztBGGs52bebDrmWjwf3sJnWULZ1ob3sSIajkLtI_Fvd6tNB_5wpbAOr41681mjHZFRx-Hw,Ebony Wilmer,https://lh6.googleusercontent.com/-smpGA2j4zvQ/AAAAAAAAAAI/AAAAAAAAATU/jcsPKSFKWgc/w96-h96-p/photo.jpg,"January 1, 2018",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPRnZMd0g3YTIzcHp0QkdHczUyYmViRHJtV2p3ZjNzSm5XVUxaMW9iM3NTSWFqa0x0SV9GdmQ2dE5CXzV3cGJBT3I0MTY4MW1qSFpGUngtSHc,5,,Super interaction. Alot of reading but lessons learned are valuable. Use it or lose it.,"January 1, 2018",Thanks :)
gp:AOqpTOGo007lizw1bSHNu3qLE0U7E0dSMpd39x5zVXoSOySTmv_KYxHsMB82wD9ULQQ4eltjFSPaosG6RjrK9g,Ignatius Bambang Sukarno Hatta,https://lh4.googleusercontent.com/-Z5wzCwCRq6s/AAAAAAAAAAI/AAAAAAAAAFw/qm3GjpwUUco/w96-h96-p/photo.jpg,"December 23, 2017",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPR28wMDdsaXp3MWJTSE51M3FMRTBVN0UwZFNNcGQzOXg1elZYb1NPeVNUbXZfS1l4SHNNQjgyd0Q5VUxRUTRlbHRqRlNQYW9zRzZSanJLOWc,5,,A good aplication for every one to learn & know about what is emotional intelligence. Comprehensive!,"December 23, 2017",Thanks :)
gp:AOqpTOGad5znIy01GUqC9txCW6i1Okafn4GAxgFnscxkPzeDJS7fWx2o7spPxDuRoyO9IG75ngojzXzjeynaCA,,https://lh3.googleusercontent.com/-YVSwWTFMzqE/AAAAAAAAAAI/AAAAAAAAAAA/H0vZSIGwkCY/w96-h96-p/photo.jpg,"January 3, 2018",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPR2FkNXpuSXkwMUdVcUM5dHhDVzZpMU9rYWZuNEdBeGdGbnNjeGtQemVESlM3Zld4Mm83c3BQeER1Um95TzlJRzc1bmdvanpYempleW5hQ0E,5,,Ya it is an interesting app fr psychological understanding.. I found it useful..it also retains interest..,"January 3, 2018",Thanks :)
gp:AOqpTOHLH2DtGUzNx6kcKGe0ElR2TZUyRDNFted3T67ZiOvrOvJrHJnL3SdYxfXpCwUPSJ2Lf0nHoIoZWa1XpA,Lisa Beckner,https://lh6.googleusercontent.com/-u07Ai4wm6wY/AAAAAAAAAAI/AAAAAAAAFuM/3ohTF3HnVK4/w96-h96-p/photo.jpg,"December 20, 2017",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPSExIMkR0R1V6Tng2a2NLR2UwRWxSMlRaVXlSRE5GdGVkM1Q2N1ppT3ZyT3ZKckhKbkwzU2RZeGZYcEN3VVBTSjJMZjBuSG9Jb1pXYTFYcEE,5,,"Just downloaded it last night, so far I really enjoy it.","December 20, 2017",Thanks :)
gp:AOqpTOGL9fF9lrHe2TxU6p8zRWbxFCY9Qm39yYyXXlF_CD6AWy_kmQadPMqQHcx4d8RelKeYUCcc6Wp86dVujQ,mohammed barakat,https://lh5.googleusercontent.com/-nDJpLxTfLhM/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjWuSmb6cKe62fdqZjaQWNv1KaU93g/w96-h96-p/photo.jpg,"January 22, 2018",https://play.google.com/store/apps/details?id=com.seasector.emotionalintelligence&reviewId=Z3A6QU9xcFRPR0w5ZkY5bHJIZTJUeFU2cDh6UldieEZDWTlRbTM5eVl5WFhsRl9DRDZBV3lfa21RYWRQTXFRSGN4NGQ4UmVsS2VZVUNjYzZXcDg2ZFZ1alE,5,,It really adds.,"January 22, 2018",Thanks :)
