id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOGLj5gNrDgZV0CQXCJnb7VZE4i3zmTHioLGa1ldG-xI1TEK-qq25-hD_9oUqE1xh_YOPv4ukK7cc_w57Xo,Ganel-Lyn Condie,https://lh3.googleusercontent.com/-wr8ipmNTLq4/AAAAAAAAAAI/AAAAAAAABJI/i1-GmgF8Avo/w96-h96-p/photo.jpg,"October 12, 2017",https://play.google.com/store/apps/details?id=com.ionicframework.myapp930596&reviewId=Z3A6QU9xcFRPR0xqNWdOckRnWlYwQ1FYQ0puYjdWWkU0aTN6bVRIaW9MR2ExbGRHLXhJMVRFSy1xcTI1LWhEXzlvVXFFMXhoX1lPUHY0dWtLN2NjX3c1N1hv,5,,"I highly recommend adding this tool to your TOOL BOX. It is clear, easy to use, and helpful when someone isn't CLEAR.",undefined,undefined
gp:AOqpTOEAxJdD5TsD7gdk9zwswgogNdwCGqAFOl_cefN-xDhzq7tfhSHDEGugqXhk9xO8g-sMUISexEdcBIRHy7w,Trisha Grinnell,https://lh6.googleusercontent.com/-Ht61X5sztqs/AAAAAAAAAAI/AAAAAAAAAF8/TZ3FgGjmvp8/w96-h96-p/photo.jpg,"January 13, 2018",https://play.google.com/store/apps/details?id=com.ionicframework.myapp930596&reviewId=Z3A6QU9xcFRPRUF4SmRENVRzRDdnZGs5endzd2dvZ05kd0NHcUFGT2xfY2VmTi14RGh6cTd0ZmhTSERFR3VncVhoazl4TzhnLXNNVUlTZXhFZGNCSVJIeTd3,5,,Love this app! Very helpful and easy to use. Thank you!,undefined,undefined
gp:AOqpTOGyso5bOYODzUehTHcmRSaOxO_uRhayOMtvmp6TintQ1pEni7QmdB5nix4x6N1BflJtrNL91ip1FJxBAcM,Vicky Hopper,https://lh3.googleusercontent.com/-dQtJsgg9i-E/AAAAAAAAAAI/AAAAAAAAFV4/uuZBu5TOF7E/w96-h96-p/photo.jpg,"June 18, 2017",https://play.google.com/store/apps/details?id=com.ionicframework.myapp930596&reviewId=Z3A6QU9xcFRPR3lzbzViT1lPRHpVZWhUSGNtUlNhT3hPX3VSaGF5T010dm1wNlRpbnRRMXBFbmk3UW1kQjVuaXg0eDZOMUJmbEp0ck5MOTFpcDFGSnhCQWNN,3,,I wish the body parts showed what essential oils to use when there are issues with that part of the body. Otherwise it's really helpful.,"January 13, 2018","Great thought Vicky! If you click on the emotion you are feeling most in that body part, it will list oils to use and how to apply. :)"
gp:AOqpTOH_sXNredUJAWkVM1mS0ogLef0HeTI8S-SS4pIE9b3SBUn4m9cDTywCVB-rSg3UXhkK878VqESN2MlT0GE,Melanie H,https://lh6.googleusercontent.com/-moqG2Kistjg/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVddtIyYCeSKyI-BHPBgWmXEPrwIw/w96-h96-p/photo.jpg,"September 24, 2017",https://play.google.com/store/apps/details?id=com.ionicframework.myapp930596&reviewId=Z3A6QU9xcFRPSF9zWE5yZWRVSkFXa1ZNMW1TMG9nTGVmMEhlVEk4Uy1TUzRwSUU5YjNTQlVuNG05Y0RUeXdDVkItclNnM1VYaGtLODc4VnFFU04yTWxUMEdF,4,,Love using the app. When will the new oils be added though?,"January 13, 2018",They are all updated! Plus over 50 positive emotions and new body parts to reference. Wahoo!
gp:AOqpTOE3a16LcWRTxvFL41YBLDJEZ46X3RAaIlVPiEIiKns16R0bH9hUqoSUa785bjaetWbqRQh02oubhBx4ExA,Lisa Pilkington,https://lh3.googleusercontent.com/-c1yH7mHrJ28/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjV_0uAypF7xMy54VUU6l3KAOpJn1g/w96-h96-p/photo.jpg,"May 25, 2017",https://play.google.com/store/apps/details?id=com.ionicframework.myapp930596&reviewId=Z3A6QU9xcFRPRTNhMTZMY1dSVHh2Rkw0MVlCTERKRVo0NlgzUkFhSWxWUGlFSWlLbnMxNlIwYkg5aFVxb1NVYTc4NWJqYWV0V2JxUlFoMDJvdWJoQng0RXhB,5,,Love this app!,undefined,undefined
gp:AOqpTOH_2A-LW1rqIC_Zl3yqe5aze2niWffA0zj8NdXKWp_zFYPVgYendqyAuXjehU-pQ3mbo3-6CaL9J2mlCb0,Tracey Dominick,https://lh5.googleusercontent.com/-qmm1WElXR_g/AAAAAAAAAAI/AAAAAAAABQM/UWXMx7fe28I/w96-h96-p/photo.jpg,"October 8, 2016",https://play.google.com/store/apps/details?id=com.ionicframework.myapp930596&reviewId=Z3A6QU9xcFRPSF8yQS1MVzFycUlDX1psM3lxZTVhemUybmlXZmZBMHpqOE5kWEtXcF96RllQVmdZZW5kcXlBdVhqZWhVLXBRM21ibzMtNkNhTDlKMm1sQ2Iw,5,Redemption!,Redemption! Very informative app. Didn't work on my android at first but customer service was quick to assist. The app started working for me after they figured a few things out. I love using it!,undefined,undefined
gp:AOqpTOFkIawA-_vR5KOcbmfccuYIcSk8bdsKtH6Bv9e-uusnXM5HJ0cdjJjGDPKOO48zYM97YPghhFm8PIuPTWM,Clare Barry-Rose,https://lh6.googleusercontent.com/-bylEDdyGg28/AAAAAAAAAAI/AAAAAAAAAIE/dAC7N1fqjAo/w96-h96-p/photo.jpg,"October 4, 2016",https://play.google.com/store/apps/details?id=com.ionicframework.myapp930596&reviewId=Z3A6QU9xcFRPRmtJYXdBLV92UjVLT2NibWZjY3VZSWNTazhiZHNLdEg2QnY5ZS11dXNuWE01SEowY2RqSmpHRFBLT080OHpZTTk3WVBnaGhGbThQSXVQVFdN,5,Now working!!!,Now working!!! Looks really informative & a great resource,undefined,undefined
gp:AOqpTOFg2hZPWlxH8x_8vtPr3aGhnHdFqc1A2UaeYEOefbicAAWSxOgv2VPH0aJveQltsCljRGg2hhR677IsfDk,J Sun,https://lh5.googleusercontent.com/-4uh-D4CtRro/AAAAAAAAAAI/AAAAAAAAO40/jEGHj28avYk/w96-h96-p/photo.jpg,"September 11, 2016",https://play.google.com/store/apps/details?id=com.ionicframework.myapp930596&reviewId=Z3A6QU9xcFRPRmcyaFpQV2x4SDh4Xzh2dFByM2FHaG5IZEZxYzFBMlVhZVlFT2VmYmljQUFXU3hPZ3YyVlBIMGFKdmVRbHRzQ2xqUkdnMmhoUjY3N0lzZkRr,4,Really great reference! Worth the money,"Really great reference! Worth the money We can't always have the hard copy of the vital EO books on us when out and about. This while not being  unabridged, is really handy to help explain EO, emotions and how the body reacts to how we are feeling.",undefined,undefined
gp:AOqpTOFDSjqv1RFzYYLYh7HYP3qKJpPP6-W9mutsoxJL-9zNp_NgF5KYHD77d6NGN0eoiO34OXNqD_xPbuw5BD8,Jazmin Gill,https://lh3.googleusercontent.com/-jIMJBul_8os/AAAAAAAAAAI/AAAAAAAAAA4/oWWGPcCW8uc/w96-h96-p/photo.jpg,"September 12, 2016",https://play.google.com/store/apps/details?id=com.ionicframework.myapp930596&reviewId=Z3A6QU9xcFRPRkRTanF2MVJGellZTFloN0hZUDNxS0pwUFA2LVc5bXV0c294SkwtOXpOcF9OZ0Y1S1lIRDc3ZDZOR04wZW9pTzM0T1hOcURfeFBidXc1QkQ4,5,Amazing,Amazing To get all of this info together is fundamental to streamline the healing process. I love having my books but it's not always convenient. Worth every penny!,undefined,undefined
gp:AOqpTOEeX42NTBKkQEM6Z9BKsQlAPk1me7BsiEy9Cgdy0yQV1ARiXjbrdm9_13jYJhz3tVrZ_RNgg_zwGAEYgXw,Lynn Smith,https://lh3.googleusercontent.com/-FocIJ_XW15I/AAAAAAAAAAI/AAAAAAAACWw/0n8or1Qpysc/w96-h96-p/photo.jpg,"September 14, 2016",https://play.google.com/store/apps/details?id=com.ionicframework.myapp930596&reviewId=Z3A6QU9xcFRPRWVYNDJOVEJLa1FFTTZaOUJLc1FsQVBrMW1lN0JzaUV5OUNnZHkweVFWMUFSaVhqYnJkbTlfMTNqWUpoejN0VnJaX1JOZ2dfendHQUVZZ1h3,1,,I paid for & installed this app & it won't open .. emailed the developer & no response .. very unimpressed!!,"January 13, 2018","Our first week had an android glitch. Thanks for being patient with us. It should be working beautifully now. Check out all the new oils, body parts, and emotions added in our last update. I hope it can serve you better now."
