id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOFDB1vltcyYBB3dRBD1-YW4hTMGZiSZ_9PSY01oU1h0_43VtTdd9m2tOZQz1jgJ7ypy6JDDDsc7aiDMYw,Sergey Ripa,https://lh3.googleusercontent.com/-rj6KDWfUYIg/AAAAAAAAAAI/AAAAAAAABxw/gRto9C2oe3U/w96-h96-p/photo.jpg,"January 26, 2018",https://play.google.com/store/apps/details?id=ru.megalabs.multifon&reviewId=Z3A6QU9xcFRPRkRCMXZsdGN5WUJCM2RSQkQxLVlXNGhUTUdaaVNaXzlQU1kwMW9VMWgwXzQzVnRUZGQ5bTJ0T1pRejFqZ0o3eXB5NkpERERzYzdhaURNWXc,2,,"SMS doesn't work, just ""Connecting...""",undefined,undefined
gp:AOqpTOGT1pRVoUQBvzgxZSVmksIvmNY3ekJiB-WEE2rr6yzSpDCm6dJvSTgCVvUIhKRI00Q4pgCh7na6wawApA,Алексей Коренев,https://lh3.googleusercontent.com/-odOx5RsT7rQ/AAAAAAAAAAI/AAAAAAAAAGQ/RPm6qPkcXKE/w96-h96-p/photo.jpg,"February 5, 2018",https://play.google.com/store/apps/details?id=ru.megalabs.multifon&reviewId=Z3A6QU9xcFRPR1QxcFJWb1VRQnZ6Z3haU1Zta3NJdm1OWTNla0ppQi1XRUUycnI2eXpTcERDbTZkSnZTVGdDVnZVSWhLUkkwMFE0cGdDaDduYTZ3YXdBcEE,5,,"Прекрасное приложение,не понимаю людей которые ставят низкую оценку.Будучи в Китае с помощью этого приложения общался с родственниками и не обнаружил никаких недостатков.Я выбрал это приложение среди кучи популярных аналогов потому что оно использует меньше оперативной памяти и говорить намного дешевле.Лучше уже просто не найти.",undefined,undefined
gp:AOqpTOELobn0RVb1e2SR737FkAXf1G8PrOVDktETve02g-08KvpjNfQ6hjENJIZEeop5sff0wv0OB5twlxsKFg,Окси О,https://lh5.googleusercontent.com/-cFM0z4iP3oE/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjXJ6yGjUFMNOmFqdm_25iuq2fODRA/w96-h96-p/photo.jpg,"February 2, 2018",https://play.google.com/store/apps/details?id=ru.megalabs.multifon&reviewId=Z3A6QU9xcFRPRUxvYm4wUlZiMWUyU1I3MzdGa0FYZjFHOFByT1ZEa3RFVHZlMDJnLTA4S3Zwak5mUTZoakVOSklaRWVvcDVzZmYwd3YwT0I1dHdseHNLRmc,5,,"Классное приложение!  При поездке за границу оказалось для меня незаменимым. Удобно звонить,  не лагает.",undefined,undefined
gp:AOqpTOG94HpN3k6QmrQL63thqHqGRDOOY9cJ9Hk-K6ppU-hCQ46R0YbXvrmlMS7baAcSzaf3Iav5K-en5DlKwA,Руслан Палкин,https://lh5.googleusercontent.com/-gkQo83ekZws/AAAAAAAAAAI/AAAAAAAAA4U/gM83R06ZfKA/w96-h96-p/photo.jpg,"January 27, 2018",https://play.google.com/store/apps/details?id=ru.megalabs.multifon&reviewId=Z3A6QU9xcFRPRzk0SHBOM2s2UW1yUUw2M3RocUhxR1JET09ZOWNKOUhrLUs2cHBVLWhDUTQ2UjBZYlh2cm1sTVM3YmFBY1N6YWYzSWF2NUstZW41RGxLd0E,1,,"Копии смс не приходят, прога сырая или у МегаФона кончились деньги на проект.",undefined,undefined
gp:AOqpTOFbPTF4XT2gwjpJgG4vB7EUcH5BI6dZzcOElhN-qXzcc9Dqe718d6zAC_-fs3__2DS5Be5eTXDALbCe7g,G. Grundik,https://lh5.googleusercontent.com/-wM6QCtuRA2Y/AAAAAAAAAAI/AAAAAAAAANY/KnFSrUHO2TM/w96-h96-p/photo.jpg,"January 25, 2018",https://play.google.com/store/apps/details?id=ru.megalabs.multifon&reviewId=Z3A6QU9xcFRPRmJQVEY0WFQyZ3dqcEpnRzR2QjdFVWNINUJJNmRaemNPRWxoTi1xWHpjYzlEcWU3MThkNnpBQ18tZnMzX18yRFM1QmU1ZVRYREFMYkNlN2c,2,,"Добавьте какой-нибудь индикатор наличия связи. Ибо совершенно не понятно подключено приложение к серверу или нет. В итоге входящие звонки не работают, и об этом никак не узнать, т.к. никто не может дозвониться. Чрезвычайно ненадежное приложение, на него нельзя положиться.",undefined,undefined
gp:AOqpTOFmr2fKWdQyOaRsYg3r4lbaQi97kOpoG5zbY91cLZ93sl5o2vFIqWPlguXeyjxrL7tIXRPIsXPMbqKAFg,Andrey Beliaev,https://lh6.googleusercontent.com/-ngWUEDKZW64/AAAAAAAAAAI/AAAAAAAAzk4/F5imRuI850A/w96-h96-p/photo.jpg,"December 30, 2017",https://play.google.com/store/apps/details?id=ru.megalabs.multifon&reviewId=Z3A6QU9xcFRPRm1yMmZLV2RReU9hUnNZZzNyNGxiYVFpOTdrT3BvRzV6Ylk5MWNMWjkzc2w1bzJ2RklxV1BsZ3VYZXlqeHJMN3RJWFJQSXNYUE1icUtBRmc,4,,В последней версии приложении все стало работать наконец лучше! Но не хватает функции закрытия приложения и статусной строки в шторке.,undefined,undefined
gp:AOqpTOFzKiHWkW6-Wf9acXzbHGcBPksdqt3_RxLQxbVhN743GmUczNmiY6NGyPXNWV0-GHaWgx5IEW0NR9iw3w,Dmitrii Akimov,https://lh3.googleusercontent.com/-c8XTtz-bYt0/AAAAAAAAAAI/AAAAAAAADG4/WvxityCl9AU/w96-h96-p/photo.jpg,"January 3, 2018",https://play.google.com/store/apps/details?id=ru.megalabs.multifon&reviewId=Z3A6QU9xcFRPRnpLaUhXa1c2LVdmOWFjWHpiSEdjQlBrc2RxdDNfUnhMUXhiVmhONzQzR21VY3pObWlZNk5HeVBYTldWMC1HSGFXZ3g1SUVXME5SOWl3M3c,5,,"Отличное приложение. Меня полностью устраивает особенно в поездках. Служба поддержки своевременно реагирует на обращения. Могу только порекомендовать пользоваться приложением, тем самым позволить себе больше общаться везде.",undefined,undefined
gp:AOqpTOG_BpxBgwLvUUGijCB1NV4Q_XIT1GQPSFdBLqMJaxQtjS36uQ34yTmv1UXxeIwEzRTS6hGJMbA1EDgq2Q,ALEXEY DUTIKOV,https://lh5.googleusercontent.com/-3rWoKm7uQEc/AAAAAAAAAAI/AAAAAAAACQM/JZLRiLLyHw4/w96-h96-p/photo.jpg,"January 13, 2018",https://play.google.com/store/apps/details?id=ru.megalabs.multifon&reviewId=Z3A6QU9xcFRPR19CcHhCZ3dMdlVVR2lqQ0IxTlY0UV9YSVQxR1FQU0ZkQkxxTUpheFF0alMzNnVRMzR5VG12MVVYeGVJd0V6UlRTNmhHSk1iQTFFRGdxMlE,1,,Очень глючное приложение! Являюсь обладателем Samsung galaxy s8+ и из этого приложения не могу звонить и принимать звонки! Сотрудники МегаФона когда вы уже обновите это приложение?! Новогодние праздники уже закончились!!!,undefined,undefined
gp:AOqpTOE6Put9ziPgfh_Cf2oZifOxqczMFnxksGx5se727adifmxnvU78WwqnyDZqcKRDyMH-6kZTVaZeAmIgwQ,Назар Мультан,https://lh5.googleusercontent.com/-3xc_cz4YSLc/AAAAAAAAAAI/AAAAAAAAAIk/gPWRrpgHmlU/w96-h96-p/photo.jpg,"January 23, 2018",https://play.google.com/store/apps/details?id=ru.megalabs.multifon&reviewId=Z3A6QU9xcFRPRTZQdXQ5emlQZ2ZoX0NmMm9aaWZPeHFjek1Gbnhrc0d4NXNlNzI3YWRpZm14bnZVNzhXd3FueURacWNLUkR5TUgtNmtaVFZhWmVBbUlnd1E,5,,"Удобный дизайн, скажу я Вам. С Польши удобно звонить родственникам домой, будто и никуда не уезжал. На фоне постоянной проблемы со связью в Телеграмме и Вайбере, этот выглядит довольно надёжным. Да, и после обновления, работа приложения просто отличная.",undefined,undefined
gp:AOqpTOFBbP3GiYgh9yqshGdWEBGKXzn9vBIZlJG4Fy1XZlcMz-6PjH7S8UsQKDHQlB2p68EnJ8VWgOvCd7vAKQ,Timur A.,https://lh5.googleusercontent.com/-8SYlgVwTKNY/AAAAAAAAAAI/AAAAAAAAAFU/FEXPM-9dUo4/w96-h96-p/photo.jpg,"January 24, 2018",https://play.google.com/store/apps/details?id=ru.megalabs.multifon&reviewId=Z3A6QU9xcFRPRkJiUDNHaVlnaDl5cXNoR2RXRUJHS1h6bjl2QklabEpHNEZ5MVhabGNNei02UGpIN1M4VXNRS0RIUWxCMnA2OEVuSjhWV2dPdkNkN3ZBS1E,1,,"Не могу подключить свой номер к сервису, обращение в службу поддержки закончилось ничем",undefined,undefined
