id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOGWOuIhfEfM6ijeh1aKJETQzuJ5S0FMhVT0_w5jqmVpShLuf72dOA-G3n_Ril4klQfrCVSp4dVPFl-unVg,Mar Mar,https://lh6.googleusercontent.com/-0FLWEh6yAnc/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVl6LRb5sO8oFH9Vqe-G_dfIuyrIw/w96-h96-p/photo.jpg,"April 29, 2017",https://play.google.com/store/apps/details?id=com.andromo.dev281819.app407963&reviewId=Z3A6QU9xcFRPR1dPdUloZkVmTTZpamVoMWFLSkVUUXp1SjVTMEZNaFZUMF93NWpxbVZwU2hMdWY3MmRPQS1HM25fUmlsNGtsUWZyQ1ZTcDRkVlBGbC11blZn,4,,"Too much ads, I keep having to press ""X"" over and over. The ads show up every 10 seconds like bruh. But the good thing is that the quotes are nice and I love them But for now its 4 star😖",undefined,undefined
gp:AOqpTOHXezJqptQeScfMOBRWuv7xANkQKivlwILZWWgpsWr0wIzwl_YAsE02qfUgTSqgbP0zJoFtif-ntX6n_18,Zunu Amin,https://lh6.googleusercontent.com/-Ovfoe2TPKj8/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjW50RPXk0rouxMTMbpkQ2WcrQwitQ/w96-h96-p/photo.jpg,"December 17, 2017",https://play.google.com/store/apps/details?id=com.andromo.dev281819.app407963&reviewId=Z3A6QU9xcFRPSFhlekpxcHRRZVNjZk1PQlJXdXY3eEFOa1FLaXZsd0lMWldXZ3BzV3Iwd0l6d2xfWUFzRTAycWZVZ1RTcWdiUDB6Sm9GdGlmLW50WDZuXzE4,4,,I mean it's okay but the adds are so Fricken annoying. I can't even press x anymore now the button is gone. It would have gotten a 5 star I mean ads are okay once in a while,undefined,undefined
gp:AOqpTOHkdVKGEoxceZdDu7nCl6nFUv3CxiQRiW3EkjEtBvPVK6fhDE98N3QSV6I4-QkGhpYl4wMYqCXiNRRISoc,,https://lh5.googleusercontent.com/-Kv9OwQt52-c/AAAAAAAAAAI/AAAAAAAAAAA/x7_6xD2eTQI/w96-h96-p/photo.jpg,"November 30, 2017",https://play.google.com/store/apps/details?id=com.andromo.dev281819.app407963&reviewId=Z3A6QU9xcFRPSGtkVktHRW94Y2VaZER1N25DbDZuRlV2M0N4aVFSaVczRWtqRXRCdlBWSzZmaERFOThOM1FTVjZJNC1Ra0docFlsNHdNWXFDWGlOUlJJU29j,2,,"Ads popped up literally every 5 seconds, no joke! It seems like a good idea, just far too many ads. It is kinda annoying in all honesty",undefined,undefined
gp:AOqpTOEuwNsNd17rGgUbw7ZLeU_8-t3dIB6EhQ4ewje6NO_DPai2pHVL7F3f7UKv71LGK_NHCh1050jXufKKlsQ,Annabelle,https://lh5.googleusercontent.com/-5bSMiqP6tFA/AAAAAAAAAAI/AAAAAAAAAFg/YoADLmHcsOU/w96-h96-p/photo.jpg,"December 18, 2016",https://play.google.com/store/apps/details?id=com.andromo.dev281819.app407963&reviewId=Z3A6QU9xcFRPRXV3TnNOZDE3ckdnVWJ3N1pMZVVfOC10M2RJQjZFaFE0ZXdqZTZOT19EUGFpMnBIVkw3RjNmN1VLdjcxTEdLX05IQ2gxMDUwalh1ZktLbHNR,5,Brilliant,Brilliant This is amazing for inspiration for my devised drama scenes in school and stories. It's so simple but almost every quote has a deeper meaning that contributes to so many things around us in our lives. It's perfect for what I love to do &lt;3,undefined,undefined
gp:AOqpTOF_VmVOEhxG-U3tJVanNMQFrHWhm-XLwjZpXVUyGahSOAAP1IXcDbn-7FoWS2z6JHRm-GvDu6nHeIvVLRs,Gracie Maland,https://lh6.googleusercontent.com/-CL2Ci-0ri28/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjWCt5BirQclUYRREVOb71bnpTTbxA/w96-h96-p/photo.jpg,"May 26, 2017",https://play.google.com/store/apps/details?id=com.andromo.dev281819.app407963&reviewId=Z3A6QU9xcFRPRl9WbVZPRWh4Ry1VM3RKVmFuTk1RRnJIV2htLVhMd2pacFhWVXlHYWhTT0FBUDFJWGNEYm4tN0ZvV1MyejZKSFJtLUd2RHU2bkhlSXZWTFJz,4,,I really like the quotes but on some of them you read the whole thing because the dang adds get in the way. You should just get rid of the adds. They are distracting.,undefined,undefined
gp:AOqpTOGE9k_C7qBjoS0RnWG16JufAWHCfbU7i7enZKL2l_vITe3wFLHxh8h0pC3n2DPlEsx0viaO0D60piP87eM,nadia afrin,https://lh3.googleusercontent.com/-oVPMVRhqTvQ/AAAAAAAAAAI/AAAAAAAAMEQ/b_DpSadGFJk/w96-h96-p/photo.jpg,"January 12, 2017",https://play.google.com/store/apps/details?id=com.andromo.dev281819.app407963&reviewId=Z3A6QU9xcFRPR0U5a19DN3FCam9TMFJuV0cxNkp1ZkFXSENmYlU3aTdlblpLTDJsX3ZJVGUzd0ZMSHhoOGgwcEMzbjJEUGxFc3gwdmlhTzBENjBwaVA4N2VN,5,I love it ♥,I love it ♥ Please add more quotes. I love it alot the quotes are sooooo beautiful!!! ♡♥ must be installed by all quote lovers this app can be your best frnd in every mood you're living now.. :) thank u guys... for making this fantastic app and go further make it better ♡♥ I'd never ever remove the app.. ^^,undefined,undefined
gp:AOqpTOGnOCT23QqpqABJ8T6M0JlY0_WhlY2IZXYP3C8-XqJjLOuHdyUASjdPUCLiH7Nwxv3keqVB8FeTvCF0UC4,Night Dreamer,https://lh4.googleusercontent.com/-KSDxfllXMlo/AAAAAAAAAAI/AAAAAAAAADc/nVEQadrejVk/w96-h96-p/photo.jpg,"February 5, 2017",https://play.google.com/store/apps/details?id=com.andromo.dev281819.app407963&reviewId=Z3A6QU9xcFRPR25PQ1QyM1FxcHFBQko4VDZNMEpsWTBfV2hsWTJJWlhZUDNDOC1YcUpqTE91SGR5VUFTamRQVUNMaUg3Tnd4djNrZXFWQjhGZVR2Q0YwVUM0,5,Best! But add a topic...,"Best! But add a topic... I liked it soooooooo much! But please add this topic ""Losing A Friend "" ... Not dead frnd but the frnd is  gone for ever.  plz add",undefined,undefined
gp:AOqpTOFns0NracIaESf7jMYbBccjQPasUfP3-yfFcYdktBC_iFCSBCm90CPUdqUh8KOt5c3-YjO1KQ28tPoKSfA,,https://lh6.googleusercontent.com/-4Oh1t4tUiTo/AAAAAAAAAAI/AAAAAAAAAtE/iSBazZX6Z3A/w96-h96-p/photo.jpg,"December 29, 2017",https://play.google.com/store/apps/details?id=com.andromo.dev281819.app407963&reviewId=Z3A6QU9xcFRPRm5zME5yYWNJYUVTZjdqTVliQmNjalFQYXNVZlAzLXlmRmNZZGt0QkNfaUZDU0JDbTkwQ1BVZHFVaDhLT3Q1YzMtWWpPMUtRMjh0UG9LU2ZB,5,,Its really an amazing app the quotes are so inspirational they will make even wanna cry and its so good if you have problem with the ads just turn off the WiFi or the cellar data trust very nice and inspirational 😉😉,undefined,undefined
gp:AOqpTOHIWHppuSnShvTNkp5RlRfWhx-M_ZQHd9JYXYup-KL5CxCFfpRGLdSQviv0gFgZkC4xu9cqQzvhfYJbRMU,,https://lh3.googleusercontent.com/-1oJUs47Svvo/AAAAAAAAAAI/AAAAAAAAAAA/h1sTyTUp8dU/w96-h96-p/photo.jpg,"January 18, 2017",https://play.google.com/store/apps/details?id=com.andromo.dev281819.app407963&reviewId=Z3A6QU9xcFRPSElXSHBwdVNuU2h2VE5rcDVSbFJmV2h4LU1fWlFIZDlKWVhZdXAtS0w1Q3hDRmZwUkdMZFNRdml2MGdGZ1prQzR4dTljcVF6dmhmWUpiUk1V,5,,It is really amazing and they are good quality pictures so they aren't pixelated. The only thing is it would  be good if there was new ones added every now and then,undefined,undefined
gp:AOqpTOHdZLnpYdRFn-33Op0YL2706KI-WLdp320fMcSo5nR5qz8UQOddtjNstGrSHYsHDi6JVrqFAQT-rZumfPI,Luly Allouzi,https://lh6.googleusercontent.com/-vh-70xCHrLU/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjV60wJ6gZaj_29HPzvz7LIK9w4cpw/w96-h96-p/photo.jpg,"January 16, 2017",https://play.google.com/store/apps/details?id=com.andromo.dev281819.app407963&reviewId=Z3A6QU9xcFRPSGRaTG5wWWRSRm4tMzNPcDBZTDI3MDZLSS1XTGRwMzIwZk1jU281blI1cXo4VVFPZGR0ak5zdEdyU0hZc0hEaTZKVnJxRkFRVC1yWnVtZlBJ,5,omg,"omg This is so amazing, i loved it i really did!! But please keep adding new quotes!",undefined,undefined
gp:AOqpTOE2B8vfG4fBEr1EWOSSXCof0yYJB2zt1JHMtcGobamC0r-qFTH22mBQGphz3Kiaf2Ea9i9RflUf744p-1g,,https://lh5.googleusercontent.com/-TitsyBnq8Pg/AAAAAAAAAAI/AAAAAAAAAAA/VsU1MsiNQUs/w96-h96-p/photo.jpg,"March 30, 2017",https://play.google.com/store/apps/details?id=com.andromo.dev281819.app407963&reviewId=Z3A6QU9xcFRPRTJCOHZmRzRmQkVyMUVXT1NTWENvZjB5WUpCMnp0MUpITXRjR29iYW1DMHItcUZUSDIybUJRR3BoejNLaWFmMkVhOWk5UmZsVWY3NDRwLTFn,4,,I like to see quotes on the internet....but it's always difficult to let it load...and this app is awesome for those reasons!! I love it😍,undefined,undefined
gp:AOqpTOHPTbL4uXZ0g0VPKDFNyuyovNIZ2Y8bVA2iJc8-3rLtMv0L0B2JMC8lBSD3r-Sm_MVeAHFNENHMJyhH0sA,Indira Kaodkar,https://lh6.googleusercontent.com/-vuOq7NggbgE/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVCFxAnI003CLKG_PSvM-RD-7yO9Q/w96-h96-p/photo.jpg,"September 5, 2017",https://play.google.com/store/apps/details?id=com.andromo.dev281819.app407963&reviewId=Z3A6QU9xcFRPSFBUYkw0dVhaMGcwVlBLREZOeXV5b3ZOSVoyWThiVkEyaUpjOC0zckx0TXYwTDBCMkpNQzhsQlNEM3ItU21fTVZlQUhGTkVOSE1KeWhIMHNB,5,,These quotes are so true. If feel they describe what I am going through or what I have gone through,undefined,undefined
gp:AOqpTOHlsZT0u46PNfkqNY_dy6fe3IoTnCjkNNI4jGnF3N26Co0Ox1rXMG5cueDY00j7fILRTKydrrdQuEF4GKw,sage ysasi,https://lh3.googleusercontent.com/-zxr8ZBqmFSU/AAAAAAAAAAI/AAAAAAAAAKU/upnc6Y_IEUk/w96-h96-p/photo.jpg,"January 14, 2017",https://play.google.com/store/apps/details?id=com.andromo.dev281819.app407963&reviewId=Z3A6QU9xcFRPSGxzWlQwdTQ2UE5ma3FOWV9keTZmZTNJb1RuQ2prTk5JNGpHbkYzTjI2Q28wT3gxclhNRzVjdWVEWTAwajdmSUxSVEt5ZHJyZFF1RUY0R0t3,5,need it,need it i love this app cuz i can spend my whole life looking at them,undefined,undefined
gp:AOqpTOFFi6W8eHG6p1gIonPk7mAWgORSbtxDi30x6eBM189CUcGJet4hVX0ThjuTOd4F3mmn7Yx0aAf778DLn5I,Agharnaa G Suresh,https://lh4.googleusercontent.com/-zdhLDdzJZ3I/AAAAAAAAAAI/AAAAAAAAA_8/EO9MkKRUBMU/w96-h96-p/photo.jpg,"November 25, 2017",https://play.google.com/store/apps/details?id=com.andromo.dev281819.app407963&reviewId=Z3A6QU9xcFRPRkZpNlc4ZUhHNnAxZ0lvblBrN21BV2dPUlNidHhEaTMweDZlQk0xODlDVWNHSmV0NGhWWDBUaGp1VE9kNEYzbW1uN1l4MGFBZjc3OERMbjVJ,5,,"It's simply amazing.If you love reading quotes,then you sure must download this app.I'm really happy.",undefined,undefined
gp:AOqpTOFHH5HICSywllzm7cyrDrnS7xCVfhpjDISp50gQRzQ4uZtY1DPFe8CodSVv8L-dEQEN5maQrd8Forbj8dM,Laeeqa Smitsdorff Smitsdorff,https://lh5.googleusercontent.com/-ATfwHe-ymVI/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVOrjXQLv0MANaQiAWHNNVH8XFt3w/w96-h96-p/photo.jpg,"July 7, 2017",https://play.google.com/store/apps/details?id=com.andromo.dev281819.app407963&reviewId=Z3A6QU9xcFRPRkhINUhJQ1N5d2xsem03Y3lyRHJuUzd4Q1ZmaHBqRElTcDUwZ1FSelE0dVp0WTFEUEZlOENvZFNWdjhMLWRFUUVONW1hUXJkOEZvcmJqOGRN,5,,It is amazing  cause it gives like really life moments  and there is a lot to learn from,undefined,undefined
gp:AOqpTOH70sTWWmfzJjpZFcA5lPy1Ar2pNaY_buBosr8T9zTUQkqD5kYOR2nk_-xJMd2nxMHu8EPxvTRwEjogyDQ,Niyati Shah,https://lh6.googleusercontent.com/-XNqJ4Mi-X6w/AAAAAAAAAAI/AAAAAAAAAMI/hfXVCaF14Mw/w96-h96-p/photo.jpg,"March 23, 2017",https://play.google.com/store/apps/details?id=com.andromo.dev281819.app407963&reviewId=Z3A6QU9xcFRPSDcwc1RXV21mekpqcFpGY0E1bFB5MUFyMnBOYVlfYnVCb3NyOFQ5elRVUWtxRDVrWU9SMm5rXy14Sk1kMm54TUh1OEVQeHZUUndFam9neURR,3,,Good app but no new quotes are added. I've read all the quotes and can't get any new ones.. so it seems useless when I have to read the same quotes over and over again. Please update new quotes.,undefined,undefined
gp:AOqpTOFlvm-dO_M6Zzqe4YqrnoLsrsc54JacXorWym5HXllxOujm7OZFao9QjWnOWwKIuU2CSmC1nsEr6lPwxFM,,https://lh3.googleusercontent.com/-EDNRYET-OpE/AAAAAAAAAAI/AAAAAAAAAAA/zo1b6cklF4A/w96-h96-p/photo.jpg,"May 25, 2017",https://play.google.com/store/apps/details?id=com.andromo.dev281819.app407963&reviewId=Z3A6QU9xcFRPRmx2bS1kT19NNlp6cWU0WXFybm9Mc3JzYzU0SmFjWG9yV3ltNUhYbGx4T3VqbTdPWkZhbzlRalduT1d3S0l1VTJDU21DMW5zRXI2bFB3eEZN,5,,This aap is truly  amazing.... I just love this aap.... It is superb.... Ya offline bhi work karta ha.... Superb.... I love this aap....😘😘😘😘😅🏆🏆🏆🏆⚾,undefined,undefined
