id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOGPOHi6_Y7VyhZI5AyaMS4bAdxb_dy11DfMWZJ01QeP-Dw0sBXZhAZfZJOUdKB8W52VRufjQyUJA9CR_xU,Hollz,https://lh5.googleusercontent.com/-h6xj2TYpdoc/AAAAAAAAAAI/AAAAAAAAY4E/gV5g-1cw7rc/w96-h96-p/photo.jpg,"January 24, 2018",https://play.google.com/store/apps/details?id=net.daylio&reviewId=Z3A6QU9xcFRPR1BPSGk2X1k3VnloWkk1QXlhTVM0YkFkeGJfZHkxMURmTVdaSjAxUWVQLUR3MHNCWFpoQVpmWkpPVWRLQjhXNTJWUnVmalF5VUpBOUNSX3hV,5,,"Fantastic and cute app. It can be as simple or complex as you want it to be!  I'm currently seeking out mental health treatment and was advised to try and keep track of any moods or changes while I explore a new medication. I found Daylio and it was just what I wanted and more!   You can set the time it asks, customize and add new activities. I really like this because I can keep track of any negative events I have and its easy to search by activity and bring up all instances. You can also add any notes for the day if you'd like.  Again, this is a fantastic app. You can be simple if you don't have much time or be really detailed as you like. Nice!",undefined,undefined
gp:AOqpTOGBXz-jzTQiX4NPKjub8n758FgzNySP2TdZlM4Zll-fNifYdvFRTWnicbfpsvtYyzODM0_2GIfCAendL0c,,https://lh5.googleusercontent.com/-bs1osVTgQ4A/AAAAAAAAAAI/AAAAAAAAgdA/4x5TbHfTltY/w96-h96-p/photo.jpg,"January 27, 2018",https://play.google.com/store/apps/details?id=net.daylio&reviewId=Z3A6QU9xcFRPR0JYei1qelRRaVg0TlBLanViOG43NThGZ3pOeVNQMlRkWmxNNFpsbC1mTmlmWWR2RlJUV25pY2JmcHN2dFl5ek9ETTBfMkdJZkNBZW5kTDBj,4,,Am not the diary type but needed some easy way to track my activities and emotions. I also use the notes part to keep a simple record of my food intake (not interested in kcals) in relation to my moods. App is really easy to use with a fairly unobtrusive notification if you're not ready to log at the usual time. Like the way you can back up to Google drive too.,undefined,undefined
gp:AOqpTOFTKJlHkUKb-dSTYJBWxbJNl7QYrp7C0rKZNDfif8ROTGQL37kxrkfaAOOvbxia_baPBkk72utT6Tdg-1w,Aastha,https://lh5.googleusercontent.com/-QMjemOsT9hs/AAAAAAAAAAI/AAAAAAAADwc/cbkr9t4IXNA/w96-h96-p/photo.jpg,"January 30, 2018",https://play.google.com/store/apps/details?id=net.daylio&reviewId=Z3A6QU9xcFRPRlRLSmxIa1VLYi1kU1RZSkJXeGJKTmw3UVlycDdDMHJLWk5EZmlmOFJPVEdRTDM3a3hya2ZhQU9PdmJ4aWFfYmFQQmtrNzJ1dFQ2VGRnLTF3,5,,"This app is so adorable!! It helped me track what I did to make my day ""rad"" and what happened to make it not so good. Not only that it also gives lots of statistics about how you are feeling which I think is very helpful, especially if you've been having a rough few days. It's also super simple to use, there are only five different pages and I learned how to use this app in just a few minutes!  I love the idea that you can add different activities to match you better, and the icons are so cute! I absolutely love this app and I hope everybody installs it!!",undefined,undefined
gp:AOqpTOEXtFq_75XPjG-RWvzqdS5ncIMtIhGgSwtBMmya-8JQIhDfrSZbLy3v1HomgcpbvRZCKYRModweUEk5x6o,Melissa Minter,https://lh6.googleusercontent.com/-xFitbGWiPoE/AAAAAAAAAAI/AAAAAAAAERY/-f01bX6J5-o/w96-h96-p/photo.jpg,"February 2, 2018",https://play.google.com/store/apps/details?id=net.daylio&reviewId=Z3A6QU9xcFRPRVh0RnFfNzVYUGpHLVJXdnpxZFM1bmNJTXRJaEdnU3d0Qk1teWEtOEpRSWhEZnJTWmJMeTN2MUhvbWdjcGJ2UlpDS1lSTW9kd2VVRWs1eDZv,5,,"Wow, Daylio I am super impressed. The easiest most comprehensive and straight forward diary/journal app I have used. I am entirely loving this. The symbols to show what you're doing is exquisite, not to mention being able to choose another symbol not listed in the default and naming it. Just brilliant. You make journaling fun! And I actually use it several times a day as my mood changes. Great to keep track.",undefined,undefined
gp:AOqpTOEp0WJC4Zz5FqRI_5nNIBsf6bs2JxmrrYxEnO0It6AJHJF7ZU0nrUM6A1qRxmWw5sgFfx0Vl2MLdQmF16M,,https://lh6.googleusercontent.com/-E9vJ6j2RRfg/AAAAAAAAAAI/AAAAAAAAAAA/L-EiPSDuVgA/w96-h96-p/photo.jpg,"February 3, 2018",https://play.google.com/store/apps/details?id=net.daylio&reviewId=Z3A6QU9xcFRPRXAwV0pDNFp6NUZxUklfNW5OSUJzZjZiczJKeG1ycll4RW5PMEl0NkFKSEpGN1pVMG5yVU02QTFxUnhtV3c1c2dGZngwVmwyTUxkUW1GMTZN,5,,"It's worth using this. Seriously. I have trouble doing things every day but my moods are so... changeable I had to do something, especially to determine whether or not I need mood stabilizers and to figure out what my triggers are. And an app as amazing as this somehow exists. It's worth buying (It's so cheap, and catch it on one of its 50% sales) and I have at least tracked down 1 trigger. It's so useful and simple and for someone who really struggles with visioning an app every day I use it flawlessly. It's reminders are simple and discreet, you don't have to open the app, it does most of the work for you.",undefined,undefined
gp:AOqpTOHgxCNIOmB3PU7nlLzKiQT7-o6lrtmyHtIH1uhvCMpfBueuU3l1rFEVBHt5Yer3aOqzmILJBeQo9R2NgyU,Stephanie De Jesus,https://lh4.googleusercontent.com/-7m5fVU5zAdY/AAAAAAAAAAI/AAAAAAAAQUA/zOM9X7JmFI0/w96-h96-p/photo.jpg,"January 30, 2018",https://play.google.com/store/apps/details?id=net.daylio&reviewId=Z3A6QU9xcFRPSGd4Q05JT21CM1BVN25sTHpLaVFUNy1vNmxydG15SHRJSDF1aHZDTXBmQnVldVUzbDFyRkVWQkh0NVllcjNhT3F6bUlMSkJlUW85UjJOZ3lV,5,,"Really dig this app! Been using it every day, several times a day. It's great.  If I could offer two suggestions, they would be: -The ability to mark which actions are considered positive, negative, or neutral (maybe three color-coding options?) -More action icons that depict negative actions (ie. two people yelling to depict an argument)",undefined,undefined
gp:AOqpTOF5kAvZnueEIOvmnLP8ZS4FJ7VS6-_a4QZO1ohuNT3G2Eh6hx8dMtpzNMcwFzPk_pgJ_PM4oS1ZyGatHZk,,https://lh6.googleusercontent.com/-n-iCKpMdFjg/AAAAAAAAAAI/AAAAAAAAAAA/wJaCA9hN8gA/w96-h96-p/photo.jpg,"January 20, 2018",https://play.google.com/store/apps/details?id=net.daylio&reviewId=Z3A6QU9xcFRPRjVrQXZabnVlRUlPdm1uTFA4WlM0Rko3VlM2LV9hNFFaTzFvaHVOVDNHMkVoNmh4OGRNdHB6Tk1jd0Z6UGtfcGdKX1BNNG9TMVp5R2F0SFpr,5,,"Simple, visual, effective! I've always liked the idea of daily journaling but felt that an entry everyday would get monotonous either to write or read back. But Daylio's smilies makes it quick and easy, and short responses are perfectly fine.",undefined,undefined
gp:AOqpTOER8AC0SH34XDN3QNP8FDftJitFpmxWXL0wyRnnrOe5faXd9pmEJno1qmUmUN9bSq3Nn_Qv4gHroGrRrY4,Claire Wigton,https://lh5.googleusercontent.com/-vbiz9u6GXVI/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjV8_Y1W2wc6zxd4m3SS9jzm_RtdJw/w96-h96-p/photo.jpg,"January 31, 2018",https://play.google.com/store/apps/details?id=net.daylio&reviewId=Z3A6QU9xcFRPRVI4QUMwU0gzNFhETjNRTlA4RkRmdEppdEZwbXhXWEwwd3lSbm5yT2U1ZmFYZDlwbUVKbm8xcW1VbVVOOWJTcTNObl9RdjRnSHJvR3JSclk0,5,,I really like that you can track multiple emotions throughout the day and what activities you were doing. It also tracks what emotions you typically log with what activities which is neat. And I like the graph of your ups and downs over the month. All around I really like this app. Is g the best one I've had for tracking this stuff. 👍 👍,undefined,undefined
gp:AOqpTOGn7ALpH0nPzTEVmFVRfA9eku7UmyNxalpySymnm0RRmWeHKshadQ0ZJmSg1oABsVUwVzI0zDcbPH7X0_4,Ali Vaux,https://lh5.googleusercontent.com/-2PnODfHm-jU/AAAAAAAAAAI/AAAAAAAAAPU/5chAcguKU3A/w96-h96-p/photo.jpg,"January 31, 2018",https://play.google.com/store/apps/details?id=net.daylio&reviewId=Z3A6QU9xcFRPR243QUxwSDBuUHpURVZtRlZSZkE5ZWt1N1VteU54YWxweVN5bW5tMFJSbVdlSEtzaGFkUTBaSm1TZzFvQUJzVlV3VnpJMHpEY2JQSDdYMF80,5,,"This app is fantastic. I've been using it to learn more self awareness. As an autistic adult, I sometimes forget to check in with my needs. This app has been helping me track how all sorts of things alter my mood, from food to a knock on the door. Superb design, and ease of use.",undefined,undefined
gp:AOqpTOHaKFDZgjL164VRh-c5Fx48BM0b2L_u1GkMkc8fsT-Qxetemzd-IH8MqIzXkiba2Ki8YIy2frLLcQyK8aM,Anna Hicks,https://lh3.googleusercontent.com/-rTXUglm9VCY/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjXgBJTh0XBvDZt1FYhftLH8CVgGCQ/w96-h96-p/photo.jpg,"January 30, 2018",https://play.google.com/store/apps/details?id=net.daylio&reviewId=Z3A6QU9xcFRPSGFLRkRaZ2pMMTY0VlJoLWM1Rng0OEJNMGIyTF91MUdrTWtjOGZzVC1ReGV0ZW16ZC1JSDhNcUl6WGtpYmEyS2k4WUl5MmZyTExjUXlLOGFN,4,,"I like the app, especially that it prompts me daily which has kept me on track. I really like being able to customize emotions. One thing I would like to see in a future update is the ability to rate the day on more than one scale. It would help me to be able to track more than one emotion/mood per day.",undefined,undefined
