id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOGfU0NfCGPi46gxtt_EcMNu6il-PijEFVCtAVTj7cEAvSfm0xkysACg637m1kmkAjiQisSXB-QfI4AQeXU,Hillbilly Ramone,https://lh3.googleusercontent.com/-uVYAYmx8Nxw/AAAAAAAAAAI/AAAAAAAALd4/JAneV_Rt0Bc/w96-h96-p/photo.jpg,"January 22, 2018",https://play.google.com/store/apps/details?id=arproductions.andrew.moodlog&reviewId=Z3A6QU9xcFRPR2ZVME5mQ0dQaTQ2Z3h0dF9FY01OdTZpbC1QaWpFRlZDdEFWVGo3Y0VBdlNmbTB4a3lzQUNnNjM3bTFrbWtBamlRaXNTWEItUWZJNEFRZVhV,5,,"Tracks all my moods, prescriptions, and room for random thoughts. Gives time for each entry. As mood changes I am able to record when and how long. I am also able to add or delete  emotions and prescriptions as needed.Very user friendly and simple ui.. Best tracking app I have tried. Only thing I would add would be a dark theme.",undefined,undefined
gp:AOqpTOECndt-sZbAHHL8qo80nXTNGXOi8-C-5rDjddI5I1Ru1z8xw4pgPwRxHm4F_PcXWVfgJ1zuN3D8F5Y5d9E,,https://lh4.googleusercontent.com/-7HYWD4vEgmg/AAAAAAAAAAI/AAAAAAAAAJY/nNiL4-UY0BM/w96-h96-p/photo.jpg,"February 1, 2018",https://play.google.com/store/apps/details?id=arproductions.andrew.moodlog&reviewId=Z3A6QU9xcFRPRUNuZHQtc1piQUhITDhxbzgwblhUTkdYT2k4LUMtNXJEamRkSTVJMVJ1MXo4eHc0cGdQd1J4SG00Rl9QY1hXVmZnSjF6dU4zRDhGNVk1ZDlF,5,,"I like this app a lot. It is easy to use.  I like that you can change the color of the moods, I've set my favorite as positive and my least as negative. It really helps me rate my mood. I also like that there are so many moods to chose from! And the note section is really helpful. I recommend this for people with depression, anxiety or if you just want a mood journal. Five stars.",undefined,undefined
gp:AOqpTOHf8Qg0yxyO5PW06cZA6dje0r8zX1k0Qj4EpXQ7UzrjQZYC03Gl_cL2s5YasfDap2yFUaKQzEzuEVoCmj8,HKN,https://lh5.googleusercontent.com/-DaQPj5lZii0/AAAAAAAAAAI/AAAAAAAAQiw/O10-BC7WiYQ/w96-h96-p/photo.jpg,"December 28, 2017",https://play.google.com/store/apps/details?id=arproductions.andrew.moodlog&reviewId=Z3A6QU9xcFRPSGY4UWcweXh5TzVQVzA2Y1pBNmRqZTByOHpYMWswUWo0RXBYUTdVenJqUVpZQzAzR2xfY0wyczVZYXNmRGFwMnlGVWFLUXpFenVFVm9DbWo4,4,,Would be better if the menus for (moods) symptoms and medications allowed you to type it in and it would search for it. I find it a pain to have to scroll through my whole list. Besides that it is exactly what I needed.,undefined,undefined
gp:AOqpTOGjm-C4x-27lVdGTsuEi-Zf-BCtAly2kLuWiBpKKyLnoRrqB8kmoZDoOXq7OZojxeaaCH072tRV3lN3-ZY,Laurel anon,https://lh3.googleusercontent.com/-nocju7KePZo/AAAAAAAAAAI/AAAAAAAAALQ/ebBVt6IO2J4/w96-h96-p/photo.jpg,"October 24, 2017",https://play.google.com/store/apps/details?id=arproductions.andrew.moodlog&reviewId=Z3A6QU9xcFRPR2ptLUM0eC0yN2xWZEdUc3VFaS1aZi1CQ3RBbHkya0x1V2lCcEtLeUxub1JycUI4a21vWkRvT1hxN09ab2p4ZWFhQ0gwNzJ0UlYzbE4zLVpZ,5,,"Lots of moods to choose from, can add ypur own, tracks medication and drug use, and you can use it to track things like panic attacks, psychosis, mania, self-harm... Doesn't analyse much but its really useful for self-observation.",undefined,undefined
gp:AOqpTOHLpyZ8o3lfB9MvQRJ_GtfSAjY7oLGsmrUCTogQAOxOTSnhv7XP23QGWt3IPcVuQ61kXSfa9NG_Mp52Y3k,,https://lh4.googleusercontent.com/-ApNx4jFtuJk/AAAAAAAAAAI/AAAAAAAAAAA/3g3QcWqNX_o/w96-h96-p/photo.jpg,"November 24, 2017",https://play.google.com/store/apps/details?id=arproductions.andrew.moodlog&reviewId=Z3A6QU9xcFRPSExweVo4bzNsZkI5TXZRUkpfR3RmU0FqWTdvTEdzbXJVQ1RvZ1FBT3hPVFNuaHY3WFAyM1FHV3QzSVBjVnVRNjFrWFNmYTlOR19NcDUyWTNr,4,,"It is a great way to track your mood and the best one that both me and my therapist liked. The only thing I would like is a option to have a reminder more than just 3 times a week, I feel like that could help me a lot.",undefined,undefined
gp:AOqpTOFHm1jBEydR_-3PrXjHQ1LTjhgmbpsev2fzBBARcs2ENdRoIrF1R-DtH5jHOpzygZxI1CdF672MQUWC5wo,,https://lh4.googleusercontent.com/-9YqBygcVHL4/AAAAAAAAAAI/AAAAAAAAAAw/7ym3Jj1wLmw/w96-h96-p/photo.jpg,"October 18, 2017",https://play.google.com/store/apps/details?id=arproductions.andrew.moodlog&reviewId=Z3A6QU9xcFRPRkhtMWpCRXlkUl8tM1ByWGpIUTFMVGpoZ21icHNldjJmekJCQVJjczJFTmRSb0lyRjFSLUR0SDVqSE9wenlnWnhJMUNkRjY3Mk1RVVdDNXdv,2,,"I love this app mainly because it has one feature I couldn't find anywhere: it has more than 5 moods AND they are well described + customisable. One thing that really bothers me: the mood colours. Best case scenario - if I could set a colour for each tag, but if not, I wish ""black"" would be an option (for bad mood), or green-blue to go with yellow-red Edit: thanks for answering and taking my suggestions seriously! What also popped into my mind is that the text (note) is vertical, which makes no sense, because it takes a lot of space and is basically unreadable. Just try typing a note w/ 140 characters (size of a tweet) and you'll see what I mean.","October 17, 2017","Thanks for using Mood log and for the feedback!
I see how having more color options, and colors associated with tags could be really helpful. I'm going to look into adding more color flexibility in a future update.

Thanks again!
Sincerely,
Andrew"
gp:AOqpTOFqSrZWIUVFa8Fz8PdmwtQ0DfnvmWd9se82GZzc4c-3oK5-j6oEhlT8WckcXleK3JBLNzLe6hoBQWBIic4,Stephen MacLeod,https://lh5.googleusercontent.com/-VwpiK8piyn0/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjWTxia_YO45wgGuxzYyftWnTxnMbg/w96-h96-p/photo.jpg,"October 11, 2017",https://play.google.com/store/apps/details?id=arproductions.andrew.moodlog&reviewId=Z3A6QU9xcFRPRnFTclpXSVVWRmE4Rno4UGRtd3RRMERmbnZtV2Q5c2U4MkdaemM0Yy0zb0s1LWo2b0VobFQ4V2NrY1hsZUszSkJMTnpMZTZob0JRV0JJaWM0,4,,"Good app. for tracking moods over time, allowing more accurate reporting trio your health professional than mere memory. Great that you can add your own adjectives etc to describe mods and feelings.",undefined,undefined
gp:AOqpTOGQ7VM4pLAK3aiNPx3SQYvr_SSKBciTddNRHQNxCDIdBLPwfQO-C8iBPZx3HhQ1fXUF7NsAMvCu40M_gc8,Charles Zook,https://lh5.googleusercontent.com/-jYbFXocODVw/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjU0clOPu5zV4Qa6UAychN5IVVRv2w/w96-h96-p/photo.jpg,"October 31, 2017",https://play.google.com/store/apps/details?id=arproductions.andrew.moodlog&reviewId=Z3A6QU9xcFRPR1E3Vk00cExBSzNhaU5QeDNTUVl2cl9TU0tCY2lUZGROUkhRTnhDRElkQkxQd2ZRTy1DOGlCUFp4M0hoUTFmWFVGN05zQU12Q3U0ME1fZ2M4,5,,"It does what it says. Some better visualization of the data and layout of the data entry would dress it up better but I can't complain for free. Ads are unobtrusive, a small bar at the bottom.",undefined,undefined
gp:AOqpTOE63iLfCpYTM-MKej-uVasw8d1MMzo9GQc6WnLoDTfcgWa7OC-Kb_oKKBbxymf65-7KZA-7PzJodyJqNfc,Siobhan Kelly,https://lh3.googleusercontent.com/-8LjpVw09E6U/AAAAAAAAAAI/AAAAAAAAAzQ/0ugrhP5uX8g/w96-h96-p/photo.jpg,"January 27, 2018",https://play.google.com/store/apps/details?id=arproductions.andrew.moodlog&reviewId=Z3A6QU9xcFRPRTYzaUxmQ3BZVE0tTUtlai11VmFzdzhkMU1Nem85R1FjNlduTG9EVGZjZ1dhN09DLUtiX29LS0JieHltZjY1LTdLWkEtN1B6Sm9keUpxTmZj,4,,I have BPD and it's a simple and easy way of tracking changing moods throughout the day. I particularly like how you can personalise the moods and the format of the graph. Good app,undefined,undefined
gp:AOqpTOGTSy3GhBL-_aZZ2ZgB_kk4Q2c-mC6S5kOqZ_-qB69zBZ-1KCICvr7p7QsX0mhELNboxljaXg9qbd5spjM,Talitha Vogt,https://lh6.googleusercontent.com/-lmfgQ24e7Sk/AAAAAAAAAAI/AAAAAAAAA1Q/YkKw46dSwUs/w96-h96-p/photo.jpg,"October 15, 2017",https://play.google.com/store/apps/details?id=arproductions.andrew.moodlog&reviewId=Z3A6QU9xcFRPR1RTeTNHaEJMLV9hWloyWmdCX2trNFEyYy1tQzZTNWtPcVpfLXFCNjl6QlotMUtDSUN2cjdwN1FzWDBtaEVMTmJveGxqYVhnOXFiZDVzcGpN,5,,Really love it. It's extremely helpful! I have mine set to ask me 3 times a day. I've learned a lot about myself by using this app.,undefined,undefined
