id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOGNl6CgL-IwwwumRn_X_IKCgT6DL1A1qo8LRnloQwIJ0I4KpLJiUR4WtCURL__28loN-lfgsM10BIx98-s,Sara Bauerová,https://lh6.googleusercontent.com/-CAtWEZyiKPc/AAAAAAAAAAI/AAAAAAAACF0/5jMBSoj12QE/w96-h96-p/photo.jpg,"July 20, 2017",https://play.google.com/store/apps/details?id=com.przemyslawslota.moodscanner&reviewId=Z3A6QU9xcFRPR05sNkNnTC1Jd3d3dW1Sbl9YX0lLQ2dUNkRMMUExcW84TFJubG9Rd0lKMEk0S3BMSmlVUjRXdENVUkxfXzI4bG9OLWxmZ3NNMTBCSXg5OC1z,2,,"I don't want to be rude but this app doesn't work for my device, maybe for others but not me. First it said I was tired  which was true,but right after that, it said that I was energetic. However, it's great for pranking  my mom that I am not tired so I don't have to go to bed, that's why I rated it 3 stars. But I would still recommend it for kids who have mom's that make them go to sleep at 7.😉",undefined,undefined
gp:AOqpTOGwS05YIRiFUXI2JVa4IuFwWqdeDcSW-iyPnInFupcT-W541tJ_sT4lm9yq2KaeJzBnUylPPVRnrZc_LEk,,https://lh6.googleusercontent.com/-3c4JII6sNTI/AAAAAAAAAAI/AAAAAAAAAAA/8t3LhwM2G0A/w96-h96-p/photo.jpg,"October 29, 2017",https://play.google.com/store/apps/details?id=com.przemyslawslota.moodscanner&reviewId=Z3A6QU9xcFRPR3dTMDVZSVJpRlVYSTJKVmE0SXVGd1dxZGVEY1NXLWl5UG5JbkZ1cGNULVc1NDF0Sl9zVDRsbTl5cTJLYWVKekJuVXlsUFBWUm5yWmNfTEVr,2,,It is ok. Not the best! Too many adds and it does not tell me the right mood but I know that it is just for fun! If you could make it have less adds then I will bump it up to four stars. Thanks!,undefined,undefined
gp:AOqpTOFHgpoo3hv-aKlJZPB_LqNX2af3V3sFKBQTm4GiBBWHl5MdM0irvn4MN6h1dNGjsKYfzydEtSFuZJKsTIg,Freya Gotham,https://lh3.googleusercontent.com/-xmvsTK3vIw8/AAAAAAAAAAI/AAAAAAAAAH8/K4NupFB545U/w96-h96-p/photo.jpg,"July 14, 2017",https://play.google.com/store/apps/details?id=com.przemyslawslota.moodscanner&reviewId=Z3A6QU9xcFRPRkhncG9vM2h2LWFLbEpaUEJfTHFOWDJhZjNWM3NGS0JRVG00R2lCQldIbDVNZE0waXJ2bjRNTjZoMWROR2pzS1lmenlkRXRTRnVaSktzVEln,5,,"I have my favourite teddy bear in bed with me and I was cuddling it, then I tried this app out and it said I was in love, plus I'm tired and tried it out and it said I WAS TIRED. So mostly I am trying to explain that it does not pick a random  mood, it actually knows what u feel like! I'm not making this up! but, yeah, it's very good app ! like it if u agree",undefined,undefined
gp:AOqpTOEQXdeo59gtJbl-U8yCUPn9twnl7evreU-h3n9j_EhjgEAtJW_1JmTG08UzWBiGOYaVYMGM7takYLhByOs,Kathy Pierzyna,https://lh4.googleusercontent.com/-dGVwYjPn1gI/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVYEuQzHAs9la1MprUb4XvtBM3aGA/w96-h96-p/photo.jpg,"October 6, 2017",https://play.google.com/store/apps/details?id=com.przemyslawslota.moodscanner&reviewId=Z3A6QU9xcFRPRVFYZGVvNTlndEpibC1VOHlDVVBuOXR3bmw3ZXZyZVUtaDNuOWpfRWhqZ0VBdEpXXzFKbVRHMDhVeldCaUdPWWFWWU1HTTd0YWtZTGhCeU9z,1,,Told me the opposite what my mood was it didn't even tell me my mood I told me random stuff like happy you know that wasn't my mood I don't like it. It's idiotic I don't know why you made it you made it horrible and that you just trying to get our fingerprints your little robbers. :-(,undefined,undefined
gp:AOqpTOG_LlBfPfQGkJTC9gGVhplSbO7KhqaVQ6xC2KmqYizdSeMpjuv8s7M_Czc-yfS8ysTbbG5hReU6jZ9w4cY,NightKnight2417,https://lh6.googleusercontent.com/-DfsgCMP5WPw/AAAAAAAAAAI/AAAAAAAAACk/-HMb229NAQU/w96-h96-p/photo.jpg,"April 16, 2017",https://play.google.com/store/apps/details?id=com.przemyslawslota.moodscanner&reviewId=Z3A6QU9xcFRPR19MbEJmUGZRR2tKVEM5Z0dWaHBsU2JPN0tocWFWUTZ4QzJLbXFZaXpkU2VNcGp1djhzN01fQ3pjLXlmUzh5c1RiYkc1aFJlVTZqWjl3NGNZ,1,,Crap. What even is it? Got it wrong and I tried this 4 3 weeks straight. Absolute crap. No point in even getting it. If i am angry it thinks I am thankful??!!¿¿ All stuff like this are 100% fake. It is faker than a than the word fake its self. It is faker than Southend fc ever making it to the premier league. Game creators have just scammed you and have left you with a smile on your face. Hope you fill happy victims.,undefined,undefined
gp:AOqpTOHM5VlNygkHdy0l8eIIY7idrpLZCkpUJaxwxKK4fF9lERkrnhs-Cs5EX9hRwprpqUjwDEo_iJ2Bjp2y8k0,American Diva,https://lh3.googleusercontent.com/-wKJB7fWvarM/AAAAAAAAAAI/AAAAAAAAAQo/ZzVh6SDIQoo/w96-h96-p/photo.jpg,"March 12, 2017",https://play.google.com/store/apps/details?id=com.przemyslawslota.moodscanner&reviewId=Z3A6QU9xcFRPSE01VmxOeWdrSGR5MGw4ZUlJWTdpZHJwTFpDa3BVSmF4d3hLSzRmRjlsRVJrcm5ocy1DczVFWDloUndwcnBxVWp3REVvX2lKMkJqcDJ5OGsw,5,,"Super.  It said I was tired and I totally was! Probably beacause at the time it was about 4:40 at the time. But the emojis could use a little work. Also, everybody who says it's wrong it's probably because you're either moving your finger or, since I'm pretty sure it measures your heart rate, it could pick up multiple emotions and give you one of those.",undefined,undefined
gp:AOqpTOHY-n6BRfmOt9min9mXEOAlDKdTRgRGNArqYhRtuDPSIJe5OIka1WwCeq7TgXDw35lE-1k2WOXGkAgvCAU,Isabel H,https://lh4.googleusercontent.com/-n9GTelMbIBQ/AAAAAAAAAAI/AAAAAAAAAeg/84bjCX89m_U/w96-h96-p/photo.jpg,"August 10, 2017",https://play.google.com/store/apps/details?id=com.przemyslawslota.moodscanner&reviewId=Z3A6QU9xcFRPSFktbjZCUmZtT3Q5bWluOW1YRU9BbERLZFRSZ1JHTkFycVloUnR1RFBTSUplNU9Ja2ExV3dDZXE3VGdYRHczNWxFLTFrMldPWEdrQWd2Q0FV,1,,This app is sooooooo stupid I did it once and said I was embarrassed then I did it again and it said I was excited embarrassed and excited r two different things also how can your mood change in a second. I advise you not to download it is a total  waste of time  👎👎👎👎👎,undefined,undefined
gp:AOqpTOE0_lHxYpunnya-B6Lp4aKO4H8PK3oMDWjIAMs95u4OauRJF_5IrAhvVjD2EG3O_irSmGGzZiQno7jpiNY,Levin Kiss,https://lh5.googleusercontent.com/-lmfyqgdVbe0/AAAAAAAAAAI/AAAAAAAAAC8/5Rpati1z78k/w96-h96-p/photo.jpg,"January 19, 2018",https://play.google.com/store/apps/details?id=com.przemyslawslota.moodscanner&reviewId=Z3A6QU9xcFRPRTBfbEh4WXB1bm55YS1CNkxwNGFLTzRIOFBLM29NRFdqSUFNczk1dTRPYXVSSkZfNUlyQWh2VmpEMkVHM09faXJTbUdHelppUW5vN2pwaU5Z,1,,It just randomly puts in different moods. It even worked with a stylus! Plus your mood changes every time,undefined,undefined
gp:AOqpTOFwmRIbFXQZEucWhkLtVfs1LkD_Dq5FYYcA2gl135_Zh8XByFcoIoTr2W6ZhEcTtpUVmBNkCfq4sr9YNoM,simona daily,https://lh4.googleusercontent.com/-hcBrTb_CkDY/AAAAAAAAAAI/AAAAAAAAAEk/b_qNLojtlrc/w96-h96-p/photo.jpg,"August 15, 2017",https://play.google.com/store/apps/details?id=com.przemyslawslota.moodscanner&reviewId=Z3A6QU9xcFRPRndtUkliRlhRWkV1Y1doa0x0VmZzMUxrRF9EcTVGWVljQTJnbDEzNV9aaDhYQnlGY29Jb1RyMlc2WmhFY1R0cFVWbUJOa0NmcTRzcjlZTm9N,1,,I hate it! I was very sad because of some thing but the scanner said i was in love. If you get this app it is just a waist of storage.,undefined,undefined
gp:AOqpTOHeb6E7_Il3NvL_cXMSXSjKb7zdCrSi2CwIvW4WDDJdSyy5j7Qrtuq4kbr-IQ8sfIxbMQ4soa0WFFvzqqc,flower,https://lh3.googleusercontent.com/-PTvPGdkAapk/AAAAAAAAAAI/AAAAAAAAAGY/OinHJY1AiNY/w96-h96-p/photo.jpg,"May 28, 2017",https://play.google.com/store/apps/details?id=com.przemyslawslota.moodscanner&reviewId=Z3A6QU9xcFRPSGViNkU3X0lsM052TF9jWE1TWFNqS2I3emRDclNpMkN3SXZXNFdEREpkU3l5NWo3UXJ0dXE0a2JyLUlROHNmSXhiTVE0c29hMFdGRnZ6cXFj,3,,"Well first off people who said that this game was not real it kinda is, it took me a few trys but it got it right I was tried and happy so if want a time killer this is your game",undefined,undefined
gp:AOqpTOGYA25Y9g0uvi-OTCHmSBJvCtqSX4oq2820NpxYe-I8YoFhulC1LEqxct7zIuDzsbnOKxxcqHin5E7BMTQ,Kennedy Levine,https://lh3.googleusercontent.com/-a0g0ge4umpU/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVHzXYQAP4sUlVVb-woPIhGC2_CaA/w96-h96-p/photo.jpg,"May 31, 2017",https://play.google.com/store/apps/details?id=com.przemyslawslota.moodscanner&reviewId=Z3A6QU9xcFRPR1lBMjVZOWcwdXZpLU9UQ0htU0JKdkN0cVNYNG9xMjgyME5weFllLUk4WW9GaHVsQzFMRXF4Y3Q3ekl1RHpzYm5PS3h4Y3FIaW41RTdCTVRR,1,,This app sucks. I was wondering what idiot would make it. Please don't waste your time and download it!,"June 1, 2017","Hi Kennedy, I'm that idiot ... and I made that app for smart guys who read apps' descriptions ;) I recommend to do it before using :D Have a nice day"
gp:AOqpTOHoaSbcDi-aozRWz9tSvQaPtGjj6FuGnH6XHXcERr5nUjXPdt0y7jxnC7eKzVPr_siiBZiFLQDi_2uotUw,Alyssa Carrasco,https://lh6.googleusercontent.com/-xByIoqFR9SU/AAAAAAAAAAI/AAAAAAAAAG8/VnJfbnWc5v4/w96-h96-p/photo.jpg,"July 22, 2017",https://play.google.com/store/apps/details?id=com.przemyslawslota.moodscanner&reviewId=Z3A6QU9xcFRPSG9hU2JjRGktYW96Uld6OXRTdlFhUHRHamo2RnVHbkg2WEhYY0VScjVuVWpYUGR0MHk3anhuQzdlS3pWUHJfc2lpQlppRkxRRGlfMnVvdFV3,5,,Its awesome!  It was 1: 25 am and I was tired and when I put my finger 👆 on the scanner it said exhausted,undefined,undefined
gp:AOqpTOFQFB6zL9fe3Z3otezm2KJ4pHHTT2_cAkShuRkTJgW2zAkzophxrV__jSGWCxJZJSZIvP2gQx5La7J7ABc,Siann Dos Reis Fernandes,https://lh3.googleusercontent.com/-6o_K-E4_TGw/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVXMgg6Dazh2uxGzAnsbKaXAJ792A/w96-h96-p/photo.jpg,"May 25, 2017",https://play.google.com/store/apps/details?id=com.przemyslawslota.moodscanner&reviewId=Z3A6QU9xcFRPRlFGQjZ6TDlmZTNaM290ZXptMktKNHBISFRUMl9jQWtTaHVSa1RKZ1cyekFrem9waHhyVl9falNHV0N4SlpKU1pJdlAyZ1F4NUxhN0o3QUJj,1,,It is the worst app ever. It gives wrong mood. It will tell u a mood but if u put it again it will tell a different thing.I have uninstalled it.Plz plz plz do no install this app.,undefined,undefined
gp:AOqpTOGzjcS-qrTzRj_-xmZEBTpEgmIM7G513Xmlup1fEwt3TSQRJU633fBJ-ufx_s7deyb4Fa0WbXSlYpIE39Y,Elodie Pearce,https://lh5.googleusercontent.com/-LYrWRZ_gnXU/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUmacl4ucwz3warCHBijfVVVAQLQQ/w96-h96-p/photo.jpg,"August 5, 2017",https://play.google.com/store/apps/details?id=com.przemyslawslota.moodscanner&reviewId=Z3A6QU9xcFRPR3pqY1MtcXJUelJqXy14bVpFQlRwRWdtSU03RzUxM1htbHVwMWZFd3QzVFNRUkpVNjMzZkJKLXVmeF9zN2RleWI0RmEwV2JYU2xZcElFMzlZ,1,,Rubbish. I got it and I acted like I was angry and I was angry. Guess what it said. It said I was embarrassed. Right cause the internet is so amazing it allows this,undefined,undefined
gp:AOqpTOEbUYUc10zXxXGUknqz1vOS7VCuVo0Vdq8SxEITJ5uNQh-isYDKlCnRO7Cp1uazhPmAaUIg7AjAuaZAWjY,,https://lh5.googleusercontent.com/-CgRWPGraUww/AAAAAAAAAAI/AAAAAAAAAAA/svk24SdXxLc/w96-h96-p/photo.jpg,"July 22, 2017",https://play.google.com/store/apps/details?id=com.przemyslawslota.moodscanner&reviewId=Z3A6QU9xcFRPRWJVWVVjMTB6WHhYR1VrbnF6MXZPUzdWQ3VWbzBWZHE4U3hFSVRKNXVOUWgtaXNZREtsQ25STzdDcDF1YXpoUG1BYVVJZzdBakF1YVpBV2pZ,5,,"It is amazing I defiantly recommend it. I was tired when I damload this app because I had just come back from a party and omg I put my this on it waited and it said tired, I loved it.. It was amazing I wanted to try again and it said in love it was absolutely right no questions asked. Then I tried again and it said in shock. IT WAS RIGHT!!!!!!!!!!!!!!!!!",undefined,undefined
gp:AOqpTOGWnJhL7SNUNzimjRqC0nF_KG4bpmH4HzRC6GeZhoOjixEnhUdgq3XNZwOjruayPQo12vVN5oiORw6O4aM,,https://lh5.googleusercontent.com/-NwCtgZUkG30/AAAAAAAAAAI/AAAAAAAAAAw/UXcwGOgBPbI/w96-h96-p/photo.jpg,"September 24, 2017",https://play.google.com/store/apps/details?id=com.przemyslawslota.moodscanner&reviewId=Z3A6QU9xcFRPR1duSmhMN1NOVU56aW1qUnFDMG5GX0tHNGJwbUg0SHpSQzZHZVpob09qaXhFbmhVZGdxM1hOWndPanJ1YXlQUW8xMnZWTjVvaU9SdzZPNGFN,1,,Horrible. I was hungry and it said i was in love. I hate this app so much.  DO NOT GET THIS APP👿😡😠👎,undefined,undefined
gp:AOqpTOGF1SyIDmHBxpUJYW5cKQCiqHmSKp9D_c2fzr5EOCMb4QtHLBSoTb7dq6SHQ0O9MnKGP3n8C6oBc8tqNIw,D I E,https://lh5.googleusercontent.com/-CdQrbySgfx0/AAAAAAAAAAI/AAAAAAAABA4/pHGp0fYUD3k/w96-h96-p/photo.jpg,"February 4, 2017",https://play.google.com/store/apps/details?id=com.przemyslawslota.moodscanner&reviewId=Z3A6QU9xcFRPR0YxU3lJRG1IQnhwVUpZVzVjS1FDaXFIbVNLcDlEX2MyZnpyNUVPQ01iNFF0SExCU29UYjdkcTZTSFEwTzlNbktHUDNuOEM2b0JjOHRxTkl3,5,,"The first time it said 'in love' and I wasn't. I tried again and it said 'relaxed'. It was correct. I recommend it. It's fun. The next time I did it, I put my nose in it. (Im just weird). And it said I'm 'jealous' TOO FUNNY","June 1, 2017","Hi, I wouldn't say you are weird - you are a positive & crazy guy and this fun app is mainly for people like you :) Thank you for a positive review."
