id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOF4kk3w-y0JDw5Cg69ghM6dw78eLd8oKgGyY1iA1vOhsWrN4e_WWq6DgGelmfFkuxWdyyNfgQAx3Gfm6iM,Miss Tori,https://lh5.googleusercontent.com/-w0mu32r_t8Y/AAAAAAAAAAI/AAAAAAAAATI/NveobN9K-IU/w96-h96-p/photo.jpg,"October 25, 2017",https://play.google.com/store/apps/details?id=com.aumva.peas&reviewId=Z3A6QU9xcFRPRjRrazN3LXkwSkR3NUNnNjlnaE02ZHc3OGVMZDhvS2dHeVkxaUExdk9oc1dyTjRlX1dXcTZEZ0dlbG1mRmt1eFdkeXlOZmdRQXgzR2ZtNmlN,3,,"It's a good concept, but only being able to log one emotion at a time severely limits it's usefulness. People never feel just one, flat emotion per hour - emotions typically are felt in multitudes. Yes there's usually a broad, ""louder"" emotion, but there's also underlying emotions that surround and/or feed into it.   Additionally there's no explanation for how to best use it or what the graph and number at the top represent and how to utilize that information.  I uninstalled the app because it won't work for what I want. However I gave three stars because it has potential to be so much better.",undefined,undefined
gp:AOqpTOHD6duBaq5Re9472WPzDgeY7Krc555I3VzRb4w9Ml795GdpE1sKHypJyGdFSDgcPnDgAVabMdMoRO5T8QU,Yakira Ervin Gray,https://lh5.googleusercontent.com/-JGLD1_f-4nw/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjXYgsgw2ywRhbnWSrjX_G5Rv6t-4A/w96-h96-p/photo.jpg,"August 21, 2017",https://play.google.com/store/apps/details?id=com.aumva.peas&reviewId=Z3A6QU9xcFRPSEQ2ZHVCYXE1UmU5NDcyV1B6RGdlWTdLcmM1NTVJM1Z6UmI0dzlNbDc5NUdkcEUxc0tIeXBKeUdkRlNEZ2NQbkRnQVZhYk1kTW9STzVUOFFV,5,,I love this app but there's a few things that I would love to be  improved upon.   1. Why can't you add your own feeling. Or be able to change the name of one.  2. It isn't notifying me to input feelings but it's set to 1 hr intervals.  3. Why don't I have a chart for the month and year just daily.   These improvements would make me love this app even more then I already do!,"August 21, 2017","Hi Yakira, thank u so much for taking time to rating & give us your valuable feedback. The option of adding custom feelings will be added soon. When you see a notification, touching it will open the add feelings screen. The app does have chart for daily, weekly, monthly & yearly. Goto past screen & you can see it. Wish you a happy & peaceful life."
gp:AOqpTOG51dpXIqwM0YM616GLFWQ7W7m_-rEb1_HB_-DY_YEcaDMiTDq51z1uuErVibGkIfWXPLfAgtxTub8451g,Fernando De Britto,https://lh4.googleusercontent.com/-KVoT1bnNH6A/AAAAAAAAAAI/AAAAAAAAAGU/LIffQ8uMQFc/w96-h96-p/photo.jpg,"June 19, 2017",https://play.google.com/store/apps/details?id=com.aumva.peas&reviewId=Z3A6QU9xcFRPRzUxZHBYSXF3TTBZTTYxNkdMRldRN1c3bV8tckViMV9IQl8tRFlfWUVjYURNaVREcTUxejF1dUVyVmliR2tJZldYUExmQWd0eFR1Yjg0NTFn,4,,"It's really good, I've been looking for something like this for quite some time. I do have some desires for the future though, I think you should be able to set the values for the moods both in general and specifically. I also would like to be able to give it a personal ringtone so I know when it goes off and not something else. And maybe if you would be able to add new emotions yourself that would be super awesome. Stay awesome guys!","June 19, 2017","Hi Fernando, thank you very much for your review & suggestion. We will incorporate your suggestions in the future release. Wish you a happy & peaceful life. & stay awesome!"
gp:AOqpTOEWd2yBxfJCFaltqrYgdK9as8lzmzO8_ktjahhCsQYz51d8nySrGwnujVbAh31EmTqKUwsDJ0wNzP8uhF8,Madolyn Griffith,https://lh3.googleusercontent.com/-cYPL6WjcBIw/AAAAAAAAAAI/AAAAAAAAAH4/WEHHXRRkLLU/w96-h96-p/photo.jpg,"July 28, 2017",https://play.google.com/store/apps/details?id=com.aumva.peas&reviewId=Z3A6QU9xcFRPRVdkMnlCeGZKQ0ZhbHRxcllnZEs5YXM4bHptek84X2t0amFoaENzUVl6NTFkOG55U3JHd251alZiQWgzMUVtVHFLVXdzREowd056UDh1aEY4,4,,"I'm frustrated that there are a lot of moods I'd never use but ones I need aren't there. I'd also prefer to know what each mood is worth so at least I can choose the right 1-5 value for my mood. Currently I'd say I'm at 3 but because it didn't have the description I need and I had to guess, it's got me at 5 and that's not where I am at all 😬","July 28, 2017","Hi Madolyn, we are extremely sorry for the inconvenience caused. Thank for giving us your valuable feedback. We are definitely look into this & add this feature soon. Again, thank you for using our app. Wish you a happy & peaceful life ☺️☺️"
gp:AOqpTOFjlnX_QnKbEJuEqCuaqAPIEPbmccATufoRRbHJvnO4wspFyPXjwNvotttlQZcJbFrjiS4dhiuTEatxzKs,Alycia Cayemberg,https://lh6.googleusercontent.com/-Mng6ohH7CFo/AAAAAAAAAAI/AAAAAAAAADI/OV5kuz85I2M/w96-h96-p/photo.jpg,"June 4, 2017",https://play.google.com/store/apps/details?id=com.aumva.peas&reviewId=Z3A6QU9xcFRPRmpsblhfUW5LYkVKdUVxQ3VhcUFQSUVQYm1jY0FUdWZvUlJiSEp2bk80d3NwRnlQWGp3TnZvdHR0bFFaY0piRnJqaVM0ZGhpdVRFYXR4ektz,5,,"This is a great tool for those in therapy that tend to forget about  how they feel on a daily basis. The only two complaints I would have is maybe having a ""mixed up"" feeling and maybe have an all inclusive section where you can see your complete history.  As far as I have seen, this is certainly the best mood tracker/diary app in the store. I hope for it to expand and update to add more features while staying simple and free.","June 10, 2017","Hi Alycia, thank you for your valuable feedback & rating our app. We will try to add those features in the future. Wish you a happy life."
gp:AOqpTOEaDR7vNBORhX7pEAMtPVAj4ugmpIRQQXmx9OQcaGegEgZ2tajckaj4f6mSdA0uKOMp7OMCSNRuhgoBjL8,Lisa Kureha,https://lh5.googleusercontent.com/-LcvnqFd8xRk/AAAAAAAAAAI/AAAAAAAAARo/Q630k2-gfWI/w96-h96-p/photo.jpg,"June 10, 2017",https://play.google.com/store/apps/details?id=com.aumva.peas&reviewId=Z3A6QU9xcFRPRWFEUjd2TkJPUmhYN3BFQU10UFZBajR1Z21wSVJRUVhteDlPUWNhR2VnRWdaMnRhamNrYWo0ZjZtU2RBMHVLT01wN09NQ1NOUnVoZ29Cakw4,5,,"Finally, a mood tracker that allows you to log specific emotion from lots of available choices. Others mostly just allow rating how sad or how happy you are, which i guess works for some people but it's not very satisfying for me personally, so thanks for this. I appreciate the visual representation for each mood, backup options, no ads, no signing up and the search bar to find a specific mood. The UI and design is easy to use, the future goals is also a fun addition. It would be better if we could log two different moods at the same time and maybe add our own mood. Calendar view would be nice. Anyway 5 stars from me. great concept.","June 10, 2017","Hi Lisa, thank you very much for your valuable feedback. We will try to add those features in the future. Once again thank you for your review."
gp:AOqpTOHtKba6aFFoRMYMlv4yqQ8LZtYcc9vM2s8BPVcIWvRFc3eH_99_apk-dhJ4DquYs5tL7kT3ZSVmpqYj7-0,Priscilla Filocco,https://lh5.googleusercontent.com/-czGFILAzhkE/AAAAAAAAAAI/AAAAAAAATsA/7MxfCB6_iyk/w96-h96-p/photo.jpg,"June 19, 2017",https://play.google.com/store/apps/details?id=com.aumva.peas&reviewId=Z3A6QU9xcFRPSHRLYmE2YUZGb1JNWU1sdjR5cVE4TFp0WWNjOXZNMnM4QlBWY0lXdlJGYzNlSF85OV9hcGstZGhKNERxdVlzNXRMN2tUM1pTVm1wcVlqNy0w,4,,"Overall I like the app. But I wish there were more feelings like embarrassed, relief, shyness, etc. But even without those key emotions, this app still has more than any other app I've come across on the market. Having an actual calendar view would be great that allowed you to view any given day.  Also a graph view to really see the ups and downs of the days, weeks and months. This app has so much potential to be the best mood diary on the market.","June 20, 2017","Hi Priscilla, thank you very much for your review & suggestion. We will add those features in a future release. Wish you a happy & peaceful life."
gp:AOqpTOG_E4NPTXEcatchIudBJW_YiuEYIXxeDKgaiv7pC7gFjtOtNDlFgYNklVX8-oU-7lYywDt0zo5PUaoVbm4,Anna Sutton,https://lh4.googleusercontent.com/-VbR1lALFGNY/AAAAAAAAAAI/AAAAAAAAAFA/EZucR59JPMM/w96-h96-p/photo.jpg,"December 26, 2017",https://play.google.com/store/apps/details?id=com.aumva.peas&reviewId=Z3A6QU9xcFRPR19FNE5QVFhFY2F0Y2hJdWRCSldfWWl1RVlJWHhlREtnYWl2N3BDN2dGanRPdE5EbEZnWU5rbFZYOC1vVS03bFl5d0R0MHpvNVBVYW9WYm00,4,,"Because the moods are linked to emoticons, it makes tracking less intimidating.  However, it would be nice to have a function where we could rate the strength of that emotion and a way to provide feedback for an emotion that may not be there.  For instance, I sometimes have apprehension over events, but I wouldn't say that it's a full blown anxiety.  But anxiety is the closest emotion available.  Thanks!",undefined,undefined
gp:AOqpTOG9PEZyG4HVtnNJ0LdpJfi3KWgyg2lbZfYfZfnvGM_hEVmX3Caknn72jwW2R8aTVkmV63vyMdnw_MpgnvY,,https://lh4.googleusercontent.com/-WdgRLsNIyCk/AAAAAAAAAAI/AAAAAAAAAAA/MVCFkYP7emk/w96-h96-p/photo.jpg,"September 18, 2017",https://play.google.com/store/apps/details?id=com.aumva.peas&reviewId=Z3A6QU9xcFRPRzlQRVp5RzRIVnRuTkowTGRwSmZpM0tXZ3lnMmxiWmZZZlpmbnZHTV9oRVZtWDNDYWtubjcyandXMlI4YVRWa21WNjN2eU1kbndfTXBnbnZZ,5,,great app we're using in the NHS but is there a way I've possibly missed to send xav of a year or month etc so we can use it in clinic? or send to our therapist? that would be great. also maybe more colours in the faces according to their emotion but it's great anyway. thank you,"September 18, 2017","Hello friend, thank you so much for using our app & writing us a review. We feel great that our app is helping you. Right now we don't have that feature. We will add it in the future release. Please feel free to give us feedback & features you want to have. We will do our best to make it available. Wish you a happy life. Take care ☺️☺️"
gp:AOqpTOGe4g4KCP84r7xOFU-S5XvPxNNH8T5wgePIaX7dDD6DfaJM8VezWeyYitb9nvP8SxGMesrblnGKXods5kM,Rachel J. Milewski,https://lh3.googleusercontent.com/-D5beusbs_i0/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjV_9bo2pD9gNgFsgGqwxUZ3Y7oNlg/w96-h96-p/photo.jpg,"July 25, 2017",https://play.google.com/store/apps/details?id=com.aumva.peas&reviewId=Z3A6QU9xcFRPR2U0ZzRLQ1A4NHI3eE9GVS1TNVh2UHhOTkg4VDV3Z2VQSWFYN2RERDZEZmFKTThWZXpXZXlZaXRiOW52UDhTeEdNZXNyYmxuR0tYb2RzNWtN,5,,"This app provides a simple way to ""check in"" with yourself and how you're feeling throughout the day, log it, and make notes. I've found it very helpful so far. It's great that you can set your own intervals for the prompts and makes it easy to stay connected to your feelings without dwelling on them. I definitely recommend it!","July 25, 2017","Hi Rachel, thank you so much for taking time to review us. Wish you a happy & peaceful life."
