id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOGLpcpkIvvU8PeR9xPXJ1G6uSXbWwTZWFOYWqqRnWkacZWOEtdw-OYQngUQb9VfWaRhXXq_rRLe3Bga6A,Nate Melcher,https://lh3.googleusercontent.com/-ypqvB-ngTdo/AAAAAAAAAAI/AAAAAAAAC9c/TUQUMk7emr0/w96-h96-p/photo.jpg,"June 10, 2017",https://play.google.com/store/apps/details?id=com.MoodPanda&reviewId=Z3A6QU9xcFRPR0xwY3BrSXZ2VThQZVI5eFBYSjFHNnVTWGJXd1RaV0ZPWVdxcVJuV2thY1pXT0V0ZHctT1lRbmdVUWI5VmZXYVJoWFhxX3JSTGUzQmdhNkE,5,,"I've used Mood Panda anonymously every day for over THREE years and I love it. Good interface, great data tracking, supportive community.",undefined,undefined
gp:AOqpTOHvUTjYnN-JloUPgr_pILmS6aSwLSq0BTk1oXGkl7i8PuH87LohRX9cxqL65Y4mEylqUDoGDf4GFfj5-A,M Skallywagg,https://lh5.googleusercontent.com/-bmOg9r_lfbY/AAAAAAAAAAI/AAAAAAAALC8/HiWkKBB8FOg/w96-h96-p/photo.jpg,"March 22, 2017",https://play.google.com/store/apps/details?id=com.MoodPanda&reviewId=Z3A6QU9xcFRPSHZVVGpZbk4tSmxvVVBncl9wSUxtUzZhU3dMU3EwQlRrMW9YR2tsN2k4UHVIODdMb2hSWDljeHFMNjVZNG1FeWxxVURvR0RmNEdGZmo1LUE,3,,"Soon as i realised it had social media attached i deleted it , can't stand Facebook",undefined,undefined
gp:AOqpTOEUawzF-pfIXf9BLOQH8n2eYBuCmxiCn5VPxRZVPjmMvb1poS-adfaTvD0j7CwWBHwHVjarKk9QecBzlg,,https://lh6.googleusercontent.com/-vN_DVMO26aE/AAAAAAAAAAI/AAAAAAAAAeg/SyckD2eygVs/w96-h96-p/photo.jpg,"May 13, 2017",https://play.google.com/store/apps/details?id=com.MoodPanda&reviewId=Z3A6QU9xcFRPRVVhd3pGLXBmSVhmOUJMT1FIOG4yZVlCdUNteGlDbjVWUHhSWlZQam1NdmIxcG9TLWFkZmFUdkQwajdDd1dCSHdIVmphcktrOVFlY0J6bGc,2,,"Slow, confusing from the usability standpoint.",undefined,undefined
gp:AOqpTOHjUtYNTLNHPynb1yKspLPykSeYC_H4t6y9UGZQMY5De0C7LccYkR6j8x8M3ZR-68jU77NNvmSCRF0OeQ,Breyana Scales,https://lh5.googleusercontent.com/-h5DHENp2WTo/AAAAAAAAAAI/AAAAAAAAAFE/VrD7MMrOWJ4/w96-h96-p/photo.jpg,"January 26, 2018",https://play.google.com/store/apps/details?id=com.MoodPanda&reviewId=Z3A6QU9xcFRPSGpVdFlOVExOSFB5bmIxeUtzcExQeWtTZVlDX0g0dDZ5OVVHWlFNWTVEZTBDN0xjY1lrUjZqOHg4TTNaUi02OGpVNzdOTnZtU0NSRjBPZVE,1,,It didn't even load.,undefined,undefined
gp:AOqpTOE8qEpdGtsKg06pFXlXjsQiCc6sgJCPgJOAwg2I1caIJlpsoFcprmUe5rKvMQJRES7J8x6hiXVgDSA0fg,abby wong,https://lh6.googleusercontent.com/-qi0DiA1cPwY/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVhSFGuok9h0PRxAycKa4Z3UKvdPA/w96-h96-p/photo.jpg,"July 28, 2017",https://play.google.com/store/apps/details?id=com.MoodPanda&reviewId=Z3A6QU9xcFRPRThxRXBkR3RzS2cwNnBGWGxYanNRaUNjNnNnSkNQZ0pPQXdnMkkxY2FJSmxwc29GY3BybVVlNXJLdk1RSlJFUzdKOHg2aGlYVmdEU0EwZmc,1,,I AM TO YOUNG FOR THIS!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!😢,undefined,undefined
gp:AOqpTOFckk0RJ9CsuG_ghOHfB5fGj9KvujSqc-ybLePD3Ykyygyu9uE-2dFTd8JW46SugZGG2ZtyazefE06-Ig,PI ING Chiu,https://lh6.googleusercontent.com/-DRwPea1QHc4/AAAAAAAAAAI/AAAAAAAAAGU/2DUzMO4ObNk/w96-h96-p/photo.jpg,"February 24, 2017",https://play.google.com/store/apps/details?id=com.MoodPanda&reviewId=Z3A6QU9xcFRPRmNrazBSSjlDc3VHX2doT0hmQjVmR2o5S3Z1alNxYy15YkxlUEQzWWt5eWd5dTl1RS0yZEZUZDhKVzQ2U3VnWkdHMlp0eWF6ZWZFMDYtSWc,1,,UI is terrible,undefined,undefined
gp:AOqpTOECz4x6ZCF2lZReHzYyEp0sRy0fnRz4WFvY_KdELaBWyZ6tjCR_geVXtqwLg-AYVQKd1yhbyamf87Fbhg,Sabrina R u serious?,https://lh6.googleusercontent.com/-o2LDPIv8efw/AAAAAAAAAAI/AAAAAAAAAj4/Ealj2sy_s_Q/w96-h96-p/photo.jpg,"March 10, 2016",https://play.google.com/store/apps/details?id=com.MoodPanda&reviewId=Z3A6QU9xcFRPRUN6NHg2WkNGMmxaUmVIell5RXAwc1J5MGZuUno0V0Z2WV9LZEVMYUJXeVo2dGpDUl9nZVZYdHF3TGctQVlWUUtkMXloYnlhbWY4N0ZiaGc,5,"I'm new to this app so far... but, I loooove it already!!! :)","I'm new to this app so far... but, I loooove it already!!! :) This is an awesome community of people who are there for each other. You can set your status and other people can comment on it or hug you! Who doesn`t love a hug? lol. You can also keep track of your moods, etc. and see where the global mood (everyone that uses the application) is set for the day!!! :) It's interesting to see if you are having the same moods that everyone else is having! :) ALSO... I read reviews about the speed not being fast???.... I have an EXTREMELY slow tablet... BUT WHEN IT CAME TO THE SPEED OF THE APP... IT WAS VERY, VERY, VERY FAST!!! :)",undefined,undefined
gp:AOqpTOEXV45VthACDlmTAWzomcpyyA-PpArYuu4W1km2eTQBuMKNhWuFXUFkQcI0d0l4BKS_guqlMoIoPbYZuA,Amber Drsata,https://lh6.googleusercontent.com/-r1s4E_-av9s/AAAAAAAAAAI/AAAAAAAAAXg/kYbeseXu0l8/w96-h96-p/photo.jpg,"October 24, 2014",https://play.google.com/store/apps/details?id=com.MoodPanda&reviewId=Z3A6QU9xcFRPRVhWNDVWdGhBQ0RsbVRBV3pvbWNweXlBLVBwQXJZdXU0VzFrbTJlVFFCdU1LTmhXdUZYVUZrUWNJMGQwbDRCS1NfZ3VxbE1vSW9QYlladUE,1,annoying start up,"annoying start up It's already annoying to have to sign up for something but on top of that if you click the login with facebook choice it doesn't automatically connect but opens the website within the MoodPanda app, which doesn't even load properly to allow me to enter my username.  It's very common for apps that allow login via facebook to connect directly to the app.  Get this functionality or better yet get rid of requirement for usernames.",undefined,undefined
gp:AOqpTOGbG68GDMZJdSpqcZl9KIM6CQEL7dqgrSBhA8TkUVN_xxA_b2QkWHljHCrIPVZNa0sGxJXNY3SazDT1rg,Karen Wilson,https://lh3.googleusercontent.com/-4uWBwKDt3eo/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjV2RfI9ssKzlaiuyeCwW1moWiiiLg/w96-h96-p/photo.jpg,"July 23, 2014",https://play.google.com/store/apps/details?id=com.MoodPanda&reviewId=Z3A6QU9xcFRPR2JHNjhHRE1aSmRTcHFjWmw5S0lNNkNRRUw3ZHFnclNCaEE4VGtVVk5feHhBX2IyUWtXSGxqSENySVBWWk5hMHNHeEpYTlkzU2F6RFQxcmc,4,Was great now Ok,Was great now Ok Loved that I had the option not to publish my inner self with the whole world & easily figured put privacy features.  Loved the graphs although some were hard to read & have no explanation on how to interpret. Newest upgrade didn't seem to improve but made SLOWER &I do not like that it no longer goes to a main menu. The window requesting donations everytime you update your status probably well annoy others but I understand.,undefined,undefined
gp:AOqpTOGZerNQhu_CWCn-Gj4yKgAc56HeeRd7abTa4g9VHrgRUnW8_0VZKbb7EPVgoNY6CYewWPDsWR0SQBiJSw,Shelbi Reese,https://lh5.googleusercontent.com/-70SaHSC2yvw/AAAAAAAAAAI/AAAAAAAAJCk/Mww0G0t-6ZE/w96-h96-p/photo.jpg,"January 16, 2015",https://play.google.com/store/apps/details?id=com.MoodPanda&reviewId=Z3A6QU9xcFRPR1plck5RaHVfQ1dDbi1HajR5S2dBYzU2SGVlUmQ3YWJUYTRnOVZIcmdSVW5XOF8wVlpLYmI3RVBWZ29OWTZDWWV3V1BEc1dSMFNRQmlKU3c,5,Please Read,"Please Read If you're thinking of downloading this app, I highly recommend you do. In my personal experience, it has saved my life and the support from the community is incomparable to any other. In the stories others have shared with me about MoodPanda, they say they are happy they found this because it has helped them in many ways. Pandas (what we call ourselves) are very caring, we understand the struggles of ""mental illness"" and how to help with it. You must try it.",undefined,undefined
