id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOEINKz1pw8msGuNIRQbuH286kPzDxF-vRtPEcnc8YdvvsDtcbojlV3tCWYozZ0N0Fu07C8uaO0KM8IjNfY,Alyson Zepeda,https://lh4.googleusercontent.com/-Vs5kreURTnM/AAAAAAAAAAI/AAAAAAAABhE/QAy2km7O7DQ/w96-h96-p/photo.jpg,"December 16, 2017",https://play.google.com/store/apps/details?id=com.TailoredMusic.RainyMood&reviewId=Z3A6QU9xcFRPRUlOS3oxcHc4bXNHdU5JUlFidUgyODZrUHpEeEYtdlJ0UEVjbmM4WWR2dnNEdGNib2psVjN0Q1dZb3paME4wRnUwN0M4dWFPMEtNOElqTmZZ,5,,"I've used Rainy Mood for years online for free. I love it so much that today I decided I really needed to find a way to give them money for all the years of better sleep,  focus, and general cozy feels. <3 The best rain sounds available, by orders of magnitude. No one else comes close. Protip: play Rainy Mood Classic over Bach Cello Suites (all of them, but especially #1.)",undefined,undefined
gp:AOqpTOEll4zbK81qFzvBZ3O0063lnZUzLA7eioTXsop0HucjosT2mPmLyltdgEbXE6Ycwh3LE5iL4A47t2pqLcw,Brian Banks,https://lh5.googleusercontent.com/-UPrwiRMLr0M/AAAAAAAAAAI/AAAAAAAAO5c/e_A2N-Df2ao/w96-h96-p/photo.jpg,"December 21, 2017",https://play.google.com/store/apps/details?id=com.TailoredMusic.RainyMood&reviewId=Z3A6QU9xcFRPRWxsNHpiSzgxcUZ6dkJaM08wMDYzbG5aVXpMQTdlaW9UWHNvcDBIdWNqb3NUMm1QbUx5bHRkZ0ViWEU2WWN3aDNMRTVpTDRBNDd0MnBxTGN3,3,,"The sounds are wonderful, calming, and beneficial to sleep, much like the desktop site but with customizability.   However, I keep having challenges:  Sometimes the sound will stop in the middle of the night then I can't get it to play again until I reboot the phone.  Sometimes the sounds will keep playing after the app is closed.  Sometimes (even though the rain was stopped normally and the app is closed) I get rain every time I start an Audible book or music, then it stops when I turn off the music/book.  I have a Galaxy S7",undefined,undefined
gp:AOqpTOHce_UwrkkY-JSu9GfQFlAmQy8a9AQJi1VNdSM74zm2yXKHfoC3iFUJwxuW7uOFMxODaXRNs9o8C9bFqEI,Cyn Forrester,https://lh4.googleusercontent.com/-24QLfWUHYzE/AAAAAAAAAAI/AAAAAAAAEU0/D8hZyiajg2k/w96-h96-p/photo.jpg,"January 29, 2018",https://play.google.com/store/apps/details?id=com.TailoredMusic.RainyMood&reviewId=Z3A6QU9xcFRPSGNlX1V3cmtrWS1KU3U5R2ZRRmxBbVF5OGE5QVFKaTFWTmRTTTc0em0yeVhLSGZvQzNpRlVKd3h1Vzd1T0ZNeE9EYVhSTnM5bzhDOWJGcUVJ,5,,"Been a huge fan of Rainy Mood since I discovered it free years ago as a website. When it came out with an app, I just had to get it! Beautifully made! I do agree with Eric, that having a more optimized volume control would be awesome with other playlists.",undefined,undefined
gp:AOqpTOEXFEpZ-QHfSEWO6Hd6IgpPNj3KFYH10hUoGoXu0q-kIX61fZTUPns07vzHuvC7L6wdguQizzLi_TbB97k,Eric Du,https://lh3.googleusercontent.com/-bG6r_VUwn6c/AAAAAAAAAAI/AAAAAAAAAVc/vVT_52PuyuE/w96-h96-p/photo.jpg,"December 13, 2017",https://play.google.com/store/apps/details?id=com.TailoredMusic.RainyMood&reviewId=Z3A6QU9xcFRPRVhGRXBaLVFIZlNFV082SGQ2SWdwUE5qM0tGWUgxMGhVb0dvWHUwcS1rSVg2MWZaVFVQbnMwN3Z6SHV2QzdMNndkZ3VRaXp6TGlfVGJCOTdr,4,,"my only complaint is that you can't raise the volume of the rain any higher. There are times where the rain gets too quiet or the playlist I have is calming, but gets a bit too loud, so I have difficulty hearing the rain. Unlike the desktop version, I van't just open a sound mixer and fix it that way, so if it were possible to up the volume of the rain, I'd just love it even more.  Anyways, the app is great though, if you want just the rain sound effect, and are having trouble focusing on some work, or sleep, or whatever, this is honestly worth a shot. You can try the desktop version, see how you like it, then decide if you want this.","December 14, 2017","Thanks for the love, Eric and for supporting Rainy Mood! 😙  I appreciate your detailed feedback. Many pluviophiles are audiophiles too so will look for ways to improve the mix."
gp:AOqpTOGW8gcs9D7m3Zafax1b57PRE98gAFTtaybAnErF8uFqe-GHufCmSyclpsDYtGSH2CqkS8x7Qltt6sl6Eh8,,https://lh3.googleusercontent.com/-cCJi1LIsODc/AAAAAAAAAAI/AAAAAAAAAKs/vEVO-7fueoU/w96-h96-p/photo.jpg,"December 16, 2017",https://play.google.com/store/apps/details?id=com.TailoredMusic.RainyMood&reviewId=Z3A6QU9xcFRPR1c4Z2NzOUQ3bTNaYWZheDFiNTdQUkU5OGdBRlR0YXliQW5FckY4dUZxZS1HSHVmQ21TeWNscHNEWXRHU0gyQ3FrUzh4N1FsdHQ2c2w2RWg4,5,,"This app is incredible! I have always loved the rain. I don't think there is anything quite as therapeutic. Rainy Mood gives me that experience when I'm sleeping, writing, reading, and relaxing. So thankful for the developers and the many options, especially the timer. What a gift!! It's a must have, and I'm always happy to share it with other rain lovers!",undefined,undefined
gp:AOqpTOGQdEYa9GUJjIu1mxnKJWSrIIP09ow7O0xEinEuOwXoxkEEKtVZa9fi1Woe0goGRVJ8qiuVS7pT4C4_gi4,Crystal M,https://lh5.googleusercontent.com/-6sw6pCShLGI/AAAAAAAAAAI/AAAAAAAANzE/pg_9DeSDJfo/w96-h96-p/photo.jpg,"January 9, 2018",https://play.google.com/store/apps/details?id=com.TailoredMusic.RainyMood&reviewId=Z3A6QU9xcFRPR1FkRVlhOUdVSmpJdTFteG5LSldTcklJUDA5b3c3TzB4RWluRXVPd1hveGtFRUt0VlphOWZpMVdvZTBnb0dSVko4cWl1VlM3cFQ0QzRfZ2k0,5,,"I've tried quite a few rain apps over the years but this one is actually worth the $3 or however much it is, the sound quality is amazing, it actually sounds realistic! I've always had to cycle between different rain settings on other apps and half of them would just sound like white noise. I definitely recommend 👍",undefined,undefined
gp:AOqpTOHnsjJAg1DrTWeK4Qj_K_kRcDA48OKeQD4cij8xzfJjjrRtfrdzTOihGaF6t6e8shJcPcmDJCgbsriPL-M,Sam Patterson,https://lh3.googleusercontent.com/-KjOhxjS8SvM/AAAAAAAAAAI/AAAAAAAAEP4/wtPasZuHeiM/w96-h96-p/photo.jpg,"January 4, 2018",https://play.google.com/store/apps/details?id=com.TailoredMusic.RainyMood&reviewId=Z3A6QU9xcFRPSG5zakpBZzFEclRXZUs0UWpfS19rUmNEQTQ4T0tlUUQ0Y2lqOHh6ZkpqanJSdGZyZHpUT2loR2FGNnQ2ZThzaEpjUGNtREpDZ2JzcmlQTC1N,5,,Edit for update 4.2: I'm so happy about the new timer it's perfect.  Helps me fall asleep but I wish I could set the sleep timer. Sometimes one hour isn't enough time and it shutting off jolts me right back awake again,undefined,undefined
gp:AOqpTOFUwxMl4PQaQzMuZFbSqNpuRoctGycL9nERFo6vLZKAPcf0_DZCkHZgwlzlhq4TSfNSVm5kvTAdOsT3JIM,Brendan Snowball,https://lh4.googleusercontent.com/-oW2ZdgdP4_0/AAAAAAAAAAI/AAAAAAAAAB4/fsuG4VJFc94/w96-h96-p/photo.jpg,"December 11, 2017",https://play.google.com/store/apps/details?id=com.TailoredMusic.RainyMood&reviewId=Z3A6QU9xcFRPRlV3eE1sNFBRYVF6TXVaRmJTcU5wdVJvY3RHeWNMOW5FUkZvNnZMWktBUGNmMF9EWkNrSFpnd2x6bGhxNFRTZk5TVm01a3ZUQWRPc1QzSklN,5,,"As an insomniac almost nothing actually helps,me fall asleep. White noice just gives me a headache. I used the desktop version for a long time. This is icing. With my room stereo I get an immersive feeling that is super comforting. Thank you RainyMood. A++++++++",undefined,undefined
gp:AOqpTOH3U64gNknuXCkcWb3gWRfwSjn63jJOuYkMQ30XQ9QSswSE_fomNWN3SL2emzhEJaonzi_WfyrkgoXXMZo,Marko Ljuboja,https://lh3.googleusercontent.com/-WoanvdesRR4/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjWX56WwtvaRqY137Skt-JXlOfUR_g/w96-h96-p/photo.jpg,"November 30, 2017",https://play.google.com/store/apps/details?id=com.TailoredMusic.RainyMood&reviewId=Z3A6QU9xcFRPSDNVNjRnTmtudVhDa2NXYjNnV1Jmd1NqbjYzakpPdVlrTVEzMFhROVFTc3dTRV9mb21OV04zU0wyZW16aEVKYW9uemlfV2Z5cmtnb1hYTVpv,4,,"I'm not sure if it's my headphones or my phone but I keep hearing faint music in the background. It's like I'm picking up a radio station. Anyway, that out of the way, the app is awesome, it's like someone shoots a tranquilizer dart in my ass. Suggestion, in addition to lowering/raising volume of thunder, also add frequency.",undefined,undefined
gp:AOqpTOH6FyFFPMsrIznrOKSIaQEKYiQbWhLVvV3oq1Ad9ijW4J4A54r0QKsRkGqHDPYb0QdDOi19Z7NN2A-4FTw,,https://lh4.googleusercontent.com/-4h9jt8Iolqw/AAAAAAAAAAI/AAAAAAAAAAA/_Wy4acooWsY/w96-h96-p/photo.jpg,"January 3, 2018",https://play.google.com/store/apps/details?id=com.TailoredMusic.RainyMood&reviewId=Z3A6QU9xcFRPSDZGeUZGUE1zckl6bnJPS1NJYVFFS1lpUWJXaExWdlYzb3ExQWQ5aWpXNEo0QTU0cjBRS3NSa0dxSERQWWIwUWRET2kxOVo3Tk4yQS00RlR3,3,,"I love the idea of this app and what I've heard so far sounds good.  But I recently used it to try and get some sleep on a long flight.  With my phone in airplane mode, it went from 90% battery life to less than 50% in a couple of hours.  Upon reflection, this app does more than just play a simple audio track.  So, I guess I should expect it to use more power than Google Play.  But this seems excessive.",undefined,undefined
