id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOH83_CYsE2W88knjz5EdD_zwegAfj0ti_QC3iOMPNg1a0LUZfNXBzfdk1DriKLzP4qBBeczJiq-YXqtDg,,https://lh5.googleusercontent.com/-xOsZ6RaH-nw/AAAAAAAAAAI/AAAAAAAAAAA/z_FqBmClFIA/w96-h96-p/photo.jpg,"December 31, 2017",https://play.google.com/store/apps/details?id=com.xcent.mooodtraser&reviewId=Z3A6QU9xcFRPSDgzX0NZc0UyVzg4a25qejVFZERfendlZ0FmajB0aV9RQzNpT01QTmcxYTBMVVpmTlhCemZkazFEcmlLTHpQNHFCQmVjekppcS1ZWHF0RGc,5,,I am not lying i know it looks completely fake. Trust me it is amazing. My dog was driving me crazy and I scanned my finger and it told me I need to calm down because I was angry. Then I wanted to go to sleep but struggled then I scanned it and it said tired. Love this app. :),undefined,undefined
gp:AOqpTOFOSr64JhSOwGUFmrFMvu5qIX3tX4JO1hCUvI0LiBj1b7GoVdr9t2eRPzyEj8GHRnelFvD-7LYOc1CwZQ,Duk Kim,https://lh6.googleusercontent.com/-4S2Bcuyen0c/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjWqO9VRJZ31Qz7uc1t0bpltREMAbw/w96-h96-p/photo.jpg,"September 7, 2016",https://play.google.com/store/apps/details?id=com.xcent.mooodtraser&reviewId=Z3A6QU9xcFRPRk9TcjY0SmhTT3dHVUZtckZNdnU1cUlYM3RYNEpPMWhDVXZJMExpQmoxYjdHb1Zkcjl0MmVSUHp5RWo4R0hSbmVsRnZELTdMWU9jMUN3WlE,5,It works great!,It works great! I was really angry about those adds and scanned my thumb. And guess what? IT SAID THAT I WAS ANGRY.,undefined,undefined
gp:AOqpTOG__UP02fUqimqwUtGq0rOedD_PNAnG3Jgfuq8zvjpdB22HPofKrxcuJVfehsFvbdvwZtiotlHUo1r-rA,Emily Jones,https://lh5.googleusercontent.com/-RQwqjeAoK_4/AAAAAAAAAAI/AAAAAAAA3wI/L6YTnBxO3iI/w96-h96-p/photo.jpg,"November 4, 2016",https://play.google.com/store/apps/details?id=com.xcent.mooodtraser&reviewId=Z3A6QU9xcFRPR19fVVAwMmZVcWltcXdVdEdxMHJPZWREX1BOQW5HM0pnZnVxOHp2anBkQjIySFBvZktyeGN1SlZmZWhzRnZiZHZ3WnRpb3RsSFVvMXItckE,5,THAT WAS AMAZING,"THAT WAS AMAZING I was testing it's legibility by changing my mood each time. And omg everytime it changed, it got it right! I am blown away and slightly scared.",undefined,undefined
gp:AOqpTOGFeZbXv3yEfSPMdpHNXpCYsakr7Xyvbc8v__J44pK9P4R0ixZSFvIG-9OllqVN2Otd6fwaLz3YGXVn5w,,https://lh5.googleusercontent.com/-e4XBh1GSQbk/AAAAAAAAAAI/AAAAAAAAAAA/wjtVLB7G68U/w96-h96-p/photo.jpg,"November 17, 2017",https://play.google.com/store/apps/details?id=com.xcent.mooodtraser&reviewId=Z3A6QU9xcFRPR0ZlWmJYdjN5RWZTUE1kcEhOWHBDWXNha3I3WHl2YmM4dl9fSjQ0cEs5UDRSMGl4WlNGdklHLTlPbGxxVk4yT3RkNmZ3YUx6M1lHWFZuNXc,5,,"Amazing app. It is a true app because when I was feeling angry , I check out this app and it really says that I am feeling angry..... I think that it is a good way to spend your time... download this app ... it is really awesome........and the important thing is that it is a real app.....!!!!!",undefined,undefined
gp:AOqpTOE3MaaE6TdwaYEhtV_Y5B6bTSk-3arPpVZN6o2fK-lJVg2gJd0SZXepN1yfRTZb9YH-jNSk6bb3x8R59A,PunkSpaceCat,https://lh6.googleusercontent.com/-QfvFaB9sBk4/AAAAAAAAAAI/AAAAAAAAE00/MYaqQgPZpBs/w96-h96-p/photo.jpg,"October 12, 2016",https://play.google.com/store/apps/details?id=com.xcent.mooodtraser&reviewId=Z3A6QU9xcFRPRTNNYWFFNlRkd2FZRWh0Vl9ZNUI2YlRTay0zYXJQcFZaTjZvMmZLLWxKVmcyZ0pkMFNaWGVwTjF5ZlJUWmI5WUgtak5TazZiYjN4OFI1OUE,3,Meh,"Meh It doesn't seem real. 1st time I scanned my thumb, it said I was smiling. Nope, impassive. Second time happy. Hmm maybe? About love? I have no clue.",undefined,undefined
gp:AOqpTOFWtd2FALLP8K5egCTbXYXFGhUZ8OI_stdbRaTITcCbrnT-LfkdqsqF1BiQ11pquh16rUjRxMxw0lRIsg,Mohammed Taqui,https://lh6.googleusercontent.com/-BtdG6JUKZ7k/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVKOi_KgS9hfecBYYBl_NwJXuJxRA/w96-h96-p/photo.jpg,"October 3, 2016",https://play.google.com/store/apps/details?id=com.xcent.mooodtraser&reviewId=Z3A6QU9xcFRPRld0ZDJGQUxMUDhLNWVnQ1RiWFlYRkdoVVo4T0lfc3RkYlJhVElUY0Nicm5ULUxma2Rxc3FGMUJpUTExcHF1aDE2clVqUnhNeHcwbFJJc2c,4,Cool game,Cool game It said am smiling when actually I was simling... True sometimes and fake somtimes,undefined,undefined
gp:AOqpTOHP2K6Q1D5NigQX2zPGLEuMleA5nhLMmQ3UAb81-FH9lJZiBgSDp73dz9HZxYXWTw6fup3u38OD5lP30g,,https://lh4.googleusercontent.com/-0FsYstXhRAc/AAAAAAAAAAI/AAAAAAAAAAA/faFMOXAFQs8/w96-h96-p/photo.jpg,"April 13, 2017",https://play.google.com/store/apps/details?id=com.xcent.mooodtraser&reviewId=Z3A6QU9xcFRPSFAySzZRMUQ1TmlnUVgyelBHTEV1TWxlQTVuaExNbVEzVUFiODEtRkg5bEpaaUJnU0RwNzNkejlIWnhZWFdUdzZmdXAzdTM4T0Q1bFAzMGc,2,,Guys well I know u can get a lil angry at me but I was really angry about an ad and it said I'm really angry blah blah blah then I was convinced then I went again when I was calm but it said the exact opposite what ever that I'm messing up they're system blah blah blah,undefined,undefined
gp:AOqpTOFrguv6WtTrb5aVWFmvPiVIeUIBxwDx63ZozSqAon43ueiNGB7JQ5lEdfVu9F6_loLOnarPF4n_Adj2Ug,Keely Ford,https://lh4.googleusercontent.com/-5stD1inekgc/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVGhQwE_VjTXusF_Y6qNfboz4CCwQ/w96-h96-p/photo.jpg,"September 10, 2016",https://play.google.com/store/apps/details?id=com.xcent.mooodtraser&reviewId=Z3A6QU9xcFRPRnJndXY2V3RUcmI1YVZXRm12UGlWSWVVSUJ4d0R4NjNab3pTcUFvbjQzdWVpTkdCN0pRNWxFZGZWdTlGNl9sb0xPbmFyUEY0bl9BZGoyVWc,4,It's not accurate but it's a time passer,"It's not accurate but it's a time passer It's not exactly fun, but it's amusing. And for everyone complaining about the ads, all you have to do is click the x. It's not that bad.",undefined,undefined
gp:AOqpTOEjD71SLQCCeS9owFzYDjuwmhbWPqvIo51bIhfah1SB5wljs3cBYb-FuroLLivfnKokDnE27VNteCZCAw,Austin Stanichowsky,https://lh3.googleusercontent.com/-kbPWeRw1O8E/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjWXRoL8k1km7rZ5jwp9ooIbilvsOQ/w96-h96-p/photo.jpg,"October 22, 2017",https://play.google.com/store/apps/details?id=com.xcent.mooodtraser&reviewId=Z3A6QU9xcFRPRWpENzFTTFFDQ2VTOW93RnpZRGp1d21oYldQcXZJbzUxYkloZmFoMVNCNXdsanMzY0JZYi1GdXJvTExpdmZuS29rRG5FMjdWTnRlQ1pDQXc,1,,It told me that I was happy but I was actually suisidal The creaters of the game was probably drunk when they made it!!! Also I am not ever going to be happy because of life so it's not f***ing real!!!!,undefined,undefined
gp:AOqpTOFZGEXFilyIZGSfEJNde21hxSmONCnr40yAJbcujVG25ye_0vU357bretxSxOPtSd_upbB4yDuzhDhEBA,Steve Wounaris,https://lh4.googleusercontent.com/-yN8jknF-IiA/AAAAAAAAAAI/AAAAAAAAAKk/TQDL-H5sEk8/w96-h96-p/photo.jpg,"October 23, 2017",https://play.google.com/store/apps/details?id=com.xcent.mooodtraser&reviewId=Z3A6QU9xcFRPRlpHRVhGaWx5SVpHU2ZFSk5kZTIxaHhTbU9OQ25yNDB5QUpiY3VqVkcyNXllXzB2VTM1N2JyZXR4U3hPUHRTZF91cGJCNHlEdXpoRGhFQkE,3,,"I'm bipolar and schizophrenic, and my mood keeps changing everytime I place my thumb on it. I went ecstatic, to angry, to satisfied, to angry again within a matter of thirty seconds. Lol",undefined,undefined
