id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOHGhCfdnV3B_pIGmjc9Y7YkquNj61D83aXMFZLXzs8Me8s5hBVdrWDzgz2HvPg_Pi-pMxP3r0yacu0O7Q,Rachel Campbell,https://lh4.googleusercontent.com/-8eHtnuUWGwM/AAAAAAAAAAI/AAAAAAAAU0Q/u92lerhfu4o/w96-h96-p/photo.jpg,"November 22, 2013",https://play.google.com/store/apps/details?id=moodpulse.com&reviewId=Z3A6QU9xcFRPSEdoQ2ZkblYzQl9wSUdtamM5WTdZa3F1Tmo2MUQ4M2FYTUZaTFh6czhNZThzNWhCVmRyV0R6Z3oySHZQZ19QaS1wTXhQM3IweWFjdTBPN1E,4,"Good, could be better","Good, could be better Very easy to use app. Cute graphics. Really easy to see at a glance how your mood varied over the months. Could use a few more mood options (ex. sick). No way to backup your data. I resorted to taking screenshots of each month since there is no other way.",undefined,undefined
gp:AOqpTOHgcG2LMiAZWa-DInJ32AasB7XVQpvqq3QyUe2_sJ76peTnmGzS3WRip8BH3LZjV5CQArOua7Q1q7Y-Tw,YouFindMehHereYo,https://lh3.googleusercontent.com/-fD3SmOzHWNE/AAAAAAAAAAI/AAAAAAAAAiQ/-MHxohwJgq8/w96-h96-p/photo.jpg,"December 20, 2016",https://play.google.com/store/apps/details?id=moodpulse.com&reviewId=Z3A6QU9xcFRPSGdjRzJMTWlBWldhLURJbkozMkFhc0I3WFZRcHZxcTNReVVlMl9zSjc2cGVUbm1HelMzV1JpcDhCSDNMWmpWNUNRQXJPdWE3UTFxN1ktVHc,3,,"The text only makes me more depressed/angry (mostly depressed) The first month I had only 10 depressed days. (20 happy days and one angry) The next month there were 22 depressed, 6 sad, and 2 angry. By the third month all of my days were depressed and the text made me cry. ""There's even a gleam of sunshine in your day."" Or ""Aren't you happy this day is over?"" Stuff like that. Can you please put stuff like "" I hope you feel better tomorrow. "" Instead of ""It's not the end of the world."" Thanks.",undefined,undefined
gp:AOqpTOH8vXyeh03jNOhshDyOEre5gm_hOGUntU1xjiYBZ5wyzMNLbbK5VHChg50zYZW2EALywOsEseT5LvTQ1A,Carla Park,https://lh4.googleusercontent.com/-wLupbezAwyQ/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUAP4NH-5uCQPgOwcCgDumc7V-Q8A/w96-h96-p/photo.jpg,"October 7, 2015",https://play.google.com/store/apps/details?id=moodpulse.com&reviewId=Z3A6QU9xcFRPSDh2WHllaDAzak5PaHNoRHlPRXJlNWdtX2hPR1VudFUxeGppWUJaNXd5ek1OTGJiSzVWSENoZzUwellaVzJFQUx5d09zRXNlVDVMdlRRMUE,4,Love it but not able to back up data  ...,"Love it but not able to back up data  ... I love this app, simple and great to look back on. However, even after phone is fully backed up, the personal history of the app is lost and you have to start from scratch...therefore losing years of mood data :(",undefined,undefined
gp:AOqpTOGgoNrjr2EWAK0vY0tj6gb6HVBY2dmL9BCBEjJocCQ5Orw1s85dNKbevjR-TMCFpnTpZD7pcUzO0recrA,Tatiana Correa,https://lh3.googleusercontent.com/-tb8C66KsB8o/AAAAAAAAAAI/AAAAAAAAAdI/3w8q3UD0iwY/w96-h96-p/photo.jpg,"April 2, 2014",https://play.google.com/store/apps/details?id=moodpulse.com&reviewId=Z3A6QU9xcFRPR2dvTnJqcjJFV0FLMHZZMHRqNmdiNkhWQlkyZG1MOUJDQkVqSm9jQ1E1T3J3MXM4NWROS2JldmpSLVRNQ0ZwblRwWkQ3cGNVek8wcmVjckE,4,Add notes please :3,"Add notes please :3 It's awesome but I would love it more if I could write notes on why I was happy or sad that day :3 so if you could add notes that'd be great. Thanks :3 and if possible more moods to, like 'irritated' or 'lonely'",undefined,undefined
gp:AOqpTOEOw3TbKJ61lkeMZ0aQ4-foD6RfTZ-YbbMn5vPgMg4Uzah3CqpYAJqXhlDeOGar05HerPFJOA89ydsjXQ,,https://lh4.googleusercontent.com/-nY-JAGIXlos/AAAAAAAAAAI/AAAAAAAA6Sg/4c2gwLmqN7U/w96-h96-p/photo.jpg,"December 27, 2014",https://play.google.com/store/apps/details?id=moodpulse.com&reviewId=Z3A6QU9xcFRPRU93M1RiS0o2MWxrZU1aMGFRNC1mb0Q2UmZUWi1ZYmJNbjV2UGdNZzRVemFoM0NxcFlBSnFYaGxEZU9HYXIwNUhlclBGSk9BODl5ZHNqWFE,5,Surprisingly nice,"Surprisingly nice I thought this would be stupid xbut I found myself putting my mood in everyday. I don't know why,but it feels good to put down how I felt without having to put an explanation, kinda like a dairy,but better.",undefined,undefined
gp:AOqpTOFfj5xHd5uDKMLhg5gcAf8ree5h8T53bw8NWKcZLnlypJj47yjpM7wx4NZ8v1yoaxu7GheunYL1osjgcA,Skye Briers,https://lh6.googleusercontent.com/-ih7X5qdcbI4/AAAAAAAAAAI/AAAAAAAAANA/NYOQzZxGA7Y/w96-h96-p/photo.jpg,"April 20, 2015",https://play.google.com/store/apps/details?id=moodpulse.com&reviewId=Z3A6QU9xcFRPRmZqNXhIZDV1REtNTGhnNWdjQWY4cmVlNWg4VDUzYnc4TldLY1pMbmx5cEpqNDd5anBNN3d4NE5aOHYxeW9heHU3R2hldW5ZTDFvc2pnY0E,4,Great but...,Great but... I really like this app but it needs more moods. If the choices are too limited it can't always be accurate.  Might also be good to allow multiple choices eg tired and content?  Great app though.,undefined,undefined
lg:AOqpTOFDtN9uNlehWzKA0lN9JpKjGA6hSG0w6_P_SBLeEJms-X1HBci_JSk4Oa2KWBaWrLoOdbPWEkiSrOZmKA,A Google User,https://lh3.ggpht.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=w96-h96-p,"December 23, 2016",https://play.google.com/store/apps/details?id=moodpulse.com&reviewId=bGc6QU9xcFRPRkR0Tjl1TmxlaFd6S0EwbE45SnBLakdBNmhTRzB3Nl9QX1NCTGVFSm1zLVgxSEJjaV9KU2s0T2EyS1dCYVdyTG9PZGJQV0VraVNyT1ptS0E,5,This is so calming,This is so calming When I have a stressed out day sokkie I do is go to my phone and it gives me advice,undefined,undefined
gp:AOqpTOFZckj1F371Bz1xDnrZUk_XZrtELp9qaoYg4zTfX0W9InD4nygiu9_hIttcT1PsA855dVxB2mNlIo0SHA,,https://lh3.googleusercontent.com/-UgxXwo-TQA4/AAAAAAAAAAI/AAAAAAAAJ7Q/Zq1EWMa6Pu8/w96-h96-p/photo.jpg,"December 24, 2013",https://play.google.com/store/apps/details?id=moodpulse.com&reviewId=Z3A6QU9xcFRPRlpja2oxRjM3MUJ6MXhEbnJaVWtfWFpydEVMcDlxYW9ZZzR6VGZYMFc5SW5ENG55Z2l1OV9oSXR0Y1QxUHNBODU1ZFZ4QjJtTmxJbzBTSEE,3,Needs more color difference,Needs more color difference Wish the faces were in much different colors.  Happy looks similar to depressed so when I look in month view it is not super clear.  Other than that great app.,undefined,undefined
gp:AOqpTOFhaLFpCXOzu7yrpmail90gYloyuoAow1WR7D3iNUZa92fwABxxIyQ8goIIAE7O9sns8VrLQb5PLoCSyQ,Lotty Liv,https://lh6.googleusercontent.com/-cIT2EeSVbFg/AAAAAAAAAAI/AAAAAAAABxo/bkdZ9MaLKd8/w96-h96-p/photo.jpg,"September 8, 2015",https://play.google.com/store/apps/details?id=moodpulse.com&reviewId=Z3A6QU9xcFRPRmhhTEZwQ1hPenU3eXJwbWFpbDkwZ1lsb3l1b0FvdzFXUjdEM2lOVVphOTJmd0FCeHhJeVE4Z29JSUFFN085c25zOFZyTFFiNVBMb0NTeVE,3,I guess It's ok,"I guess It's ok I just dont need it You can only have 1 a day! What if you were sad, And now happy thats why: 3 stars",undefined,undefined
gp:AOqpTOHVEyF6A033nadcriQQXj4uUmJGynPMEFzVAmcuSHmyS0-67zK16zI11HKy-X4N_kAKShRgHssld1MFxA,,https://lh6.googleusercontent.com/-zeXGLbwdAcA/AAAAAAAAAAI/AAAAAAAAAAA/abeqBN3UID8/w96-h96-p/photo.jpg,"February 2, 2017",https://play.google.com/store/apps/details?id=moodpulse.com&reviewId=Z3A6QU9xcFRPSFZFeUY2QTAzM25hZGNyaVFRWGo0dVVtSkd5blBNRUZ6VkFtY3VTSG15UzAtNjd6SzE2ekkxMUhLeS1YNE5fa0FLU2hSZ0hzc2xkMU1GeEE,3,,Limited to one emotion per day. I love the emojis and mood options. It would be perfect if the tracking frequency was increased. I like that it keeps the chosen emotion instead of simplifying it to a positive or negative. I wish you could record more than one emotion per day.,undefined,undefined
