id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOGfnzEVCLI5xlNqDKNQpbiSb8nMQBaN2Um9nrPhDoZFmjqmp2qWtgEbonCOcGR9Cm3ndk9bjsN5rqW8RW0,Jenica Bozeman,https://lh5.googleusercontent.com/-7yDfwXgA6-Q/AAAAAAAAAAI/AAAAAAAAByE/v0nP899pBjw/w96-h96-p/photo.jpg,"January 27, 2018",https://play.google.com/store/apps/details?id=com.sakiromana.MoodLight&reviewId=Z3A6QU9xcFRPR2ZuekVWQ0xJNXhsTnFES05RcGJpU2I4bk1RQmFOMlVtOW5yUGhEb1pGbWpxbXAycVd0Z0Vib25DT2NHUjlDbTNuZGs5YmpzTjVycVc4Ulcw,5,,"Exactly what I was looking for. Uncomplicated and simple to use. For those whom are having a problem with the colors... There are a ton of colors to choose from; you have to scroll down to view all the colors available, it's a huge selection, the first 8 you see are the based off the window size. Same goes for the light style theme and music/sound. And the issue of displaying certain colors after selecting is due to the limitations of your device not the app itself. Some devices are more capable of a multitude of color display than others. When I use this app on my smart TV (via smart view through my phone) the colors are broader and more adaptive than when displaying the light on my phone screen. Play with it a bit before complaining about its functionality.",undefined,undefined
gp:AOqpTOHXDwqadEwZhcpcY9Zo5ATkc0-CsogDJ3EZSlvhesmkQXuN62HTRvCcSgFjL9AOxDbj7GuIPUxMMLIVvlI,Sofia StarWolfie,https://lh4.googleusercontent.com/-R_tFe9M5UP4/AAAAAAAAAAI/AAAAAAAAAO0/YBVdshlF8RU/w96-h96-p/photo.jpg,"December 31, 2016",https://play.google.com/store/apps/details?id=com.sakiromana.MoodLight&reviewId=Z3A6QU9xcFRPSFhEd3FhZEV3WmhjcGNZOVpvNUFUa2MwLUNzb2dESjNFWlNsdmhlc21rUVh1TjYySFRSdkNjU2dGakw5QU94RGJqN0d1SVBVeE1NTElWdmxJ,5,I use it all the time!,"I use it all the time! I take this everywhere because the music does not waste wifi and it is a beautiful night light.. when I'm sad I put on black and blue, when I'm happy I put on bright colors",undefined,undefined
gp:AOqpTOFHExhzgWg6bQPa7ES1u0JirlPJgYdgXUx2Nagzq-JafTrrx6H18pFWX-UED4zZircRFkTgB88eFq7yTHU,Maya Sun,https://lh5.googleusercontent.com/-1KOb_-5UdSU/AAAAAAAAAAI/AAAAAAAAAL4/XjXH_xmWTQo/w96-h96-p/photo.jpg,"October 22, 2017",https://play.google.com/store/apps/details?id=com.sakiromana.MoodLight&reviewId=Z3A6QU9xcFRPRkhFeGh6Z1dnNmJRUGE3RVMxdTBKaXJsUEpnWWRnWFV4Mk5hZ3pxLUphZlRycng2SDE4cEZXWC1VRUQ0elppcmNSRmtUZ0I4OGVGcTd5VEhV,1,,An ad immediately pops up when the app loads and there's is no way I could find to close it or move past it.,undefined,undefined
gp:AOqpTOFH4AyMw73XAKNZSECcxjlo_23ZO3E92UBGJ-Ccmhsp80y0JJ9KXXlyIOcm8CaMlpY3E_lXw-LufdWA2AE,Lacey Johnson,https://lh6.googleusercontent.com/-roSxLYRl0dc/AAAAAAAAAAI/AAAAAAAAPOc/qshUdPpMIhc/w96-h96-p/photo.jpg,"September 5, 2016",https://play.google.com/store/apps/details?id=com.sakiromana.MoodLight&reviewId=Z3A6QU9xcFRPRkg0QXlNdzczWEFLTlpTRUNjeGpsb18yM1pPM0U5MlVCR0otQ2NtaHNwODB5MEpKOUtYWGx5SU9jbThDYU1scFkzRV9sWHctTHVmZFdBMkFF,5,Perfect night light!,"Perfect night light! It does just what it says and better! Best one out there, I've tried way too many already that didn't work. Glad to have a solution!",undefined,undefined
gp:AOqpTOFCe1yVzpzN2HGVWv_AOvAR9dpsafQf631b2VnLOEFLxWo-np3ade3mBx05F-08vuy56KwPhuM7whjhACY,,https://lh5.googleusercontent.com/-hnyDVj1cK9w/AAAAAAAAAAI/AAAAAAAAHZg/WMl1U94RZbE/w96-h96-p/photo.jpg,"August 15, 2017",https://play.google.com/store/apps/details?id=com.sakiromana.MoodLight&reviewId=Z3A6QU9xcFRPRkNlMXlWenB6TjJIR1ZXdl9BT3ZBUjlkcHNhZlFmNjMxYjJWbkxPRUZMeFdvLW5wM2FkZTNtQngwNUYtMDh2dXk1Nkt3UGh1TTd3aGpoQUNZ,1,,Colors do not change when you want it too. So don't bother picking a color. It only changed to blue and purple for me. It's useless app,undefined,undefined
gp:AOqpTOFn8DFLPsg-ff66uyXGlaPCOA3FebtYvWmeddUQODDAIojdJJwsEGDDkbyf7As9ZBIDFp4Ik8QfzUO_7nQ,Syukri Shahira,https://lh4.googleusercontent.com/-r8yWAQfFrx0/AAAAAAAAAAI/AAAAAAAAATM/WPep0LON1U4/w96-h96-p/photo.jpg,"January 6, 2017",https://play.google.com/store/apps/details?id=com.sakiromana.MoodLight&reviewId=Z3A6QU9xcFRPRm44REZMUHNnLWZmNjZ1eVhHbGFQQ09BM0ZlYnRZdldtZWRkVVFPRERBSW9qZEpKd3NFR0REa2J5ZjdBczlaQklERnA0SWs4UWZ6VU9fN25R,2,"Bug,,not efficient","Bug,,not efficient Phone burning hot to touch,,and the still not optimize for battery,,system ui skin need to change''I using samsung lastest device''",undefined,undefined
gp:AOqpTOGmJzWm83x74X_hJnElLcMV6GGWjB1h2Tp9q2e2d2BeKADp72lD_Z6iyPCxKYeraQHnWmQiDSoxxOYjNJY,Anthony Zurkster,https://lh6.googleusercontent.com/-evYASMEbqiE/AAAAAAAAAAI/AAAAAAAAGMs/f4ydEeH2Uac/w96-h96-p/photo.jpg,"September 18, 2016",https://play.google.com/store/apps/details?id=com.sakiromana.MoodLight&reviewId=Z3A6QU9xcFRPR21KeldtODN4NzRYX2hKbkVsTGNNVjZHR1dqQjFoMlRwOXEyZTJkMkJlS0FEcDcybERfWjZpeVBDeEtZZXJhUUhuV21RaURTb3h4T1lqTkpZ,4,Great in a darkened room,"Great in a darkened room Very relaxing, but please offer an ad free version. This simple app is so worth paying for. It would also be cool to be able to select ones own music beside the built in sounds.",undefined,undefined
gp:AOqpTOE7bH6OkTmnKuCxMNT2iMwkjPQtwJJbumd6FMhi2M50u-SH7HUBjgJsKZdio0y_Syw8Mz6lq2IQ_bJzep4,Anukul Thakur,https://lh5.googleusercontent.com/-i8AmnBV1D2g/AAAAAAAAAAI/AAAAAAAAAeE/aRFeLztUuh8/w96-h96-p/photo.jpg,"October 23, 2016",https://play.google.com/store/apps/details?id=com.sakiromana.MoodLight&reviewId=Z3A6QU9xcFRPRTdiSDZPa1Rtbkt1Q3hNTlQyaU13a2pQUXR3SkpidW1kNkZNaGkyTTUwdS1TSDdIVUJqZ0pzS1pkaW8weV9TeXc4TXo2bHEySVFfYkp6ZXA0,4,Night Lamp,Night Lamp Pops open ads every time you open it and ad is the first thing you'd see. Rest it works by default. Thanks to the developer. Seems like a flash file that plays on loop. Wouldn't it be great if this could change the color of flash light?,undefined,undefined
gp:AOqpTOHBJQesPHnncVJoMjZYIK-iPXIq1aMtg8jhMZVyqHlxWC1Ngq0rGRO6I__oejnjEtRao_gXMSfGSFul9sU,Tessa Angove,https://lh5.googleusercontent.com/-mz-aUIlhUJ8/AAAAAAAAAAI/AAAAAAAACEM/ngTVIulygNU/w96-h96-p/photo.jpg,"January 5, 2017",https://play.google.com/store/apps/details?id=com.sakiromana.MoodLight&reviewId=Z3A6QU9xcFRPSEJKUWVzUEhubmNWSm9NalpZSUstaVBYSXExYU10ZzhqaE1aVnlxSGx4V0MxTmdxMHJHUk82SV9fb2VqbmpFdFJhb19nWE1TZkdTRnVsOXNV,5,Relaxing and amazing,Relaxing and amazing Helps me sleep if I can't sleep for some reason and I don't really like the dark. I like how it's relaxing. I also use it along with my relaxing music do it helps me alot,undefined,undefined
gp:AOqpTOEZ6ag4TEpVcJ3vNNQTrQX5R3UgRB9VCKx-4Wpfmm3AytNbASMyoorSlLfrdCoAu7q1eDiAc-9SfJAgokg,Liz Hughes,https://lh3.googleusercontent.com/-SmJOa3VdDq0/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjXYrKRQK4xb-vS-aVKQSOBw9PFPSw/w96-h96-p/photo.jpg,"October 31, 2016",https://play.google.com/store/apps/details?id=com.sakiromana.MoodLight&reviewId=Z3A6QU9xcFRPRVo2YWc0VEVwVmNKM3ZOTlFUclFYNVIzVWdSQjlWQ0t4LTRXcGZtbTNBeXROYkFTTXlvb3JTbExmcmRDb0F1N3ExZURpQWMtOVNmSkFnb2tn,3,"Good, but.....","Good, but..... Burns through the phone battery like there's no tomorrow! Goes from 20% -0 % in less than 10min! Won't be using until fixed.",undefined,undefined
