id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOFaQp89RM-AMC2tS50av3Kl0W4OwTTvUmNkLQB9qic8tVrh0Y7NV_LwUd2ibPKExwHeADMhzao3ED-khg,Yellow Schreiber,https://lh4.googleusercontent.com/-RK22Q1GYJF8/AAAAAAAAAAI/AAAAAAAAAAA/Jf42gpspyr0/w96-h96-p/photo.jpg,"February 5, 2018",https://play.google.com/store/apps/details?id=com.calea.echo&reviewId=Z3A6QU9xcFRPRmFRcDg5Uk0tQU1DMnRTNTBhdjNLbDBXNE93VFR2VW1Oa0xRQjlxaWM4dFZyaDBZN05WX0x3VWQyaWJQS0V4d0hlQURNaHphbzNFRC1raGc,3,,I have been looking for a good messenger app and I finally found the ONE! It works really well and so many fun features! Love love it!  Let me edit my comment.  I started sending to a few groups and would fail to send. I would try to keep resending and would eventually send. I dont get ut! Pls fix this.,"February 5, 2018",Thank you 👍😁 ! Don’t hesitate if you have a question or a suggestion 😉
gp:AOqpTOFJBxOR98wea6sfpf9cPXilL-QPqTGmQHhCC-ZBl_ORG37nbbjtav_iSF4kWxp26gHcKuO3WokTrKq_Xw,,https://lh6.googleusercontent.com/-kgflXDpkh4s/AAAAAAAAAAI/AAAAAAAAAAA/VQBvtpywfc0/w96-h96-p/photo.jpg,"February 5, 2018",https://play.google.com/store/apps/details?id=com.calea.echo&reviewId=Z3A6QU9xcFRPRkpCeE9SOTh3ZWE2c2ZwZjljUFhpbEwtUVBxVEdtUUhoQ0MtWkJsX09SRzM3bmJianRhdl9pU0Y0a1d4cDI2Z0hjS3VPM1dva1RyS3FfWHc,3,,Good app.....  Sure!  I'm just curious to know if/how the emoticon(?) bar is able to be deactivated or turned off?  It is the grey bar found in between the chat window and auto-word correction/generating area.     The area I'm referring to contains a purple circle with 3 aligned squares and a tilted square (diamond) in the top right quadrant.     If it cannot be deactivated that is fine--the app is otherwise great.  Thanks!,"February 5, 2018","Hi, what is your issue exactly ? Can you tell me more ?"
gp:AOqpTOF0yRVTGuwVrrqOdAnKOTweA8_i0KNe2rhvaNtPT1rjo580c2qgFxR9Rem8x3ucNrNzaWHvfhKk-S5JTg,mooniejongyeup nmnm,https://lh6.googleusercontent.com/-7vIQsLwq-Go/AAAAAAAAAAI/AAAAAAAADOw/J52ZXpOXEtk/w96-h96-p/photo.jpg,"February 5, 2018",https://play.google.com/store/apps/details?id=com.calea.echo&reviewId=Z3A6QU9xcFRPRjB5UlZUR3V3VnJycU9kQW5LT1R3ZUE4X2kwS05lMnJodmFOdFBUMXJqbzU4MGMycWdGeFI5UmVtOHgzdWNOck56YVdIdmZoS2stUzVKVGc,3,,"I love the app! It looks aesthetically pleasing, the only problem is that it doesn't work on my phone (OPPO R9s Plus). I can send messages, but when I receive texts, I get a prompt from my system that they resetted the default messaging app to the system default due to security reasons. Is there a way to fix this?","February 5, 2018","Hi !
Would you mind to drop us a message with the « Assistance » button (open mood - left menu - assistance) ? We'll help you to fix this"
gp:AOqpTOHWM4kFGEr9DQykwyLpeGvkn1SbZKCVuSMFPZQ5VUBzlJeKLKiaLJLXsahix51Vc8VX5tEm-4XbAp6NGA,Thao Tu,https://lh4.googleusercontent.com/-dTqJghPOrkY/AAAAAAAAAAI/AAAAAAAAHH0/yGUgzKFn8fg/w96-h96-p/photo.jpg,"December 23, 2017",https://play.google.com/store/apps/details?id=com.calea.echo&reviewId=Z3A6QU9xcFRPSFdNNGtGR0VyOURReWt3eUxwZUd2a24xU2JaS0NWdVNNRlBaUTVWVUJ6bEplS0xLaWFMSkxYc2FoaXg1MVZjOFZYNXRFbS00WGJBcDZOR0E,5,,Best sms for me thus far. It has a great UI and private box. Only thing id like is to use a theme and apply dark background to chat list.  UPDATE: still the best sms app.   REQUEST: would it be possible to add a parental control password to the browser? I'd like to disable mood browser by password.,"July 25, 2017",Thank you 👍😁 ! To change the background color go to settings - theme - theme color
gp:AOqpTOH7WBtqgiIg25d15BOsDeQQ97Sg9F4BP0q7T5ZyfMHkvFptYqzrOZZISNGs9D5kzE1A6xWko11XCFQOHw,Tamara Rinehart,https://lh4.googleusercontent.com/-pyHgsGmdaoM/AAAAAAAAAAI/AAAAAAAAVEg/ThzT_d0ZPFI/w96-h96-p/photo.jpg,"December 25, 2017",https://play.google.com/store/apps/details?id=com.calea.echo&reviewId=Z3A6QU9xcFRPSDdXQnRxZ2lJZzI1ZDE1Qk9zRGVRUTk3U2c5RjRCUDBxN1Q1WnlmTUhrdkZwdFlxenJPWlpJU05HczlENWt6RTFBNnhXa28xMVhDRlFPSHc,3,,"I love everything about this app other than how MMS is handled. It's the sole reason I gave this app 3 stars and switched back to my stock messaging app. First off, the personalization  is awesome. However, when I go to send a video to someone, it forces me to use YouTube to do so which is annoying! And if I don't use YouTube, the video is crappy quality. I send videos a lot so this is a huge downside. Every other messaging app allows you to send bids through the app, not another third party app. And the quality is normal, not low and pixelated. Due to this, I have to Uninstal Mood until it fixes this issue or I discover something better.","January 4, 2018",Would you mind to drop us a message with the « Assistance » button (open mood - left menu - assistance) ? We'll help you to fix this
gp:AOqpTOGiYB7TNKVRHVCS5WPYcaOldUNy7O8oj6PwG7aDJqu5OAhbRpmnXnsATThm1UiNORhMYBs3UXSnbo_a7A,Lexington Porter,https://lh3.googleusercontent.com/-I2zBpkRoPmc/AAAAAAAAAAI/AAAAAAAACR0/z-uEVqA8EV4/w96-h96-p/photo.jpg,"January 18, 2018",https://play.google.com/store/apps/details?id=com.calea.echo&reviewId=Z3A6QU9xcFRPR2lZQjdUTktWUkhWQ1M1V1BZY2FPbGRVTnk3TzhvajZQd0c3YURKcXU1T0FoYlJwbW5YbnNBVFRobTFVaU5PUmhNWUJzM1VYU25ib19hN0E,3,,It's a great and beautiful app. It doesn't seem to be slowing anything down. No stupid adds and stuff. But for me sometimes there is no notification sound or lights when I receive a text. So I'm getting text that  I don't even know about unless I check. Other than that it is over all a great texting app.,"January 19, 2018","Hi !
Would you mind to drop us a message with the « Assistance » button (open mood - left menu - assistance) ? We'll help you to fix this"
gp:AOqpTOGaOD6y-cUpxrDo4mgD2yCSuD3D2-7PCnyzUxsXXaHuuwM9dwBTPou2eOe6Sq7UXZlgvi_WfCnH0KhfFA,,https://lh6.googleusercontent.com/-YLo5VF-3uBk/AAAAAAAAAAI/AAAAAAAAAAA/uJDGYB6unIU/w96-h96-p/photo.jpg,"December 24, 2017",https://play.google.com/store/apps/details?id=com.calea.echo&reviewId=Z3A6QU9xcFRPR2FPRDZ5LWNVcHhyRG80bWdEMnlDU3VEM0QyLTdQQ255elV4c1hYYUh1dXdNOWR3QlRQb3UyZU9lNlNxN1VYWmxndmlfV2ZDbkgwS2hmRkE,3,,"It's an action-packed well-thought-out beautifully designed texting app. The only thing I don't like about it is, if I want to text someone who isn't in my contacts, it won't let me do that until I create an account. I don't want to create another account I have too many accounts in my life already.","January 4, 2018","Hi, 
To create a new conversation to a new number :
1. Click on the pencil icon
2. Click on the pad number icon at the bottom right to enter a phone number
3. Confirm

So why 3 stars ?"
gp:AOqpTOEoNBJAIPTs3bJbyIkL9_VAMJ1n3OyM17wSOs-Rk2YSd7mQNvgUeMyPFESm4RaJPSsp4g7nebvpZtWZgw,Sandy Brophy,https://lh6.googleusercontent.com/-m3px0wfdMi0/AAAAAAAAAAI/AAAAAAAAARs/zOwFNYfGdCw/w96-h96-p/photo.jpg,"December 26, 2017",https://play.google.com/store/apps/details?id=com.calea.echo&reviewId=Z3A6QU9xcFRPRW9OQkpBSVBUczNiSmJ5SWtMOV9WQU1KMW4zT3lNMTd3U09zLVJrMllTZDdtUU52Z1VlTXlQRkVTbTRSYUpQU3NwNGc3bmVidnBadFdaZ3c,3,,"After the latest update I continue to have issues, so much so I'm ready to uninstall and get a different app. After I read a text it shows that I still haven't read it. I have tried marking as all read, and that didn't work. I have restarted my phone, taken battery out and nothing works. Another issue I have is mms is very very slow in receiving texts. If it has pics, forget about it. I have to wait up to 5 minutes. I have Verizon and in a great service area. Previous text apps had never given me this issue. This was an issue since I installed a long time ago. Not with latest update. I like the customization this app offers but not the headaches.","January 4, 2018",Would you mind to drop us a message with the « Assistance » button (open mood - left menu - assistance) ? We'll help you to fix this
gp:AOqpTOFWb6_V2G29-Um7j7Y9i_c3wEjjuMLyq5lkd1OhHZhgCgKPzzSnD_Ub66rBUGFWutR73zH7byvgHjwg4Q,,https://lh3.googleusercontent.com/-R3Ibj2OmRDI/AAAAAAAAAAI/AAAAAAAAAAA/KDmH5RS-bMo/w96-h96-p/photo.jpg,"January 4, 2018",https://play.google.com/store/apps/details?id=com.calea.echo&reviewId=Z3A6QU9xcFRPRldiNl9WMkcyOS1VbTdqN1k5aV9jM3dFamp1TUx5cTVsa2QxT2hIWmhnQ2dLUHp6U25EX1ViNjZyQlVHRld1dFI3M3pIN2J5dmdIandnNFE,5,,"This is a great app! It's my favorite so far. Better than Textra. If you make it where notification badges work with Microsoft Launcher (formerly Arrow Launcher), I'll gladly give it 5 stars!  Update: issue fixed! Five star app with five star service!","January 4, 2018","Hi !
Would you mind to drop us a message with the « Assistance » button (open mood - left menu - assistance) ? We'll help you to fix this"
gp:AOqpTOEV6F70Xz2q75rO6-GmN7X9KlqPdh7fgeF36C56GuQkKGz-F9-__R9ln52WR3UZhP10IZ6ha9DzS9E3Qg,Haseeb Yousaf,https://lh3.googleusercontent.com/-354g4M8UoyE/AAAAAAAAAAI/AAAAAAAAILY/-wu5zcZ9a0c/w96-h96-p/photo.jpg,"January 21, 2018",https://play.google.com/store/apps/details?id=com.calea.echo&reviewId=Z3A6QU9xcFRPRVY2RjcwWHoycTc1ck82LUdtTjdYOUtscVBkaDdmZ2VGMzZDNTZHdVFrS0d6LUY5LV9fUjlsbjUyV1IzVVpoUDEwSVo2aGE5RHpTOUUzUWc,5,,The problem i faced from few day that i send the messages but they're stuck not delivered from my phone untill i close the application and open it again.. as the application opened after closing the all the messages are stuck starts delivered from my phone one by one.. sometimes i have to restart my phone to resolve this issue and retype all the messages...! It's too much annoying....,"January 22, 2018","Hi !
Would you mind to drop us a message with the « Assistance » button (open mood - left menu - assistance) ? We'll help you to fix this"
