id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOHIyECAcQqfCDNj1PzBYwRpUr_TTsZ08w6cwFDN9E2u7aw2vfDmaA5BBOH8njcYOpyMMEV_Y-TrK8FHfA,Ivan Milovanov,https://lh3.googleusercontent.com/-3vKTZHxMHNI/AAAAAAAAAAI/AAAAAAAAACU/9d3GgFTODLY/w96-h96-p/photo.jpg,"December 14, 2017",https://play.google.com/store/apps/details?id=com.reliablecoders.moodmeter&reviewId=Z3A6QU9xcFRPSEl5RUNBY1FxZkNETmoxUHpCWXdScFVyX1RUc1owOHc2Y3dGRE45RTJ1N2F3MnZmRG1hQTVCQk9IOG5qY1lPcHlNTUVWX1ktVHJLOEZIZkE,4,,"Much better than most people give it credit. It has a hundred emotions, all very intuitively labeled and is very easy and fast to navigate. It misses some key points that a certain competing app has (labels, like people, place and activity), and some basic functionality (like editing/removing existing entries, and offline plotting) is missing, so I won't be giving five stars for now. A bit too bad as I really like the execution so far – I do hope that the devs listen and add these functionalities. Overall it is a very good app. Among the best mood trackers. Very well worth the price.",undefined,undefined
gp:AOqpTOHQ8WpujmRYxO-lQU8P3QHn9WF7eUJEofjH3Lw07vCgH-qfizOrG_UMMkmo1j5lARhgt6svF_fBoX9Abg,John VanAsselberg II,https://lh5.googleusercontent.com/-3JienF7oGDY/AAAAAAAAAAI/AAAAAAAAA-o/5aFHK23gqsw/w96-h96-p/photo.jpg,"December 9, 2017",https://play.google.com/store/apps/details?id=com.reliablecoders.moodmeter&reviewId=Z3A6QU9xcFRPSFE4V3B1am1SWXhPLWxRVThQM1FIbjlXRjdlVUpFb2ZqSDNMdzA3dkNnSC1xZml6T3JHX1VNTWttbzFqNWxBUmhndDZzdkZfZkJvWDlBYmc,4,,"So far so good. I'm have BD(Bipolar Disorder) and am hopeful that this can help me plot some of this out. It was 99 cents, we'll see what happens. I'll update this review if it crashes and burns or soars to the heavens.",undefined,undefined
gp:AOqpTOFclYrPaelX7_-M9M8mvg4h8pehqzhPi7gJ5ePuMo6QCXUl0GP0NwkACtnOIHN7bBGM8IE7huLEjnG8Hw,Jeff Miller,https://lh6.googleusercontent.com/-Gxp0qhG4_Qc/AAAAAAAAAAI/AAAAAAAABes/h2xJOrRdJK0/w96-h96-p/photo.jpg,"October 2, 2017",https://play.google.com/store/apps/details?id=com.reliablecoders.moodmeter&reviewId=Z3A6QU9xcFRPRmNsWXJQYWVsWDdfLU05TThtdmc0aDhwZWhxemhQaTdnSjVlUHVNbzZRQ1hVbDBHUDBOd2tBQ3RuT0lITjdiQkdNOElFN2h1TEVqbkc4SHc,1,,Crashed right after entering DOB. No way forward...how do I get my money back? Probably consider getting rid of this if it doesn't work for most users....,undefined,undefined
gp:AOqpTOGQ6hsBvBrrSS-T0sM1XxNKXNbxcb08VHEovgiBCnMI5h7-Qe79PiUyHAkOjKr-qSASdD5vN9gdy6AsPg,Jake,https://lh4.googleusercontent.com/-QvQ6910O4N4/AAAAAAAAAAI/AAAAAAAAGOQ/Hqn6SBzofL0/w96-h96-p/photo.jpg,"October 15, 2017",https://play.google.com/store/apps/details?id=com.reliablecoders.moodmeter&reviewId=Z3A6QU9xcFRPR1E2aHNCdkJyclNTLVQwc00xWHhOS1hOYnhjYjA4VkhFb3ZnaUJDbk1JNWg3LVFlNzlQaVV5SEFrT2pLci1xU0FTZEQ1dk45Z2R5NkFzUGc,4,,"I enjoy this app, it really helps track my moods. If you choose to select the 'shift' option however, it does not add that mood to the reports, which is frustrating because I enjoy that function.",undefined,undefined
gp:AOqpTOHtmrF18YJ1o5OPw1K504bvmODTTqP0U7e7b_e_hoNReCaeg98kxqB_nbUK9E4bSFJtQX-tl1-KIOjk_w,Ashley Michael,https://lh4.googleusercontent.com/-VmGFsar1nyU/AAAAAAAAAAI/AAAAAAAAAEg/iPCfu_mVJjk/w96-h96-p/photo.jpg,"January 1, 2018",https://play.google.com/store/apps/details?id=com.reliablecoders.moodmeter&reviewId=Z3A6QU9xcFRPSHRtckYxOFlKMW81T1B3MUs1MDRidm1PRFRUcVAwVTdlN2JfZV9ob05SZUNhZWc5OGt4cUJfbmJVSzlFNGJTRkp0UVgtdGwxLUtJT2prX3c,1,,"Enter date of birth, app crashes, repeat. One of the great purchases.",undefined,undefined
gp:AOqpTOGMgG0dXACcQ6rLd8aecikUJrFpqUSnlQ7FqefUkBBn2HoZ-UTihQHat7bGPqasTNVsjNNxqhu-TgKUQg,Hanna Stanvi,https://lh4.googleusercontent.com/-7YOgYfnJJM8/AAAAAAAAAAI/AAAAAAAADAc/qcRxKE6dsYs/w96-h96-p/photo.jpg,"May 31, 2017",https://play.google.com/store/apps/details?id=com.reliablecoders.moodmeter&reviewId=Z3A6QU9xcFRPR01nRzBkWEFDY1E2ckxkOGFlY2lrVUpyRnBxVVNubFE3RnFlZlVrQkJuMkhvWi1VVGloUUhhdDdiR1BxYXNUTlZzak5OeHFodS1UZ0tVUWc,4,,It would have been a 5 star but when I want to shift my mood the strategies and quotes and more past reasons are in a faint grey and cannot be read with the background. I know in the pics above it shows black writing but that's not what I got. But other wise it's a great app and it allows me to monitor and manage my emotions better,undefined,undefined
gp:AOqpTOHKviFn50hEtagFmlWe5MN3_7nePbMyMFTQQReZERSOgjBXRptq5hz4EbiGrbAYa_pSXOFRE-etYIBfKQ,Peter Launders,https://lh4.googleusercontent.com/-hlOLD42dTNw/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjXs9CUapi9aJvT_LlTdQ2t7tCyPUQ/w96-h96-p/photo.jpg,"May 4, 2017",https://play.google.com/store/apps/details?id=com.reliablecoders.moodmeter&reviewId=Z3A6QU9xcFRPSEt2aUZuNTBoRXRhZ0ZtbFdlNU1OM183bmVQYk15TUZUUVFSZVpFUlNPZ2pCWFJwdHE1aHo0RWJpR3JiQVlhX3BTWE9GUkUtZXRZSUJmS1E,1,,Cannot get past the date of birth screen - just stops and shuts down repeatedly. Trying to use it for an online course but will have to give up. Think it might be an android problem as others are using it ok.,undefined,undefined
gp:AOqpTOFVIuNC51qASbvQ4tf5_NsC7RFI4v3pThfr-QtH_oDKXvBQcC2BP61f0Ckkj5kor1s9w_tH8ITj1foJ-g,Dave Geres,https://lh6.googleusercontent.com/-xAwz_E5gXYg/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUDWNVA4XF9AJu2cbaWGY3_pC9GvQ/w96-h96-p/photo.jpg,"July 2, 2017",https://play.google.com/store/apps/details?id=com.reliablecoders.moodmeter&reviewId=Z3A6QU9xcFRPRlZJdU5DNTFxQVNidlE0dGY1X05zQzdSRkk0djNwVGhmci1RdEhfb0RLWHZCUWNDMkJQNjFmMENra2o1a29yMXM5d190SDhJVGoxZm9KLWc,3,,"The idea, concept, and unique function of this app give it immense potential. Sadly, there are numerous programming glitches and/or device compatibility issues, along with grammatical/spelling errors within the app. These problems are holding it back from becoming the highly rated special purpose tool it could be.  The first major issue presents itself when attempting to register a date of birth. The app forces the data to be entered through the device calendar, making the process inefficient and frustrating.  After selecting an entry, certain dates will then display incorrectly, some even cause the app to crash without storing the DOB data.  A spelling error presents itself upon selecting the help option within the settings menu. The help page describes the purpose of the app, and, in the second bullet point, the word vocabulary is misspelled.  Although this is not a major issue in the app's functionality, it does not look very professional.  ""Vocatulary"" is not an official word in the English language, as far as I know.  There are also a couple of key options missing within the settings for the app.  Typically, an app giving a user the ability to create new tasks will then also include the ability to remove those same user-created tasks. The ability to delete old reminders that may no longer be needed and/or wanted in the reminders list would be nice for organizational purposes and to maintain optimal task processing.  As I initially stated, I really like the concept and purpose of this app, but these issues really need to be addressed in order to create a professional appearance, in turn, boosting ratings and increasing the appeal/popularity of this unique app.",undefined,undefined
gp:AOqpTOHkGqy-fa2EsZjtM1nxikleaw9XP-X3J9X1qqY3CZPCHAE-wGB_OOxq3GBOQA18cd8fNFRQEAYBgj_Qcg,Spanish Enfanta,https://lh3.googleusercontent.com/-f2NHyRtODn4/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjU3eFx7cH94jV-bp-06mnSJl_t4Xg/w96-h96-p/photo.jpg,"May 18, 2017",https://play.google.com/store/apps/details?id=com.reliablecoders.moodmeter&reviewId=Z3A6QU9xcFRPSGtHcXktZmEyRXNaanRNMW54aWtsZWF3OVhQLVgzSjlYMXFxWTNDWlBDSEFFLXdHQl9PT3hxM0dCT1FBMThjZDhmTkZSUUVBWUJnal9RY2c,3,,Reports are no longer working and the strategies option fails to load,undefined,undefined
gp:AOqpTOGhPz5ww4pGkLo4rVfd6TZxgkp4Ndm9TBBbIZ_rt9IEqt74_1n3RZ8UxFJW-uw-HKOpNZX_FgPgZX9tOg,Kyle Krieg,https://lh6.googleusercontent.com/-r6mXttb8X8g/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVDRGEaUCIEq5GpVFIiGuAEBLam2g/w96-h96-p/photo.jpg,"January 7, 2016",https://play.google.com/store/apps/details?id=com.reliablecoders.moodmeter&reviewId=Z3A6QU9xcFRPR2hQejV3dzRwR2tMbzRyVmZkNlRaeGdrcDROZG05VEJCYklaX3J0OUlFcXQ3NF8xbjNSWjhVeEZKVy11dy1IS09wTlpYX0ZnUGdaWDl0T2c,2,,"I'm a bit disappointed. I assumed this would be a great app for my class room... instead it is just a personal mood tracker. I would highly suggest for the ability to click a ""dot"" and it automatically be saved (multiple classroom accounts). This would make it easy for students to simply click the phone on the way into my door as my greeting and I would have instant data that I can show on my doc cam or to other students without the hassle of sticky notes or magnets. If you plan updating the app to allow this i'll keep it on my phone. Otherwise I would like a refund if possible.",undefined,undefined
gp:AOqpTOFiGv1bkaUafJ5TXg4GqyXsnSb_iLHAJSD4bvprCkNAl2Ri7ZlOxIXaYoC4LqnoAbJ74gjZFw2DjjdO9w,Michael Spier,https://lh4.googleusercontent.com/-N1s56HXdcUo/AAAAAAAAAAI/AAAAAAAAirk/Aq_gBGQ2kz0/w96-h96-p/photo.jpg,"January 31, 2017",https://play.google.com/store/apps/details?id=com.reliablecoders.moodmeter&reviewId=Z3A6QU9xcFRPRmlHdjFia2FVYWZKNVRYZzRHcXlYc25TYl9pTEhBSlNENGJ2cHJDa05BbDJSaTdabE94SVhhWW9DNExxbm9BYko3NGdqWkZ3MkRqamRPOXc,2,,"The concept of this app is simple and powerful. I used it without fail on the iPhone for more than a year. This Android implement ration, however, is terrible and tremendously frustrating.   In less than a week of using the app, I've lost my data 3 times. This seems mostly related to the terrible authentication implementation, which is neither necessary nor valuable in anyway.   I have not once logged in successfully-I can't imagine that this was tested even once. By clicking Get Started I can enter the app and record moods, however, that fails randomly and unexpectedly.  This app is not worth your time as a free app, let alone a paid app.",undefined,undefined
gp:AOqpTOHyTX0RPrAyGx-91zIKfz8NzZYEHkqLi-i3njOdyde9jsOagvA-TwasT6bdyqu0XuGw0F1c1bX8DTN3vQ,Ryan Betts,https://lh3.googleusercontent.com/-pUZfSVsrS5U/AAAAAAAAAAI/AAAAAAAAlaM/nkeSpAdBq4w/w96-h96-p/photo.jpg,"February 9, 2017",https://play.google.com/store/apps/details?id=com.reliablecoders.moodmeter&reviewId=Z3A6QU9xcFRPSHlUWDBSUHJBeUd4LTkxeklLZno4TnpaWUVIa3FMaS1pM25qT2R5ZGU5anNPYWd2QS1Ud2FzVDZiZHlxdTBYdUd3MEYxYzFiWDhEVE4zdlE,1,,"PLEASE FIX. IT DOESN'T WORK RIGHT NOW. Dr. Brackett is going to begin working with our district, so I decided to start using this app. But, it won't let me log in and it won't let me reset my password. PLEASE FIX. I'd like to use this app to support the work Dr Brackett will be doing with our staff and students. The next time I see Dr. Brackett, I will let him know my experience with the app.",undefined,undefined
gp:AOqpTOGzgLQsC7r0O4C6qP5xFqycKADObmvQFutyUnNEXTU8eqc5y7BeUq56k2RmR-vL0ENQHkXDLNaTKidbfA,Dan Hudkins,https://lh4.googleusercontent.com/-KnRYgVfBxuU/AAAAAAAAAAI/AAAAAAAACZQ/TIaZlQD6KlA/w96-h96-p/photo.jpg,"February 14, 2016",https://play.google.com/store/apps/details?id=com.reliablecoders.moodmeter&reviewId=Z3A6QU9xcFRPR3pnTFFzQzdyME80QzZxUDV4RnF5Y0tBRE9ibXZRRnV0eVVuTkVYVFU4ZXFjNXk3QmVVcTU2azJSbVItdkwwRU5RSGtYRExOYVRLaWRiZkE,3,Password issue - Report issue,"Password issue - Report issue Galaxy Note 4, Marshmallow. Password inchanged, but not permitted.  Reset option works until ""Send Email"" is clicked. ""Sending email message comes up. Arrow circle travels about 270 degrees and stops. System looks briefly. Mood app  quits and Android report error routine comes up.",undefined,undefined
gp:AOqpTOHwtx9vYYcbOe09qanVFuHDZ6Xe2v62yEw9b9wbIkCuKi_9E1Vwv7wSLkMXhn1_oj_jVzYB1Bdy4jRJww,Yoonhyeok Yang,https://lh4.googleusercontent.com/-fNKMedkNmzY/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVhP6IUNHn7cii98wtV3P9-cMl0uA/w96-h96-p/photo.jpg,"May 2, 2016",https://play.google.com/store/apps/details?id=com.reliablecoders.moodmeter&reviewId=Z3A6QU9xcFRPSHd0eDl2WVljYk9lMDlxYW5WRnVIRFo2WGUydjYyeUV3OWI5d2JJa0N1S2lfOUUxVnd2N3dTTGtNWGhuMV9val9qVnpZQjFCZHk0alJKd3c,3,"Good idea, too many bugs","Good idea, too many bugs App logged me out, and when I went to retrieve my password, app shut down. Happening multiple times - still no fix",undefined,undefined
gp:AOqpTOGWsUO61RV0rmEhQ-FJFytZmgu6uEpSx6H6Qu9j8ntmbzPDQcTL_bjL-SWdImrXuvtmIvvikyd26A_34Q,Jeffrey W,https://lh6.googleusercontent.com/-R5aEVMRevBE/AAAAAAAAAAI/AAAAAAAACFQ/cmnud4SKDB4/w96-h96-p/photo.jpg,"January 31, 2017",https://play.google.com/store/apps/details?id=com.reliablecoders.moodmeter&reviewId=Z3A6QU9xcFRPR1dzVU82MVJWMHJtRWhRLUZKRnl0Wm1ndTZ1RXBTeDZINlF1OWo4bnRtYnpQRFFjVExfYmpMLVNXZEltclh1dnRtSXZ2aWt5ZDI2QV8zNFE,1,,"Very buggy, and author is no longer updating it. Keeps crashing when trying to create an account. A shame because this looked like a very good app",undefined,undefined
gp:AOqpTOGujTCvu42SwYKMuji5Dc4DtF4n56_kQC-BtvQschYIDu36ocaAHlcitC_g8FvsTi59YS2y-KuyYU0T0w,,https://lh6.googleusercontent.com/-jgqIBsSLTR4/AAAAAAAAAAI/AAAAAAAAAAA/yLzxjRZ8FHM/w96-h96-p/photo.jpg,"February 1, 2017",https://play.google.com/store/apps/details?id=com.reliablecoders.moodmeter&reviewId=Z3A6QU9xcFRPR3VqVEN2dTQyU3dZS011amk1RGM0RHRGNG41Nl9rUUMtQnR2UXNjaFlJRHUzNm9jYUFIbGNpdENfZzhGdnNUaTU5WVMyeS1LdXlZVTBUMHc,2,,I used it well for 2weeks and then crashed lost all my data... Extremely pissed off I needed the report for 3 months and now if I go into get started to start all over again I can only record once before it crashes and logs out to have to start all over again,undefined,undefined
gp:AOqpTOFS7BM0mjQiixbdcflcgsCVUqbZSQccgQA6rw1Bg32cse1ZsTebP94R-708o3_SEi8uQxifs-rScCteOA,Sherry Thomas,https://lh6.googleusercontent.com/-eihhwG6l6dQ/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUpfzFyjLfKq38uUfkfv9WrwZnXmA/w96-h96-p/photo.jpg,"November 17, 2016",https://play.google.com/store/apps/details?id=com.reliablecoders.moodmeter&reviewId=Z3A6QU9xcFRPRlM3Qk0wbWpRaWl4YmRjZmxjZ3NDVlVxYlpTUWNjZ1FBNnJ3MUJnMzJjc2UxWnNUZWJQOTRSLTcwOG8zX1NFaTh1UXhpZnMtclNjQ3RlT0E,2,,"I bought this app and did not have opportunity to create a password... instead I was told my password was wrong and every time I clicked ""forgot password"" and tried to get an email to create one, it crashed. My mood got less and less pleasant each time!",undefined,undefined
gp:AOqpTOEPGQzoRZ2Nl85m8tcdw5PGQ_tuWQ45iSl-uB5tsDWuw8CVJ6qh4mSwTEepQgMLy15dGKfoTj4uIaxKTg,Avery Blackwood,https://lh5.googleusercontent.com/-NdgMuEacdD0/AAAAAAAAAAI/AAAAAAAAABI/SbI6D46c3_Q/w96-h96-p/photo.jpg,"January 25, 2016",https://play.google.com/store/apps/details?id=com.reliablecoders.moodmeter&reviewId=Z3A6QU9xcFRPRVBHUXpvUloyTmw4NW04dGNkdzVQR1FfdHVXUTQ1aVNsLXVCNXRzRFd1dzhDVko2cWg0bVN3VEVlcFFnTUx5MTVkR0tmb1RqNHVJYXhLVGc,3,I would love this...,I would love this... If you would fix it so the reports would stay. Please put forth the effort and make it work. It's a great idea. You have something here. Fix it. I'll be waiting in the wings with my five stars when you do.,undefined,undefined
gp:AOqpTOEgSuYLS2w9jf_8kUJIxs1p0m9Wbe5qUcOu3gvJMXfeZ4JHMOw6xMn7-ZoxXB4duu2TE5OlHUmpBp5_6Q,___ ___,https://lh4.googleusercontent.com/-1LBeeOGMqio/AAAAAAAAAAI/AAAAAAAABIA/1XnXLMeMUM4/w96-h96-p/photo.jpg,"October 5, 2016",https://play.google.com/store/apps/details?id=com.reliablecoders.moodmeter&reviewId=Z3A6QU9xcFRPRWdTdVlMUzJ3OWpmXzhrVUpJeHMxcDBtOVdiZTVxVWNPdTNndkpNWGZlWjRKSE1PdzZ4TW43LVpveFhCNGR1dTJURTVPbEhVbXBCcDVfNlE,2,"great, broken","great, broken I'm feeling disappointed because the app logged me out today and won't let me log in with Facebook",undefined,undefined
