id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOHMIJmB8-_A0txGS1h6bACAAz0EKJirlrJ_MbWWgA1dcO8-ftagZzlnUtR3nvz1CF_t5upZP7W6AtA,H Gardner,https://lh6.googleusercontent.com/-ZopMOBYHTCw/AAAAAAAAAAI/AAAAAAAAFSg/bGMnJCNIQ_0/w96-h96-p/photo.jpg,"January 1, 2018",https://play.google.com/store/apps/details?id=com.hanidan.moodscanner&reviewId=Z3A6QU9xcFRPSE1JSm1COC1fQTB0eEdTMWg2YkFDQUF6MEVLSmlybHJKX01iV1dnQTFkY084LWZ0YWdaemxuVXRSM252ejFDRl90NXVwWlA3VzZBdEE,2,,"I HATE THIS APP! I'T JUST RANDOMLY SAYS A MOOD LIKE ANGRY BUT I AM NOT! There's not many ads. In fact, I don't think there's any ads. But still, I HATE THIS APP!",undefined,undefined
gp:AOqpTOE6fo-W4YI4rlEK6pZYlClJ1Iiy4GA2MhecSIy8F84kfOjMwlb2M8zEdyrhLK1PqwE1VWpjnyJ0nZY,Francois Van Tonder,https://lh6.googleusercontent.com/-Fv4mDiSDNEg/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVHAdvV3jI9w0SZBK-Vk3feSmovyQ/w96-h96-p/photo.jpg,"November 17, 2017",https://play.google.com/store/apps/details?id=com.hanidan.moodscanner&reviewId=Z3A6QU9xcFRPRTZmby1XNFlJNHJsRUs2cFpZbENsSjFJaXk0R0EyTWhlY1NJeThGODRrZk9qTXdsYjJNOHpFZHlyaExLMVBxd0UxVldwam55SjBuWlk,1,,"This app is fake, first it tells me I'm relieved,then it tells me I'm disapointed and lastly it tells mein WORRIED WN I WAS HAPPY THIS WHOLE TIME! I suggest you don't get it ad whoever created this, next time please make a real one.😠💩👎",undefined,undefined
gp:AOqpTOGGhYOeYoBnp6wtJOoRrdZUb8mx-_g4HtOA-7CIydyMk0zHgakhHIO4WH1cch9kiJ6trbHNhfLuIuc,,https://lh4.googleusercontent.com/-fi4rVLNNPLs/AAAAAAAAAAI/AAAAAAAAAAA/pop2-AqWLik/w96-h96-p/photo.jpg,"January 31, 2018",https://play.google.com/store/apps/details?id=com.hanidan.moodscanner&reviewId=Z3A6QU9xcFRPR0doWU9lWW9CbnA2d3RKT29ScmRaVWI4bXgtX2c0SHRPQS03Q0l5ZHlNazB6SGdha2hISU80V0gxY2NoOWtpSjZ0cmJITmhmTHVJdWM,1,,Do not download this. It's 100 percent random and fake. I did it about 10 times in a room and they were all different. When I felt happy it said I was angry.,undefined,undefined
gp:AOqpTOGZkH86aEDU-5_RCkiNoUa7_m6JfrfMTspBcthNkokhVa4tKXL8XUU6zfgLrLrGLc6QBZhZ7zugYrA,,https://lh5.googleusercontent.com/-sXF64aCZptY/AAAAAAAAAAI/AAAAAAAAABw/pl5_suuwZjw/w96-h96-p/photo.jpg,"January 4, 2018",https://play.google.com/store/apps/details?id=com.hanidan.moodscanner&reviewId=Z3A6QU9xcFRPR1prSDg2YUVEVS01X1JDa2lOb1VhN19tNkpmcmZNVHNwQmN0aE5rb2toVmE0dEtYTDhYVVU2emZnTHJMckdMYzZRQlpoWjd6dWdZckE,1,,This app is horrible dont waste your time trying to get to say the right mood I hate this app maybe this app should even go out of business,undefined,undefined
gp:AOqpTOHyq2-i1GplVyjwRzdPZKT_rKLXj6-l_ChI4alJzOtBD8saKr8XWdvYIk5y0HL3ASRzUMepYjmR6JM,Malikkah Rutter,https://lh3.googleusercontent.com/-GMuTtYdETuw/AAAAAAAAAAI/AAAAAAAAAAc/L2osIt8dab0/w96-h96-p/photo.jpg,"November 25, 2017",https://play.google.com/store/apps/details?id=com.hanidan.moodscanner&reviewId=Z3A6QU9xcFRPSHlxMi1pMUdwbFZ5andSemRQWktUX3JLTFhqNi1sX0NoSTRhbEp6T3RCRDhzYUtyOFhXZHZZSWs1eTBITDNBU1J6VU1lcFlqbVI2Sk0,1,,Its stupid why would it even be made it tells you the wrong things that it isn't it said I was guilty but I was happy its stupid get rid of it,undefined,undefined
gp:AOqpTOGUIR_8HhG9K2Vpdb2jZk4OgVBWfNXo3_wrLpPOzL50WOE4ff_VaEZZlxbhwzUY0GgTn9udECQt-M8,Black Juzzle,https://lh4.googleusercontent.com/-JzDh2IAZXwg/AAAAAAAAAAI/AAAAAAAAAGc/aqXj4Lm8kSI/w96-h96-p/photo.jpg,"November 21, 2017",https://play.google.com/store/apps/details?id=com.hanidan.moodscanner&reviewId=Z3A6QU9xcFRPR1VJUl84SGhHOUsyVnBkYjJqWms0T2dWQldmTlhvM193ckxwUE96TDUwV09FNGZmX1ZhRVpabHhiaHd6VVkwR2dUbjl1ZEVDUXQtTTg,1,,"First I'm guilty,crazy,then wierd.i was sad the whole time. This app=garbadge",undefined,undefined
gp:AOqpTOEpvBxZ2hvv5gxEiQ1F_KvEcKXnksASGAS9MhUihVoNu2AY56sJOix2zY839lh6b4nSRJ9yQNNOTrs,,https://lh3.googleusercontent.com/-G4nIcoip9xM/AAAAAAAAAAI/AAAAAAAAAAA/ra8Ry4IZ3Rk/w96-h96-p/photo.jpg,"January 4, 2018",https://play.google.com/store/apps/details?id=com.hanidan.moodscanner&reviewId=Z3A6QU9xcFRPRXB2QnhaMmh2djVneEVpUTFGX0t2RWNLWG5rc0FTR0FTOU1oVWloVm9OdTJBWTU2c0pPaXgyelk4MzlsaDZiNG5TUko5eVFOTk9UcnM,4,,"Not bad. I was very sad when my mom shouted at me, I tried this app that time it showed peaceful,I tried it again then finally it showed sad which was correct.",undefined,undefined
gp:AOqpTOHuvMGXfM79vHZ-1Zm0N410-B1UEczDYyiAn6PK_EOimdaPu7lPHA0akZlQOd-49o2gtS9SHbnbYJo,k charles,https://lh5.googleusercontent.com/-gCmdGqDwNp0/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUqBR3Xs7k-cEcYAKR39buJr1ETkQ/w96-h96-p/photo.jpg,"November 21, 2017",https://play.google.com/store/apps/details?id=com.hanidan.moodscanner&reviewId=Z3A6QU9xcFRPSHV2TUdYZk03OXZIWi0xWm0wTjQxMC1CMVVFY3pEWXlpQW42UEtfRU9pbWRhUHU3bFBIQTBha1psUU9kLTQ5bzJndFM5U0hibmJZSm8,1,,Hate it so fake it goes from one mood to another great for little kids though😒,undefined,undefined
gp:AOqpTOEmk-cOlq-iAZR6BnVdffulBm6ltpAB1yZBQYhdlBbjBNrDmD6SF2t6Mm-HclP177WnCYlEbPvXhuo,,https://lh3.googleusercontent.com/-JLk-jIy1qzo/AAAAAAAAAAI/AAAAAAAAAAA/tXlbr6ThJjg/w96-h96-p/photo.jpg,"November 25, 2017",https://play.google.com/store/apps/details?id=com.hanidan.moodscanner&reviewId=Z3A6QU9xcFRPRW1rLWNPbHEtaUFaUjZCblZkZmZ1bEJtNmx0cEFCMXlaQlFZaGRsQmJqQk5yRG1ENlNGMnQ2TW0tSGNsUDE3N1duQ1lsRWJQdlhodW8,1,,It dont even work it said i was sad when i was sleepy lies lies lies all lies👿👿👿👿😠😠😡,undefined,undefined
gp:AOqpTOFMVX-54jTCAtEj-0s40GBEpxyAJF02fXYqhdVs9YRDaNNBVF9l7miCDj_HXbXZzPgr_FRCTZ0U8x8,,https://lh5.googleusercontent.com/-6PpY0ffll2A/AAAAAAAAAAI/AAAAAAAAAFs/rB6-jziAo-I/w96-h96-p/photo.jpg,"November 19, 2017",https://play.google.com/store/apps/details?id=com.hanidan.moodscanner&reviewId=Z3A6QU9xcFRPRk1WWC01NGpUQ0F0RWotMHM0MEdCRXB4eUFKRjAyZlhZcWhkVnM5WVJEYU5OQlZGOWw3bWlDRGpfSFhiWFp6UGdyX0ZSQ1RaMFU4eDg,1,,It was terrible it said that I was giggly when I was sad and alone.,undefined,undefined
