id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOF2R640UO7PLE0z9vOIn0HcLTrzwOI7A1Mw_fxxoavz-jHAKYSAKraXE-yblQWdj-PW7a1H-BoXBAe5dQ,Holly Murr,https://lh4.googleusercontent.com/-l9kZa3TOv4E/AAAAAAAAAAI/AAAAAAAAB7E/yW023w1NgGU/w96-h96-p/photo.jpg,"February 4, 2018",https://play.google.com/store/apps/details?id=com.nick.moodtriggers.anxietyanddepressionapp&reviewId=Z3A6QU9xcFRPRjJSNjQwVU83UExFMHo5dk9JbjBIY0xUcnp3T0k3QTFNd19meHhvYXZ6LWpIQUtZU0FLcmFYRS15YmxRV2RqLVBXN2ExSC1Cb1hCQWU1ZFE,5,,"It doesn't seem to be working.. Did one survey 2 days ago when I first downloaded, since then it hasn't told or asked me anything. The weather shows up is all. I dont understand.   Edit (. Ty for responding so quick. I sent an email. Maybe its some setting on my phone blocking it.??? Have been getting the surveys. It doesn't measure my heartbeat... It's gotta be my phone. For a free app this provides a ton of useful info.. I am bpd, am currently in therapy in whiteoak, PA w a fabulous therapist. Using this I hope will help w understanding my moods. Tytytyty","February 2, 2018","Sorry to hear that. That sounds like unusual behavior. The app prompts you using notifications, so make sure to look in the notifications and click on the notification if you see it. To test this you can go into the upper right hand menu and click Take Survey. This should prompt you with a notification. Update, just sent some more info via email."
gp:AOqpTOHZ4m5xTGC7gSyrxnUUvPQobYHHNdiKsjV72POSCgLLjHMpJNz0UjtKZA7ubrQoAk7hKj0ME5-ZBx_TuA,drishti sahay,https://lh5.googleusercontent.com/-NjHx0YUS010/AAAAAAAAAAI/AAAAAAAAeRM/yC7OgW6iilc/w96-h96-p/photo.jpg,"January 11, 2018",https://play.google.com/store/apps/details?id=com.nick.moodtriggers.anxietyanddepressionapp&reviewId=Z3A6QU9xcFRPSFo0bTV4VEdDN2dTeXJ4blVVdlBRb2JZSEhOZGlLc2pWNzJQT1NDZ0xMakhNcEpOejBVanRLWkE3dWJyUW9BazdoS2owTUU1LVpCeF9UdUE,4,,"A great app for keeping in touch with the why's and how's of your feelings. The only problem is that it's set in one specific timezone, which makes it complicated to set a time for the sleep tracking feature which creates a lot of wrong data. The timezone problem  also makes it confusing to review other statistical data collected by the app.","January 11, 2018",Thanks for the feedback! The timezone issue is definitely something we need to work on. I'll definitely at it to our to-do list.
gp:AOqpTOF4-eqniIEvKooKOTuue4oRTCqwERBa2ptOuxxWJX8BlbOTbvjjILnU8UZJ4AMJS0YF9mgHChUcb056Yg,Gabby Xin,https://lh6.googleusercontent.com/-Xi3L149SElo/AAAAAAAAAAI/AAAAAAAAJ1c/ow1ccs-lOjk/w96-h96-p/photo.jpg,"January 18, 2018",https://play.google.com/store/apps/details?id=com.nick.moodtriggers.anxietyanddepressionapp&reviewId=Z3A6QU9xcFRPRjQtZXFuaUlFdktvb0tPVHV1ZTRvUlRDcXdFUkJhMnB0T3V4eFdKWDhCbGJPVGJ2ampJTG5VOFVaSjRBTUpTMFlGOW1nSENoVWNiMDU2WWc,4,,"Amazingly precise. I don't understand half of it. But I do understand the other half, so that's good. (I'm thinking it's me, not the app) I appreciate the full access to your personal database: anything it picks up,  and it picks up allot. (Not for tin foil hat people!) Also, I personally just don't have the time to respond to all these questions hourly, but I do it anyway, whenever I do have a spare 5-10 minutes... Does that render my participation / results pointless? Or is that better than nothing?","January 19, 2018","Thanks for the feedback, we're definitely working to make things more intuitive. Responding when you can is definitely better than nothing! You can also set the frequency of the prompts in the upper right hand corner if it feels like it's too often."
gp:AOqpTOGZ2lQpuw9mZYN5CTWkU1PwhlfR9pgyyfaO-Zd81pR5HxCaQ7nALKv8SoS2VQkuIRQE0XcIy3YYtJ95cA,Wain Fung,https://lh3.googleusercontent.com/-p3rImLNqxIY/AAAAAAAAAAI/AAAAAAAADyE/3apkNfq_VNE/w96-h96-p/photo.jpg,"November 21, 2017",https://play.google.com/store/apps/details?id=com.nick.moodtriggers.anxietyanddepressionapp&reviewId=Z3A6QU9xcFRPR1oybFFwdXc5bVpZTjVDVFdrVTFQd2hsZlI5cGd5eWZhTy1aZDgxcFI1SHhDYVE3bkFMS3Y4U29TMlZRa3VJUlFFMFhjSXkzWVl0Sjk1Y0E,4,,"Good to have track on mood and the relation with other factors. It would be better if I could change the time zone and manually input the data like start sleep tracking, input the mensuration cycle and input other emotions",undefined,undefined
gp:AOqpTOEOZ0Wqg7tpjfL1HBIXiSdexEUUX7YL1vIwG48TVdT_X-9Ge0X5Px4G-MNgWfCAjTE82Dp_NpLdIZC3mQ,Dan Sumption,https://lh6.googleusercontent.com/-hK0w8IhrJWs/AAAAAAAAAAI/AAAAAAAEPQM/BE9jDgvdHpg/w96-h96-p/photo.jpg,"December 1, 2017",https://play.google.com/store/apps/details?id=com.nick.moodtriggers.anxietyanddepressionapp&reviewId=Z3A6QU9xcFRPRU9aMFdxZzd0cGpmTDFIQklYaVNkZXhFVVVYN1lMMXZJd0c0OFRWZFRfWC05R2UwWDVQeDRHLU1OZ1dmQ0FqVEU4MkRwX05wTGRJWkMzbVE,2,,"Looks like an interesting app, but it demanded access to just about every permission on my phone, without explaining why, and refused to run unless I granted all of them. No thanks, I'm not letting you manage my phone calls and read my SMSes!",undefined,undefined
gp:AOqpTOGKSgI6UXtfcEyXB8SbujODRD8blkRJ2cFBeBEwpmT-55VaVPyKJEKzAkFBJUEQdG2pbFlT7YOIPYs9fg,Alexis Hansen,https://lh3.googleusercontent.com/-4RVguYoHNWo/AAAAAAAAAAI/AAAAAAAAI9U/B91df_6GkJo/w96-h96-p/photo.jpg,"November 23, 2017",https://play.google.com/store/apps/details?id=com.nick.moodtriggers.anxietyanddepressionapp&reviewId=Z3A6QU9xcFRPR0tTZ0k2VVh0ZmNFeVhCOFNidWpPRFJEOGJsa1JKMmNGQmVCRXdwbVQtNTVWYVZQeUtKRUt6QWtGQkpVRVFkRzJwYkZsVDdZT0lQWXM5Zmc,5,,Excellent app! I'm finding it very useful to identify my current state of emotion in efforts to decrease my depression- only on day 2 but it's still showing to be time worthy,undefined,undefined
gp:AOqpTOEk6y0t5tz08NLT3SqORBgkLVvgFO2GQsxCiN22uZMDxzK6CBCYFrxv9MKghzOYEKIkS44VW_XZEoIfDQ,Kayla E,https://lh5.googleusercontent.com/-ZqXHaWCpP-o/AAAAAAAAAAI/AAAAAAAAAIo/zDvLDVz9HuI/w96-h96-p/photo.jpg,"December 29, 2017",https://play.google.com/store/apps/details?id=com.nick.moodtriggers.anxietyanddepressionapp&reviewId=Z3A6QU9xcFRPRWs2eTB0NXR6MDhOTFQzU3FPUkJna0xWdmdGTzJHUXN4Q2lOMjJ1Wk1EeHpLNkNCQ1lGcnh2OU1LZ2h6T1lFS0lrUzQ0VldfWFpFb0lmRFE,5,,"Love it. There is one downfall with the sleep tracking. I don't like my phone plugged in all night and just because it's plugged in doesn't mean I am asleep. I Would prefer a button  to push when I am actually laying down with my eyes closed and trying to sleep. Not laying in bed reading, watching tv, or dealing with anxiety. Then if I forget to plug it back in or out of habit unplug it because the charged light is on, AND the tracking never worked. Also, I have insomnia so my aleep schedules vary, and having a sleep schedule set based on the weekends versus the weekdays isn't very effective. Also would be helpful to alter the survey questions some. either way I am enjoying the app.","December 29, 2017","Thanks for the feedback! We do have a manual sleep mode, which allows you to manually start and stop sleep (this can be enabled in the upper left settings menu). It sounds like this may be something that would work better for you."
gp:AOqpTOFrLqnpz_FbxyDYXjTNsZhrgsUN2Mc3J1A726Lq6weP1fv0CnxS8uq1OSdbe0w6-iDq-gFOwa1COSzH7g,Halie Schuamcher,https://lh5.googleusercontent.com/-qf2RGOOqMyQ/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVQBXR8VHHw9ZD8pI4zvqfoKAEvTw/w96-h96-p/photo.jpg,"November 3, 2017",https://play.google.com/store/apps/details?id=com.nick.moodtriggers.anxietyanddepressionapp&reviewId=Z3A6QU9xcFRPRnJMcW5wel9GYnh5RFlYalROc1pocmdzVU4yTWMzSjFBNzI2THE2d2VQMWZ2MENueFM4dXExT1NkYmUwdzYtaURxLWdGT3dhMUNPU3pIN2c,4,,"I wish the survey questions were better explained or worded. And it asks ""did you have a positive/negative event happen"" but if you didn't have one, it should skip over the other questions about that event.",undefined,undefined
gp:AOqpTOHtjttQ8LVQS--qRDJ1FpE0VBGh-KrXhsSx3Ua7am4hpIDNtlf2FbJkv99aCLl4PocE_NYLnz3c7EHvsQ,Glenna Foreman,https://lh6.googleusercontent.com/-4eYvK4D-V9g/AAAAAAAAAAI/AAAAAAAAgeQ/PSZY21jRfzA/w96-h96-p/photo.jpg,"October 27, 2017",https://play.google.com/store/apps/details?id=com.nick.moodtriggers.anxietyanddepressionapp&reviewId=Z3A6QU9xcFRPSHRqdHRROExWUVMtLXFSREoxRnBFMFZCR2gtS3JYaHNTeDNVYTdhbTRocElETnRsZjJGYkprdjk5YUNMbDRQb2NFX05ZTG56M2M3RUh2c1E,2,,"Thanks for your reply. You also need to fix the causal attributing to read ""causal"" and not ""casual"" as it is now! I got it but others may not. ""Casual relationship? WTH?"" Huge difference. An explanation on the UI would be helpful - what's valence?  ***BIGGEST ISSUE: force closes EVERY TIME I get to the heart rate page. I am told to close the app or report it; I report it bc when I do, it starts back up again and I do the faces. This is only way I can finish a survey. The new update fixed the steps I guess bc there's a graph there now so hopefully it's getting there! I don't want to uninstall but if this keeps up I'll have to. I un/reinstalled it and same issue w force closing when heart rate screen pops up. Google's getting tired of my reporting this app just so I can get to the next section so I'm uninstalling. I'll be back in a few weeks to see if things have changed.","October 24, 2017","Try watching a video to help with the results interpretation (https://goo.gl/wvLqdQ). Causal attributions means that feeling like bad events are your fault and the you think this is unlikely to change. We're working on an update that should be released in the next few days to fix the heart rate, sleep, and steps. See moodtriggers.com for more help."
gp:AOqpTOFnMNuKA3yanEIqCWIoexCsgJG9bDFE4wiXIMiA0eyx1Ur6cOdhinMago2mgomA1oiWIK6-uP3DaMVCmg,Paige R,https://lh6.googleusercontent.com/-QZ2JY88iC0o/AAAAAAAAAAI/AAAAAAAAAGo/CxwoP6_pCrc/w96-h96-p/photo.jpg,"December 26, 2017",https://play.google.com/store/apps/details?id=com.nick.moodtriggers.anxietyanddepressionapp&reviewId=Z3A6QU9xcFRPRm5NTnVLQTN5YW5FSXFDV0lvZXhDc2dKRzliREZFNHdpWElNaUEwZXl4MVVyNmNPZGhpbk1hZ28ybWdvbUExb2lXSUs2LXVQM0RhTVZDbWc,4,,Love this app very helpful. My only wish is that the statistics were more explained. Some of the terms are confusing so more results explanations would be useful so I could better understand what the app is telling me,"December 26, 2017",Thanks for the feedback! We're working on revamping the results to make it easier and more helpful.
