id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOH0Y3XAR16LfLolwg6IsF95z-XqeuU9mj8ZwT-Bw65bq0oqCwCM-yPMkOltDg1R5DNLy_nWkrCUEqFcQ4U,The23rdGamer,https://lh4.googleusercontent.com/-IrYEoz3xZoY/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVQXzfY5QWmN7Rje_0huX8czzFqAw/w96-h96-p/photo.jpg,"October 24, 2016",https://play.google.com/store/apps/details?id=com.moodtrak.diary&reviewId=Z3A6QU9xcFRPSDBZM1hBUjE2TGZMb2x3ZzZJc0Y5NXotWHFldVU5bWo4WndULUJ3NjVicTBvcUN3Q00teVBNa09sdERnMVI1RE5MeV9uV2tyQ1VFcUZjUTRV,5,Absolutely fantastic.,"Absolutely fantastic. While the core concepts of this app manage to remain simple and easy to use, the app does manage to feel alive and full of features. The wondrous, supporting community is a major contributing factor this though. Would defidently recommend that everyone tries this at least once! Only complain is the battery consumption rate...It's too high. Nonetheless, a 5 star rating is a minimum reward for such an amazing app!",undefined,undefined
gp:AOqpTOHKg6OnwuyJZduRataFx6Lr2vgINV0keru0260BQ085llcmX42PbBFOO2HusGB5z9JOuSH8XWMLcNpwrCI,jojo,https://lh3.googleusercontent.com/-1YFkBwmuqzY/AAAAAAAAAAI/AAAAAAAAflI/zW2rnwB0QdQ/w96-h96-p/photo.jpg,"September 20, 2016",https://play.google.com/store/apps/details?id=com.moodtrak.diary&reviewId=Z3A6QU9xcFRPSEtnNk9ud3V5SlpkdVJhdGFGeDZMcjJ2Z0lOVjBrZXJ1MDI2MEJRMDg1bGxjbVg0MlBiQkZPTzJIdXNHQjV6OUpPdVNIOFhXTUxjTnB3ckNJ,1,Private fee,Private fee I just down loaded this and the first thing i came up agenst was the small fee to keep my diary private.  Sorry but im using this because im feeling abit down and dont think having to payto keep i diary private is at all on. There are many other good aps out therethat will not charge for anything. Talk about taking advantage of peoplewhen thay are down! I would happily pay for a good app but not like this. If you read other reviews other people feel the same. This is just not on.,undefined,undefined
gp:AOqpTOEvkwpxqoNXI88hKxbGxaputUXbf-Il9joubxTAkLfs9SMTL3wBMig6T-_tYTmDccDSQZ8kmppBy73aGcE,Jeffrey Tyler,https://lh3.googleusercontent.com/-5NkVYrNPJKw/AAAAAAAAAAI/AAAAAAAAPQs/JAQ1W-ef3-E/w96-h96-p/photo.jpg,"July 23, 2016",https://play.google.com/store/apps/details?id=com.moodtrak.diary&reviewId=Z3A6QU9xcFRPRXZrd3B4cW9OWEk4OGhLeGJHeGFwdXRVWGJmLUlsOWpvdWJ4VEFrTGZzOVNNVEwzd0JNaWc2VC1fdFlUbURjY0RTUVo4a21wcEJ5NzNhR2NF,5,This app is changing my life.,"This app is changing my life. This past week I started seeing a psychiatrist and he referred me to this app and one other like it to start logging my moods and feelings throughout the days between our next visits; and this app is changing my life. I've never been the type to keep what would be considered a 'journal', but this app feels like so much more than that. Not only is it simple, intuitive, and straight to the point; it adds a social aspect that allows for instant support for, and from, others. It is a good feeling.",undefined,undefined
gp:AOqpTOGkdZ5qEz2SBcmi6dzfe-oriTlGSLx6JAlJJ5OVZKEtMCHOST0V0LMZtr-gTINbyYX5VvvWgxqRNd7JzGg,Amber Kalland,https://lh5.googleusercontent.com/-Ccbl6W5-9vM/AAAAAAAAAAI/AAAAAAAABzo/_jxCxCew_Ag/w96-h96-p/photo.jpg,"January 21, 2017",https://play.google.com/store/apps/details?id=com.moodtrak.diary&reviewId=Z3A6QU9xcFRPR2tkWjVxRXoyU0JjbWk2ZHpmZS1vcmlUbEdTTHg2SkFsSko1T1ZaS0V0TUNIT1NUMFYwTE1adHItZ1RJTmJ5WVg1VnZ2V2d4cVJOZDdKekdn,5,,I was honestly really skeptical when I first installed the app but it really exceeded all my expectations. It's easy to use and the word board really helps keep track my dominant moods so I can easily pick them out when I talk to my psychiatrist. The community is friendly and supportive and the anonymous aspect helps ease any feelings of vulnerability.   The only downsides I find are that I can't transfer the app to my SD card and that it has no lock feature but other than that it's great.,undefined,undefined
gp:AOqpTOHPZBy7ukC20F8JUgUnn4f_BI-G_aKQ9_Tf1C9mSeLlqxpE62-1bnTYXwN01cPINh8pRlLW2pULvHyjxpU,T3tCHY,https://lh5.googleusercontent.com/-q5-2z6M9rPI/AAAAAAAAAAI/AAAAAAAAKt4/uXPmqZMOYxc/w96-h96-p/photo.jpg,"February 1, 2016",https://play.google.com/store/apps/details?id=com.moodtrak.diary&reviewId=Z3A6QU9xcFRPSFBaQnk3dWtDMjBGOEpVZ1VubjRmX0JJLUdfYUtROV9UZjFDOW1TZUxscXhwRTYyLTFiblRZWHdOMDFjUElOaDhwUmxMVzJwVUx2SHlqeHBV,4,Such a great community of caring  people,Such a great community of caring  people Love this app so much simple yet works. The community of people is amazing you can really see your not alone with what ever your going thru. Plus i love helping people. Cause ive been thru some tough times. If i can make one person smile or wanna live then im happy. Id give it 5 stars if it had a private msg part and you could make a profile. Fix that and you get 5 stars!,undefined,undefined
gp:AOqpTOGmy6j0v_RXqXeud9VeaXcOz4JPu4KS80Lu7xf2epr69Zl2jnANQgb4SmWvmTxRzYJxq77AwMcIJVmhscQ,Kelly Walker,https://lh4.googleusercontent.com/-fPUKhPWQyiI/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUBOk7rMX5FMYLKeNT6PsGcAESa0w/w96-h96-p/photo.jpg,"October 9, 2016",https://play.google.com/store/apps/details?id=com.moodtrak.diary&reviewId=Z3A6QU9xcFRPR215Nmowdl9SWHFYZXVkOVZlYVhjT3o0SlB1NEtTODBMdTd4ZjJlcHI2OVpsMmpuQU5RZ2I0U21Xdm1UeFJ6WUp4cTc3QXdNY0lKVm1oc2NR,5,Life saving app!,Life saving app! I love this app. At first I was a little taken aback and shocked that every post was public (unless you pay $$ to post privately). I soon realized what a blessing it is. Just be careful and take all the warnings about your username seriously. Do not use any personal info (like name or birth date) in your username since your posting publicly. The app has a really good community of all walks of life and various ages.,undefined,undefined
gp:AOqpTOEPhLfMCRR_UOnAV73_fa8ernHUXz5Q0ttqHy1FhLsRRnxJOTO92UN_PL3IkbVy2UQLbi-7z79FX11sgu4,Dean Merris,https://lh5.googleusercontent.com/-8XPHnr3ERSQ/AAAAAAAAAAI/AAAAAAAAJxM/7eZAqlszW-w/w96-h96-p/photo.jpg,"November 28, 2015",https://play.google.com/store/apps/details?id=com.moodtrak.diary&reviewId=Z3A6QU9xcFRPRVBoTGZNQ1JSX1VPbkFWNzNfZmE4ZXJuSFVYejVRMHR0cUh5MUZoTHNSUm54Sk9UTzkyVU5fUEwzSWtiVnkyVVFMYmktN3o3OUZYMTFzZ3U0,4,Pretty good!,"Pretty good! I love the ability to write a comment with each mood, to remember the events of the day. I wish the date system worked better - if I forget to track the night before, I'd like to be able to set the date back. At first it seemed like I could, but changing it just screws up their little chart and it still shows the mood on the day I wrote it, not the day I changed it to. This makes long-term comparisons more difficult.",undefined,undefined
gp:AOqpTOEMItRVWhjjneb4kX64L0B5yTI285E_sFCfY6hQF0B-1b2-RrgoC0NncH9TZfTyi_AeS3ZBNqpTV-qlowc,layton brown,https://lh4.googleusercontent.com/-Jq2-fdlU5mQ/AAAAAAAAAAI/AAAAAAAAApE/SLZupfENssE/w96-h96-p/photo.jpg,"March 7, 2016",https://play.google.com/store/apps/details?id=com.moodtrak.diary&reviewId=Z3A6QU9xcFRPRU1JdFJWV2hqam5lYjRrWDY0TDBCNXlUSTI4NUVfc0ZDZlk2aFFGMEItMWIyLVJyZ29DME5uY0g5VFpmVHlpX0FlUzNaQk5xcFRWLXFsb3dj,5,Defiantly download,Defiantly download You can do your own posts and keep track or you can share it public world wide with other peoples minds its like a we are all reading eachothers mind we can also put comments on them i thought and help people dont worry no puts you down on the app dont be scared LOVELY APP,undefined,undefined
gp:AOqpTOGfC2CIOzQumJqjVB7MVTnDw-Piwd3c_l8h6TvrXh0xzUFUAE9CJftCiCqlZwKYPuPrK-bY6DeBXlsNj4c,Nicole Loren,https://lh5.googleusercontent.com/-WUWW2845j3w/AAAAAAAAAAI/AAAAAAAAAZU/cMbA2Xd-7ns/w96-h96-p/photo.jpg,"January 31, 2018",https://play.google.com/store/apps/details?id=com.moodtrak.diary&reviewId=Z3A6QU9xcFRPR2ZDMkNJT3pRdW1KcWpWQjdNVlRuRHctUGl3ZDNjX2w4aDZUdnJYaDB4elVGVUFFOUNKZnRDaUNxbFp3S1lQdVBySy1iWTZEZUJYbHNOajRj,4,,I like this app but can u plz update a few things? Can the dots be icons? Can the colors be prettier or have a better scheme.  It feels like a child's app. Can you also add a. 5 rating system.  Can the stars be an icon? Can you change the numbering to a bigger scale like 1-10? It's hard to rate just 1-5. Can you add a privacy agreement? Can you ensure our privacy and protection? Thank you.!,undefined,undefined
gp:AOqpTOEnRE_3OQFD2R8B-UKIZk1BtM4oxAKQMh1j51Y0my7KsVH0KzubOO79gm4aByDSNFPvNR6jSlvzHrci1Xw,Angie Marshall,https://lh4.googleusercontent.com/-6iFSX097hWE/AAAAAAAAAAI/AAAAAAAACiM/u5Z7jpQvahs/w96-h96-p/photo.jpg,"January 30, 2016",https://play.google.com/store/apps/details?id=com.moodtrak.diary&reviewId=Z3A6QU9xcFRPRW5SRV8zT1FGRDJSOEItVUtJWmsxQnRNNG94QUtRTWgxajUxWTBteTdLc1ZIMEt6dWJPTzc5Z200YUJ5RFNORlB2TlI2alNsdnpIcmNpMVh3,4,just one suggestion,"just one suggestion really like it, it helps me look back and see if my moods improved over time. Just one suggestion: when I block someone I don't wanna see a single thing they post. I wanna pretend they don't even exist, ya know? If it could be like that that'd be great",undefined,undefined
