id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOGzopnEX17AYbPt1i4OLKcgk5XkI1LSGLTZM71Hoz4vNJI7g2cezKro5x1SAEjW6bPypSnmr7zPjHlSFA,Peed off Bride,https://lh6.googleusercontent.com/-3-OWzgmtlIM/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVBTZobQL-rozx5pqssoRrWSRUdFw/w96-h96-p/photo.jpg,"January 17, 2018",https://play.google.com/store/apps/details?id=com.surfcityapps.relievedepression&reviewId=Z3A6QU9xcFRPR3pvcG5FWDE3QVliUHQxaTRPTEtjZ2s1WGtJMUxTR0xUWk03MUhvejR2TkpJN2cyY2V6S3JvNXgxU0FFalc2YlB5cFNubXI3elBqSGxTRkE,5,,"Use both this and the end anxiety App,  I recommend  it to everyone I can.  I truly believe it has helped my mental state and I always have a good night sleep when I drift off listening.  I also managed to quit smoking and have now been quit for 3 months using the quit smoking app.  I am easily hypnotised though",undefined,undefined
gp:AOqpTOHqYY5L0EK_5muweHskwmOGxNUgHYeCD7LdY1QaZK3AfTCM1ESu-2H8LUDITHrBiz18__rhgXXlQFPd0Q,rosie lo,https://lh3.googleusercontent.com/-qVYCdmHiRsY/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjXnq5G-MkqkTsc371q_bB4q-EHxZg/w96-h96-p/photo.jpg,"January 13, 2018",https://play.google.com/store/apps/details?id=com.surfcityapps.relievedepression&reviewId=Z3A6QU9xcFRPSHFZWTVMMEVLXzVtdXdlSHNrd21PR3hOVWdIWWVDRDdMZFkxUWFaSzNBZlRDTTFFU3UtMkg4TFVESVRIckJpejE4X19yaGdYWGxRRlBkMFE,1,,"BEWARE. this ap uses hypnotism and subliminal messaging to attempt to get you to buy the paid version. DO NOT USE. ""Hypnotic booster"" plays in the beginning then it prompts you to turn the volume up on hypnotic booster which is only a paid feature. very creepy!!",undefined,undefined
gp:AOqpTOGuok5GrTax2sImIQGreIV7GY0WApMoVFqdFhl5cumzBf3k7tZEykl9E5KV0bOmokLlninh78k9rDDS_A,,https://lh3.googleusercontent.com/-Kvc46j6ptdg/AAAAAAAAAAI/AAAAAAAAAAA/5-37wO1GlvQ/w96-h96-p/photo.jpg,"January 7, 2018",https://play.google.com/store/apps/details?id=com.surfcityapps.relievedepression&reviewId=Z3A6QU9xcFRPR3VvazVHclRheDJzSW1JUUdyZUlWN0dZMFdBcE1vVkZxZEZobDVjdW16QmYzazd0WkV5a2w5RTVLVjBiT21va0xsbmluaDc4azlyRERTX0E,5,,Love,undefined,undefined
gp:AOqpTOF6sdIExj1dRTDqtOBPjEZSG3AMZQ8AjHuu6u8UYLKuYQ7UMEy6HVMMWEOs6n9i0WTeasqOaNJZoHqPEg,Allaina Mcdonnell,https://lh5.googleusercontent.com/-e3t9Sn60tzQ/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjWP3HiNv6BrV1j9YBvrHXVUtYOp0g/w96-h96-p/photo.jpg,"November 20, 2017",https://play.google.com/store/apps/details?id=com.surfcityapps.relievedepression&reviewId=Z3A6QU9xcFRPRjZzZElFeGoxZFJURHF0T0JQakVaU0czQU1aUThBakh1dTZ1OFVZTEt1WVE3VU1FeTZIVk1NV0VPczZuOWkwV1RlYXNxT2FOSlpvSHFQRWc,5,,These different apps really works. Like the pain relief when I get pain anywhere in my body I let it play and my pain be relief.  Thank God for this. It's amazing.  The fear app I don't even have fear no more I listen to that as well. Anxiety as well I don't have that no. More. I would recommend this to anyone,undefined,undefined
gp:AOqpTOH_IyUpgMG9GOYscejRWtRkJHCfV5hnQBwI7lIKSZJ6hyz-v14prFz98K2ZbpQgx_dKxqftdfsXmg7WvA,Olga Kasatkina,https://lh4.googleusercontent.com/-nDVKYBLngNo/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVlGFxAcGy__3HPc3pH2rCnSVVLiQ/w96-h96-p/photo.jpg,"September 11, 2017",https://play.google.com/store/apps/details?id=com.surfcityapps.relievedepression&reviewId=Z3A6QU9xcFRPSF9JeVVwZ01HOUdPWXNjZWpSV3RSa0pIQ2ZWNWhuUUJ3STdsSUtTWko2aHl6LXYxNHByRno5OEsyWmJwUWd4X2RLeHFmdGRmc1htZzdXdkE,5,,"This app is very helpful for me: it gives me support that I need to moderate my depression. I like the voice very much: it is so soft and pleasant. I appreciate the possibility to try the app first and then make a decision about paying or not paying for additional convenient features. Thank you, guys, you do a great job.",undefined,undefined
gp:AOqpTOHSmuVPqqQY_gPE1opgjtXMFylZTClXnAIIps-uI68yTkIHG9FG7FPS3PV6To9gfLJOn9XLX8FEdvBPNQ,Sara Kitson,https://lh3.googleusercontent.com/-LDqss0dQmPU/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjWjTsK-KlBuaKbqjy01oQZllwv3Qg/w96-h96-p/photo.jpg,"July 22, 2017",https://play.google.com/store/apps/details?id=com.surfcityapps.relievedepression&reviewId=Z3A6QU9xcFRPSFNtdVZQcXFRWV9nUEUxb3BnanRYTUZ5bFpUQ2xYbkFJSXBzLXVJNjh5VGtJSEc5Rkc3RlBTM1BWNlRvOWdmTEpPbjlYTFg4RkVkdkJQTlE,1,,The hypnosis is terrible. I am wide awake throughtout. Apparently you should be able to visualise a mountain. I just continued to think about my worries,undefined,undefined
gp:AOqpTOEI4aYnDDHMVNwJY5KSadagJ3yTngHSHKnS1QiRETFWQkcyfFivdTIu-wFEDJpcfBn0IjzUWiFpzBYKSg,Michele Springer,https://lh5.googleusercontent.com/-JcWvbGbDTOk/AAAAAAAAAAI/AAAAAAAAAdM/AGXMixsV3FQ/w96-h96-p/photo.jpg,"August 1, 2017",https://play.google.com/store/apps/details?id=com.surfcityapps.relievedepression&reviewId=Z3A6QU9xcFRPRUk0YVluRERITVZOd0pZNUtTYWRhZ0ozeVRuZ0hTSEtuUzFRaVJFVEZXUWtjeWZGaXZkVEl1LXdGRURKcGNmQm4wSWp6VVdpRnB6QllLU2c,5,,I love the self esteem app! Such a relaxing road trip. I always picture santa Cruz mountains were I went to summer camp years ago. Come on and do some more like that please.,undefined,undefined
gp:AOqpTOHL35vQTYIg2iFPaL_E8XytzoH92AV8FJat-PFQ3GQ5w3mXnX0YeVshbTlCKbDsMGUAFbAIyIs3C-PAzg,jason murphy,https://lh5.googleusercontent.com/-j2FP9oxEJ34/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjWjk-SZCtEa0W-voO3IfeA8nkjRxA/w96-h96-p/photo.jpg,"June 6, 2017",https://play.google.com/store/apps/details?id=com.surfcityapps.relievedepression&reviewId=Z3A6QU9xcFRPSEwzNXZRVFlJZzJpRlBhTF9FOFh5dHpvSDkyQVY4RkphdC1QRlEzR1E1dzNtWG5YMFllVnNoYlRsQ0tiRHNNR1VBRmJBSXlJczNDLVBBemc,5,,I am a lot calmer than I used to be. This app has helped me a lot with my insomnia,undefined,undefined
gp:AOqpTOHErEShtmZeVOkB7P2ALddKCQmbYwNRSFT9GNgl1ER8V6ac9L5MHElexcrLzikE7CQiTlSGJ1BlMBPbmQ,,https://lh3.googleusercontent.com/-ZlgJXJ5FADU/AAAAAAAAAAI/AAAAAAAAAAA/a7GvV1NMbgk/w96-h96-p/photo.jpg,"June 28, 2017",https://play.google.com/store/apps/details?id=com.surfcityapps.relievedepression&reviewId=Z3A6QU9xcFRPSEVyRVNodG1aZVZPa0I3UDJBTGRkS0NRbWJZd05SU0ZUOUdOZ2wxRVI4VjZhYzlMNU1IRWxleGNyTHppa0U3Q1FpVGxTR0oxQmxNQlBibVE,5,,I used this app whilst in a depression for the first time and when i got up my depression was completely lifted. I could hardly believe it. Life changing. Amazing.,undefined,undefined
gp:AOqpTOHnBxTULtsJ7G2QWo82oDp2GtsHCSjspHrb8M12_g_q9LvG807eCiytuOfkUd-9HIl5l-uxgzZJHsIgQQ,B. L. Huddleston,https://lh6.googleusercontent.com/-Gg4Zru-0bpc/AAAAAAAAAAI/AAAAAAAAAOs/BCuYpWrWt0w/w96-h96-p/photo.jpg,"October 15, 2017",https://play.google.com/store/apps/details?id=com.surfcityapps.relievedepression&reviewId=Z3A6QU9xcFRPSG5CeFRVTHRzSjdHMlFXbzgyb0RwMkd0c0hDU2pzcEhyYjhNMTJfZ19xOUx2RzgwN2VDaXl0dU9ma1VkLTlISWw1bC11eGd6WkpIc0lnUVE,5,,I luv this app. It has helped relieve the stress that depression has forced me to live with for years. I recommend it to anyone who has a need for it.,undefined,undefined
