id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOH1suPawRCXxe3tKavMCXMqxYJhH1eE4zaqnh3Pm4kItJI7cBAk7f2VOx7-q9Eks6vVH3ODU_hzDURNXw,Jeanetta Kittelson,https://lh3.googleusercontent.com/-bjpaTI1gkOg/AAAAAAAAAAI/AAAAAAAAKSc/7SnZEN9LrI0/w96-h96-p/photo.jpg,"June 1, 2017",https://play.google.com/store/apps/details?id=com.t2.vas&reviewId=Z3A6QU9xcFRPSDFzdVBhd1JDWHhlM3RLYXZNQ1hNcXhZSmhIMWVFNHphcW5oM1BtNGtJdEpJN2NCQWs3ZjJWT3g3LXE5RWtzNnZWSDNPRFVfaHpEVVJOWHc,3,,Since i started this app has crashed and I've lost ALL MY NOTES over weeks of putting his into them and getting help. The email i sent had a cap on how characters were allowed so they weren't being saved and then the app just uninstalled itself. Fix the clitches and it'll be a 5 star app.  Very useful but can't show me therapist a blank screen to know about my days since i last saw him.,undefined,undefined
gp:AOqpTOG-fm7JQn5kE1Y6tOvSfPBUVjo3Q-h8xm2jChW8Z5Ue0E9o5HfwVgj4Efrf7zjsEZp5aiiJ3NnUv0uxQA,Johanna Morris,https://lh4.googleusercontent.com/-ZL0ML3cXhIc/AAAAAAAAAAI/AAAAAAAAAyg/LWppWtTEktQ/w96-h96-p/photo.jpg,"August 27, 2016",https://play.google.com/store/apps/details?id=com.t2.vas&reviewId=Z3A6QU9xcFRPRy1mbTdKUW41a0UxWTZ0T3ZTZlBCVVZqbzNRLWg4eG0yakNoVzhaNVVlMEU5bzVIZndWZ2o0RWZyZjd6anNFWnA1YWlpSjNOblV2MHV4UUE,4,Very good,"Very good I find it very useful and I find it easy to use. One thing I'd like to see updated- when using the sliders right to the edge (e.g scoring a 0 or a 10 on something), you can't really tell if slider is right at the end, so it's very easy to accidentally rate it more like a  1 when you wanted to rate it 0 for example. I would also like to be able to customise categories of sliders from the presets as I feel there are too many ratings in each category for me. Overall though a very good app.",undefined,undefined
gp:AOqpTOEyizdyzFSCxZxOwtj_2biMlm9HU79w6Ov0CcvtdwJFA7XaaK3i7qvKOSvhkj5BxJOVo-6xkePGmmoK2w,Lindsay Ferguson,https://lh5.googleusercontent.com/--Qudvs2ZhYo/AAAAAAAAAAI/AAAAAAAABOU/WvHJo87ixn0/w96-h96-p/photo.jpg,"August 16, 2016",https://play.google.com/store/apps/details?id=com.t2.vas&reviewId=Z3A6QU9xcFRPRXlpemR5ekZTQ3haeE93dGpfMmJpTWxtOUhVNzl3Nk92MENjdnRkd0pGQTdYYWFLM2k3cXZLT1N2aGtqNUJ4Sk9Wby02eGtlUEdtbW9LMnc,5,Love it,"Love it This app was recommended by my therapist and has been helpful in showing me where my issues are. I have experienced no app issues. Only complaints are more like suggestions. A way to optimize or customize the colors would be great, especially in the more specific categories. It can get pretty hard to tell the difference, and for a color blind person probably impossible. I would also like a way to bookmark or otherwise mark specific sections for discussing with a professional.",undefined,undefined
gp:AOqpTOFxgw-GAHAKfJyBgdAl9b70dLJaIQd0U6BIiwp5pGmDYYCpmLb-GhRi3PgieW_N-apphxdfGAUEOBFBVQ,Amber Monsky,https://lh5.googleusercontent.com/-ZEXMIPZlun0/AAAAAAAAAAI/AAAAAAAAGKk/iJpFIYe5KLs/w96-h96-p/photo.jpg,"June 15, 2017",https://play.google.com/store/apps/details?id=com.t2.vas&reviewId=Z3A6QU9xcFRPRnhndy1HQUhBS2ZKeUJnZEFsOWI3MGRMSmFJUWQwVTZCSWl3cDVwR21EWVlDcG1MYi1HaFJpM1BnaWVXX04tYXBwaHhkZkdBVUVPQkZCVlE,3,,"At first, the app worked wonderfully. After about a week of use, I can no longer use the graph function. I have tried clearing the cache on the app, restarting my phone, changing the location of the storage of the app...and nothing. I have reported the issue multiple times.  I love using the app...but not if i can't see the graph function, as it helps to identify possible patterns or triggers.  Hence the 3/5.",undefined,undefined
gp:AOqpTOFluvAUHrLMI-WebfGuwp2siIWVjB6xVbFnIYBo5EQ64Cn-EkY6OgXlbGnjsALSfAwtFkb7QyzG_0zwZg,Elizabeth Walter,https://lh5.googleusercontent.com/-CQAiOdS6yO4/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVqgAOA5e2Bv6jAePeGilsyTxEJDg/w96-h96-p/photo.jpg,"November 6, 2016",https://play.google.com/store/apps/details?id=com.t2.vas&reviewId=Z3A6QU9xcFRPRmx1dkFVSHJMTUktV2ViZkd1d3Ayc2lJV1ZqQjZ4VmJGbklZQm81RVE2NENuLUVrWTZPZ1hsYkduanNBTFNmQXd0RmtiN1F5ekdfMHp3Wmc,2,Does not let see results,Does not let see results Only worked for about 12 hours then the app started shutting down. It is a great app if it would just work like it supposed to. Need to fix it to keep me on it. Going to look at different apps and see if there is a better one,undefined,undefined
gp:AOqpTOFAbCPuxGRvdIbYG3yS-5ZMX_uNxpkEb9owSy8Kt3TFnJFEVZ0tXn7JFoygB_JWpt3vc7tkxcy_p7j6EA,Tim Claiborne,https://lh4.googleusercontent.com/-9HrhPM25t4U/AAAAAAAAAAI/AAAAAAAACGE/lQJYEYwHy0U/w96-h96-p/photo.jpg,"February 20, 2017",https://play.google.com/store/apps/details?id=com.t2.vas&reviewId=Z3A6QU9xcFRPRkFiQ1B1eEdSdmRJYllHM3lTLTVaTVhfdU54cGtFYjlvd1N5OEt0M1RGbkpGRVZaMHRYbjdKRm95Z0JfSldwdDN2Yzd0a3hjeV9wN2o2RUE,2,,last few days has stopped showing graph.  App stops. Would give 5 stars if this can get corrected. Also would like to see reminder work more consistently. Only worked once. Otherwise is pretty good program.,undefined,undefined
gp:AOqpTOEkLgN9P5tIFxO6bSeZg2pnoRio38h6XE4fN5atTdCif4Kp8p_OFKao7unZ24f5svFJ07Bcwt-OasvJ4Q,,https://lh4.googleusercontent.com/-cBSsLuyBQ_E/AAAAAAAAAAI/AAAAAAAAAAA/DKwIw6APNJo/w96-h96-p/photo.jpg,"December 1, 2017",https://play.google.com/store/apps/details?id=com.t2.vas&reviewId=Z3A6QU9xcFRPRWtMZ045UDV0SUZ4TzZiU2VaZzJwbm9SaW8zOGg2WEU0Zk41YXRUZENpZjRLcDhwX09GS2FvN3VuWjI0ZjVzdkZKMDdCY3d0LU9hc3ZKNFE,2,,"It's so disappointing that the problems have not been fixed.  I can't view any results, just like so many others have commented.  This used to be such a great tool.",undefined,undefined
gp:AOqpTOEKVzU5XDEnYiJP5cnekErdaQqPZZJmlGfyHyWii-aHanfrbahMCWM1MhjkE4EWPtB2F5S2uZvOawrcgg,,https://lh5.googleusercontent.com/-rIxgH0dyE8I/AAAAAAAAAAI/AAAAAAAABFY/NVwU78ouPwA/w96-h96-p/photo.jpg,"August 17, 2017",https://play.google.com/store/apps/details?id=com.t2.vas&reviewId=Z3A6QU9xcFRPRUtWelU1WERFbllpSlA1Y25la0VyZGFRcVBaWkptbEdmeUh5V2lpLWFIYW5mcmJhaE1DV00xTWhqa0U0RVdQdEIyRjVTMnVadk9hd3JjZ2c,2,,This app is abandoned and decaying. Multiple crash bugs on Android 7. Back up your data regularly. I like that it's ultra-customizable but that doesn't matter if it doesn't work.,undefined,undefined
gp:AOqpTOGxoRWOt29rMvg3h_mvePDXmzY-VvoCeJm65LUInn5m8LGW66kk9L2cV5hYJpRsgNjTPSMlldCWTFpADw,Katrina M,https://lh5.googleusercontent.com/-4sQbLnKGbUM/AAAAAAAAAAI/AAAAAAAAAME/fXcGUav53KI/w96-h96-p/photo.jpg,"December 3, 2017",https://play.google.com/store/apps/details?id=com.t2.vas&reviewId=Z3A6QU9xcFRPR3hvUldPdDI5ck12ZzNoX212ZVBEWG16WS1Wdm9DZUptNjVMVUlubjVtOExHVzY2a2s5TDJjVjVoWUpwUnNnTmpUUFNNbGxkQ1dURnBBRHc,5,,"I love this app. My dad has ALS and I forget to look after my own needs and health patterns. This app helps me keep track of how I personally feel which is important. Even if it seems redundant, it offers me a selfish moment to worry about myself",undefined,undefined
gp:AOqpTOGGDCR2OFQX34tZ413VKmW8_Ykr1Fm1DoQJzeDIKXvYU2rCu0cyYOKR9ghtM5pIuysUCTPLGiD5PnxKrQ,Raccoon (Chris Brinegar),https://lh5.googleusercontent.com/-SvgZKXTbfKU/AAAAAAAAAAI/AAAAAAAAByc/Q6SHGhLcrtE/w96-h96-p/photo.jpg,"September 30, 2016",https://play.google.com/store/apps/details?id=com.t2.vas&reviewId=Z3A6QU9xcFRPR0dEQ1IyT0ZRWDM0dFo0MTNWS21XOF9Za3IxRm0xRG9RSnplRElLWHZZVTJyQ3UwY3lZT0tSOWdodE01cEl1eXNVQ1RQTEdpRDVQbnhLclE,4,,"This app is great for staying aware of what's happening in treatment.  It can track dissociation, depression, social isolation, or anything else you need.  It can also help you keep YOU accountable: I added a ""Self-care"" category, and I quickly found myself eating more and self-isolating less just to get better scores.  One thing it does need is better default categories (too many fields) and more ways of tracking things (labeling fields instead of just their ends).  The reminders don't work, so I use alarms.",undefined,undefined
