id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOFcWuO6qOvYeTmbNDLTwF5Spyt9qDG51h98pj7mzrKgu5djjL9o2NhtJteMdfVjlnWRRC8_5dFItxmXLw,Cindy D,https://lh6.googleusercontent.com/-M8v81dAYylM/AAAAAAAAAAI/AAAAAAAABrQ/HcvzEz1eUsM/w96-h96-p/photo.jpg,"January 11, 2018",https://play.google.com/store/apps/details?id=com.sevencupsoftea.app&reviewId=Z3A6QU9xcFRPRmNXdU82cU92WWVUbWJORExUd0Y1U3B5dDlxREc1MWg5OHBqN216cktndTVkampMOW8yTmh0SnRlTWRmVmpsbldSUkM4XzVkRkl0eG1YTHc,5,,"This app will save you from being stuck in your head! Great, team of people. It was so easy to use and very fast paced with getting me connected to someone. I am happy to find a new way to talk to someone, instead of weekend calls to the crisis center. Life just got a little better because of this app.",undefined,undefined
gp:AOqpTOE6vU2TyTL33m02i-ALXX2ouK_4zv9mEOeyYtc9TeLK8FHXmqooq_-BALfimoujpzFASMJYvUIdLZmq3w,Elle G.,https://lh5.googleusercontent.com/-gv3DifqDtGA/AAAAAAAAAAI/AAAAAAAAABA/9nCUJPy-d4w/w96-h96-p/photo.jpg,"January 25, 2018",https://play.google.com/store/apps/details?id=com.sevencupsoftea.app&reviewId=Z3A6QU9xcFRPRTZ2VTJUeVRMMzNtMDJpLUFMWFgyb3VLXzR6djltRU9leVl0YzlUZUxLOEZIWG1xb29xXy1CQUxmaW1vdWpwekZBU01KWXZVSWRMWm1xM3c,1,,Most of the listeners were not online during the initial search. The chat I started with one listeners remains unreplied for days and all the notifications are from the app admins. Even saw some listeners who had sexual remarks on their listener descriptions. No filter or at least a check on the listeners at all? A great idea if it works.,"February 1, 2018","Elle, we're sorry you had this frustrating experience! Please report any Listener who acts in an unprofessional manner by leaving a written review for that individual after the chat. We hope you’ll return to the 7 Cups community and find a caring Listener."
gp:AOqpTOEQT6o6S7c3BB12Q0fE-zkXOnotfL6XC-vHSqcW6XuKvcWa3qavmJIPJ5ORn6cOrYCbAOFKGAeNqL0Trw,Amanda Peragine,https://lh5.googleusercontent.com/-T1aZJPOaoBw/AAAAAAAAAAI/AAAAAAAAABc/WgxMIGilsac/w96-h96-p/photo.jpg,"January 30, 2018",https://play.google.com/store/apps/details?id=com.sevencupsoftea.app&reviewId=Z3A6QU9xcFRPRVFUNm82UzdjM0JCMTJRMGZFLXprWE9ub3RmTDZYQy12SFNxY1c2WHVLdmNXYTNxYXZtSklQSjVPUm42Y09yWUNiQU9GS0dBZU5xTDBUcnc,1,,Worse app ever for emotional support. Mods won't come and help when someone is saying they're going to kill themselves but if you talk politics you get muted for 24 hours or more. They need to reevaluate what's important and what isn't. Oh and that guy who no mod came to help is now dead. Thanks 7cups. You did a splendid job!,"February 5, 2018","That sounds frustrating! Our mods are trained and do the best they can. To report a mod, please use the room’s report form. You can email community@7cups.com for more info. Any suicidal ideation on 7Cups is automatically referred to the National Suicide Prevention Hotline, the best resource for suicidal thoughts. 7Cups provides emotional support."
gp:AOqpTOFGQcBbBf0kZsITRh7jUiP44V_omtK-xtDd2efkL8XGfjy8UkS_TXlz1d3X3dcWqnx-bVtMh-vI2UkbNw,ixel_lexi,https://lh4.googleusercontent.com/-et3q3NeoVkA/AAAAAAAAAAI/AAAAAAAAADY/FKp2Rqq1zB8/w96-h96-p/photo.jpg,"January 21, 2018",https://play.google.com/store/apps/details?id=com.sevencupsoftea.app&reviewId=Z3A6QU9xcFRPRkdRY0JiQmYwa1pzSVRSaDdqVWlQNDRWX29tdEsteHREZDJlZmtMOFhHZmp5OFVrU19UWGx6MWQzWDNkY1dxbngtYlZ0TWgtdkkyVWtiTnc,2,,I had a bad experience with my listener they were completely unprofessional and inappropriate it. They told me to go on a different app then wanted to see what I look like to talk to him. Plus he started to talk about sex. I bet this app is good and it helps people out but for me not so much...,"January 22, 2018",Our guidelines clearly state that no off-site contact should take place. Please report any Listener who acts in an unprofessional manner by leaving a written review for that individual after the chat. We hope you’ll return to the 7 Cups community and find a caring Listener.
gp:AOqpTOHstYMO324q82V-fcr_OZ6rwsCtCzht42XZIfytERLjuKnumMDdQThmKN6j_1WTHSepqhi0SwoJDwJrKQ,Ivy Gathii,https://lh6.googleusercontent.com/-UbbPuiPCJfg/AAAAAAAAAAI/AAAAAAAADLs/qTW-rkEnYMg/w96-h96-p/photo.jpg,"January 25, 2018",https://play.google.com/store/apps/details?id=com.sevencupsoftea.app&reviewId=Z3A6QU9xcFRPSHN0WU1PMzI0cTgyVi1mY3JfT1o2cndzQ3RDemh0NDJYWklmeXRFUkxqdUtudW1NRGRRVGhtS042al8xV1RIU2VwcWhpMFN3b0pEd0pyS1E,2,,"I'm grateful for the existence of the app, however it has alot of bugs that make it incredibly frustrating. Pages get stuck and controls often do not work as they should. Mindfulness pages often reroute back to the homepage in the middle of a session. The app is poorly done.","January 25, 2018","We’re sorry you’ve had trouble with the app. Please submit a support request with your device details to support@7cups.com and we'll notify you when we've updated the app. In the meantime, please consider visiting the 7cups.com website on your mobile device."
gp:AOqpTOG5zq5AafPykTrT9FixzaV1VA6koIsq7_LXqOjPIhfeYRk54vTOlXdPFLGDlVUs3VP2l3XrhC8zwkVXoQ,Charles Lovett,https://lh6.googleusercontent.com/-y3Ur642wigg/AAAAAAAAAAI/AAAAAAAAACw/bd4i3FBqnGI/w96-h96-p/photo.jpg,"January 10, 2018",https://play.google.com/store/apps/details?id=com.sevencupsoftea.app&reviewId=Z3A6QU9xcFRPRzV6cTVBYWZQeWtUclQ5Rml4emFWMVZBNmtvSXNxN19MWHFPalBJaGZlWVJrNTR2VE9sWGRQRkxHRGxWVXMzVlAybDNYcmhDOHp3a1ZYb1E,1,,App now at least loads. Controls are incredibly counterintuitive — swiping sometimes brings up menus and sometimes doesn't. Sometimes I get stuck in a menu and can't get out of it. I've had to uninstall and reinstall just to get out of a menu I didn't want to be in to begin with. App is practically unusable. Fix this nonsense.,"January 18, 2018","We’re sorry you’ve had trouble with the app. Please submit a support request with your device details to support@7cups.com and we’ll notify you when we’ve fixed the problem. In the meantime, consider visiting the 7cups.com website on your mobile device."
gp:AOqpTOFMzR6N2iGLycMf4fumR1-dPcooTuJH-SulSxSI1RlaOW4aq6x6H2V-5URszveuZHlqsudoxzABIO0CsA,Tuna Fish,https://lh4.googleusercontent.com/-NMqoG-f5vHk/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUubWQTLZ0qlWxP16E7UV3fq2IGQA/w96-h96-p/photo.jpg,"January 30, 2018",https://play.google.com/store/apps/details?id=com.sevencupsoftea.app&reviewId=Z3A6QU9xcFRPRk16UjZOMmlHTHljTWY0ZnVtUjEtZFBjb29UdUpILVN1bFN4U0kxUmxhT1c0YXE2eDZIMlYtNVVSc3p2ZXVaSGxxc3Vkb3h6QUJJTzBDc0E,1,,Tried for more than 24hours to speak to someone other than a bot. At one point I did speak to someone who didn't understand the concept of depression. During this conversation I was asked to review the listener and they disconnected with me because I only have them 4/5 stars.,"February 1, 2018","Sorry to hear you didn't have a good experience this time. Our listeners are trained to offer support & space to explore thoughts and feelings, without giving advice or telling you what to do. That said, a good listener will help you figure out your own path forward. You can find verified listeners here: https://goo.gl/tbmVzf"
gp:AOqpTOHWERxUj2hXP_Z6x2R4C3JEo2siBUe1OeHIZA-3TyWHvh2eLKhCNhVINKcK81P3mP9I61q8CNaiXZtr8A,,https://lh3.googleusercontent.com/-rAOf7VrS1Jc/AAAAAAAAAAI/AAAAAAAAAAA/w3oWkj1gl4U/w96-h96-p/photo.jpg,"January 9, 2018",https://play.google.com/store/apps/details?id=com.sevencupsoftea.app&reviewId=Z3A6QU9xcFRPSFdFUnhVajJoWFBfWjZ4MlI0QzNKRW8yc2lCVWUxT2VISVpBLTNUeVdIdmgyZUxLaENOaFZJTktjSzgxUDNtUDlJNjFxOENOYWlYWnRyOEE,5,,"If you have depression or anxiety, panic attacks or struggle with self harm get this app. The listeners are amazing. I can't describe how much this has helped me.",undefined,undefined
gp:AOqpTOHuUaADTUgd7g2qWk3KkifchMShtQSbC70vZgVHl3Hk2dWh_ELK-2mkAYxI0M0a8gfYxYCY5AHmlxbDwA,Harlene Veotte,https://lh4.googleusercontent.com/-cu-KHXxMAKg/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjXGaXrBFirrV6gNvB0ow2phhUrh6g/w96-h96-p/photo.jpg,"January 14, 2018",https://play.google.com/store/apps/details?id=com.sevencupsoftea.app&reviewId=Z3A6QU9xcFRPSHVVYUFEVFVnZDdnMnFXazNLa2lmY2hNU2h0UVNiQzcwdlpnVkhsM0hrMmRXaF9FTEstMm1rQVl4STBNMGE4Z2ZZeFlDWTVBSG1seGJEd0E,1,,This app was a nightmare. I couldn't enter my details because the page just didn't work. The screen kept getting stuck and this just made me more annoyed and upset than I was before I joined,"January 15, 2018","We’re sorry you’ve had trouble with the app. Please submit a support request with your device details to support@7cups.com and we'll notify you when we've fixed the problem. In the meantime, consider visiting the 7cups.com website on your mobile device."
gp:AOqpTOHQuu2clA4P9k_xzdrhjWg4_uc0Ax-E-cXbAEzXcxIQ0qGL0Sbx8-1XYkAL1lsErCFNTxjd0b5d2thZGw,Steph Charles,https://lh4.googleusercontent.com/-vkyIiJyDoqQ/AAAAAAAAAAI/AAAAAAAAATw/suX6hJeYYgs/w96-h96-p/photo.jpg,"January 27, 2018",https://play.google.com/store/apps/details?id=com.sevencupsoftea.app&reviewId=Z3A6QU9xcFRPSFF1dTJjbEE0UDlrX3h6ZHJoaldnNF91YzBBeC1FLWNYYkFFelhjeElRMHFHTDBTYng4LTFYWWtBTDFsc0VyQ0ZOVHhqZDBiNWQydGhaR3c,1,,THIS APP IS A CON ITS NOT FREE!!! MY COUSIN WAS USING MY PHONE AND SIGNED UP USING MY DETAILS (without me knowing) SHE THOUGHT SHE WAS SIGNING UP FOR A 30 DAY FREE TRIAL BUT INSTEAD I HAVE BEEN CHARGED £81.54. GOOGLE REFUSE TO REFUND ME AND THE DEVELEPOR OF THE APP IS IGNORING MY EMAIL. I WANT MY MONEY BACK OR I WILL EXPOSE THESE PPL FOR WHO THEY REALLY ARE!!!!,undefined,undefined
