id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOEJltd213hiq1XOObFArkux9SvqppQGuj1bkin61gBlYV2VLkWE4TeTukFBSu4ir8nJBKqkMbPqL9NmdA,Patrizia Anika Aldana,https://lh3.googleusercontent.com/-WY9fZZKbrD4/AAAAAAAAAAI/AAAAAAAAABc/28-Sx2xGVSw/w96-h96-p/photo.jpg,"December 31, 2017",https://play.google.com/store/apps/details?id=com.adult.coloring.book.pages&reviewId=Z3A6QU9xcFRPRUpsdGQyMTNoaXExWE9PYkZBcmt1eDlTdnFwcFFHdWoxYmtpbjYxZ0JsWVYyVkxrV0U0VGVUdWtGQlN1NGlyOG5KQktxa01iUHFMOU5tZEE,5,,"My first coloring app and prolly last too since I don't see the need to download other apps when this works excellently! 😀👍 I wasn't really into coloring and only tried this because I was looking for apps to have fun with my stylus but I had more fun than I expected.  Lots of patterns and color palletes to choose from and has got nice features without distracting ads. Great app, indeed!",undefined,undefined
gp:AOqpTOEbqpm0JHzqKscWYksu1PkZNEOwLtxEyaBRtaPwKlV3g7FjMNRki_25hGTFXV0mpIUtT-lWCOBJ4yX0cA,Junaid Farouk,https://lh3.googleusercontent.com/-TZCZmOn2MN0/AAAAAAAAAAI/AAAAAAAAAJs/-XAFEYdyv0w/w96-h96-p/photo.jpg,"October 2, 2017",https://play.google.com/store/apps/details?id=com.adult.coloring.book.pages&reviewId=Z3A6QU9xcFRPRWJxcG0wSkh6cUtzY1dZa3N1MVBrWk5FT3dMdHhFeWFCUnRhUHdLbFYzZzdGak1OUmtpXzI1aEdURlhWMG1wSVV0VC1sV0NPQko0eVgwY0E,5,,"Wow! This coloring app is truly amazing. Tried a few other coloring apps, but personally ColorMe tops all of them. The app is free and you can color a variety of things. My favorite to do is the mandalas. It's worth all of my spare time and it's very relaxing- stress relieving as well. Good job Adults Coloring Books. ☺ I am definitely keeping this app. 😀",undefined,undefined
gp:AOqpTOHAluIyCGA_xTHDkoCNHuCnNYgp4M3pp9rivC6esRWbhshrR4-X7DosxS86fEucKUpr2Ku43ifRKZHIhQ,Aimee Campbell,https://lh3.googleusercontent.com/-kt-fZFyUk9E/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVny93_m3VFuVFzCjV3rhThqmht7Q/w96-h96-p/photo.jpg,"December 27, 2017",https://play.google.com/store/apps/details?id=com.adult.coloring.book.pages&reviewId=Z3A6QU9xcFRPSEFsdUl5Q0dBX3hUSERrb0NOSHVDbk5ZZ3A0TTNwcDlyaXZDNmVzUldiaHNoclI0LVg3RG9zeFM4NmZFdWNLVXByMkt1NDNpZlJLWkhJaFE,4,,"This is my first coloring app. I got it due to the review of variety, ease of use, variety, lack of adds, and all pages are actually free.  I was disappointed that it wasn't more like actual coloring where you can pick coloring tool and shade, but I downloaded others that I immediately deleted. Maybe this will help me build to others -this is definitely a good start -that will take me a while  there are tons of pics!",undefined,undefined
gp:AOqpTOHVn0GWnu8dMv4fdPoIVa3TJy9ctbpbileTrGjl0Rvg-DLfUliLBpaejyo6RWC_vJhusv1o6ySYBrgznA,Jennifer Levesque,https://lh3.googleusercontent.com/-_RZ_3NxQ820/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUQGd3SzN2DHdmICb0911vpROmdEg/w96-h96-p/photo.jpg,"February 3, 2018",https://play.google.com/store/apps/details?id=com.adult.coloring.book.pages&reviewId=Z3A6QU9xcFRPSFZuMEdXbnU4ZE12NGZkUG9JVmEzVEp5OWN0YnBiaWxlVHJHamwwUnZnLURMZlVsaUxCcGFlanlvNlJXQ192Smh1c3YxbzZ5U1lCcmd6bkE,5,,"Best coloring app in the whole app store! I play this app whenever I have  time. ⏰ (Witch is most of the time when I'm not playing my other games!) I know most of you are like,""Well this doesn't look very convincing..."" I knew how you felt but this is a MUST GET APP!  P.S I saw this add on YouTube and I said,""Lets check out this!"" So I got it and I don't regret it!!! Please keep up the great work dot to dot s.r.o! And I love that you can zoom in and out so you get the colors right where you want them; I recommend this app to anyone who wants the best coloring app! You have to get it! 😃",undefined,undefined
gp:AOqpTOGk9CeCf5BnB8O2ag8_6_zRL-exbdtonEYWBwhAuTPDw-KJE6PUrn2rVCooPc-jYgElLMOrGDaWHWF9vA,,https://lh6.googleusercontent.com/-ijdllGcJ564/AAAAAAAAAAI/AAAAAAAACYk/ccRkJr1r3LY/w96-h96-p/photo.jpg,"August 30, 2017",https://play.google.com/store/apps/details?id=com.adult.coloring.book.pages&reviewId=Z3A6QU9xcFRPR2s5Q2VDZjVCbkI4TzJhZzhfNl96UkwtZXhiZHRvbkVZV0J3aEF1VFBEdy1LSkU2UFVybjJyVkNvb1BjLWpZZ0VsTE1PckdEYVdIV0Y5dkE,5,,"This is a great app, good for relaxing and I love that its free and there's no ads! Plus, there are so many options to chose from. Including animals, faces, flowers, mandalas, owls, and more! One more thing.. Its good cause u can save ur drawing and continue on them. Or delete them and start new! Highly recomend!","August 31, 2017",Thank you for such a lovely review
gp:AOqpTOF04YJkEYwiRf6qGmx8TiaLAF4ACswpWHu1kIiKIgWufN_qRbidk2k62l10w10lrS3GTIu_n9SY4_T52w,,https://lh6.googleusercontent.com/-PCxiIpD1M64/AAAAAAAAAAI/AAAAAAAAAAA/0wu1uxlAPEQ/w96-h96-p/photo.jpg,"November 22, 2017",https://play.google.com/store/apps/details?id=com.adult.coloring.book.pages&reviewId=Z3A6QU9xcFRPRjA0WUprRVl3aVJmNnFHbXg4VGlhTEFGNEFDc3dwV0h1MWtJaUtJZ1d1Zk5fcVJiaWRrMms2MmwxMHcxMGxyUzNHVEl1X245U1k0X1Q1Mnc,5,,I love the fact that there is such a huge range of things to colour in and you don't have to pay to download other categories! Not to mention there is so many different colours and 100% ad free!  Best app I've used/downloaded so far. :),undefined,undefined
gp:AOqpTOFqfrXQkuHHtz1JfbnKbj_tAXY0JsDZS60esOJlS8AD2bTQpZQJy6vxo0T54iSvdep1qDFoZWm_A_FM5Q,,https://lh6.googleusercontent.com/-QwE6IVwh5v4/AAAAAAAAAAI/AAAAAAAAAAA/Kr37FbAVY4s/w96-h96-p/photo.jpg,"January 30, 2018",https://play.google.com/store/apps/details?id=com.adult.coloring.book.pages&reviewId=Z3A6QU9xcFRPRnFmclhRa3VISHR6MUpmYm5LYmpfdEFYWTBKc0RaUzYwZXNPSmxTOEFEMmJUUXBaUUp5NnZ4bzBUNTRpU3ZkZXAxcURGb1pXbV9BX0ZNNVE,4,,Good selection of drawings. Not super fond of the layout of the program. For instance the colors disappear when you are drawing. I like how it saves the last 3 colors so you know which you used last. Wish they had some really bright neon colors. Tgank yiu for making a free coloring app! Would recommend,undefined,undefined
gp:AOqpTOE2T22ABXh0ojrM46Mkw3aDXM1hXgStMlN74Y1ELa2m7LFRS7oskw2rxjCQrAwHZbiPQJKHQYopYHlW8w,Robert Ryan,https://lh3.googleusercontent.com/-OLaINGa2dEw/AAAAAAAAAAI/AAAAAAAAAA0/1BkR2KH9hmg/w96-h96-p/photo.jpg,"September 12, 2017",https://play.google.com/store/apps/details?id=com.adult.coloring.book.pages&reviewId=Z3A6QU9xcFRPRTJUMjJBQlhoMG9qck00Nk1rdzNhRFhNMWhYZ1N0TWxONzRZMUVMYTJtN0xGUlM3b3NrdzJyeGpDUXJBd0haYmlQUUpLSFFZb3BZSGxXOHc,5,,"This is the best app I have!! It's relaxing as hell and UNLIKE ALL OTHER COLORING APPS, it's free!! If you check other coloring apps they charged ridiculously crazy prices for JUST different colors! Also new pages to color cost too! NO ADDS OR CONSTANT REQUEST TO SPEND MONEY!! This is a must have as long as it stays free","September 13, 2017",Robert thanks for awesome review.
gp:AOqpTOEFw4juD18U0LZ3ha-cNrNcfW59m9yg9LurJVtRhv4Rct78Q4wJ3WkSod_Bi1x8dn3SshWcqZ69oc8e0A,Ben Goatboy Waters,https://lh5.googleusercontent.com/-n-_a41-cghI/AAAAAAAAAAI/AAAAAAAAAh4/45T7JPvj-eg/w96-h96-p/photo.jpg,"December 1, 2017",https://play.google.com/store/apps/details?id=com.adult.coloring.book.pages&reviewId=Z3A6QU9xcFRPRUZ3NGp1RDE4VTBMWjNoYS1jTnJOY2ZXNTltOXlnOUx1ckpWdFJodjRSY3Q3OFE0d0ozV2tTb2RfQmkxeDhkbjNTc2hXY3FaNjlvYzhlMEE,5,,"I have ADHD and severe anxiety and this app is just like medication, It's my colouring meditation! You just have to try it, coz until you do, you are seriously missing out on one of the most amazing apps in a generation! 10/10 Thanks for making this wonderful app 🙂",undefined,undefined
gp:AOqpTOH-aqPic_fYTQOVe1hWDJhj1bs0sYDV4BmDXr758NdZ2Cr0acQeD5b9w7lZiX7_SkoSUGWZoETAFav5yg,Megan Beno,https://lh4.googleusercontent.com/-KsbbEfxZ-8Y/AAAAAAAAAAI/AAAAAAAAAS8/d66tqhpaIiU/w96-h96-p/photo.jpg,"September 11, 2017",https://play.google.com/store/apps/details?id=com.adult.coloring.book.pages&reviewId=Z3A6QU9xcFRPSC1hcVBpY19mWVRRT1ZlMWhXREpoajFiczBzWURWNEJtRFhyNzU4TmRaMkNyMGFjUWVENWI5dzdsWmlYN19Ta29TVUdXWm9FVEFGYXY1eWc,5,,"Unlike every other app for coloring, it is ENTIRELY free. No premium palettes or designs. And there are lots of fun designs. They need some assistance in their design department, but for free, it is amazing!!  Edit: The designs that I thought were simple ended up being much more involved. Props man. App is a great basic app to while a way the time. :)","September 11, 2017",Megan thanks for fantastic feedback.
