id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOGbsRUBlOC2zhmflBtf_HuCWpVNJ1AEPd9ndkrl-J8IBiDi5tWd8M5hHNkmTJ2HG37CS6hF8Q06nmUMlKg,Pamela. Cassaro,https://lh6.googleusercontent.com/-3uoIIE9X1m0/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUgKWWlQ45Z7nFOx0lDN5YMONQdVw/w96-h96-p/photo.jpg,"December 1, 2016",https://play.google.com/store/apps/details?id=com.stress.from.out.get&reviewId=Z3A6QU9xcFRPR2JzUlVCbE9DMnpobWZsQnRmX0h1Q1dwVk5KMUFFUGQ5bmRrcmwtSjhJQmlEaTV0V2Q4TTVoSE5rbVRKMkhHMzdDUzZoRjhRMDZubVVNbEtn,1,Total hate it,Total hate it This is not the app if you are totally stressed out at the time. I couldn' t figure out how to de-stress from this app stressing me out so bad,undefined,undefined
gp:AOqpTOGeq4_n8GZf-XiABqPyp84MT-q5DNasN73JBISFWs49HgD5JPHj7avguAsXvQpUPsQQlDSqNv9xF54eO2E,Sandy Kennedy,https://lh6.googleusercontent.com/-5atXz2nwe6w/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUd_YMdKbQ7Sd9g9A02GBissP9CNw/w96-h96-p/photo.jpg,"December 4, 2016",https://play.google.com/store/apps/details?id=com.stress.from.out.get&reviewId=Z3A6QU9xcFRPR2VxNF9uOEdaZi1YaUFCcVB5cDg0TVQtcTVETmFzTjczSkJJU0ZXczQ5SGdENUpQSGo3YXZndUFzWHZRcFVQc1FRbERTcU52OXhGNTRlTzJF,4,Like it,"Like it No app is a fix all. Nothing is going to jump out of an app and make you happy, healthy and wise, but this app will help you guide yourself to your stress free place.",undefined,undefined
gp:AOqpTOGasFUfBqtOwb_bmR5R-LEen_rgsbSKsQVXrm2Sk_kVoZ4Yj4vO6dLB-utvg4zsONXgiITv-Xn_UgePUa8,sukhwinder kaur,https://lh5.googleusercontent.com/-t66tdVqmIx0/AAAAAAAAAAI/AAAAAAAAABw/3zy9FjXUl3Q/w96-h96-p/photo.jpg,"January 23, 2017",https://play.google.com/store/apps/details?id=com.stress.from.out.get&reviewId=Z3A6QU9xcFRPR2FzRlVmQnF0T3diX2JtUjVSLUxFZW5fcmdzYlNLc1FWWHJtMlNrX2tWb1o0WWo0dk82ZExCLXV0dmc0enNPTlhnaUlUdi1Ybl9VZ2VQVWE4,1,,No good because there's averything is in written. I think it is also picture rise because some people's can't read  english properly .,undefined,undefined
gp:AOqpTOEgaxpQhcVRgv9ytbeJQ6XZTi7cSfdhRTugMVT-mOT0lGH0kxLd1kT8s3eSnUP_gZ19jjXWOYKjzlMsQVA,Gautham Hegde,https://lh5.googleusercontent.com/-CBD4frhyPdk/AAAAAAAAAAI/AAAAAAAAADg/Ag9igqBm8Ds/w96-h96-p/photo.jpg,"January 28, 2017",https://play.google.com/store/apps/details?id=com.stress.from.out.get&reviewId=Z3A6QU9xcFRPRWdheHBRaGNWUmd2OXl0YmVKUTZYWlRpN2NTZmRoUlR1Z01WVC1tT1QwbEdIMGt4TGQxa1Q4czNlU25VUF9nWjE5ampYV09ZS2p6bE1zUVZB,4,,It is a guide to get tips so how can u get rid of stress....,undefined,undefined
gp:AOqpTOGVwtjErxM0Sdd24T0f1uosoiyG2YLDnw2OtTFngRTQm-_na8D5AmMahJYyaUQR8lU5j-7nk4tKwuV8kO8,Sheila Hunley,https://lh4.googleusercontent.com/-HgcexsqWDGs/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjWXMs2lgET-JysrzpcHugs-82XISA/w96-h96-p/photo.jpg,"November 16, 2016",https://play.google.com/store/apps/details?id=com.stress.from.out.get&reviewId=Z3A6QU9xcFRPR1Z3dGpFcnhNMFNkZDI0VDBmMXVvc29peUcyWUxEbncyT3RURm5nUlRRbS1fbmE4RDVBbU1haEpZeWFVUVI4bFU1ai03bms0dEt3dVY4a084,5,,"Love it, I've needed something like this for a long time....thanks",undefined,undefined
gp:AOqpTOFcRGlMCrpmslvms4oYUIyI0x8ImcsRo9K-bbtep1xloYsDynl-atQDLV9iwAmNTsIFoBZmlQ4HbzR-rEo,Faybest chege,https://lh4.googleusercontent.com/-n7kuaXbmFlc/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUURo5tYvG5RW5JxDIv4An4iHtJ6w/w96-h96-p/photo.jpg,"January 30, 2017",https://play.google.com/store/apps/details?id=com.stress.from.out.get&reviewId=Z3A6QU9xcFRPRmNSR2xNQ3JwbXNsdm1zNG9ZVUl5STB4OEltY3NSbzlLLWJidGVwMXhsb1lzRHlubC1hdFFETFY5aXdBbU5Uc0lGb0JabWxRNEhielItckVv,5,,If not for this app and the help of God i was going into depression.I like it alot i got just in time.,undefined,undefined
gp:AOqpTOEUYLZa3bleKCuGHQpROrue-l4isE197b8kspBzBnoJzUpeJUIV_BksEga5m0_MCDSKk27q3SyxgUkk6r4,,https://lh5.googleusercontent.com/-Uqi9nxMEDSs/AAAAAAAAAAI/AAAAAAAAAAA/vqxzp7mb5DY/w96-h96-p/photo.jpg,"May 4, 2017",https://play.google.com/store/apps/details?id=com.stress.from.out.get&reviewId=Z3A6QU9xcFRPRVVZTFphM2JsZUtDdUdIUXBST3J1ZS1sNGlzRTE5N2I4a3NwQnpCbm9KelVwZUpVSVZfQmtzRWdhNW0wX01DRFNLazI3cTNTeXhnVWtrNnI0,5,,"The few minutes I spent reading it gave me a great relief. Very useful. I recommend it to my colleagues, the Clergy.",undefined,undefined
gp:AOqpTOH_TICsPZwzEjc8Tp2VBuXNMgGZRnZk215XFdTCSCOtrO-RmWQvdZc4xqdFmGqtlRQQeNpJpanLeA-kHew,Shambhavi Shree,https://lh5.googleusercontent.com/-9M32KRIUHtE/AAAAAAAAAAI/AAAAAAAAAK8/FUrYqwUGjtI/w96-h96-p/photo.jpg,"March 2, 2017",https://play.google.com/store/apps/details?id=com.stress.from.out.get&reviewId=Z3A6QU9xcFRPSF9USUNzUFp3ekVqYzhUcDJWQnVYTk1nR1pSblprMjE1WEZkVENTQ090ck8tUm1XUXZkWmM0eHFkRm1HcXRsUlFRZU5wSnBhbkxlQS1rSGV3,5,,Very helpfull app..It help me to detect that i was in stress and how to come out.,undefined,undefined
gp:AOqpTOHOLu5WoltGmVXBgtVhVDKSo8TF7YL9RNhALjeT6Fy2VEfhtnTGQDpItiBn98QVpfmZjkFFmhmnq8F1R2Q,Mary Bolling,https://lh6.googleusercontent.com/-liPI0S5eV-g/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUzekQ2b_d07C7pyK3UXlLzmYs-4g/w96-h96-p/photo.jpg,"March 31, 2017",https://play.google.com/store/apps/details?id=com.stress.from.out.get&reviewId=Z3A6QU9xcFRPSE9MdTVXb2x0R21WWEJndFZoVkRLU284VEY3WUw5Uk5oQUxqZVQ2RnkyVkVmaHRuVEdRRHBJdGlCbjk4UVZwZm1aamtGRm1obW5xOEYxUjJR,4,,It will help me.  It was a nice review of information learned previous.  I enjoyed reading.,undefined,undefined
gp:AOqpTOGdleopUTAOw4aM_XtoYoBFlXjM-f_2PpqusaIe6BSyS6AqpIWtD8Z7RSL32s-kdKobMzzwsa9TWRdtwWY,,https://lh3.googleusercontent.com/--C3rwUubRRk/AAAAAAAAAAI/AAAAAAAAAAA/T4UqezvOL-s/w96-h96-p/photo.jpg,"November 12, 2016",https://play.google.com/store/apps/details?id=com.stress.from.out.get&reviewId=Z3A6QU9xcFRPR2RsZW9wVVRBT3c0YU1fWHRvWW9CRmxYak0tZl8yUHBxdXNhSWU2QlN5UzZBcXBJV3REOFo3UlNMMzJzLWtkS29iTXp6d3NhOVRXUmR0d1dZ,4,,Get out of stress,undefined,undefined
