id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOG0Bic-0-pXAHDr9gqywH6J_DNs-dWwWMmtKf_zT1FcoATQ8zGhnIVVoxuao7sQz0HlCNHFLIQsbtfEDCs,Jo Edwards,https://lh6.googleusercontent.com/-nsP-sleT6L0/AAAAAAAAAAI/AAAAAAAAAFQ/7gRiEm1J68o/w96-h96-p/photo.jpg,"February 4, 2018",https://play.google.com/store/apps/details?id=com.zutgames.ilovehue&reviewId=Z3A6QU9xcFRPRzBCaWMtMC1wWEFIRHI5Z3F5d0g2Sl9ETnMtZFd3V01tdEtmX3pUMUZjb0FUUTh6R2huSVZWb3h1YW83c1F6MEhsQ05IRkxJUXNidGZFRENz,4,,Edit: changed my rating as I've watched the same ad twice now and it won't update my prisms. Can't be the internet connection as the whole ad shows without interruption! Really enjoy the game and the colours and graffixs are great but the ads after every game are super annoying! If I want more credits I'll watch an ad or at most every 3 games to keep the app free.,undefined,undefined
gp:AOqpTOHrRw8g7ADIFUkSyJELYZePR7i-dLO4ednUv3WwfJJW3fUEaInAxs9sC6v8Sm9uqrV5SIewTe_bQf_5jf8,Taniya Shaffer,https://lh5.googleusercontent.com/-jPqgHS-ZkuA/AAAAAAAAAAI/AAAAAAAABD0/uf_Ow4cexZs/w96-h96-p/photo.jpg,"February 2, 2018",https://play.google.com/store/apps/details?id=com.zutgames.ilovehue&reviewId=Z3A6QU9xcFRPSHJSdzhnN0FESUZVa1N5SkVMWVplUFI3aS1kTE80ZWRuVXYzV3dmSkpXM2ZVRWFJbkF4czlzQzZ2OFNtOXVxclY1U0lld1RlX2JRZl81amY4,5,,I love this; it is my favorite game to play! I've had the app for about 1-2 years now. I just hate that if the app gets uninstalled or I move to a new phone my data does not transfer so you have to start from the first level. But it's fine cuz I love rearranging the gradients anyway.,undefined,undefined
gp:AOqpTOF5xNtKk8445i9-p7L2wbs3DRi3ncfubRDngou5pw3lA3XFf501hJxg4ftR5wmVM7bfPyc2ifuohLu_CtE,Jennifer Ross,https://lh6.googleusercontent.com/-lKPr0mKLxWQ/AAAAAAAAAAI/AAAAAAAAtGU/G_yzF_56mYc/w96-h96-p/photo.jpg,"January 26, 2018",https://play.google.com/store/apps/details?id=com.zutgames.ilovehue&reviewId=Z3A6QU9xcFRPRjV4TnRLazg0NDVpOS1wN0wyd2JzM0RSaTNuY2Z1YlJEbmdvdTVwdzNsQTNYRmY1MDFoSnhnNGZ0UjV3bVZNN2JmUHljMmlmdW9oTHVfQ3RF,3,,"The game itself is beautiful, relaxing and fun. The app makes it frustrating. There's an ad after every puzzle, and they only take a few minutes to solve so it feels like you're constantly watching ads. It costs prisms to play each puzzle, and you only get enough per day to play a few puzzles so to get more you're watching more ads or paying to get more. This app is mostly about watching ads with a beautiful puzzle game in between.",undefined,undefined
gp:AOqpTOFI9ygKR-19wPRRcrEWSpNRkX-s2X5nr0Jn7FQ64jPYDpATHogUp4n4NQNUjskDCpVs39EB27Qhz4R79ds,,https://lh6.googleusercontent.com/-d9UdzPHBhxs/AAAAAAAAAAI/AAAAAAAAAAY/9Ya5AeqnPUE/w96-h96-p/photo.jpg,"January 26, 2018",https://play.google.com/store/apps/details?id=com.zutgames.ilovehue&reviewId=Z3A6QU9xcFRPRkk5eWdLUi0xOXdQUlJjckVXU3BOUmtYLXMyWDVucjBKbjdGUTY0alBZRHBBVEhvZ1VwNG40TlFOVWpza0RDcFZzMzlFQjI3UWh6NFI3OWRz,4,,"Honestly, I enjoyed the game. It's extremely peaceful and whenever I play this game I think about what's going on in my head. However, I played the game for quite a while and I haven't gotten any ads but for now, I've gotten ads on every level I complete. It's extremely annoying and it will make me lose my focus on my thoughts. If I'm going to have ads after every level I complete, how am I going to complete the whole game? Honestly, I love this game so much as the graphics are amazing so are the colors. I hope you will remove this ads problem. I also recommend people who is stress and trying to cool down to play this game. I've completed about 400+ of them. Can't wait to complete the whole game. 😊",undefined,undefined
gp:AOqpTOELRXC2PS9IZODfpdpTmyKYoK2T3p4F4FHJu7q_jwfl55vzx-B3ZiISWgXhAOuAaDgOF7Nh2SwKJnaNj2Q,Jess Flake,https://lh4.googleusercontent.com/-QF9Qx2MFseI/AAAAAAAAAAI/AAAAAAAADhs/2wetKr3glEk/w96-h96-p/photo.jpg,"January 27, 2018",https://play.google.com/store/apps/details?id=com.zutgames.ilovehue&reviewId=Z3A6QU9xcFRPRUxSWEMyUFM5SVpPRGZwZHBUbXlLWW9LMlQzcDRGNEZISnU3cV9qd2ZsNTV2engtQjNaaUlTV2dYaEFPdUFhRGdPRjdOaDJTd0tKbmFOajJR,3,,"I like this game, but it's really annoying that you have to 'pay' for each level, in the little cone things, and every day only gives you four plays of NEW levels. Not to mention that you still spend a cone to replay a level you have already beaten. I just wasn't to play with colors, not be constantly microtaxed and wondering if I'll be able to play the next round or more retina when I want to play in the future to calm down.",undefined,undefined
gp:AOqpTOFFzhc-bTD4CiYGMK0w0oEPAnHgmrR8TPYj09edDmOovli5fkQaihY_JbvR6G8UrQTJTz57G93fNhuZgT8,,https://lh4.googleusercontent.com/-CHvDN63tT30/AAAAAAAAAAI/AAAAAAAAAAA/8oUpbtFoY-E/w96-h96-p/photo.jpg,"January 28, 2018",https://play.google.com/store/apps/details?id=com.zutgames.ilovehue&reviewId=Z3A6QU9xcFRPRkZ6aGMtYlRENENpWUdNSzB3MG9FUEFuSGdtclI4VFBZajA5ZWREbU9vdmxpNWZrUWFpaFlfSmJ2UjZHOFVyUVRKVHo1N0c5M2ZOaHVaZ1Q4,3,,There are far too many ads. I would rate it 5 stars but there is literally an ad after every level. It's so annoying to the point were I don't even want to play the game anymore.,undefined,undefined
gp:AOqpTOGfJqXNKn7eE17LErE5Vqu2gm3H0csECihxXhTLUkOYUwhYzR1TN8DeEkBj3oAGAFFbzOdej0KpmE_1_Co,Ame Lia,https://lh5.googleusercontent.com/-A5zFETCJAsA/AAAAAAAAAAI/AAAAAAAAEvA/p1O5KqYMB8Q/w96-h96-p/photo.jpg,"January 22, 2018",https://play.google.com/store/apps/details?id=com.zutgames.ilovehue&reviewId=Z3A6QU9xcFRPR2ZKcVhOS243ZUUxN0xFckU1VnF1MmdtM0gwY3NFQ2loeFhoVExVa09ZVXdoWXpSMVROOERlRWtCajNvQUdBRkZiek9kZWowS3BtRV8xX0Nv,4,,Why does this game have a limit? This is stupid. I have deleted many games that also limit how much you can play in a certain amount of time. Terrible. Otherwise would rate 8/8 mate. I haven't deleted it because besides that very annoying flaw I love this game.,undefined,undefined
gp:AOqpTOHv2CPrI8U_SHA8wcPiDcIC5JBzquA4YcWHRDDyKTB-dtWgT9FLMIRFy9BY6jVHkX0yeldchjL-BX-LP_s,Haley Williams,https://lh6.googleusercontent.com/-GenKw9fb9yU/AAAAAAAAAAI/AAAAAAAAAJY/9Jf4rd_e7d8/w96-h96-p/photo.jpg,"January 26, 2018",https://play.google.com/store/apps/details?id=com.zutgames.ilovehue&reviewId=Z3A6QU9xcFRPSHYyQ1BySThVX1NIQTh3Y1BpRGNJQzVKQnpxdUE0WWNXSFJERHlLVEItZHRXZ1Q5RkxNSVJGeTlCWTZqVkhrWDB5ZWxkY2hqTC1CWC1MUF9z,2,,"I used to love this game but they recently changed it so every single time you complete a level you get a 30 second unskippable ad. It's irritating. I play less and less. I don't mind ads on a free app, but these are SO long, after every single level and you can't skip.",undefined,undefined
gp:AOqpTOFcvdCGu6sR26EqecR8kjo7uYFg6onR8Jsj-A1NQM3iZ5SBGJtuFDL0uoFFh3xlJJzZtsRZ_IJruUJDs-s,Joslyn R,https://lh5.googleusercontent.com/-ZuMBayWtzng/AAAAAAAAAAI/AAAAAAAAA9M/yT-L9fbrKdc/w96-h96-p/photo.jpg,"February 1, 2018",https://play.google.com/store/apps/details?id=com.zutgames.ilovehue&reviewId=Z3A6QU9xcFRPRmN2ZENHdTZzUjI2RXFlY1I4a2pvN3VZRmc2b25SOEpzai1BMU5RTTNpWjVTQkdKdHVGREwwdW9GRmgzeGxKSnpadHNSWl9JSnJ1VUpEcy1z,5,,To everyone complaining about ads...just buy a prism pack already! Problem solved and this game is worth much more than that small prism pack costs. This game is the ultimate game forcolor lovers. It is challenging without being frustrating and relaxing without ever being boring. I would recommend this game to anyone 💗❤💛💚💙💜,undefined,undefined
gp:AOqpTOH9nYGwLBFR8Mp3ukpLLwXQBmRtAzQw7ga0TGCMXZTEDub1I06I_Hc8Hhc_vc8HhwEA-fKb1hGrRHifILI,Lizzie Ruddell,https://lh6.googleusercontent.com/-Ol9UUQrztOY/AAAAAAAAAAI/AAAAAAAAD40/ArtFkSvXJdU/w96-h96-p/photo.jpg,"January 21, 2018",https://play.google.com/store/apps/details?id=com.zutgames.ilovehue&reviewId=Z3A6QU9xcFRPSDluWUd3TEJGUjhNcDN1a3BMTHdYUUJtUnRBelF3N2dhMFRHQ01YWlRFRHViMUkwNklfSGM4SGhjX3ZjOEhod0VBLWZLYjFoR3JSSGlmSUxJ,5,,"Just brilliant! The only game I have, the only one I need. Simple, fun and calming. You get a knack for it and eventually it becomes almost mindless and very satisfying to do. Can be played offline, doesn't slow down or clog up my phone. Such a brilliant game!!! Thank you, devs!",undefined,undefined
