id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOFqiNVjpjRkG7ZP9kkNRVhvCkPXLoofZgONd9RxZaYkhfUAhEykzH37zcSUeP-PI_on1FsiIvhA1YBKhw,,https://lh3.googleusercontent.com/-rWxFsX6yYH0/AAAAAAAAAAI/AAAAAAAAAAA/148vVEtX6QU/w96-h96-p/photo.jpg,"January 25, 2018",https://play.google.com/store/apps/details?id=com.pacificalabs.pacifica&reviewId=Z3A6QU9xcFRPRnFpTlZqcGpSa0c3WlA5a2tOUlZodkNrUFhMb29mWmdPTmQ5UnhaYVlraGZVQWhFeWt6SDM3emNTVWVQLVBJX29uMUZzaUl2aEExWUJLaHc,4,,"This app is amazing! Its helping me relax and calm down. I suffer from anxiety, depression, some anger problems, and stress, this app helps me cope with that.  Though there is one thing that makes me SUPER anxious, when ever I go to the hope board, and try to add a picture, it takes me back to the loading page! Every SINGLE TIME.  Please fix this!!","January 26, 2018","Sorry for the trouble here, can you send an email to info@thinkpacifica.com so we can help with this?"
gp:AOqpTOG1XuQ2OpJqBgew1I1KcTaPhdKVDVAKnyTzMSCUucl9VrHFa8oZRJnXHTLORZOOECMVQKx1eut32D5ceQ,Hailey P,https://lh6.googleusercontent.com/-RJnA-7PyWLo/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVDMGZKVJXbOr5bNrJ3OKn7v2yN4A/w96-h96-p/photo.jpg,"February 3, 2018",https://play.google.com/store/apps/details?id=com.pacificalabs.pacifica&reviewId=Z3A6QU9xcFRPRzFYdVEyT3BKcUJnZXcxSTFLY1RhUGhkS1ZEVkFLbnlUek1TQ1V1Y2w5VnJIRmE4b1pSSm5YSFRMT1JaT09FQ01WUUt4MWV1dDMyRDVjZVE,4,,"I love this app, as i have a lot of mental health problems and suffer greatly.  but it cant reach its full potential on me (cant get premium) because i am on very low income (i receive disability payments). Otherwise app is pretty good. Id rate 5 stars if it wasnt so expensive :(","February 5, 2018","Sorry for the trouble here, we understand the frustration but we're a small team and the subscription fees allow us to continue working on the app. We try to keep our prices competitive with others in our space."
gp:AOqpTOG4bnD9LT2uV8iuut20kk4e0QNHRqXzvcw5Jk3n9UUhCHCAu-O47pbpvnY4_il7wyuEVfutcPm77ZyAMA,Caitlin Kirouac,https://lh5.googleusercontent.com/-gb7dcPbmT-w/AAAAAAAAAAI/AAAAAAAAEa8/n61_JKWb0RI/w96-h96-p/photo.jpg,"February 2, 2018",https://play.google.com/store/apps/details?id=com.pacificalabs.pacifica&reviewId=Z3A6QU9xcFRPRzRibkQ5TFQydVY4aXV1dDIwa2s0ZTBRTkhScVh6dmN3NUprM245VVVoQ0hDQXUtTzQ3cGJwdm5ZNF9pbDd3eXVFVmZ1dGNQbTc3WnlBTUE,5,,"Amazing for balancing life! I find myself typically feeling scatter-brained with a million things on the go and this helped me find my center. So much so that it drove me to write my first review, as I really believe others can benefit from this app! Try it out, out won't regret it.",undefined,undefined
gp:AOqpTOF9cldBxedsetIIp2KH5kwkmjT2xKyEz8civDK4lbV5DE92yHqWOP-p6GdSAT-WavvWV4aY5bs4vKGjfA,,https://lh5.googleusercontent.com/-Ayf-JBCeByo/AAAAAAAAAAI/AAAAAAAAWNo/Vp_TaozdcKA/w96-h96-p/photo.jpg,"January 25, 2018",https://play.google.com/store/apps/details?id=com.pacificalabs.pacifica&reviewId=Z3A6QU9xcFRPRjljbGRCeGVkc2V0SUlwMktINWt3a21qVDJ4S3lFejhjaXZESzRsYlY1REU5MnlIcVdPUC1wNkdkU0FULVdhdnZXVjRhWTViczR2S0dqZkE,5,,"AMAZING APP! If you're dealing with Depression, Anxiety, or heck, even self harm urges or you just want to chill to some peacful sounds, this app is juat for you. It's great. I have been using it for a while now, and it had helped me greatly.",undefined,undefined
gp:AOqpTOEVnD2uAqeA9C2TP_-datPrYpwrNfiUwIKsH-r_mfhI5kI5q3Oe0Ji7W1-v17ulEoS5wmqfN-noniR8Rw,Caleb Dane,https://lh4.googleusercontent.com/-C2i7FvO2FYs/AAAAAAAAAAI/AAAAAAAAAMg/NwmlWFbj4EI/w96-h96-p/photo.jpg,"January 27, 2018",https://play.google.com/store/apps/details?id=com.pacificalabs.pacifica&reviewId=Z3A6QU9xcFRPRVZuRDJ1QXFlQTlDMlRQXy1kYXRQcllwd3JOZmlVd0lLc0gtcl9tZmhJNWtJNXEzT2UwSmk3VzEtdjE3dWxFb1M1d21xZk4tbm9uaVI4Unc,5,,"Quality of app is fantastic. It's not just a guided meditation app, though I like those, this one tunes to your feelings and mood and suggests what to do to feel better and it really works! So far this may be my favorite app in this category.",undefined,undefined
gp:AOqpTOEntxS9JawrRNyJBs-CSzQfqqmIXi57dRlEX9W2dJRAERxCbKlv0a2Oz03OXXX74mYH7xyVBG0qo7QfAw,Lou Casella Madison,https://lh4.googleusercontent.com/-1n0CH2iKYBQ/AAAAAAAAAAI/AAAAAAAACRY/RUvRVACsIjs/w96-h96-p/photo.jpg,"January 31, 2018",https://play.google.com/store/apps/details?id=com.pacificalabs.pacifica&reviewId=Z3A6QU9xcFRPRW50eFM5SmF3clJOeUpCcy1DU3pRZnFxbUlYaTU3ZFJsRVg5VzJkSlJBRVJ4Q2JLbHYwYTJPejAzT1hYWDc0bVlIN3h5VkJHMHFvN1FmQXc,5,,"🌟🌟🌟🌟🌟Wow-what a great app. I love all the features that are there to help me cope with stress and anxiety. I love everything about this app! Very easy to use and it walks me through each new step and each new day and new activity. Great, wonderful, superb, excellent, I wish I could give it 10 stars. 🌟🌟🌟🌟🌟",undefined,undefined
gp:AOqpTOH17_PjzFCW8xVY53Jri1DW6GoyfzBEdc9ymNf7Tb__DU8DYKlPXPR0f8vbi5_bFB9dsVB-kKn_nKYLDA,Ellen C,https://lh3.googleusercontent.com/-GFOsl95ttLQ/AAAAAAAAAAI/AAAAAAAAAHg/V_Kz75BiT30/w96-h96-p/photo.jpg,"February 5, 2018",https://play.google.com/store/apps/details?id=com.pacificalabs.pacifica&reviewId=Z3A6QU9xcFRPSDE3X1BqekZDVzh4Vlk1M0pyaTFEVzZHb3lmekJFZGM5eW1OZjdUYl9fRFU4RFlLbFBYUFIwZjh2Ymk1X2JGQjlkc1ZCLWtLbl9uS1lMREE,4,,Very good for tracking moods and helping me remember some cbt I had a while ago. Would be 5 stars but it can be slow as well as crashing quite frequently.,"February 5, 2018","Sorry for the trouble here, can you email us at info@thinkpacifica.com so we can figure out what's going on here?"
gp:AOqpTOHin67ppN58q_qoS7oSGKP1kyElfSnPfSO8Uf8loYaLm4LRZ8L-XAymDkDE2VUL9bEPLnPqJWOEcw8Z7g,Dustin Swanson,https://lh3.googleusercontent.com/-k9yprmcV5P8/AAAAAAAAAAI/AAAAAAAAABs/DEmTKgh-u0Q/w96-h96-p/photo.jpg,"January 31, 2018",https://play.google.com/store/apps/details?id=com.pacificalabs.pacifica&reviewId=Z3A6QU9xcFRPSGluNjdwcE41OHFfcW9TN29TR0tQMWt5RWxmU25QZlNPOFVmOGxvWWFMbTRMUlo4TC1YQXltRGtERTJWVUw5YkVQTG5QcUpXT0VjdzhaN2c,5,,"This is so helpful! I was so horrible without this. Now that im using this, ive become less depressed and more productive. Im becoming a better me!",undefined,undefined
gp:AOqpTOH1upLXlwhNS_leDXpA4oRITyKB9UFalVQIHdVyPCEs5e0HQpDFgXqD0ANZ6RjIY4wiAy9ZgWarKM0auw,Oriana Wong,https://lh3.googleusercontent.com/-Hz0NyyVL6Bw/AAAAAAAAAAI/AAAAAAAAN0U/ePeFH5t1HMY/w96-h96-p/photo.jpg,"February 1, 2018",https://play.google.com/store/apps/details?id=com.pacificalabs.pacifica&reviewId=Z3A6QU9xcFRPSDF1cExYbHdoTlNfbGVEWHBBNG9SSVR5S0I5VUZhbFZRSUhkVnlQQ0VzNWUwSFFwREZnWHFEMEFOWjZSaklZNHdpQXk5WmdXYXJLTTBhdXc,3,,"I like the comprehensiveness of this app however it crashes a lot (primarily when customizing the health trackers) and is frequently offline (I have checked that it's not my internet). When offline, alot of the useful functionality becomes inaccessible.","February 2, 2018","Sorry for the trouble here, could you email us at info@thinkpacifica.com so we can help with this?"
gp:AOqpTOFEqBpLu7yTPxEWd6WoUCI0XKDBFw1ZKrEIYQvG9tLB2HxSZCkVhYOeYcowJ6-HKJXPdamIBHso8O5YEg,Amanda June Hagarty,https://lh3.googleusercontent.com/-G63-lBGwUDw/AAAAAAAAAAI/AAAAAAAASMQ/Da6caAZLPeA/w96-h96-p/photo.jpg,"February 4, 2018",https://play.google.com/store/apps/details?id=com.pacificalabs.pacifica&reviewId=Z3A6QU9xcFRPRkVxQnBMdTd5VFB4RVdkNldvVUNJMFhLREJGdzFaS3JFSVlRdkc5dExCMkh4U1pDa1ZoWU9lWWNvd0o2LUhLSlhQZGFtSUJIc284TzVZRWc,3,,I love the concept of this app and it seems well designed and easy to use. But it's constantly crashing or freezing. Multiple times per use i have to reopen the app.,"February 5, 2018","Sorry for the trouble here, could you email us at info@thinkpacifica.com so we can help?"
