id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOErtLV5ZMmpNBOKwGwPV4eahWMlYf83R4mLy7o4HsAp_hoIABKbqNo5ossCp01w9beKtRYZJ_m-VZFSdg,Muuqaal Qurxoon,https://lh3.googleusercontent.com/-vmiB8fheW-A/AAAAAAAAAAI/AAAAAAAABtk/GA4zKRRqGxc/w96-h96-p/photo.jpg,"October 29, 2017",https://play.google.com/store/apps/details?id=rhpa.Stress&reviewId=Z3A6QU9xcFRPRXJ0TFY1Wk1tcE5CT0t3R3dQVjRlYWhXTWxZZjgzUjRtTHk3bzRIc0FwX2hvSUFCS2JxTm81b3NzQ3AwMXc5YmVLdFJZWkpfbS1WWkZTZGc,5,,"I loved. It really make me cool down and helped to forget all the stresses i have and make me happy person... but am muslim person, to help problems we read the Quran. But this program is very special to memorize, to sleep, and relaxing...",undefined,undefined
gp:AOqpTOHFoH9qOzvjizi6DiW6K76VDNFSFb1RMdyOqGZv047mze3zInvA5u6IYfd266wWCYqPhSeAIj95EPrOIg,Zina De Lioncourt,https://lh5.googleusercontent.com/-LuhNIcMcOqM/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjXTa0WoOQKpcxouieTyvFgi0Irz_Q/w96-h96-p/photo.jpg,"October 19, 2017",https://play.google.com/store/apps/details?id=rhpa.Stress&reviewId=Z3A6QU9xcFRPSEZvSDlxT3p2aml6aTZEaVc2Szc2VkRORlNGYjFSTWR5T3FHWnYwNDdtemUzekludkE1dTZJWWZkMjY2d1dDWXFQaFNlQUlqOTVFUHJPSWc,5,,Refreshing! Calming! It is truly a wonderful app for stress relieving! The best! Can you please add a timer to this app so we can set it to cut off at an appointed time? Thank you! 💙,undefined,undefined
gp:AOqpTOEcOya9QJOATq8mPoWtvK9vEmodtDuCHiwxOhG451Dc-5OfBdlwuwmMIH3MlxhrJgjYEJvCjuYU-EJjzg,Qaisar Azam,https://lh5.googleusercontent.com/-JU5KWayPjqo/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVjYMJz5gc6lOIYLRdw_LvEcbRA1g/w96-h96-p/photo.jpg,"August 6, 2017",https://play.google.com/store/apps/details?id=rhpa.Stress&reviewId=Z3A6QU9xcFRPRWNPeWE5UUpPQVRxOG1Qb1d0dks5dkVtb2R0RHVDSGl3eE9oRzQ1MURjLTVPZkJkbHd1d21NSUgzTWx4aHJKZ2pZRUp2Q2p1WVUtRUpqemc,4,,Its an excellent app for anxiety relief but needs improvement; app doesn't work when phone is on sleep mode.. this app should work when we dont use screen too..,undefined,undefined
gp:AOqpTOEy1Ivg1GE6U8ia4WrrQVp0ky4BKtfP7oCIRZsZDGH8jArhY_ImIz4DevNOhiT6w_qyuNnxsEj6Ne-1bw,Arfat Pathan,https://lh5.googleusercontent.com/-IwJ38dOqZ_k/AAAAAAAAAAI/AAAAAAAAC_A/fNP5g5le14A/w96-h96-p/photo.jpg,"August 16, 2017",https://play.google.com/store/apps/details?id=rhpa.Stress&reviewId=Z3A6QU9xcFRPRXkxSXZnMUdFNlU4aWE0V3JyUVZwMGt5NEJLdGZQN29DSVJac1pER0g4akFyaFlfSW1JejREZXZOT2hpVDZ3X3F5dU5ueHNFajZOZS0xYnc,5,,"I am Grieving bcs  my mothers just passed away , this app really helps me to divid my concemtration and helped me to sleep .",undefined,undefined
gp:AOqpTOELREkUKHdiIcHhA24BPtWUC87htY8f23tYdab6WIaR31QOxKoxpy3oDleGrSM1NQYeg0zFAucKv-lg5g,,https://lh4.googleusercontent.com/-4yrR2xM6vSg/AAAAAAAAAAI/AAAAAAAAAE4/b7kUVBgcbyw/w96-h96-p/photo.jpg,"January 17, 2017",https://play.google.com/store/apps/details?id=rhpa.Stress&reviewId=Z3A6QU9xcFRPRUxSRWtVS0hkaUljSGhBMjRCUHRXVUM4N2h0WThmMjN0WWRhYjZXSWFSMzFRT3hLb3hweTNvRGxlR3JTTTFOUVllZzB6RkF1Y0t2LWxnNWc,4,,"Love it but wish it had a timer that could be set.  In the screen shots, it shows icons at the bottom but I do not see those when the app is opened on my device.  Is there a way to set a timer?",undefined,undefined
gp:AOqpTOE6k4OXz4tMu6xdu9nXPXFcxfAwWiJH26MYGDYgTXo94eOK2AkmcdUdRIpvngwGiCw8LDK6RoIdtMpKdw,,https://lh5.googleusercontent.com/-kVNcdqsjDDU/AAAAAAAAAAI/AAAAAAAAAGs/4oBDG5HyUuo/w96-h96-p/photo.jpg,"October 12, 2017",https://play.google.com/store/apps/details?id=rhpa.Stress&reviewId=Z3A6QU9xcFRPRTZrNE9YejR0TXU2eGR1OW5YUFhGY3hmQXdXaUpIMjZNWUdEWWdUWG85NGVPSzJBa21jZFVkUklwdm5nd0dpQ3c4TERLNlJvSWR0TXBLZHc,3,,"Good app BUT why there is no timer or setting? Whould you going to sleep with nonstop voices in your head? Oh come on, we need to saving battery in the morning.",undefined,undefined
gp:AOqpTOEzTJJyZ_oMyXaOhTi6B4_CgEAcEyDQyg8GzF12_t7N2hSrwk93i3kLFnCW8yT5FwPxKODAxqIvdJFy1A,isty rofiah,https://lh4.googleusercontent.com/-MItoALgLx_o/AAAAAAAAAAI/AAAAAAAAFz4/q243cgKIjZ4/w96-h96-p/photo.jpg,"November 17, 2017",https://play.google.com/store/apps/details?id=rhpa.Stress&reviewId=Z3A6QU9xcFRPRXpUSkp5Wl9vTXlYYU9oVGk2QjRfQ2dFQWNFeURReWc4R3pGMTJfdDdOMmhTcndrOTNpM2tMRm5DVzh5VDVGd1B4S09EQXhxSXZkSkZ5MUE,5,,Great app!!! It is helping me to manage my stress problem!!.. Thank you.,undefined,undefined
gp:AOqpTOFtp7KfYW_WJvaqFVjjwY8bXwZEwUnk0RWq_fu2iXMMpDpLo4PmLNKQr1Tsc5W_4ijJz8pw0F8YmHZtBg,Undertale 1932,https://lh5.googleusercontent.com/-pZ-tfFKt2n8/AAAAAAAAAAI/AAAAAAAAAJ0/G2kE8IKxTSU/w96-h96-p/photo.jpg,"June 27, 2017",https://play.google.com/store/apps/details?id=rhpa.Stress&reviewId=Z3A6QU9xcFRPRnRwN0tmWVdfV0p2YXFGVmpqd1k4Ylh3WkV3VW5rMFJXcV9mdTJpWE1NcERwTG80UG1MTktRcjFUc2M1V180aWpKejhwdzBGOFltSFp0Qmc,5,,It helps me A LOT because the stress was endless until I got this.,undefined,undefined
gp:AOqpTOFrtvCj55YX0_PkAOxS4ATJNC7M7kDlqGVNrEa2bn9EVYC5ysO6ll5v0BFlOArmZFg1UMBDZsSFhmoxig,Hassan Shakeel,https://lh6.googleusercontent.com/-RnUUzPVXrO4/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjXXrf0oLiV5l8vo5TVcZwo6hTH4mg/w96-h96-p/photo.jpg,"January 20, 2017",https://play.google.com/store/apps/details?id=rhpa.Stress&reviewId=Z3A6QU9xcFRPRnJ0dkNqNTVZWDBfUGtBT3hTNEFUSk5DN003a0RscUdWTnJFYTJibjlFVllDNXlzTzZsbDV2MEJGbE9Bcm1aRmcxVU1CRFpzU0ZobW94aWc,4,,there should be a background run in this app. it stops as window changes or when phn locks,undefined,undefined
gp:AOqpTOHbXwWCZ3-9sKwa7CJZdxXt595N46INohgO4ndqZKtw9qRCflU8DKlSpbvR9Rzfppu7zxvnySH8KiFuTg,Ali jawad,https://lh4.googleusercontent.com/-4lCaxuzwD2Y/AAAAAAAAAAI/AAAAAAAAADc/cKqp-QzOnGg/w96-h96-p/photo.jpg,"March 11, 2017",https://play.google.com/store/apps/details?id=rhpa.Stress&reviewId=Z3A6QU9xcFRPSGJYd1dDWjMtOXNLd2E3Q0paZHhYdDU5NU40NklOb2hnTzRuZHFaS3R3OXFSQ2ZsVThES2xTcGJ2UjlSemZwcHU3enh2bnlTSDhLaUZ1VGc,5,,"Works offline, you can use it wherever you want !",undefined,undefined
