id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOGMy10T7OVmNmZbgsYoQLjHAxslTJu3wBsGBzRg1LZp1pHP2THWE4ZWBZZQ0ALhyavJw1MO--QSW8WiCg,Teznic,https://lh4.googleusercontent.com/-qa6-st4BN6A/AAAAAAAAAAI/AAAAAAAAAkI/pffyaSlfDJQ/w96-h96-p/photo.jpg,"January 2, 2017",https://play.google.com/store/apps/details?id=com.firezoo.smashdude&reviewId=Z3A6QU9xcFRPR015MTBUN09WbU5tWmJnc1lvUUxqSEF4c2xUSnUzd0JzR0J6UmcxTFpwMXBIUDJUSFdFNFpXQlpaUTBBTGh5YXZKdzFNTy0tUVNXOFdpQ2c,1,"The weapons are so price and then they suck for giving you money, also if you playing and you want money but don't feel like doing anything? If so than use lighting or Lazer and then turn off the phone while you have your finger on the screen than turn it back on and don't touch anything👍","The weapons are so price and then they suck for giving you money, also if you playing and you want money but don't feel like doing anything? If so than use lighting or Lazer and then turn off the phone while you have your finger on the screen than turn it back on and don't touch anything👍 you want money but don't feel like doing anything? If so than use lighting or Lazer and then turn off the phone while you have your finger on the screen than turn it back on and don't touch anything👍",undefined,undefined
gp:AOqpTOEQpdRUE1FRctXAfzCBn9zn721Jp64389e7vlLMX4pYO0Vf2V7J78-xj-p6HzcNH2GWwg2W-t3_vpCDBw,Adrienne Kangas,https://lh4.googleusercontent.com/-o6Oe9USMmoc/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUU-W1mWuXt5lLHpKzdl_eKc_7zvw/w96-h96-p/photo.jpg,"July 6, 2017",https://play.google.com/store/apps/details?id=com.firezoo.smashdude&reviewId=Z3A6QU9xcFRPRVFwZFJVRTFGUmN0WEFmekNCbjl6bjcyMUpwNjQzODllN3ZsTE1YNHBZTzBWZjJWN0o3OC14ai1wNkh6Y05IMkdXd2cyVy10M192cENEQnc,2,,"I think I can find something better than this. Something that the game devs were stingy with was gold! I mean, really? If I want to create my own weapon I've gotta watch like 15 ads. No thanks. Uninstalled yesterday and probably never getting again. I know you tried, but no.",undefined,undefined
gp:AOqpTOFxqtyLF5flYzPge_Bo3QQoc0W5NKLyCH2diN2K8PxHWoXZ8asjldENQBQBjgfu3LYgvPW5nfYJkQC2Vg,Joshua Pleitner,https://lh3.googleusercontent.com/-1oW7tziIKdI/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVMOxN3RwNAx4gOh8RuLn0oHkqr1w/w96-h96-p/photo.jpg,"September 23, 2017",https://play.google.com/store/apps/details?id=com.firezoo.smashdude&reviewId=Z3A6QU9xcFRPRnhxdHlMRjVmbFl6UGdlX0JvM1FRb2MwVzVOS0x5Q0gyZGlOMks4UHhIV29YWjhhc2psZEVOUUJRQmpnZnUzTFlndlBXNW5mWUprUUMyVmc,5,,"Great game fellas. I like on how theres a free snow ball at the start,but i was dissapointed when the most expensive thing is just lightning. I want something cooler! Like,rapid fire laser!",undefined,undefined
gp:AOqpTOH7HIF7awCGFLQR0g1LR7wDTdZBTg8KJfF29brLBBiMMc30ORPTlt38LKPCch4-fhV8v07hRyOlBASckw,Asha Muhammad,https://lh6.googleusercontent.com/-zxxYhNFhyXs/AAAAAAAAAAI/AAAAAAAAJNU/_nQ1D1Vl0Uk/w96-h96-p/photo.jpg,"August 14, 2017",https://play.google.com/store/apps/details?id=com.firezoo.smashdude&reviewId=Z3A6QU9xcFRPSDdISUY3YXdDR0ZMUVIwZzFMUjd3RFRkWkJUZzhLSmZGMjlickxCQmlNTWMzME9SUFRsdDM4TEtQQ2NoNC1maFY4djA3aFJ5T2xCQVNja3c,2,,I got 4000 coins to see what power was like and when I got it. It was 100% trash. I wasted my coins for power. It was like lightning except bigger and slower. And it includes Robot Dude too. He's just a robot.         Don't get app (•~•),undefined,undefined
gp:AOqpTOG8dllx2HBou4Fxqj0MixF6YOGfirHBUDfAY5oP75XAttxxKeW2vX4tEz90ajWYh923kUPJtQIuG08F7w,trevor reddin,https://lh6.googleusercontent.com/-DlrfbSF-i3A/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjWBepJL37RhH7IUUqNbKuIX0cLogg/w96-h96-p/photo.jpg,"November 17, 2016",https://play.google.com/store/apps/details?id=com.firezoo.smashdude&reviewId=Z3A6QU9xcFRPRzhkbGx4MkhCb3U0RnhxajBNaXhGNllPR2ZpckhCVURmQVk1b1A3NVhBdHR4eEtlVzJ2WDR0RXo5MGFqV1loOTIza1VQSnRRSXVHMDhGN3c,3,It seems ok initially. Still needs some work.,It seems ok initially. Still needs some work. Please make some changes that will make game more enjoyable- if the tie is hit with pin or dart have it pinned to the wooden guy. Have his eyes pop off if hit etc..,undefined,undefined
gp:AOqpTOFB9bDYFRtt1LK-uFdnzhAQ2f3KxnM7LCpyF0wZgSHEagKyktELQwVi8c2PpxfBpE9cM4r9dbTCahOMgg,,https://lh4.googleusercontent.com/-SodrVbo-q1c/AAAAAAAAAAI/AAAAAAAAAAA/gwe2r9VjIak/w96-h96-p/photo.jpg,"November 22, 2016",https://play.google.com/store/apps/details?id=com.firezoo.smashdude&reviewId=Z3A6QU9xcFRPRkI5YkRZRlJ0dDFMSy11RmRuemhBUTJmM0t4bk03TENweUYwd1pnU0hFYWdLeWt0RUxRd1ZpOGMyUHB4ZkJwRTljTTRyOWRiVENhaE9NZ2c,5,Its very Addictive!!,"Its very Addictive!! This game is very time consuming. It doesn't need internet and my siblings likes this game. Even though it takes time to actually unlock new items, its very addictive.",undefined,undefined
gp:AOqpTOFBw4nPI-ZxLQs5pOU_rWEBgbYqU78I8nS_bARU89fdcpNeN7UTb18L6DCkP4Hq9FF-jMcuNYxx9VgCDg,Hugh Schofield,https://lh4.googleusercontent.com/-W2ti6Vw5Z5Q/AAAAAAAAAAI/AAAAAAAAAzE/gboSB7M6-eY/w96-h96-p/photo.jpg,"September 3, 2017",https://play.google.com/store/apps/details?id=com.firezoo.smashdude&reviewId=Z3A6QU9xcFRPRkJ3NG5QSS1aeExRczVwT1VfcldFQmdiWXFVNzhJOG5TX2JBUlU4OWZkY3BOZU43VVRiMThMNkRDa1A0SHE5RkYtak1jdU5ZeHg5VmdDRGc,2,,"It scams you, the game is great but after purchasing the no ads it doesn't work. I restarted my phone and close the app and opened it again but nothing happened. It was only 50p but still it is a stupid waste of money.   The games is still great and it is fun and nice to play but with everything else it is a bad game",undefined,undefined
gp:AOqpTOG1SoBJG2UNvZHSEoNFgspZ81riQinS8UbfMuNMirriINQhM9mNbNW6XDPrxgQQizbaNdJK0ZIExsmmWg,Sari KK,https://lh4.googleusercontent.com/-fGmBLfJrYds/AAAAAAAAAAI/AAAAAAAACOU/IfYkzzY89vA/w96-h96-p/photo.jpg,"February 28, 2017",https://play.google.com/store/apps/details?id=com.firezoo.smashdude&reviewId=Z3A6QU9xcFRPRzFTb0JKRzJVTnZaSFNFb05GZ3NwWjgxcmlRaW5TOFViZk11Tk1pcnJpSU5RaE05bU5iTlc2WERQcnhnUVFpemJhTmRKSzBaSUV4c21tV2c,2,,"I was expecting more of the game ""kick the buddy"" in this because it's not available on the app store for me but this game's super duper boring. Don't waste your time on this app.",undefined,undefined
gp:AOqpTOEZfsPDd4EKbLB7Av-fc4HIeZmC1WDfh0poNI-adT9o-TSgM7hbbVlejxb9hlDzKSSyx10UrpF8L1n5wg,Vic Coh,https://lh4.googleusercontent.com/-7EODLXDK1nk/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjWKC5XCd7QYr2NAIsnhTgNcFOX7jg/w96-h96-p/photo.jpg,"July 16, 2017",https://play.google.com/store/apps/details?id=com.firezoo.smashdude&reviewId=Z3A6QU9xcFRPRVpmc1BEZDRFS2JMQjdBdi1mYzRISWVabUMxV0RmaDBwb05JLWFkVDlvLVRTZ003aGJiVmxlanhiOWhsRHpLU1N5eDEwVXJwRjhMMW41d2c,3,,"It's very boring after a while. You get gold from just tapping on smash dude. Unless you have lighting-then you have drag it around. There is other things to use to like paintball but as I said you get gold from the tapping and dragging on smash dude. There is one weapon for 5000 gold, but that's just a waste of time!",undefined,undefined
gp:AOqpTOEEclZozdYUtcMozKaihp2BBnyKmUMn3PVxBortSW3qRef7jcWKqOpJjIwA_EgQR4uTBCtNvPznqjnVlg,Sarah Howell,https://lh4.googleusercontent.com/-PEowXwdcC6M/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjX0PHIh4DRSz_ZXBoPPRzqphtNO_A/w96-h96-p/photo.jpg,"April 16, 2017",https://play.google.com/store/apps/details?id=com.firezoo.smashdude&reviewId=Z3A6QU9xcFRPRUVjbFpvemRZVXRjTW96S2FpaHAyQkJueUttVU1uM1BWeEJvcnRTVzNxUmVmN2pjV0txT3BKakl3QV9FZ1FSNHVUQkN0TnZQem5xam5WbGc,5,,Its amazing I'm 9 and I was playing clash royal and I got so stressed so I figured out how to take him off the chain with the lightning. Just hit the cuffs and he falls strait off. But overall a BRILLIANT GAME!!!!!! firezoo keep making more of these😊,undefined,undefined
