id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOFfGkNoNT3BNb0ZQuhD9-giu1UkzBdJ4EO8xF4IhvGrJiccvWMhdMXDLRbStD-JUhYF4NGFDqlDgboCBg,Ian Williams,https://lh4.googleusercontent.com/-7dWfm4rN4Jg/AAAAAAAAAAI/AAAAAAAAEwE/bhiqiijvnaQ/w96-h96-p/photo.jpg,"April 16, 2016",https://play.google.com/store/apps/details?id=com.azumio.android.stresscheck&reviewId=Z3A6QU9xcFRPRmZHa05vTlQzQk5iMFpRdWhEOS1naXUxVWt6QmRKNEVPOHhGNElodkdySmljY3ZXTWhkTVhETFJiU3RELUpVaFlGNE5HRkRxbERnYm9DQmc,3,Works for me,"Works for me I'm able to use this to time my recovery after exercise. Some more informative statistics would help. Could you bring some of the HRV stats onto the screen please, rather than just reporting 'stress'.   During exercise I hit 100% and when resting get down to 10%.  Why not plot a histogram of the heart rate data or give a number with real units?",undefined,undefined
gp:AOqpTOHtcHiNJL5Hga91XLuQloCtvo5ymYb7pHhu9VzbXLQ87e3Fqp0TmdAOTVuatZTM7xF1_zRRVdOHvS_Y2A,Joseph Henzi,https://lh6.googleusercontent.com/-OJimdXeG1jE/AAAAAAAAAAI/AAAAAAABSNs/2UU8mSlfdis/w96-h96-p/photo.jpg,"August 18, 2013",https://play.google.com/store/apps/details?id=com.azumio.android.stresscheck&reviewId=Z3A6QU9xcFRPSHRjSGlOSkw1SGdhOTFYTHVRbG9DdHZvNXltWWI3cEhodTlWemJYTFE4N2UzRnFwMFRtZEFPVFZ1YXRaVE03eEYxX3pSUlZkT0h2U19ZMkE,4,Love it,"Love it It does work like their other apps. When I first discovered the apps they offer I used them, and this, to encourage myself to quit smoking. I could see the changes overtime of lower heart rates and lower stress levels.  Only taking a star off because I have to link the app to my social accounts each time I share to them. This never happened before. But it has presented itself as an obvious bug. Though not any reason to not use the app if you desire!   This developer is offering something different here.",undefined,undefined
lg:AOqpTOEFaS1-R1R257LU7bJckL7nT2DRE0PdphPAP8ytCD21TBNvMh2aTEPno2xVpwu3ozVnj6dLmIt68a0yuQ,A Google User,https://lh3.ggpht.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=w96-h96-p,"February 11, 2012",https://play.google.com/store/apps/details?id=com.azumio.android.stresscheck&reviewId=bGc6QU9xcFRPRUZhUzEtUjFSMjU3TFU3Ykpja0w3blQyRFJFMFBkcGhQQVA4eXRDRDIxVEJOdk1oMmFURVBubzJ4VnB3dTNvelZuajZkTG1JdDY4YTB5dVE,3,Cool but...,"Cool but... It seems cool but, people, don't you find it creepy that it only stores your historical stress levels on THEIR servers and refuses to store locally.  Better yet use your facebook login so 'they' know absolutely everything about you.  Why does it need my location.  My stress is low but our world is scary.",undefined,undefined
lg:AOqpTOHxfCCZ7ST-hZKZlfSHSFrZzgCjypHfthmsoMwFQxOnO7uriKurRqT-WfWElLwwFJQNbVeCNzUCwKaQMA,A Google User,https://lh3.ggpht.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=w96-h96-p,"March 28, 2012",https://play.google.com/store/apps/details?id=com.azumio.android.stresscheck&reviewId=bGc6QU9xcFRPSHhmQ0NaN1NULWhaS1psZlNIU0ZyWnpnQ2p5cEhmdGhtc29Nd0ZReE9uTzd1cmlLdXJScVQtV2ZXRWxMd3dGSlFOYlZlQ056VUN3S2FRTUE,3,Could be better,"Could be better Note: Phone must have a flash in order to work! This is not mentioned  in the description  or at any point during installation. This is probably why there are so many 1 star reviews saying it doesn't work.  As other people have mentioned, the age input needs refinement. Also, I may have missed it, but I didn't see instructions at any point.",undefined,undefined
lg:AOqpTOHb1PjdBDGng-tND5trNey4NhhTiVKk3hBTZa59vqskYxgxeu3tDbjFe0UrHfX1rIzASviB5DU4EJKgEA,A Google User,https://lh3.ggpht.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=w96-h96-p,"September 16, 2012",https://play.google.com/store/apps/details?id=com.azumio.android.stresscheck&reviewId=bGc6QU9xcFRPSGIxUGpkQkRHbmctdE5ENXRyTmV5NE5oaFRpVktrM2hCVFphNTl2cXNrWXhneGV1M3REYmpGZTBVckhmWDFySXpBU3ZpQjVEVTRFSktnRUE,1,SEEMS LEGIT.,"SEEMS LEGIT. I never knew that my table was so stressed out! THANK YOU SO MUCH for making this app. Now I know that I must take better care of my table. For all you people with stressed tables, I recommend taking it out for a jog once in a while to reduce stress. Also, drinking Chamomile tea is an excellent way as well.",undefined,undefined
lg:AOqpTOFU_E0LI_cLuOkw5JqfrQl_pxvbzAFFXHKD6UUYjMC0K7QaqPvcN0PZpEBTycurt61fqaROegulukZO7Q,A Google User,https://lh3.ggpht.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=w96-h96-p,"May 23, 2012",https://play.google.com/store/apps/details?id=com.azumio.android.stresscheck&reviewId=bGc6QU9xcFRPRlVfRTBMSV9jTHVPa3c1SnFmclFsX3B4dmJ6QUZGWEhLRDZVVVlqTUMwSzdRYXFQdmNOMFBacEVCVHljdXJ0NjFmcWFST2VndWx1a1pPN1E,4,Age-ism??,"Age-ism?? Cool app, but it won't let me enter in a birth year earlier than 1970! If you're going to have option for that, it should be reasonably functional. Dang it...think my stress level just went up!",undefined,undefined
gp:AOqpTOFOOw9uUfIAcEJn6BICxaGWSpKzRZDYMGk5A3fI4hqPVrNxawjaiRo_nepQlYCmmV5kIRwgWZs3-_r3Dw,Chris Dawson,https://lh6.googleusercontent.com/-SIFbQJWsEq4/AAAAAAAAAAI/AAAAAAAABGg/MhsA5hMnttc/w96-h96-p/photo.jpg,"June 20, 2013",https://play.google.com/store/apps/details?id=com.azumio.android.stresscheck&reviewId=Z3A6QU9xcFRPRk9Pdzl1VWZJQWNFSm42QklDeGFHV1NwS3pSWkRZTUdrNUEzZkk0aHFQVnJOeGF3amFpUm9fbmVwUWxZQ21tVjVrSVJ3Z1daczMtX3IzRHc,3,Stressed or Stealing?,Stressed or Stealing? They should explain exactly how this works. Otherwise based on permissions it could be just  recording video and collecting data from you. I'm no genius but pretty smart and tech savy. With all the different types of cameras and screens I can't see how this can be legit. That being the case seems to be a data collection scheme.,undefined,undefined
gp:AOqpTOEbQX4rcRyRI9CPwP8DO6oNjj5ZfCd2TPY5fgWMAFGPCBd5rS5ctoPZjW3-L6RnKAabWCK1UR9aQZXdCw,Lukas Olson,https://lh5.googleusercontent.com/-ZIYobRfU9HM/AAAAAAAAAAI/AAAAAAAAIe0/_3Lk9-z95qw/w96-h96-p/photo.jpg,"December 17, 2013",https://play.google.com/store/apps/details?id=com.azumio.android.stresscheck&reviewId=Z3A6QU9xcFRPRWJRWDRyY1J5Ukk5Q1B3UDhETzZvTmpqNVpmQ2QyVFBZNWZnV01BRkdQQ0JkNXJTNWN0b1BaalczLUw2Um5LQWFiV0NLMVVSOWFRWlhkQ3c,5,"Great, simple idea. Works well.","Great, simple idea. Works well. I haven't had any problems with flash heat. It appears to do a very good job. I will have to compare with other pulse measuring methods. It would be nice to get more data--beats per minute, rhythm, amplitude, and anything else possible.",undefined,undefined
gp:AOqpTOE8OWA5c5u-P2JU8PuX9tdGqeJSI2eUkqMf1ktvZFxoISqzBdLJaxdm4O_F1CxnaMw6p2Okuxhgs4p_ag,Darren Cooper,https://lh3.googleusercontent.com/--ObZ_07HDG0/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjWpHPMTTWrdfHGeWQzptEaArssMiQ/w96-h96-p/photo.jpg,"June 23, 2013",https://play.google.com/store/apps/details?id=com.azumio.android.stresscheck&reviewId=Z3A6QU9xcFRPRThPV0E1YzV1LVAySlU4UHVYOXRkR3FlSlNJMmVVa3FNZjFrdHZaRnhvSVNxekJkTEpheGRtNE9fRjFDeG5hTXc2cDJPa3V4aGdzNHBfYWc,4,Accurate but history log not working,"Accurate but history log not working Before I review, many people seem to comment about finger getting too hot because of light and not getting a result.  PUT YOUR FINGER ON THE CAMERA LENSE, NOT THE FLASH. Reading seems accurate to how I feel. A little frustrated that the logs are not being stored. Keep getting 'error nul'.",undefined,undefined
gp:AOqpTOGfJ6Y706YdXXMEr8Z9KVxiA6NF5F0a5-qTLsoh16vwlo1DoFFb3en3GWzqPkmjqqzUGu-RV-OsitGitg,Aaron Ciccone,https://lh4.googleusercontent.com/-8KtMX50wTn0/AAAAAAAAAAI/AAAAAAAAABc/8uNid4dIVu4/w96-h96-p/photo.jpg,"July 6, 2015",https://play.google.com/store/apps/details?id=com.azumio.android.stresscheck&reviewId=Z3A6QU9xcFRPR2ZKNlk3MDZZZFhYTUVyOFo5S1Z4aUE2TkY1RjBhNS1xVExzb2gxNnZ3bG8xRG9GRmIzZW4zR1d6cVBrbWpxcXpVR3UtUlYtT3NpdEdpdGc,1,FAKE FAKE FAKE,"FAKE FAKE FAKE This thing isnt real, it measures how much your phone moves and the color of your finger. I took one test and it said 100% stress level , way to high, calm down. Okay, so then i took another. 28% stress level, low and calm, maintain. I took these right after another in the exact same environment, so there was no factor change. My parents were yelling at each other in the second one. Which should have made my stress level the same in the second test, but they didn't. So DO NOT DOWNLOAD ALL FAKE.",undefined,undefined
