id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOFDuOxh4u4WhC6ERlh1Yt36osJ7WS3DWV-7ygxWy6DLKMea_RygwqCkqUNemBMtXX0_EWBDxBN9wGTfRQ,,https://lh6.googleusercontent.com/-oxfOw03D0Is/AAAAAAAAAAI/AAAAAAAAAAA/JzonedkkPFk/w96-h96-p/photo.jpg,"February 4, 2018",https://play.google.com/store/apps/details?id=com.balysv.loop&reviewId=Z3A6QU9xcFRPRkR1T3hoNHU0V2hDNkVSbGgxWXQzNm9zSjdXUzNEV1YtN3lneFd5NkRMS01lYV9SeWd3cUNrcVVOZW1CTXRYWDBfRVdCRHhCTjl3R1RmUlE,5,,"I seldom rate apps, but this one is special since I really love this app. By simply taping on the screen, you can connect and disconnect the circles. It is so interesting. For those who have not downloaded it, don't hesitate to download it! Although I gave a five star review, there are some tiny issues. The app is actually larger than it says in READ MORE. Ads pop up frequently.  You can try to disconnect with wifi or data, then no more ads will show up. You can also mute the music, if you don't like it.",undefined,undefined
gp:AOqpTOFEpY3VKhGzznAUdcuSwcOiVqEW4eH6KFJ0mdVHHUreMI2sN1efsUFRFyokFucE-ra2vjm0pLPvcSrjGg,A Rupp,https://lh3.googleusercontent.com/-YDcV3oOYDxE/AAAAAAAAAAI/AAAAAAAAAjo/MnIUAnP6zB8/w96-h96-p/photo.jpg,"February 3, 2018",https://play.google.com/store/apps/details?id=com.balysv.loop&reviewId=Z3A6QU9xcFRPRkVwWTNWS2hHenpuQVVkY3VTd2NPaVZxRVc0ZUg2S0ZKMG1kVkhIVXJlTUkyc04xZWZzVUZSRnlva0Z1Y0UtcmEydmptMHBMUHZjU3JqR2c,4,,"Good low key brain game. Ads frequency, but more so their sound ruin any experience it's trying to create for the free version. I get needing adds, but are loud obnoxious ads really necessary in a game that is supposed to be relaxing and zen inducing?",undefined,undefined
gp:AOqpTOEoGENadOed1FuxoEUeO4tGoEsnw7mv69NfGrlBkuCJ7ckdW_CnTr_xEK93TVqDrS_HUuPUs0_6gWm0Ug,Remar Dela Roca,https://lh5.googleusercontent.com/-a9ow45vvLmc/AAAAAAAAAAI/AAAAAAAAAZM/ZmhKtkFpggI/w96-h96-p/photo.jpg,"February 2, 2018",https://play.google.com/store/apps/details?id=com.balysv.loop&reviewId=Z3A6QU9xcFRPRW9HRU5hZE9lZDFGdXhvRVVlTzR0R29Fc253N212NjlOZkdybEJrdUNKN2NrZFdfQ25Ucl94RUs5M1RWcURyU19IVXVQVXMwXzZnV20wVWc,4,,"Fun to play, i just don't like the background music! It is bit sad and dull, suggests that we have music options like a lively one. Thanks for reading.",undefined,undefined
gp:AOqpTOG4_daHsiNktoyTHZxQTQN-4pV66w8Zi-j2Pq1JsFtHhL0nAK9k3gBxU1kYcnF_NslRol9c8oXU6dyiOw,rizqi wicak,https://lh4.googleusercontent.com/-mm_2kn4tDK0/AAAAAAAAAAI/AAAAAAAAABU/w-Hp_F2S53s/w96-h96-p/photo.jpg,"February 3, 2018",https://play.google.com/store/apps/details?id=com.balysv.loop&reviewId=Z3A6QU9xcFRPRzRfZGFIc2lOa3RveVRIWnhRVFFOLTRwVjY2dzhaaS1qMlBxMUpzRnRIaEwwbkFLOWszZ0J4VTFrWWNuRl9Oc2xSb2w5YzhvWFU2ZHlpT3c,5,,"I always play this game when situation get awkward ,it makes me look busy thanks for curing my social anxiety",undefined,undefined
gp:AOqpTOF4jwtmVnW3DwpBl9AN0VLm3TULx9MkNe69OekFB7DV5nbDz-tIw72k4QFcTtISUPe_6xnwsV97XWi5mQ,Acacia Larsen,https://lh5.googleusercontent.com/-7CTfoVyM-JY/AAAAAAAAAAI/AAAAAAAAByg/pz87neIW0wQ/w96-h96-p/photo.jpg,"February 3, 2018",https://play.google.com/store/apps/details?id=com.balysv.loop&reviewId=Z3A6QU9xcFRPRjRqd3RtVm5XM0R3cEJsOUFOMFZMbTNUVUx4OU1rTmU2OU9la0ZCN0RWNW5iRHotdEl3NzJrNFFGY1R0SVNVUGVfNnhud3NWOTdYV2k1bVE,5,,This game is very relaxing and puzzling. Its not to hard that you cant figure it out which is really nice. I love this game and i think you should download it!,undefined,undefined
gp:AOqpTOGL5xnE2QvQRs2y4poi6CDIP5oQ85gHg41xGn3tbbEBvBpATMh_SqSTsJXb10zC-SYzCIUxtxAfWR_O6g,,https://lh3.googleusercontent.com/-at3LsEdG5Cw/AAAAAAAAAAI/AAAAAAAAAAA/2vTe8R5zPdA/w96-h96-p/photo.jpg,"February 4, 2018",https://play.google.com/store/apps/details?id=com.balysv.loop&reviewId=Z3A6QU9xcFRPR0w1eG5FMlF2UVJzMnk0cG9pNkNESVA1b1E4NWdIZzQxeEduM3RiYkVCdkJwQVRNaF9TcVNUc0pYYjEwekMtU1l6Q0lVeHR4QWZXUl9PNmc,5,,"Really awesome game! But I think you should make the transition to the next level a bit longer. But I couldn't point out anything more, and don't let the bad reviews get you, It's an awesome game!",undefined,undefined
gp:AOqpTOHMyn_US9lyRQ7j6mTP17s0hubzOLdVNn-TrOdYFq5v-uuUA-OkRzKlabh5jIoyCWzibVX6ayvpAzLIHg,,https://lh5.googleusercontent.com/-pMT39JgE1JQ/AAAAAAAAAAI/AAAAAAAAAAA/cjQgzunFObw/w96-h96-p/photo.jpg,"February 3, 2018",https://play.google.com/store/apps/details?id=com.balysv.loop&reviewId=Z3A6QU9xcFRPSE15bl9VUzlseVJRN2o2bVRQMTdzMGh1YnpPTGRWTm4tVHJPZFlGcTV2LXV1VUEtT2tSektsYWJoNWpJb3lDV3ppYlZYNmF5dnBBekxJSGc,5,,This game isnt my style at all the only reason i download it its out of boredom and let me tell you it solved the problem its adictive its great its amazeing highly recomend it,undefined,undefined
gp:AOqpTOHjVPCxCUSQcSwyc-i3WbqHQh5pIdqN4fjPzdvOagtQ-wyO5s4p3NiipJdCYZ_S9535_wJZXdk_lXHOKw,Ayla Hansen,https://lh5.googleusercontent.com/-TQdhf1zZUoc/AAAAAAAAAAI/AAAAAAAAAFY/lubIj74cuOw/w96-h96-p/photo.jpg,"February 4, 2018",https://play.google.com/store/apps/details?id=com.balysv.loop&reviewId=Z3A6QU9xcFRPSGpWUEN4Q1VTUWNTd3ljLWkzV2JxSFFoNXBJZHFONGZqUHpkdk9hZ3RRLXd5TzVzNHAzTmlpcEpkQ1laX1M5NTM1X3dKWlhka19sWEhPS3c,5,,"I love to play this game when I'm having anxiety, it's super relaxing and calming. Great job guys :)",undefined,undefined
gp:AOqpTOE1B993IiYkoxhMNWqXzAmjBGoulXVGDUxb_qxnPzUYYYGuAejc74csoRVkiqhCJoeux6OnTOmkAUZ8fA,MAVEN by RISHI,https://lh3.googleusercontent.com/-MEHrJ2yiiKc/AAAAAAAAAAI/AAAAAAAAAFU/wp0G40m6hUg/w96-h96-p/photo.jpg,"February 5, 2018",https://play.google.com/store/apps/details?id=com.balysv.loop&reviewId=Z3A6QU9xcFRPRTFCOTkzSWlZa294aE1OV3FYekFtakJHb3VsWFZHRFV4Yl9xeG5QelVZWVlHdUFlamM3NGNzb1JWa2lxaENKb2V1eDZPblRPbWtBVVo4ZkE,5,,FANTASTIC GAME...Making games is not an easy task. But this game has been perfectly made..... just loved it,undefined,undefined
gp:AOqpTOEdRSZfIKbmKzHNIyNPWmPpHl2vQ7zLeXPTngalfT8JliJNha-OoVTdAWk2_33Kx6vKqSegQItRdwOxBw,Dallas Mutch,https://lh6.googleusercontent.com/-KubfQ8Adoyo/AAAAAAAAAAI/AAAAAAAAACY/JfM2BOTx7-U/w96-h96-p/photo.jpg,"February 2, 2018",https://play.google.com/store/apps/details?id=com.balysv.loop&reviewId=Z3A6QU9xcFRPRWRSU1pmSUtibUt6SE5JeU5QV21QcEhsMnZRN3pMZVhQVG5nYWxmVDhKbGlKTmhhLU9vVlRkQVdrMl8zM0t4NnZLcVNlZ1FJdFJkd094Qnc,5,,"Time killer, just can relax and solve puzzle after puzzle.",undefined,undefined
