id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOF6t4vpmoeJd1obNuo1Y4ap-2hAmgHIgToP88kWXRUFb1x96ewyoTKe_tvm2n63ANnTYDXuAIMIAUXVDQ,Tobias Nyberg,https://lh3.googleusercontent.com/-S6WmAPeUCYk/AAAAAAAAAAI/AAAAAAAAABQ/TdWe0F4h_QM/w96-h96-p/photo.jpg,"July 29, 2017",https://play.google.com/store/apps/details?id=com.balltoy.antistressballtoy&reviewId=Z3A6QU9xcFRPRjZ0NHZwbW9lSmQxb2JOdW8xWTRhcC0yaEFtZ0hJZ1RvUDg4a1dYUlVGYjF4OTZld3lvVEtlX3R2bTJuNjNBTm5UWURYdUFJTUlBVVhWRFE,5,,I... Must give...  5 for points.  I don't care about this app.  No wonder why most games get 5 stars all the time. Here take it!,undefined,undefined
gp:AOqpTOE4eY2njP9bLduf4qtY7KuUPiL5aTayZ5rV41_0LJeR6KXIBc5TyKIv9JKUETMleuLH2HkHRz7NvKEt3Q,Dizzy wallin,https://lh4.googleusercontent.com/-pVN00ioKMXA/AAAAAAAAAAI/AAAAAAAAACI/Os5IQZsophk/w96-h96-p/photo.jpg,"July 22, 2017",https://play.google.com/store/apps/details?id=com.balltoy.antistressballtoy&reviewId=Z3A6QU9xcFRPRTRlWTJualA5YkxkdWY0cXRZN0t1VVBpTDVhVGF5WjVyVjQxXzBMSmVSNktYSUJjNVR5S0l2OUpLVUVUTWxldUxIMkhrSFJ6N052S0V0M1E,5,,Its weird anyways another app said it would give me stuff if I voted 5 stars on this so I win,undefined,undefined
gp:AOqpTOE6ojXoKA-igoMhxNxsR48DHea1bfW9hV8w2XmqKdPF1XOJlEdoA03hovlrlaVWmHCZ-V2tyorubimK4Q,"Rawr, im a dinosaur.",https://lh5.googleusercontent.com/-UncRns8Y29A/AAAAAAAAAAI/AAAAAAAADWk/eF06jUhmYh8/w96-h96-p/photo.jpg,"September 21, 2017",https://play.google.com/store/apps/details?id=com.balltoy.antistressballtoy&reviewId=Z3A6QU9xcFRPRTZvalhvS0EtaWdvTWh4TnhzUjQ4REhlYTFiZlc5aFY4dzJYbXFLZFBGMVhPSmxFZG9BMDNob3ZscmxhVldtSENaLVYydHlvcnViaW1LNFE,2,,"All ads, not fun. You have to recharge and if im stressed that stresses me out more. You might as well pay for it.",undefined,undefined
gp:AOqpTOFJ3Tdw0bRvP-HQp-Vi2Hu85UaBkd8fc7MlAgvMMIcIkAnQsTU5JOPugg-v0u-eCAhcSRliAg6HPB4ctw,,https://lh3.googleusercontent.com/-wMQjm0JVahA/AAAAAAAAAAI/AAAAAAAAAAA/NRxzz5Nn5Ac/w96-h96-p/photo.jpg,"December 26, 2017",https://play.google.com/store/apps/details?id=com.balltoy.antistressballtoy&reviewId=Z3A6QU9xcFRPRkozVGR3MGJSdlAtSFFwLVZpMkh1ODVVYUJrZDhmYzdNbEFndk1NSWNJa0FuUXNUVTVKT1B1Z2ctdjB1LWVDQWhjU1JsaUFnNkhQQjRjdHc,2,,The adds are make the game horrible because you are trying to stop stress and the adverts make you more stressed.!😡😡,undefined,undefined
gp:AOqpTOHVjsg9wsP92FzSQRztKwlpyv-_gSiKLu-tcVRlhC5ZJQuFmrnON73tdoe3ltDsz-3yNdK4EAiAiq5fcQ,Mathew Garrison,https://lh4.googleusercontent.com/-gjnP9QwUw4Y/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjXH9DxK_GXTCsfOmvjwo6PsTVdqTA/w96-h96-p/photo.jpg,"July 25, 2017",https://play.google.com/store/apps/details?id=com.balltoy.antistressballtoy&reviewId=Z3A6QU9xcFRPSFZqc2c5d3NQOTJGelNRUnp0S3dscHl2LV9nU2lLTHUtdGNWUmxoQzVaSlF1Rm1ybk9ONzN0ZG9lM2x0RHN6LTN5TmRLNEVBaUFpcTVmY1E,1,,This game is actually a virus. It keeps popping up on my phone for no reason. It is so annoying.,undefined,undefined
gp:AOqpTOFLydCK7C9fDOV98wFPT59jhZLPEC8qcRDrk-feEFM6u3vaB29UJaMiSQGakmy-j0l5o_t5Pe-mwP5H_w,Benjamin Elea,https://lh6.googleusercontent.com/-dp1ojhCT7Gg/AAAAAAAAAAI/AAAAAAAAADU/5KHY2_3NbwE/w96-h96-p/photo.jpg,"August 18, 2017",https://play.google.com/store/apps/details?id=com.balltoy.antistressballtoy&reviewId=Z3A6QU9xcFRPRkx5ZENLN0M5ZkRPVjk4d0ZQVDU5amhaTFBFQzhxY1JEcmstZmVFRk02dTN2YUIyOVVKYU1pU1FHYWtteS1qMGw1b190NVBlLW13UDVIX3c,5,,I hate everything you stand for ChuChu mobile. You sit on a throne of lies.,undefined,undefined
gp:AOqpTOGvwCb2MmH8ua6650s87lPcSRdsK57yLum5C00n50MjTXp3Oz6yuXYQW1fjcfOjouHM-uu7LShH7T2f-w,Kira Lee,https://lh6.googleusercontent.com/-Sl2cVlKx4GQ/AAAAAAAAAAI/AAAAAAAAACE/-Gln4zq-DZ4/w96-h96-p/photo.jpg,"August 4, 2017",https://play.google.com/store/apps/details?id=com.balltoy.antistressballtoy&reviewId=Z3A6QU9xcFRPR3Z3Q2IyTW1IOHVhNjY1MHM4N2xQY1NSZHNLNTd5THVtNUMwMG41ME1qVFhwM096Nnl1WFlRVzFmamNmT2pvdUhNLXV1N0xTaEg3VDJmLXc,1,,Waste of space on phone :(,undefined,undefined
gp:AOqpTOHXoUnuHr8qIUO52Qn0nEZN4SUUeHmk9uVojYELhsgAyU-IlHldbwVNY2Wbooe8gRTzb4AO9mt06gPxfw,YEEY,https://lh3.googleusercontent.com/-xRquhNGjY_o/AAAAAAAAAAI/AAAAAAAAAGg/raOnz864n4Q/w96-h96-p/photo.jpg,"October 5, 2017",https://play.google.com/store/apps/details?id=com.balltoy.antistressballtoy&reviewId=Z3A6QU9xcFRPSFhvVW51SHI4cUlVTzUyUW4wbkVaTjRTVVVlSG1rOXVWb2pZRUxoc2dBeVUtSWxIbGRid1ZOWTJXYm9vZThnUlR6YjRBTzltdDA2Z1B4Znc,1,,Don't download horrible game,undefined,undefined
gp:AOqpTOE0C_WlRw9GvVcSlDRK6ZqUMEPtJVebZmBCARQwnujdTeoADRVFOVaTXwwjY8yLWE_87J0AayDN0p1Iug,,https://lh4.googleusercontent.com/-X-lfG3eBkh4/AAAAAAAAAAI/AAAAAAAAAAA/PkKfGGSEcXc/w96-h96-p/photo.jpg,"September 24, 2017",https://play.google.com/store/apps/details?id=com.balltoy.antistressballtoy&reviewId=Z3A6QU9xcFRPRTBDX1dsUnc5R3ZWY1NsRFJLNlpxVU1FUHRKVmViWm1CQ0FSUXdudWpkVGVvQURSVkZPVmFUWHd3alk4eUxXRV84N0owQWF5RE4wcDFJdWc,5,,Its the best stress reliever app i did it for the point,undefined,undefined
gp:AOqpTOE-9g4bw35IqAMRN0wN9QHICsHHLMi47igU18cCTBbg8qI9_XiMd1tWwPYVSG1mFHt4WhSbtyzNWD94IA,Antonio Trujillo,https://lh4.googleusercontent.com/-1JXXnSAPMvc/AAAAAAAAAAI/AAAAAAAAAAw/mbDEJ1oRyrs/w96-h96-p/photo.jpg,"August 14, 2017",https://play.google.com/store/apps/details?id=com.balltoy.antistressballtoy&reviewId=Z3A6QU9xcFRPRS05ZzRidzM1SXFBTVJOMHdOOVFISUNzSEhMTWk0N2lnVTE4Y0NUQmJnOHFJOV9YaU1kMXRXd1BZVlNHMW1GSHQ0V2hTYnR5ek5XRDk0SUE,5,,I'm boss,undefined,undefined
