id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOHuYW9iEsYJwOF2Mf5GQR1rWEtdre9bOA2GZPVDvrCsVe77f9dItqP7wxR0UXVUY81B3VP5STFXKck8AA,rosetta Stella,https://lh3.googleusercontent.com/-eY3_Lt5_P5g/AAAAAAAAAAI/AAAAAAAAApA/ks1jkRPwiIc/w96-h96-p/photo.jpg,"January 28, 2018",https://play.google.com/store/apps/details?id=com.jurajkusnier.antistressbubblewrap&reviewId=Z3A6QU9xcFRPSHVZVzlpRXNZSndPRjJNZjVHUVIxcldFdGRyZTliT0EyR1pQVkR2ckNzVmU3N2Y5ZEl0cVA3d3hSMFVYVlVZODFCM1ZQNVNURlhLY2s4QUE,5,,"THIS APP IS AMAZING!!!!!!!!!! Don't get me wrong, it's not like it's a complex app that can entertain you for hours or anything, but it's a 5 star. It's really satisfying popping the bubbles, the sound is on point, and you can add vibration. There are hardly any adds, so you have that out of your way. It also IS stress releivant. Not calming, relieving. I 100 percent suggest getting thus app.",undefined,undefined
gp:AOqpTOHMALnu58hqk2nikEfRZBLJiRsQZ_OtZoYxgGAuReT4dpxynNiRBagUdelKpejqOaL6XX0rUtHha3Cqig,Nikk 2003,https://lh5.googleusercontent.com/-kK_jRuNekIU/AAAAAAAAAAI/AAAAAAAAFjE/5nI6TIN3_vw/w96-h96-p/photo.jpg,"December 12, 2016",https://play.google.com/store/apps/details?id=com.jurajkusnier.antistressbubblewrap&reviewId=Z3A6QU9xcFRPSE1BTG51NThocWsybmlrRWZSWkJMSmlSc1FaX090Wm9ZeGdHQXVSZVQ0ZHB4eW5OaVJCYWdVZGVsS3BlanFPYUw2WFgwclV0SGhhM0NxaWc,4,For all the people saying...,"For all the people saying... ""All it does is pop bubble wrap, don't waist your time!"" It's supposed to be all you do, for some people it's pointless but if you are a figity person then this is perfect, so stop complaining. This does help some people. And also to the developers, it wouldn't hurt to make the bubbles smaller so you can pop more.",undefined,undefined
gp:AOqpTOFJ97poeIkpAXiukSKdFu-gPIch_S4Aik9qloSsMY6yrUg9sUrKNvGEnusZ0WM7KMlZdPl2SOgw20xhBA,L. Magdy,https://lh5.googleusercontent.com/-4YwkF92zCak/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjXjI42G7ULARvujNn625EgKW1WFYw/w96-h96-p/photo.jpg,"April 13, 2017",https://play.google.com/store/apps/details?id=com.jurajkusnier.antistressbubblewrap&reviewId=Z3A6QU9xcFRPRko5N3BvZUlrcEFYaXVrU0tkRnUtZ1BJY2hfUzRBaWs5cWxvU3NNWTZ5clVnOXNVcktOdkdFbnVzWjBXTTdLTWxaZFBsMlNPZ3cyMHhoQkE,5,,"Amazing for lovers of bubble wraps. Effects makes it feel real: vibration,popping sounds & the way the bubble looks after & before being popped.   It has two modes:   1. Infinite mode: where the bubbles get refilled wz air after popping them to keep popping them continuously.  2. Normal mode: popped bubbles aren't filled wz air again & ur screen acts as a bubble wrap that you pop & finish.  It's a very good tool for releasing stress too.",undefined,undefined
gp:AOqpTOGyCpSnk8IGy95RxLJgYT73zHbA9WVB-l6bXqaJFzxHsez6Yfxic5wriLOabDLhFXp0MlHjIdYCHLddkg,Javelier,https://lh3.googleusercontent.com/-akfoEjK5TUk/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjWxOj-LzogZVGQMYej5LLSLFhTdXQ/w96-h96-p/photo.jpg,"April 2, 2017",https://play.google.com/store/apps/details?id=com.jurajkusnier.antistressbubblewrap&reviewId=Z3A6QU9xcFRPR3lDcFNuazhJR3k5NVJ4TEpnWVQ3M3pIYkE5V1ZCLWw2YlhxYUpGenhIc2V6NllmeGljNXdyaUxPYWJETGhGWHAwTWxIaklkWUNITGRka2c,5,,"My only complaint is the occasional bubble doesn't make a sound.  Just like real bubble wrap.  Ha ha. So is that really a complaint?  Straight forward and simple.  Best of these apps so far, no nuisances.",undefined,undefined
gp:AOqpTOHEfuR_1tK4Qk90SUDYcaaUVB6NR0jvlQj0zb6nWnjiprZ8pCPLZXLs2RGlHI2A8iB6cUHgCBPYZvYlSA,Shraddha Dolia,https://lh5.googleusercontent.com/-SjRNmwILrZs/AAAAAAAAAAI/AAAAAAAAAQ8/w0e62yDR9AY/w96-h96-p/photo.jpg,"March 15, 2017",https://play.google.com/store/apps/details?id=com.jurajkusnier.antistressbubblewrap&reviewId=Z3A6QU9xcFRPSEVmdVJfMXRLNFFrOTBTVURZY2FhVVZCNk5SMGp2bFFqMHpiNm5XbmppcHJaOHBDUExaWExzMlJHbEhJMkE4aUI2Y1VIZ0NCUFladllsU0E,5,,I love this app thank u soooooo much I really releases stress bcoz it's amaizing.... Even after broking it comes back again and that's the thing I love it it teaches us to don't ever fall try again nd again......ty soooooo much..😘😘😘😘😘,undefined,undefined
gp:AOqpTOGWi-OhKO7o2uUPYqIov_e0u6y_hl7CmlYZsD_eYXyie4XKIWpl_Ca7FELXiT6Ofm_EOX0XHsWXsntZoA,Ashleigh Cheatham,https://lh5.googleusercontent.com/-uc_MeT3W6n0/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVRZtuVUAOLr9thpiRagYai_ToF3w/w96-h96-p/photo.jpg,"July 12, 2017",https://play.google.com/store/apps/details?id=com.jurajkusnier.antistressbubblewrap&reviewId=Z3A6QU9xcFRPR1dpLU9oS083bzJ1VVBZcUlvdl9lMHU2eV9obDdDbWxZWnNEX2VZWHlpZTRYS0lXcGxfQ2E3RkVMWGlUNk9mbV9FT1gwWEhzV1hzbnRab0E,5,,"This game was more effective then I thought but one thing in infinite mode maybe not make the bubbles come back so quickly and it'd be cool if you can scroll ""move the bubble wrap"" to get more bubbles",undefined,undefined
gp:AOqpTOEeGG7Z3ZQ758GoGT3f_rX3wRcitSMsAtnao_5Di1sZSyk9KPy9w81ANccByPjvX0t58hiQjSEB2fBrHQ,Unicorn_nerd Unicorn_Nerd,https://lh4.googleusercontent.com/-d2IQGCSRdQo/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjU-7HGYunzvkc4MJHg5qUKgGGGYTA/w96-h96-p/photo.jpg,"October 1, 2017",https://play.google.com/store/apps/details?id=com.jurajkusnier.antistressbubblewrap&reviewId=Z3A6QU9xcFRPRWVHRzdaM1pRNzU4R29HVDNmX3JYM3dSY2l0U01zQXRuYW9fNURpMXNaU3lrOUtQeTl3ODFBTmNjQnlQanZYMHQ1OGhpUWpTRUIyZkJySFE,5,,"Brilliant for stress relief! I get stressed, ALOT so i go on this app and i just consentrate on popping bubble wrap! 😊 I recommend this!",undefined,undefined
gp:AOqpTOFwzXHLZFBVPJVIqbH0LGDI8D_KFP_5Vyv8flXCFGc06ycI6_9QYo2uS_0slqAHEp0zVrtYZhe3J2PvYA,Victoria Guardino,https://lh5.googleusercontent.com/-5nRrhU6elME/AAAAAAAAAAI/AAAAAAAAA94/hLrrlBIbWfw/w96-h96-p/photo.jpg,"November 22, 2016",https://play.google.com/store/apps/details?id=com.jurajkusnier.antistressbubblewrap&reviewId=Z3A6QU9xcFRPRnd6WEhMWkZCVlBKVklxYkgwTEdESThEX0tGUF81Vnl2OGZsWENGR2MwNnljSTZfOVFZbzJ1U18wc2xxQUhFcDB6VnJ0WVpoZTNKMlB2WUE,1,,Boring. Plus it didn't relieve my stress!!!,undefined,undefined
gp:AOqpTOFvKpL4Y4fgV4fJ7Ji522NMGEws16uFFxcaRDJDdGPq6qu_7VlaBATNYN6ty0YCvAuaAYd1rB3yHo2n_w,,https://lh5.googleusercontent.com/-msyv4cr7NB0/AAAAAAAAAAI/AAAAAAAAAAA/Hb5p5z47jwg/w96-h96-p/photo.jpg,"September 29, 2016",https://play.google.com/store/apps/details?id=com.jurajkusnier.antistressbubblewrap&reviewId=Z3A6QU9xcFRPRnZLcEw0WTRmZ1Y0Zko3Smk1MjJOTUdFd3MxNnVGRnhjYVJESkRkR1BxNnF1XzdWbGFCQVROWU42dHkwWUN2QXVhQVlkMXJCM3lIbzJuX3c,4,Nice,Nice I look like a dumber while playing this game. But it's really reduce my stress.,undefined,undefined
gp:AOqpTOEchcEQ3mUjv_vRSiVreuC-6zk4b4NBzMbdycQAkwCLmFNpTwQ0BJxLT9QvBhIlj34VRsMNZUQI5Jltig,May Doe,https://lh6.googleusercontent.com/-PK5YjmPw14c/AAAAAAAAAAI/AAAAAAAAADY/RGCfQt5VRmc/w96-h96-p/photo.jpg,"May 30, 2017",https://play.google.com/store/apps/details?id=com.jurajkusnier.antistressbubblewrap&reviewId=Z3A6QU9xcFRPRWNoY0VRM21VanZfdlJTaVZyZXVDLTZ6azRiNE5Cek1iZHljUUFrd0NMbUZOcFR3UTBCSnhMVDlRdkJoSWxqMzRWUnNNTlpVUUk1Smx0aWc,5,,Does exactly what it says on the tin. I don't know what people expect it to do.,undefined,undefined
