id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOF2C4dOdt9vISjq6JBSnHT7AixNaxRtPcnLWsF3U9bFZuZJrzCbB8LsP0ZC4ADyY0azGwC6TG_4PhpU_A,John Diamond,https://lh6.googleusercontent.com/-86THLmVUVQ0/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjXvkIu2EXwCQ_GtQcthU_Gh2Pe_dA/w96-h96-p/photo.jpg,"January 27, 2018",https://play.google.com/store/apps/details?id=com.calm.android&reviewId=Z3A6QU9xcFRPRjJDNGRPZHQ5dklTanE2SkJTbkhUN0FpeE5heFJ0UGNuTFdzRjNVOWJGWnVaSnJ6Q2JCOExzUDBaQzRBRHlZMGF6R3dDNlRHXzRQaHBVX0E,5,,UPDATE... I've been using this app for over a year and it's just gets better. And it has made a difference in my life normally I use it first thing to start my day but sometimes if I need time out it's what I use. My stress levels are very low now... Thank you for the app   One of the best I have tried cannot decided on the yearly subscription would prefer a one-off payment. I did it yearly subscription unlocks so much more. Life is a lot better for mediation and this app is brilliant at getting me to that every day.,undefined,undefined
gp:AOqpTOG3yaGlui_31vLNs-ikA7AmpTEPN7e86vYOLMLOWb5QMPjF7sgpY3P5UyxLiZ1C3u6hLOVIsfbHiedXLQ,Kathy Hedrick,https://lh3.googleusercontent.com/-8F1_QME7qT8/AAAAAAAAAAI/AAAAAAAAFYg/gu6rvUK6AZU/w96-h96-p/photo.jpg,"February 1, 2018",https://play.google.com/store/apps/details?id=com.calm.android&reviewId=Z3A6QU9xcFRPRzN5YUdsdWlfMzF2TE5zLWlrQTdBbXBURVBON2U4NnZZT0xNTE9XYjVRTVBqRjdzZ3BZM1A1VXl4TGlaMUMzdTZoTE9WSXNmYkhpZWRYTFE,3,,"I think this is a very nice app. Sadly 90% of what's offered , you have to purchase. I tried multiple ""free"" meditations only to come back for day 2 and discover they were now locked and I was redirected to a page that said I now had to pay for it, even though the day before it was free. The fee for the subscription content offered is too high. After listening to the multiple meditations I was actually able to listen to (for a day) they all began to sound the same. Excellent idea for an app but needs more variety.",undefined,undefined
gp:AOqpTOFMJ8_GB_t9N8a5H0W28iKtDlaBJdvh-uIx2Tx9ku_rZAfNSkfuH6t8oZKhbD6rl31xy-HaMBKKtVMS1Q,Christina Howell,https://lh5.googleusercontent.com/-dLLaAFGwyQk/AAAAAAAAAAI/AAAAAAABibQ/AlCipDPq5AU/w96-h96-p/photo.jpg,"January 25, 2018",https://play.google.com/store/apps/details?id=com.calm.android&reviewId=Z3A6QU9xcFRPRk1KOF9HQl90OU44YTVIMFcyOGlLdERsYUJKZHZoLXVJeDJUeDlrdV9yWkFmTlNrZnVINnQ4b1pLaGJENnJsMzF4eS1IYU1CS0t0Vk1TMVE,5,,"I've been using this app pretty much daily for nearly a year. I feel this app has helped me become a calmer person. I love that I can choose different meditations for a surprising number of different moods. The voice is always the same person and is very soothing and the messages imparted are clear and insightful. It's a little more expensive to subscribe than I was expecting, but ultimately worth it.",undefined,undefined
gp:AOqpTOHpWf5pFJveO9KHDUqNUpJii7UorVS3tdFl7xRsFJbKC9y0OHemz2m3cRugwpEODhVZD6T-J-vJKXPqEQ,Nicholas Costa,https://lh5.googleusercontent.com/-eqYoCid5r5A/AAAAAAAAAAI/AAAAAAAAnto/DDg8KfW_A7A/w96-h96-p/photo.jpg,"January 28, 2018",https://play.google.com/store/apps/details?id=com.calm.android&reviewId=Z3A6QU9xcFRPSHBXZjVwRkp2ZU85S0hEVXFOVXBKaWk3VW9yVlMzdGRGbDd4UnNGSmJLQzl5ME9IZW16Mm0zY1J1Z3dwRU9EaFZaRDZULUotdkpLWFBxRVE,1,,"Fix the open ended meditation! It did not work at all! Love the app, however the open ended meditation with the bells needs to be fixed. The open ended meditation is more broken than I thought. There's no rhyme or reason as to why it randomly stops working in the middle of a session. I have tried everything. Leaving the screen on, turning off do not disturb and using headphones but it still works inconsistently. Please fix this!",undefined,undefined
gp:AOqpTOHBo4LMIS4MSTkkrrWQyNywC0njnkrBocAw19Rcobtn-HP2R-ltHXBJRLYFlCSkZeQjLUht190nq_lAzw,,https://lh5.googleusercontent.com/-1hN-IUAVwJI/AAAAAAAAAAI/AAAAAAAAAAA/SooamMKFpIA/w96-h96-p/photo.jpg,"February 3, 2018",https://play.google.com/store/apps/details?id=com.calm.android&reviewId=Z3A6QU9xcFRPSEJvNExNSVM0TVNUa2tycldReU55d0Mwbmpua3JCb2NBdzE5UmNvYnRuLUhQMlItbHRIWEJKUkxZRmxDU2taZVFqTFVodDE5MG5xX2xBenc,5,,"A large variety of lesson topics available! Lessons for focus, sleep, gratitude, happiness, calm, relationships, and soooo much more! Or you can listen to stories for sleep, follow a guided meditation, listen to a master class, listen to your choice (of many!) of ambient noise, listen to music to help focus or relax. This app is so comprehensive, it would be surprising if you didn't find something in here to enhance your well-being.",undefined,undefined
gp:AOqpTOG4YTcCAvkXuE_x7HRYuVyJHt9R6NESQRVlfRv3XOvLSBV6ipGgteyAOc-KPPYQYTHRVa13QJfeeps7KA,Kristen Estes,https://lh6.googleusercontent.com/-9gsBuXx7yNY/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjXxFd9kb_rZZzMKuRPmeB8qjB8XIQ/w96-h96-p/photo.jpg,"January 28, 2018",https://play.google.com/store/apps/details?id=com.calm.android&reviewId=Z3A6QU9xcFRPRzRZVGNDQXZrWHVFX3g3SFJZdVZ5Skh0OVI2TkVTUVJWbGZSdjNYT3ZMU0JWNmlwR2d0ZXlBT2MtS1BQWVFZVEhSVmExM1FKZmVlcHM3S0E,5,,"Previously was a wonderful app. Overnight with an update, the meditations I frequently used are now paid only - they were free for years. Due to the overnight change I am retracting my 5 star rating and replacing it with a 1 star rating. Instead of buying the app, I will search for others. This is everything I had wanted",undefined,undefined
gp:AOqpTOF_KpjUbqpS4kWEf56XOZWwDYHlMe1iZtsXx4K6lE_y5C6VkTSEZQZYAvuWExj2PX7ED1se6-E4scfVkw,Ben Kampler,https://lh4.googleusercontent.com/-Z--FqHm_2tE/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjWYqQMTlNFEOxNNGPPeMK_LDlDQdg/w96-h96-p/photo.jpg,"January 28, 2018",https://play.google.com/store/apps/details?id=com.calm.android&reviewId=Z3A6QU9xcFRPRl9LcGpVYnFwUzRrV0VmNTZYT1pXd0RZSGxNZTFpWnRzWHg0SzZsRV95NUM2VmtUU0VaUVpZQXZ1V0V4ajJQWDdFRDFzZTYtRTRzY2ZWa3c,1,,"Used to be great and they had a few basic guided meditations for free, now everything's behind a pay all including the stuff that used to be free. Luckily the tracks were just audio files that I managed to extract and can play on an audio app. Will probably delete the app soon if content remains behind a pay wall.",undefined,undefined
gp:AOqpTOG2dV2XUZyTCZbhuJpX_CVzRrD7LGeCnM9Cpi0s_KtuYiGQcRy5F2JvKEtk9wqEpe7i9JtQR7mXuzjfFA,,https://lh6.googleusercontent.com/-1ObGRNJKM_0/AAAAAAAAAAI/AAAAAAAAAAA/i5v9HOLM18A/w96-h96-p/photo.jpg,"January 27, 2018",https://play.google.com/store/apps/details?id=com.calm.android&reviewId=Z3A6QU9xcFRPRzJkVjJYVVp5VENaYmh1SnBYX0NWelJyRDdMR2VDbk05Q3BpMHNfS3R1WWlHUWNSeTVGMkp2S0V0azl3cUVwZTdpOUp0UVI3bVh1empmRkE,2,,"I used to LOVE this app. I've been using it for years and had grown quite addicted to it. However, this last update has changed all my favorite meditations routines to PAID ONLY. They used to be free (for years) but overnight suddenly we have to pay.  Guess what? Your scheme had the opposite effect on me, I'm going to find another app rather than pay you for what used to be free.",undefined,undefined
gp:AOqpTOHFfpYDFl5dmGm9eh1Spvr9PlbOH6y3oaIp5czzZF0HHiPpP4gzMYJi8cVTsJW8f9xDKTeWRBKLX5Fntg,D. Travis North,https://lh5.googleusercontent.com/-CB7NuKk9Evw/AAAAAAAAAAI/AAAAAAAAAho/asE5CjY2-KA/w96-h96-p/photo.jpg,"January 23, 2018",https://play.google.com/store/apps/details?id=com.calm.android&reviewId=Z3A6QU9xcFRPSEZmcFlERmw1ZG1HbTllaDFTcHZyOVBsYk9INnkzb2FJcDVjenpaRjBISGlQcFA0Z3pNWUppOGNWVHNKVzhmOXhES1RlV1JCS0xYNUZudGc,5,,Meditation had become a part of my daily routine.  Calm helps me every day.  Some of the sessions bother me because the older sessions have a somewhat harsh voice.  But all of the newer modules with the newer voice is much more soothing.  Edit: seems like they are phasing out the older sessions.  I love the new open ended sessions as well.,undefined,undefined
gp:AOqpTOF6nKKdxd01MlhWBfEl_HouYHXj5PZd7yBSAq3S9uYzY6wxiNEsnLmekZ2XZwRabomq4OJPHhYGJpBNqQ,Amanda Maciel,https://lh5.googleusercontent.com/-CAM0aGaD-Nw/AAAAAAAAAAI/AAAAAAAArQ4/feyuKdoEr54/w96-h96-p/photo.jpg,"February 1, 2018",https://play.google.com/store/apps/details?id=com.calm.android&reviewId=Z3A6QU9xcFRPRjZuS0tkeGQwMU1saFdCZkVsX0hvdVlIWGo1UFpkN3lCU0FxM1M5dVl6WTZ3eGlORXNuTG1la1oyWFp3UmFib21xNE9KUEhoWUdKcEJOcVE,1,,I used to love this app. All my favorite meditations were free but now they're all suddenly paid. Seems like they're trying to convert most to paid and put limitations of whatever free stuff that is left over. I can't afford another subscription service. I'm going to look for a new app.,undefined,undefined
