id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOHuX1miDXfzkPea8F41pYAegS-dSwsQ8lqLeXS_K7fiUymyGfCStrKaKJdPI-NRfjVPbDGhQnPRS_MPfGo,Deanna Watson,https://lh6.googleusercontent.com/-03Cr_cJsoUE/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjXfFhUpNSQIUgZy1BWQt5J1M7N9Cw/w96-h96-p/photo.jpg,"February 3, 2018",https://play.google.com/store/apps/details?id=com.surfcityapps.endanxiety&reviewId=Z3A6QU9xcFRPSHVYMW1pRFhmemtQZWE4RjQxcFlBZWdTLWRTd3NROGxxTGVYU19LN2ZpVXlteUdmQ1N0ckthS0pkUEktTlJmalZQYkRHaFFuUFJTX01QZkdv,5,,I listed to this app for the first time and it scared me because I actually went into a trans... But what I saw when I did go... Help me see why I'm going through anxiety.. Wonderful app...,undefined,undefined
gp:AOqpTOHUAa2FW1dvwBnrjmtwxKN7RjKisI_LBNzcw8W2Jg1ZXC1Qt0gnY4S8fkBckKqlaurcifYdU5Nm0U_zEcY,Tiffany Roberson,https://lh3.googleusercontent.com/-SEZX62JvuNk/AAAAAAAAAAI/AAAAAAAABLI/-FQq8aiY2MU/w96-h96-p/photo.jpg,"January 30, 2018",https://play.google.com/store/apps/details?id=com.surfcityapps.endanxiety&reviewId=Z3A6QU9xcFRPSFVBYTJGVzFkdndCbnJqbXR3eEtON1JqS2lzSV9MQk56Y3c4VzJKZzFaWEMxUXQwZ25ZNFM4ZmtCY2tLcWxhdXJjaWZZZFU1Tm0wVV96RWNZ,4,,Great app to help fall asleep as well as relieve anxiety.... Would be 5 stars if it had more music choices and maybe different voice settings,undefined,undefined
gp:AOqpTOHtJeN63EbjOa7CyCXsKZD_kvRY_zLuzdHdBhnf5deEBn1Pg1p2po2PVXZpJ58G2z0GmqlOmmGCozkJ7MY,Adrian Rockliff,https://lh4.googleusercontent.com/-3rtPP4DG1Xk/AAAAAAAAAAI/AAAAAAAAACY/J7vyHhAJYgA/w96-h96-p/photo.jpg,"January 29, 2018",https://play.google.com/store/apps/details?id=com.surfcityapps.endanxiety&reviewId=Z3A6QU9xcFRPSHRKZU42M0Viak9hN0N5Q1hzS1pEX2t2Ullfekx1emRIZEJobmY1ZGVFQm4xUGcxcDJwbzJQVlhacEo1OEcyejBHbXFsT21tR0NvemtKN01Z,5,,Super I love it.,undefined,undefined
gp:AOqpTOGkfMsMJ8g0idJLB_pYoQzpWBkoCTzb8i43Szj7b_yqCEktzzydRrstOJpKxMK4dJbrcrWl_Ng3zU2zLRI,,https://lh3.googleusercontent.com/-a5BxfutVATs/AAAAAAAAAAI/AAAAAAAAAAA/bEMaeOndRuU/w96-h96-p/photo.jpg,"January 27, 2018",https://play.google.com/store/apps/details?id=com.surfcityapps.endanxiety&reviewId=Z3A6QU9xcFRPR2tmTXNNSjhnMGlkSkxCX3BZb1F6cFdCa29DVHpiOGk0M1N6ajdiX3lxQ0VrdHp6eWRScnN0T0pwS3hNSzRkSmJyY3JXbF9OZzN6VTJ6TFJJ,5,,Absolutely fantastic love it,undefined,undefined
gp:AOqpTOFUvnywD4Z1BEW9dD6vs53egCtY2YuvKE_rX4-JuKr4UJ3FqPRdvSperYjUYLeXKHjW7fYOatykqUuQ1kc,Alex Rhynd,https://lh4.googleusercontent.com/-k5SC1sfKDeQ/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUh-3hBZB47da8Nq52VuI-SY9IRug/w96-h96-p/photo.jpg,"February 4, 2018",https://play.google.com/store/apps/details?id=com.surfcityapps.endanxiety&reviewId=Z3A6QU9xcFRPRlV2bnl3RDRaMUJFVzlkRDZ2czUzZWdDdFkyWXV2S0Vfclg0LUp1S3I0VUozRnFQUmR2U3BlcllqVVlMZVhLSGpXN2ZZT2F0eWtxVXVRMWtj,4,,Great app,undefined,undefined
gp:AOqpTOHXwLHWBLVG3h1qpQaPdLaQguNLf14z5EJD9QOznRn9lZNagkeRdiyINDPfwdqldtT-8plWnG68UAKrHr0,Wan Norli Wan Mokhtar,https://lh4.googleusercontent.com/-N79PlwRdyIk/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUQVZkPiW7qYPbhsL0IiFluDeCmuA/w96-h96-p/photo.jpg,"January 18, 2018",https://play.google.com/store/apps/details?id=com.surfcityapps.endanxiety&reviewId=Z3A6QU9xcFRPSFh3TEhXQkxWRzNoMXFwUWFQZExhUWd1TkxmMTR6NUVKRDlRT3puUm45bFpOYWdrZVJkaXlJTkRQZndkcWxkdFQtOHBsV25HNjhVQUtySHIw,5,,"Use it every morning before I start the day. Set my tone for the day relaxed. Not a magic cure for my anxiety but I find that if I put it on during the day when my anxiety is in full gear, it helps me refocus.",undefined,undefined
gp:AOqpTOEOQU5hURz_wnVuvwctLZ0FZ6ZRYOjfHJ9Vr1HgWQ07TkxPrQOrsOemN6HFLV2P6Hc9XIh0yl7bP_sijT0,Owls 4Days,https://lh6.googleusercontent.com/-4IAGYqI4R2o/AAAAAAAAAAI/AAAAAAAAAHQ/9-1bJLnA884/w96-h96-p/photo.jpg,"January 21, 2018",https://play.google.com/store/apps/details?id=com.surfcityapps.endanxiety&reviewId=Z3A6QU9xcFRPRU9RVTVoVVJ6X3duVnV2d2N0TFowRlo2WlJZT2pmSEo5VnIxSGdXUTA3VGt4UHJRT3JzT2VtTjZIRkxWMlA2SGM5WEloMHlsN2JQX3NpalQw,5,,"It has helped me a lot. Play it when I'm anxious and it does wonders, at first thought it was silly but it does work!",undefined,undefined
gp:AOqpTOHP2MlI0z7K0e73AUTs228Whg9zmxge7M0_uDiZWz7C2gRBdBefyLwumFegWak0bgEJl0hDSyOJc7wZXow,Jason Jeffries,https://lh5.googleusercontent.com/-Yk0P0KoIllA/AAAAAAAAAAI/AAAAAAAAABE/mgXCvR1x8gk/w96-h96-p/photo.jpg,"January 17, 2018",https://play.google.com/store/apps/details?id=com.surfcityapps.endanxiety&reviewId=Z3A6QU9xcFRPSFAyTWxJMHo3SzBlNzNBVVRzMjI4V2hnOXpteGdlN00wX3VEaVpXejdDMmdSQmRCZWZ5THd1bUZlZ1dhazBiZ0VKbDBoRFN5T0pjN3daWG93,1,,Norh8ng is ever free fa-q,undefined,undefined
gp:AOqpTOHZ6RlNxOgKswsq528A5KcUi90SCqeSVTlrF1c1zvhlD_ZCwzHtScgOeNlnnO0Ck99dP4ToXBjQ6mN2EEA,Neil Roberts,https://lh6.googleusercontent.com/-Th7WAdFDiUo/AAAAAAAAAAI/AAAAAAAAAC0/xikp5tFeBVo/w96-h96-p/photo.jpg,"January 17, 2018",https://play.google.com/store/apps/details?id=com.surfcityapps.endanxiety&reviewId=Z3A6QU9xcFRPSFo2UmxOeE9nS3N3c3E1MjhBNUtjVWk5MFNDcWVTVlRsckYxYzF6dmhsRF9aQ3d6SHRTY2dPZU5sbm5PMENrOTlkUDRUb1hCalE2bU4yRUVB,5,,Briiliant.  Works for me every time!,undefined,undefined
gp:AOqpTOGcoDWtYhHi1PEpkiyFLw1HzMIpliVtw6up5LEdlHD5RVpbxvQ0Pl5beXJLXQBH50VOkSEnRooAMkkLP40,Meredith Hue,https://lh6.googleusercontent.com/-RGsrEHxuRrA/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVvffw49DXsZYffm6YsFdbvzwZixQ/w96-h96-p/photo.jpg,"January 28, 2018",https://play.google.com/store/apps/details?id=com.surfcityapps.endanxiety&reviewId=Z3A6QU9xcFRPR2NvRFd0WWhIaTFQRXBraXlGTHcxSHpNSXBsaVZ0dzZ1cDVMRWRsSEQ1UlZwYnh2UTBQbDViZVhKTFhRQkg1MFZPa1NFblJvb0FNa2tMUDQw,5,,Fantastic for calming myself and getting a good night's sleep,undefined,undefined
