id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOFKZ4TGOWGca3J2C6_5zxOJ2KULjheWHkmodPqN-3NoQWtU3dmzogOB483ArE7r9Wpe3OqHhp-rVmyXP9k,Morgan Bolton,https://lh6.googleusercontent.com/-4q1CGbxJunA/AAAAAAAAAAI/AAAAAAAADHw/5dL0U8epbHg/w96-h96-p/photo.jpg,"February 5, 2018",https://play.google.com/store/apps/details?id=com.getsomeheadspace.android&reviewId=Z3A6QU9xcFRPRktaNFRHT1dHY2EzSjJDNl81enhPSjJLVUxqaGVXSGttb2RQcU4tM05vUVd0VTNkbXpvZ09CNDgzQXJFN3I5V3BlM09xSGhwLXJWbXlYUDlr,5,,"Used this and it helped a lot, 👍❤️",undefined,undefined
gp:AOqpTOFolm96aHbVtiXqCCSMv5CWC8Pg0Rww7TzlN5MGfjvKx1xhizpgKtnKJ6I7Jm1qTWTfWUYi34Ji11Ae2pI,Kat Turner,https://lh4.googleusercontent.com/-03ziSNe43gs/AAAAAAAAAAI/AAAAAAAAAhs/KcnPyXcL2rw/w96-h96-p/photo.jpg,"January 30, 2018",https://play.google.com/store/apps/details?id=com.getsomeheadspace.android&reviewId=Z3A6QU9xcFRPRm9sbTk2YUhiVnRpWHFDQ1NNdjVDV0M4UGcwUnd3N1R6bE41TUdmanZLeDF4aGl6cGdLdG5LSjZJN0ptMXFUV1RmV1VZaTM0SmkxMUFlMnBJ,3,,It's a great app for beginners. It's a bit reduntant for anyone who has ever meditated before.  It seems like a subscription would help combat that providing a fuller experience but not having a way to know beforehand does shy me away from wanting to purchase it. The quality of the app is great! I just wish there was not the assumption that the user has never meditated before it seems like it would be a nice way to get in daily meditations when I am feeling like doing guided meditations.,undefined,undefined
gp:AOqpTOEpdQ003xiq9fQIOvSciG9IwgTrfpVce9C3ZZm9X9kM9v14jVvOhcfdQEacQ7sfEazBYNCLzLreL0ErYXw,,https://lh3.googleusercontent.com/-eqnBfiXySXQ/AAAAAAAAAAI/AAAAAAAAATs/Vxn8_H3HqBQ/w96-h96-p/photo.jpg,"January 25, 2018",https://play.google.com/store/apps/details?id=com.getsomeheadspace.android&reviewId=Z3A6QU9xcFRPRXBkUTAwM3hpcTlmUUlPdlNjaUc5SXdnVHJmcFZjZTlDM1pabTlYOWtNOXYxNGpWdk9oY2ZkUUVhY1E3c2ZFYXpCWU5DTHpMcmVMMEVyWVh3,2,,"My first google play review. I liked the idea and there is a lot effort for sure but i didnt like it. There is something i didnt  especially  like about the voice. Just doesnt make me feel like i am meditating but rather makes me feel like i am having a daily conversation with a friend at a pub. I paid almost $17, whihc i found a little too much for just trying out I think if you guys are really trust what you are doing there should be more free stuff at the beginning or at least the first month for trial should be way more cheaper. Will definetely not renew my subscription.",undefined,undefined
gp:AOqpTOG-8GmTITVL9YfKxFdhg54A0wqGlVZIuHHuCcNVQqDRUyYpGjwEiuzxIvl0f4uTgvWzgheF8TkgAOAM20c,Johan van Zijl,https://lh5.googleusercontent.com/-dQCI5ulSDg4/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjX4p4GE7_SApdWmLN7ox0f9PdDWgQ/w96-h96-p/photo.jpg,"January 22, 2018",https://play.google.com/store/apps/details?id=com.getsomeheadspace.android&reviewId=Z3A6QU9xcFRPRy04R21USVRWTDlZZkt4RmRoZzU0QTB3cUdsVlpJdUhIdUNjTlZRcURSVXlZcEdqd0VpdXp4SXZsMGY0dVRndld6Z2hlRjhUa2dBT0FNMjBj,5,,"Bravo. Just... Bravo. In a day and age where nobody can live without their phone and in an era of lacking mental awareness and health, this project is a godsend. Although I don't like the subscription wall, that's just me being poor and jealous, because I honestly want every morsel this packet of peace has to offer. Maybe when I can actually afford it.😅 But I digress. Well done. To all of you. To the animators, the designers, the marketers and the programmers. Well done indeed. PS Andy, your voice is marvelous.",undefined,undefined
gp:AOqpTOEMSVWQ4LdjeeuMO1vZzpIZ4qBzDGalB_aDfBnu-21ZBjC_vcAQ6jSC_BGtuZXcEKn_f51_bkRxVkVaQZI,Todd Bonar,https://lh4.googleusercontent.com/-LR7plXKKuW0/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUO40tCyDfm4WfxWAg7ypTpAGHmjw/w96-h96-p/photo.jpg,"January 29, 2018",https://play.google.com/store/apps/details?id=com.getsomeheadspace.android&reviewId=Z3A6QU9xcFRPRU1TVldRNExkamVldU1PMXZaenBJWjRxQnpER2FsQl9hRGZCbnUtMjFaQmpDX3ZjQVE2alNDX0JHdHVaWGNFS25fZjUxX2JrUnhWa1ZhUVpJ,3,,I thought this app was amazing at first. Its was really beginning to help me with my anxiety and depression.  But as soon as you get to the point of making progress. You are forced to pay $12-18 To continue. I can't afford that as In have overwhelming medical bills as it is. So I feel like I wasted my valuable time and would not recommend this app you anyone after realizing there is a catch. Please put ads in it of something to make it free so you can actually help people like you say you was to,undefined,undefined
gp:AOqpTOF28v-1_UmIpZqw-dpTsvdLObfdPZdaXmAVyzryGCyEFOgAFWFFUXVTuySf6_VIaZ0J7HraKuXgoeuIWss,,https://lh4.googleusercontent.com/-iFd-sPW1J1s/AAAAAAAAAAI/AAAAAAAAAAA/Z3SgmA-EkrQ/w96-h96-p/photo.jpg,"February 1, 2018",https://play.google.com/store/apps/details?id=com.getsomeheadspace.android&reviewId=Z3A6QU9xcFRPRjI4di0xX1VtSXBacXctZHBUc3ZkTE9iZmRQWmRhWG1BVnl6cnlHQ3lFRk9nQUZXRkZVWFZUdXlTZjZfVklhWjBKN0hyYUt1WGdvZXVJV3Nz,5,,"I struggle with mindfulness vs a wandering mind that never shuts up and I find these meditations both soothing to my mind and energizing to my body. There are different lengths of time and multiple centers of focus to choose from. There is so much content in this app with more being added that it is definitely worth the price if you are committed to the practice...you have to actually practice to feel the benefits. The narrator is knowledgeable, relatable, and effective as both a meditation guide and teacher. It doesn't feel like a soothing siri is talking at you but rather like someone is actually guiding you through the meditation, as it should be.",undefined,undefined
gp:AOqpTOHMRmb6Uycjzp2cMkudAA3kDTG0lrWYG6sBxfxAZLSIrgdz7kIJN86tZveNhs3BSvNkg1-rLdiAr7B-5ZQ,,https://lh5.googleusercontent.com/-2G0On5AQpq8/AAAAAAAAAAI/AAAAAAAAAAA/yJcIAIeGEa4/w96-h96-p/photo.jpg,"January 31, 2018",https://play.google.com/store/apps/details?id=com.getsomeheadspace.android&reviewId=Z3A6QU9xcFRPSE1SbWI2VXljanpwMmNNa3VkQUEza0RURzBscldZRzZzQnhmeEFaTFNJcmdkejdrSUpOODZ0WnZlTmhzM0JTdk5rZzEtckxkaUFyN0ItNVpR,4,,"Great for keeping you meditating. Having issues with downloading content for offline use. Third time reinstalling because I want to use the pain management pack offline. A frustrating, counterproductive, dfeats the purpose of the app. I would have given a very rare five star rating if not for the offline issue.","February 1, 2018","Hi there,

Sorry you're having some trouble! Please reach out to us at help@headspace.com at your convenience. We'd be happy to look into this for you and get things working properly again.

Hope to hear from you soon!

Best,
Kateland, HQ"
gp:AOqpTOEOcJh20wZ4_CxqZGPeckogT8dSi7Hs1yT1N8uxLNRYpoTXkhMLrHz_9kQ2lsFeWmXouaCReVTbyqniNks,Lajtai Levente,https://lh5.googleusercontent.com/-2mG8eWCxAfU/AAAAAAAAAAI/AAAAAAAACRs/IlAyNWqeCVw/w96-h96-p/photo.jpg,"February 1, 2018",https://play.google.com/store/apps/details?id=com.getsomeheadspace.android&reviewId=Z3A6QU9xcFRPRU9jSmgyMHdaNF9DeHFaR1BlY2tvZ1Q4ZFNpN0hzMXlUMU44dXhMTlJZcG9UWGtoTUxySHpfOWtRMmxzRmVXbVhvdWFDUmVWVGJ5cW5pTmtz,4,,"SECOND TRY: I downloaded it again, and this time it worked perfectly immediately! It's a shame the application is subscription based, but it is still quite good! FIRST TRY: Could not update singles or packs, so I could not use it at all. Fix this issue and I'll give it another try.","January 31, 2018","Hi Lajtai,

Sorry you're having some trouble! Please reach out to us at help@headspace.com at your convenience. We'd be happy to look into this for you and get things working properly again.

Hope to hear from you soon!

Best,
Kateland, HQ"
gp:AOqpTOFjAuU26UpFvsJq2HvRdNL-oY7yHgyq90MO7iJyVXBIfGhjNRtdqkTT_qubyPeOL_5h7_eRoengP6JRHig,Xavier Tan,https://lh5.googleusercontent.com/-sRVK8rdRcGk/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVFAEXMl98ovYUmmT3ZLa_C8lIpog/w96-h96-p/photo.jpg,"February 1, 2018",https://play.google.com/store/apps/details?id=com.getsomeheadspace.android&reviewId=Z3A6QU9xcFRPRmpBdVUyNlVwRnZzSnEySHZSZE5MLW9ZN3lIZ3lxOTBNTzdpSnlWWEJJZkdoak5SdGRxa1RUX3F1YnlQZU9MXzVoN19lUm9lbmdQNkpSSGln,5,,This app helps me get over my breakup pain. My chest hurts for like a month and no amount of advise online can help me get over my breakup.  I discovered this app and decided to give the basics a try. I like it so much that i have subscribed for a full year.,undefined,undefined
gp:AOqpTOEFr1vF6odZUL9WMTbMGF7xVlnnUOGd6eGjX4eIrRagp_roNWQcVeIQnC9xsH9utNS-jSQfH19TocksehU,Akshay Arsude,https://lh5.googleusercontent.com/-hkIoPfEJkWU/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVDACKqRRM1QgpRXsIa7c7On-mxjQ/w96-h96-p/photo.jpg,"January 29, 2018",https://play.google.com/store/apps/details?id=com.getsomeheadspace.android&reviewId=Z3A6QU9xcFRPRUZyMXZGNm9kWlVMOVdNVGJNR0Y3eFZsbm5VT0dkNmVHalg0ZUlyUmFncF9yb05XUWNWZUlRbkM5eHNIOXV0TlMtalNRZkgxOVRvY2tzZWhV,5,,"Hey headspace, great app... i am using this app for couple of day and i feel different.. i feel more relaxed,focused.... one more thing guys can you make this app for hindi (Indian) people.. it will be very helpful... And we need it... thank u headspace",undefined,undefined
