id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOEoMCgPNX4zzCPDVBV7BS3uK9s4eo_0G4YpGQDgLA3Y9VN4LdJ-QP9ALJpyv1YaJUrJVbafCdPEJ2aY55w,Ann Dwyer,https://lh3.googleusercontent.com/-s7giVN4vUYo/AAAAAAAAAAI/AAAAAAAAAWE/eSBG-6eSNJg/w96-h96-p/photo.jpg,"September 16, 2017",https://play.google.com/store/apps/details?id=com.abdula.pranabreath&reviewId=Z3A6QU9xcFRPRW9NQ2dQTlg0enpDUERWQlY3QlMzdUs5czRlb18wRzRZcEdRRGdMQTNZOVZONExkSi1RUDlBTEpweXYxWWFKVXJKVmJhZkNkUEVKMmFZNTV3,5,,"I have really grown to love this app. I even upgraded to the paid version and it has been well worth it. The choices in breathing techniques are amazing. There's even exercises for singers. I just recently discovered the breathing tests so now I can see my improvements. Most importantly, I used this app to stop a panic attack. I was in a bad state and not even sure it would help, but I tried it. It didn't work right away, but within 5 minutes, I was calmer and able to focus on what I needed to. Do I thank you for giving me control any time, anywhere.","September 25, 2017","Ann, we're so glad the app help you, that's what it was created for! Thanks for your review and have a great time practicing!"
gp:AOqpTOHKyXwKXRIu9en-pT4Wccw5fWlzX7jCXUgwtjqQ1iVx4cdcfX5ZYsLe2Zqy9cFpKoqC3FYGd_7hd60gTLg,,https://lh3.googleusercontent.com/-JGhAPdmZufo/AAAAAAAAAAI/AAAAAAAAAAA/t1JPsiHuawI/w96-h96-p/photo.jpg,"October 29, 2017",https://play.google.com/store/apps/details?id=com.abdula.pranabreath&reviewId=Z3A6QU9xcFRPSEt5WHdLWFJJdTllbi1wVDRXY2N3NWZXbHpYN2pDWFVnd3RqcVExaVZ4NGNkY2ZYNVpZc0xlMlpxeTljRnBLb3FDM0ZZR2RfN2hkNjBnVExn,4,,"Practical. Simple and complicated. This app is capable of a lot of customization. I understand how I can customize it, but I lack the knowledge of the ideal settings for my needs. I wish there was brief clear information about the best ratios and how altering them may impact your practice. I'm a newbie to this and would like to change breath ratios but I'm not clear on if this is a good idea based on my needs.","October 31, 2017",There are lots of info that can help you to adjust your trainings on our wiki. I recommend you to start from this article: http://pranabreath.info/wiki/index.php/Training_complexity
gp:AOqpTOELVqE6ie5FNuHT9wjdT5vCAo6vYc4g8XP9SsClybQeB5k3eDh42VTqsFsz439YEVX1R_-a80ao2SUU5fE,Arun Chandra,https://lh5.googleusercontent.com/-0lHKSkJcx8Y/AAAAAAAAAAI/AAAAAAAACAA/fNZZsUEqSwQ/w96-h96-p/photo.jpg,"January 18, 2018",https://play.google.com/store/apps/details?id=com.abdula.pranabreath&reviewId=Z3A6QU9xcFRPRUxWcUU2aWU1Rk51SFQ5d2pkVDV2Q0FvNnZZYzRnOFhQOVNzQ2x5YlFlQjVrM2VEaDQyVlRxc0ZzejQzOVlFVlgxUl8tYTgwYW8yU1VVNWZF,5,,"Amazing!!! The level of customisation is simply superb. Clearly the developer has given a very deep thought in making this app. The wiki page of the app is highly informative. I am deeply impressed and bought the Guru Version, it is a great value for money. One last thing, this app must be chosen as ""Editor's Choice"" in Health Category.","January 21, 2018","Arun, thank you very much! Wish one day it will come true!"
gp:AOqpTOFObvU62W_fRnabrgdiY_ziHV37r7aiezar2Ns7dkLUWsGPTHnN6eNG42TnW4QDlYM8CxXhPzWrUNa_-aU,Jennifer Cuozzo,https://lh3.googleusercontent.com/-Y4ExjZocodo/AAAAAAAAAAI/AAAAAAAAAZQ/TxKyYhItDDI/w96-h96-p/photo.jpg,"June 22, 2017",https://play.google.com/store/apps/details?id=com.abdula.pranabreath&reviewId=Z3A6QU9xcFRPRk9idlU2MldfZlJuYWJyZ2RpWV96aUhWMzdyN2FpZXphcjJOczdka0xVV3NHUFRIbk42ZU5HNDJUblc0UURsWU04Q3hYaFB6V3JVTmFfLWFV,4,,"I like the idea of this app, but I am not able to successfully navigate the options and offerings. I find no explanations , just the graphics I don't comprehend. I follow the breathing technic and find the focus is compelling but the pacing is faster than I am really comfortable with and I am not in a natural rhythm.  Thank you for creating the app and I am sure my thoughts shared here are in the minority. jc","June 26, 2017","Jennifer, that's why we have FAQ section, as well as detailed wiki. So you can find lots of helpful info here: http://pranabreath.info/wiki/index.php/Prana_Breath_Wiki
And about the pace, make sure you choose the right training complexity: http://pranabreath.info/wiki/index.php/Training_complexity"
gp:AOqpTOGFkgrX_5ebbLey9CU12Hk7FGgyGWFy_tB97zfmAK9qjQgGu5OliQIx_4gdc5w9MOd3pg_noK51Fri6V54,Angela West,https://lh6.googleusercontent.com/-2FSpUYWpt9E/AAAAAAAAAAI/AAAAAAAAADE/Hz-B9l-FCzI/w96-h96-p/photo.jpg,"August 8, 2017",https://play.google.com/store/apps/details?id=com.abdula.pranabreath&reviewId=Z3A6QU9xcFRPR0ZrZ3JYXzVlYmJMZXk5Q1UxMkhrN0ZHZ3lHV0Z5X3RCOTd6Zm1BSzlxalFnR3U1T2xpUUl4XzRnZGM1dzlNT2QzcGdfbm9LNTFGcmk2VjU0,5,,"I loved this app so much that I got the paid version, and it's totally worth it. I'm currently using the planet theme, cat purr metronome, and the deep om transitions, and it is amazingly calming. It's great to use at work and before bedtime. As someone with major anxiety problems, this is exactly what I needed. Keep up the great work!","August 11, 2017","Angela, thank you very much for sharing your experience!"
gp:AOqpTOGb9dc-pS-_LNal0aBKS9EdttGDluJraFfsrTLnNxwRUAX9x8JOJ8HGdn6h6LqP5COsaIGt4unVsoSFCZw,Mike C,https://lh4.googleusercontent.com/-fne6iUAPVFY/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjXebZ1TFFOcmIwkHlKu2PahFXjPnw/w96-h96-p/photo.jpg,"December 2, 2017",https://play.google.com/store/apps/details?id=com.abdula.pranabreath&reviewId=Z3A6QU9xcFRPR2I5ZGMtcFMtX0xOYWwwYUJLUzlFZHR0R0RsdUpyYUZmc3JUTG5OeHdSVUFYOXg4Sk9KOEhHZG42aDZMcVA1Q09zYUlHdDR1blZzb1NGQ1p3,5,,Wonderful app. Works extremely well. Simple to use but lots of choices on breath flow. I use this every day. One thing. I don't need the premium features subscription but I do want to pay you a one off fee to say thanks. So can you add that option? Really impressed with this app. Thanks very much for creating it. Doing breathing exercises helps me so much to calm but also helps to prepare for meditation.,"December 5, 2017","Mike, thank you very much! 
Actually you can use ""Donate"" option within the app, or wait until I add PayPal donate option to our site (hopefully I'll do it soon)"
gp:AOqpTOFvn7LSF0otwavtaBaQKDBv2pUUlHCILKkiyE7GuItmbKPDVi4OYlvbUlkeTMfAhOS0v7TcZ9jLkiC-2HQ,Free Diver,https://lh3.googleusercontent.com/-e7BUrruuGTw/AAAAAAAAAAI/AAAAAAAAEiQ/q3A8y8YmsbM/w96-h96-p/photo.jpg,"November 1, 2017",https://play.google.com/store/apps/details?id=com.abdula.pranabreath&reviewId=Z3A6QU9xcFRPRnZuN0xTRjBvdHdhdnRhQmFRS0RCdjJwVVVsSENJTEtraXlFN0d1SXRtYktQRFZpNE9ZbHZiVWxrZVRNZkFoT1MwdjdUY1o5akxraUMtMkhR,5,,"Using it for two days, free version, like it... Wondering do I have to pass all exercises to pass training levels, for example I do not need anti smoking exercise... In first day of using the app I made a custom exercise...I am very satisfied 😊... 4 stars for limiting free version in tweaking 😉... Overall very good, I recommend this app for beginner meditator as well as experienced one 👍","November 10, 2017","Free Diver, thanks a lot!
No, there's no need to use all the patterns - you might even use just one and still have a progress. And here's why we have Guru version like that: http://pranabreath.info/wiki/index.php/Guru_version#Why_there_is_Guru_version_in_the_app"
gp:AOqpTOGfyW4JiJ5Dko4M7Z-JrIfXHO5Y49vKtO6mxcsrSB-XvfT7Iq4GiD9sySXcDLX40l8awlEkpSHFFh-z3nI,Bonnie Siu,https://lh3.googleusercontent.com/-k3cIOaea3yI/AAAAAAAAAAI/AAAAAAAARts/9_PNKhXE45I/w96-h96-p/photo.jpg,"August 31, 2017",https://play.google.com/store/apps/details?id=com.abdula.pranabreath&reviewId=Z3A6QU9xcFRPR2Z5VzRKaUo1RGtvNE03Wi1KcklmWEhPNVk0OXZLdE82bXhjc3JTQi1YdmZUN0lxNEdpRDlzeVNYY0RMWDQwbDhhd2xFa3BTSEZGaC16M25J,5,,"This app is easy,  effective,  simple and straight forward to use.   I use it first thing in the morning to stop anxiety attacks for PTSD instead of meds.  I set it to 15 mins Clear Mind, paces my breathing effortlessly.   Love Prana Breathing :D &lt;3","September 1, 2017","Bonnie, thank you very much!"
gp:AOqpTOEGNYi8KGedcIhXNMl4LUpfSJscEsdhazGolah6sim-ZChnMx5IVAxw7zuvTG-78JWTuQO7eSz-oLwBaak,,https://lh3.googleusercontent.com/-C5LgBJdy66g/AAAAAAAAAAI/AAAAAAAAAAA/QKIlJ9pgaQI/w96-h96-p/photo.jpg,"October 21, 2017",https://play.google.com/store/apps/details?id=com.abdula.pranabreath&reviewId=Z3A6QU9xcFRPRUdOWWk4S0dlZGNJaFhOTWw0TFVwZlNKc2NFc2RoYXpHb2xhaDZzaW0tWkNobk14NUlWQXh3N3p1dlRHLTc4SldUdVFPN2VTei1vTHdCYWFr,5,,Simple amazing! I had never considered training my breath but in just a few short sessions I saw a significant change in my jogging and paddling stamina. I use the Power cycle every morning before my workouts and this makes all the difference. I highly recommend this app!!! It might change your life😊👍,"October 30, 2017",Thank you very much!
gp:AOqpTOG3OSJYcOokZbMXhAn_xAnmZraEppzaMuYk3R6gCp-48-EcXkz63GmWNcJ_qjQ4jc0gH6SVvcssXrDHkbU,Daniel Lopez,https://lh3.googleusercontent.com/-Hs76-eFJTEw/AAAAAAAAAAI/AAAAAAAAWEo/f2bH0XOHIBc/w96-h96-p/photo.jpg,"July 6, 2017",https://play.google.com/store/apps/details?id=com.abdula.pranabreath&reviewId=Z3A6QU9xcFRPRzNPU0pZY09va1piTVhoQW5feEFubVpyYUVwcHphTXVZazNSNmdDcC00OC1FY1hrejYzR21XTmNKX3FqUTRqYzBnSDZTVnZjc3NYckRIa2JV,5,,"I need some help please. Any of the exercises somehow change the breathing pattern after it starts. For example, I start anti-appetite, it automatically does three patterns: inhale, exhale, and sustain. Then, in a cycle or two, the pattern changes to: inhale and exhale only. Am I doing something wrong? Is it suppose to change patterns? Thank you for the great work you guys do.","January 16, 2017","Daniel, thanks!
The thing you're experiencing is absolutely normal - it is called Dynamic mode of the training. It's very useful for gradual improvement in breathing gymnastics.
You can read more here: http://pranabreath.info/wiki/index.php/Dynamic_tab"
gp:AOqpTOH2pIxSockmp9dssQjU2sxnJ1Rt2pbBjbp8Y_wN7uO18jc44uOED7XGJTxTiZ8tLoTVctZyZNkiFYCKmRM,,https://lh5.googleusercontent.com/-Lvx3dglQd3k/AAAAAAAAAAI/AAAAAAAAAB8/hDyYjucGISY/w96-h96-p/photo.jpg,"July 5, 2017",https://play.google.com/store/apps/details?id=com.abdula.pranabreath&reviewId=Z3A6QU9xcFRPSDJwSXhTb2NrbXA5ZHNzUWpVMnN4bkoxUnQycGJCamJwOFlfd043dU8xOGpjNDR1T0VEN1hHSlR4VGlaOHRMb1RWY3RaeVpOa2lGWUNLbVJN,5,,"Great App, but Google Play has lost my reviews twice now... and as I'm in HDU unit of a hospital and in a lot of pain I'm not going to write it all again!! Sorry developers, you're doing a great job. Carry on ✅✅✅","July 18, 2017","Emmanuella, thank you! Get well soon!"
gp:AOqpTOGYSYvJeXCMInLthoGJakxXpwLRoDB12AettdexEqZR38DSBgq44fMFoDEo_fFEChvKqdDvDx8PmsiYi4U,Shalom Fisher,https://lh4.googleusercontent.com/-OHmKYisMz1E/AAAAAAAAAAI/AAAAAAAAACw/k-NV5a8KMew/w96-h96-p/photo.jpg,"August 10, 2017",https://play.google.com/store/apps/details?id=com.abdula.pranabreath&reviewId=Z3A6QU9xcFRPR1lTWXZKZVhDTUluTHRob0dKYWt4WHB3TFJvREIxMkFldHRkZXhFcVpSMzhEU0JncTQ0Zk1Gb0RFb19mRkVDaHZLcWREdkR4OFBtc2lZaTRV,5,,"This is the best breath app I could find after much research. It is programmable to a high degree and that is a huge plus, but also requires that one take time to do so. Having many options may complicate things for inexperienced app users. The only suggestion I have is to allow programming the preparation time as well so that one can have as much as a 30 minute delay before beginning the practice. Thanks for this excellent app and for making it awesome even free without upgrade... though I plan to do that simply to compensate the maker for such a great contribution!","August 11, 2017","Shalom, thanks for your detailed feedback!
Preparation time is now 10 sec maximum, as I doubt if anyone looks at the screen for that long before starting the breathing session. Anyway, you can set 2 reminders: 30 min before and right before the practice."
gp:AOqpTOEaM8kB8WmmT-9Kn-ptoGC-IbLepWcQpM1wI88EvQuAAY_FI8KCBlNr7vDh532zjFb4KG0-S4hhWTQvF50,Hannah Simons,https://lh4.googleusercontent.com/-9h038Msr0ek/AAAAAAAAAAI/AAAAAAAAASw/Z7zpiZYhAcw/w96-h96-p/photo.jpg,"July 28, 2017",https://play.google.com/store/apps/details?id=com.abdula.pranabreath&reviewId=Z3A6QU9xcFRPRWFNOGtCOFdtbVQtOUtuLXB0b0dDLUliTGVwV2NRcE0xd0k4OEV2UXVBQVlfRkk4S0NCbE5yN3ZEaDUzMnpqRmI0S0cwLVM0aGhXVFF2RjUw,5,,"I love this app and use it every day. I have M.E. and often find it hard to slow down my breathing. I use meditation practices to help me to rest and recover and after using some YouTube breathing exercises I wanted to find an app to help me to continue this practice. I tried a few breathing apps and this was by far the best. I like that you can tailor it to suit you, changing sounds, screen colours, and breath timings. The set up is a little confusing at first but I watched the video instructions and it clarifies everything. The sounds are unobtrusive and calming. I feel like I'm making real progress with this app in altering my default rapid breathing patterns. Its also really reasonably priced for a year's subscription. Thanks!","August 1, 2017","Hannah, thank you very much for your feedback! I'm glad you're developing a new healthy habit!"
gp:AOqpTOG8i5YP9JpPalHlC5xJ86K5sjYR3gXkd7GGttwAxc9WE7CNZQsAgCGFa_w_NN3Ixc4m0FVOiR5rEb14OJM,,https://lh5.googleusercontent.com/-adGYNANGTAM/AAAAAAAAAAI/AAAAAAAAAAA/SDbA5gPxflo/w96-h96-p/photo.jpg,"January 4, 2018",https://play.google.com/store/apps/details?id=com.abdula.pranabreath&reviewId=Z3A6QU9xcFRPRzhpNVlQOUpwUGFsSGxDNXhKODZLNXNqWVIzZ1hrZDdHR3R0d0F4YzlXRTdDTlpRc0FnQ0dGYV93X05OM0l4YzRtMEZWT2lSNXJFYjE0T0pN,5,,"Instant calm and relaxation.  I use it at least once a day, specially  when I have sleeping problems.  I read the opinions and the people is so happy with it than they upgraded it.  I'm not sure to do so but would be nice to have a try out upgraded option ;)","January 12, 2018",Thank you! Have a happy and healthy new 2018!
gp:AOqpTOHMt2ShgwGPyD2QIEIloGOVKza4iKlSXxojvWwMu4KBZNv8bzxSP9bBpSriMp7f8J59q2Jl0gfN1sPcDdY,Alexis Anderson,https://lh4.googleusercontent.com/-UNlPwjqSak8/AAAAAAAAAAI/AAAAAAAAFcg/Yi4FMPOS7v8/w96-h96-p/photo.jpg,"June 13, 2017",https://play.google.com/store/apps/details?id=com.abdula.pranabreath&reviewId=Z3A6QU9xcFRPSE10MlNoZ3dHUHlEMlFJRUlsb0dPVkt6YTRpS2xTWHhvanZXd011NEtCWk52OGJ6eFNQOWJCcFNyaU1wN2Y4SjU5cTJKbDBnZk4xc1BjRGRZ,4,,"I love the app, however I am experiencing a bug. The sound is dropping out totally a couple of cycles into a breathing set. Sometimes it comes back in again but mostly just gone. I have recently upgraded my OS to android nougat so maybe this is an issue?","June 16, 2017","Alexis, looks like it's your case: http://pranabreath.info/wiki/index.php/FAQ#Sounds_not_working.3F (second screenshot set)
Please let me know if it worked."
