id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOHR1doL_Q56qKtH3F78jyXiB5bmuZD-kjIkBPEDo7YoVtmXfw5uvL8I1mp9LsSI0bOtcITZVCZtQ7qVXw,LYLATXSYSTEM,https://lh3.googleusercontent.com/-WAQvoEDXg-4/AAAAAAAAAAI/AAAAAAAACow/Ix3ysVBsKT0/w96-h96-p/photo.jpg,"January 12, 2018",https://play.google.com/store/apps/details?id=com.tuokio.smashtheoffice&reviewId=Z3A6QU9xcFRPSFIxZG9MX1E1NnFLdEgzRjc4anlYaUI1Ym11WkQta2pJa0JQRURvN1lvVnRtWGZ3NXV2TDhJMW1wOUxzU0kwYk90Y0lUWlZDWnRRN3FWWHc,5,,Found myself smiling while playing this stress relief game!,undefined,undefined
gp:AOqpTOGc38vOdCK-fMmS4nOn8m8mb-J_IThJuFNb-2nHJ_OvlFZ6wSrZLzN6b6EMs8ba-g9-aDmhqD8-06fpoQ,,https://lh4.googleusercontent.com/-PZ_UT04JWM4/AAAAAAAAAAI/AAAAAAAAAAQ/4cfbhAPP-T8/w96-h96-p/photo.jpg,"January 27, 2018",https://play.google.com/store/apps/details?id=com.tuokio.smashtheoffice&reviewId=Z3A6QU9xcFRPR2MzOHZPZENLLWZNbVM0bk9uOG04bWItSl9JVGhKdUZOYi0ybkhKX092bEZaNndTclpMek42YjZFTXM4YmEtZzktYURtaHFEOC0wNmZwb1E,5,,Really good to pass the time  it has good graphics and I was board  it made me excited,undefined,undefined
gp:AOqpTOHvW5432ZtVRtlToUksvZm5aInDiqLya9WIm1KJ_47OJYPwD0_Yk-eZY4WxUSUXrFvp7EQkQFPG31z5AA,Yoongi is my bias,https://lh6.googleusercontent.com/-66XgtbUQZgk/AAAAAAAAAAI/AAAAAAAACfE/pn_bv_jHoxw/w96-h96-p/photo.jpg,"January 30, 2018",https://play.google.com/store/apps/details?id=com.tuokio.smashtheoffice&reviewId=Z3A6QU9xcFRPSHZXNTQzMlp0VlJ0bFRvVWtzdlptNWFJbkRpcUx5YTlXSW0xS0pfNDdPSllQd0QwX1lrLWVaWTRXeFVTVVhyRnZwN0VRa1FGUEczMXo1QUE,1,,WHY CAN'T I PLAY,undefined,undefined
gp:AOqpTOGNueEivBI-ed3x4AHmWkGIwBjTLiQ10x9j6Xuk4yOBkW_1kIXGKYfPhhdboHeITUm30jrPvIiPWY5jpw,Cecille Flores,https://lh4.googleusercontent.com/-ZTF313-fNuc/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVCXE0MEKmPDxk6Qx4spu0RMBWivw/w96-h96-p/photo.jpg,"December 22, 2017",https://play.google.com/store/apps/details?id=com.tuokio.smashtheoffice&reviewId=Z3A6QU9xcFRPR051ZUVpdkJJLWVkM3g0QUhtV2tHSXdCalRMaVExMHg5ajZYdWs0eU9Ca1dfMWtJWEdLWWZQaGhkYm9IZUlUVW0zMGpyUHZJaVBXWTVqcHc,3,,Everything is extremely expensive,undefined,undefined
gp:AOqpTOGVc5fvM-P4uUCpsHFxVqS8J1zvmT5nSrMcjIohKwzBb5aOMOD9rXaUXnELW_uLK2wasXa5I8M2gksZbw,afnan khan,https://lh4.googleusercontent.com/-Lkx6aM7Njic/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUzu6OOuWPY0Pmy_9isRcgp7t_PPg/w96-h96-p/photo.jpg,"January 22, 2018",https://play.google.com/store/apps/details?id=com.tuokio.smashtheoffice&reviewId=Z3A6QU9xcFRPR1ZjNWZ2TS1QNHVVQ3BzSEZ4VnFTOEoxenZtVDVuU3JNY2pJb2hLd3pCYjVhT01PRDlyWGFVWG5FTFdfdUxLMndhc1hhNUk4TTJna3NaYnc,5,,Awesome game,undefined,undefined
gp:AOqpTOEn3IHjlKSSbcEOgUmkIZNgrKh-oEBXYyA8FhzLLgtWoK6Z37xhFUsazqaqWZUcBGWPzkaKFs0Hm0aGng,Affan Plays,https://lh6.googleusercontent.com/-4gaX0SXu3kk/AAAAAAAAAAI/AAAAAAAAABo/ZlVMGZjiZro/w96-h96-p/photo.jpg,"November 25, 2017",https://play.google.com/store/apps/details?id=com.tuokio.smashtheoffice&reviewId=Z3A6QU9xcFRPRW4zSUhqbEtTU2JjRU9nVW1rSVpOZ3JLaC1vRUJYWXlBOEZoekxMZ3RXb0s2WjM3eGhGVXNhenFhcVdaVWNCR1dQemthS0ZzMEhtMGFHbmc,5,,I cant stop laughing its like im a janitor cleaning the office 😂😂😂,undefined,undefined
gp:AOqpTOH3ehFNmpN74GaiKAVMYyCuaFfD53fsjYs8xtvG8jfqmRe5_jbsD_L7neWSl2eF-DOqPE3T97E1Xms0OQ,Jaycdd Mondonedo,https://lh4.googleusercontent.com/-k-n7Kh7XP_0/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjXyfS-khl-t6luG1tsRzujEFHCxzg/w96-h96-p/photo.jpg,"July 16, 2017",https://play.google.com/store/apps/details?id=com.tuokio.smashtheoffice&reviewId=Z3A6QU9xcFRPSDNlaEZObXBONzRHYWlLQVZNWXlDdWFGZkQ1M2ZzallzOHh0dkc4amZxbVJlNV9qYnNEX0w3bmVXU2wyZUYtRE9xUEUzVDk3RTFYbXMwT1E,5,,"What are people saying ""trap in my phone""but it doesnt and I love the pointless job mode",undefined,undefined
gp:AOqpTOE7EFNxhjMuZs7HtzuqoAkz3yUp9TXmh3hctXygCreLpmUw-8oOiO-fx5VbM4PtNlE6iO3-Z-5Kn9ZhKw,Sally Sadly,https://lh5.googleusercontent.com/-7_Qyg91Cckg/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjWO_q15Mazx9mwmDkyGbTARBurT1A/w96-h96-p/photo.jpg,"November 27, 2017",https://play.google.com/store/apps/details?id=com.tuokio.smashtheoffice&reviewId=Z3A6QU9xcFRPRTdFRk54aGpNdVpzN0h0enVxb0FrejN5VXA5VFhtaDNoY3RYeWdDcmVMcG1Vdy04b09pTy1meDVWYk00UHRObEU2aU8zLVotNUtuOVpoS3c,2,,The way I need to navigate the guy at the right direction give me stress instead !,undefined,undefined
gp:AOqpTOECblcBGRLfW-k_6B2SqrXmpHogwMMnjgdfpT6BnmYWuIERGXhnTycMn7VvOnqCPpTlSDsbqrJQxDXr7Q,,https://lh6.googleusercontent.com/-CpEKRPFK3NE/AAAAAAAAAAI/AAAAAAAAAAA/wSLVUhiRFxQ/w96-h96-p/photo.jpg,"October 11, 2017",https://play.google.com/store/apps/details?id=com.tuokio.smashtheoffice&reviewId=Z3A6QU9xcFRPRUNibGNCR1JMZlcta182QjJTcXJYbXBIb2d3TU1uamdkZnBUNkJubVlXdUlFUkdYaG5UeWNNbjdWdk9ucUNQcFRsU0RzYnFySlF4RFhyN1E,2,,Jesus this game made me more stressed out than relived! I couldnt hit the pad thing!!,undefined,undefined
gp:AOqpTOFXo796e22qhfUqnmeYFhl6tk56QBzqQ1lY6z1OLGL7gFvG4tOGL7dcsvcWCFZanHQDgu2HdkQxBKoHAg,,https://lh4.googleusercontent.com/-73Ld2Q2Xmmg/AAAAAAAAAAI/AAAAAAAAAAA/OOsEiS5Jz4o/w96-h96-p/photo.jpg,"August 22, 2017",https://play.google.com/store/apps/details?id=com.tuokio.smashtheoffice&reviewId=Z3A6QU9xcFRPRlhvNzk2ZTIycWhmVXFubWVZRmhsNnRrNTZRQnpxUTFsWTZ6MU9MR0w3Z0Z2RzR0T0dMN2Rjc3ZjV0NGWmFuSFFEZ3UySGRrUXhCS29IQWc,4,,Please remove the party time or make it so you cant get party time from destroying things.,undefined,undefined
