id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOFaT812noJDDdXkmGjeHrm6h5ae0mujN2q-l0FuvCBfYpekt12O-qi485ZgUCvor-pEQrL-0ImGMDN1xnU,Crystal Floyd,https://lh4.googleusercontent.com/-s72GMhioGpA/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjWW8hhCLWltJM40uu0z8TsSinzqcw/w96-h96-p/photo.jpg,"January 30, 2018",https://play.google.com/store/apps/details?id=com.appercode.antistressballtoy&reviewId=Z3A6QU9xcFRPRmFUODEybm9KRERkWGttR2plSHJtNmg1YWUwbXVqTjJxLWwwRnV2Q0JmWXBla3QxMk8tcWk0ODVaZ1VDdm9yLXBFUXJMLTBJbUdNRE4xeG5V,1,,This game is horrible. I would rather go buy a real squishy with my own money!!! Really really bad. Take this stupid game off of here right now you peeps:(😣😣😣😡😡😡😠😠😠😕😕😕😧😧😧,undefined,undefined
gp:AOqpTOGReAVl3yhICKG_dRI87fjrXFI0gVNTQAbres9NyNo55xhWhlohH5kNBKYRP5M-q6yPK5v4_mkEeu052Gw,,https://lh3.googleusercontent.com/-ASjpCE1SFh4/AAAAAAAAAAI/AAAAAAAAAAA/1sReaI6miic/w96-h96-p/photo.jpg,"January 24, 2018",https://play.google.com/store/apps/details?id=com.appercode.antistressballtoy&reviewId=Z3A6QU9xcFRPR1JlQVZsM3loSUNLR19kUkk4N2ZqclhGSTBnVk5UUUFicmVzOU55Tm81NXhoV2hsb2hINWtOQktZUlA1TS1xNnlQSzV2NF9ta0VldTA1Mkd3,1,,WHAT IS THIS JUNK?? it is defenitly NOT relaxing if that's what you think... And the narwhal???? Who in their right minds puts an ugly dancing narwhal with bright flashing lights and stupid music on an app and CALLS IT RELAXING???? jeez!! Fix this junk you call an app!!,undefined,undefined
gp:AOqpTOEKEeQU5lJ7HShx4XzWH3Sa2vyAcTe0SrvlQkeE6Hxw5g8GwcX0XyVOwiHTVwxqzO2RU-GrId_DNK3MRzY,Maggie Utter,https://lh6.googleusercontent.com/-L1QUo4xryaI/AAAAAAAAAAI/AAAAAAAAACQ/yDCEQvQmcho/w96-h96-p/photo.jpg,"January 26, 2018",https://play.google.com/store/apps/details?id=com.appercode.antistressballtoy&reviewId=Z3A6QU9xcFRPRUtFZVFVNWxKN0hTaHg0WHpXSDNTYTJ2eUFjVGUwU3J2bFFrZUU2SHh3NWc4R3djWDBYeVZPd2lIVFZ3eHF6TzJSVS1HcklkX0ROSzNNUnpZ,4,,This is only fun if u like wired things because the narwhal comes on and to me it's super cute others not so much try it and your opinion might be the same.,undefined,undefined
gp:AOqpTOEjvEBZsKBPCUw28GkW9UGr32FBiNoqY3T37GAHDMITpWVzxEYEl65X9_smCFngMsSaksYRjssMql4n_Rc,Eva Bostaph,https://lh5.googleusercontent.com/-gMYuW-KpbBE/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjX0dmvMFwU2hspPGStaXtNSQmBbdA/w96-h96-p/photo.jpg,"January 20, 2018",https://play.google.com/store/apps/details?id=com.appercode.antistressballtoy&reviewId=Z3A6QU9xcFRPRWp2RUJac0tCUENVdzI4R2tXOVVHcjMyRkJpTm9xWTNUMzdHQUhETUlUcFdWenhFWUVsNjVYOV9zbUNGbmdNc1Nha3NZUmpzc01xbDRuX1Jj,1,,It was terrible and that. narwhal ? Was scary and wierd had to tap and it only was a small also you need charges are stupid and terrible do not download,undefined,undefined
gp:AOqpTOFv46geuuABWPAL8Paw-G2FGwhr8bNFc5H5Pof-j_QMPcPGlzKMs44IAo2iK2igDi1Q6p8IMMsfgR1e6cU,,https://lh5.googleusercontent.com/-mJeZz2MN-NQ/AAAAAAAAAAI/AAAAAAAAAAA/wlGGhaIu5Ag/w96-h96-p/photo.jpg,"December 30, 2017",https://play.google.com/store/apps/details?id=com.appercode.antistressballtoy&reviewId=Z3A6QU9xcFRPRnY0NmdldXVBQldQQUw4UGF3LUcyRkd3aHI4Yk5GYzVINVBvZi1qX1FNUGNQR2x6S01zNDRJQW8yaUsyaWdEaTFRNnA4SU1Nc2ZnUjFlNmNV,1,,I was so made cause when i had to keep taping really hard and i droped my phone and broke it i was very mad.,undefined,undefined
gp:AOqpTOHsIXTOwj11G0D7zcHv4KRyQ-7Cd6SXW2y1lRvc5b4BRjr04zQ-7aAnZJDAg03M4_KKg4HyAa8IYqHd6u0,Nichole Turner,https://lh6.googleusercontent.com/-6CJl26f_DRQ/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUqn5nwwCyztKx_Loy3nM2jSI_hnA/w96-h96-p/photo.jpg,"February 2, 2018",https://play.google.com/store/apps/details?id=com.appercode.antistressballtoy&reviewId=Z3A6QU9xcFRPSHNJWFRPd2oxMUcwRDd6Y0h2NEtSeVEtN0NkNlNYVzJ5MWxSdmM1YjRCUmpyMDR6US03YUFuWkpEQWcwM000X0tLZzRIeUFhOElZcUhkNnUw,1,,Ts stupid waste of time you have to wait 9 min to something i deleted it right away,undefined,undefined
gp:AOqpTOHfaeb_UeR2-sIIRdxeND09LOfQ6PHxMzlp7ppwpdKAbkoCMV2bzphGp-Hg3WuImbZWpsxrty3gBC8FY6g,Kyndal Moss,https://lh4.googleusercontent.com/-KPMJ4q69Ewg/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjWEDA2RdSGuiLEOuwhq7ObAEhFvVA/w96-h96-p/photo.jpg,"January 31, 2018",https://play.google.com/store/apps/details?id=com.appercode.antistressballtoy&reviewId=Z3A6QU9xcFRPSGZhZWJfVWVSMi1zSUlSZHhlTkQwOUxPZlE2UEh4TXpscDdwcHdwZEtBYmtvQ01WMmJ6cGhHcC1IZzNXdUltYlpXcHN4cnR5M2dCQzhGWTZn,1,,this game stinkes al it does is make you sit there and tap and hold i hate it,undefined,undefined
gp:AOqpTOHXP5mrPRvUoY6i8R8_QKv55isfF43fZnheAXlNX4GjviJwSKCZIuSdViBjcW-DTfw5XddZEnINpeYtyvg,,https://lh4.googleusercontent.com/-8WotvoXiPGc/AAAAAAAAAAI/AAAAAAAABWw/418TLdH0c20/w96-h96-p/photo.jpg,"January 21, 2018",https://play.google.com/store/apps/details?id=com.appercode.antistressballtoy&reviewId=Z3A6QU9xcFRPSFhQNW1yUFJ2VW9ZNmk4UjhfUUt2NTVpc2ZGNDNmWm5oZUFYbE5YNEdqdmlKd1NLQ1pJdVNkVmlCamNXLURUZnc1WGRkWkVuSU5wZVl0eXZn,1,,"If you got rid of the annoying music, and bright colors, maybe it would be relaxing. Horrible game.",undefined,undefined
gp:AOqpTOEnIQoQqYoGiKvjR7OAEjz_uT_vlFaSBK8NFiCEVhpeCd28vBSv610Jgj70psGqVvGZSB9YJsnwF6_cVos,,https://lh3.googleusercontent.com/-qmSu_PvfYxs/AAAAAAAAAAI/AAAAAAAAAAA/RIU5MkaRmbM/w96-h96-p/photo.jpg,"January 5, 2018",https://play.google.com/store/apps/details?id=com.appercode.antistressballtoy&reviewId=Z3A6QU9xcFRPRW5JUW9RcVlvR2lLdmpSN09BRWp6X3VUX3ZsRmFTQks4TkZpQ0VWaHBlQ2QyOHZCU3Y2MTBKZ2o3MHBzR3FWdkdaU0I5WUpzbndGNl9jVm9z,1,,I hate it to many ads i want to give it 0 🌟s so bad,undefined,undefined
gp:AOqpTOGMWvhT18BNMi4u6FA5doeQMzIs7JVLD9Df6KUm9-i_Ew4xroAmo39ERzApykl64cZ3gQfvEgNflSRwNyo,,https://lh3.googleusercontent.com/-3dbH9FuW0Us/AAAAAAAAAAI/AAAAAAAAAAA/DirCfAFkZno/w96-h96-p/photo.jpg,"January 5, 2018",https://play.google.com/store/apps/details?id=com.appercode.antistressballtoy&reviewId=Z3A6QU9xcFRPR01XdmhUMThCTk1pNHU2RkE1ZG9lUU16SXM3SlZMRDlEZjZLVW05LWlfRXc0eHJvQW1vMzlFUnpBcHlrbDY0Y1ozZ1FmdkVnTmZsU1J3Tnlv,1,,So point less I deleted 2 games for nothing stupid game mainly the Norwalk don't they live in the north pole,undefined,undefined
