id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOEB2pTHJlKRipbGTORqWHBu-IwbrdCrqHdOZTKHL_1QkeH4fvufHknznASEjRGuUGgbMqmdOOLWvEjpTyI,Flightmare Gaming,https://lh4.googleusercontent.com/-LM-YA8iH_IY/AAAAAAAAAAI/AAAAAAAAAs8/eNbUN5jD79w/w96-h96-p/photo.jpg,"May 21, 2017",https://play.google.com/store/apps/details?id=air.com.doubleflawless.StressBaal&reviewId=Z3A6QU9xcFRPRUIycFRISmxLUmlwYkdUT1JxV0hCdS1Jd2JyZENycUhkT1pUS0hMXzFRa2VINGZ2dWZIa256bkFTRWpSR3VVR2diTXFtZE9PTFd2RWpwVHlJ,5,,"I love it too much! It is so adorable, and fun!  It is also quite addicting, I find, although I do have a few suggestions... Maybe add some more characters, and a couple of different modes, e.g: a pet mode, where you can level them up and choose what pet/s you want, and each time they level up they get a new animation for when your beating them up! It's OK if you don't, though, it's just a suggestion. :) [also, how do you do that thing at the top of here in bold? Just curious!]",undefined,undefined
gp:AOqpTOEgto7mVa5T0zLaYdgHrpMZ_9syGrPnFkxcleRSbQnj8JHoV4HhJT7D_1AD0xsdv71EQtuOxlIwIKi_t6o,password incorrect,https://lh6.googleusercontent.com/-zJ5bIRinb-M/AAAAAAAAAAI/AAAAAAAAABQ/Omkt99JE2xk/w96-h96-p/photo.jpg,"August 22, 2016",https://play.google.com/store/apps/details?id=air.com.doubleflawless.StressBaal&reviewId=Z3A6QU9xcFRPRWd0bzdtVmE1VDB6TGFZZGdIcnBNWl85c3lHclBuRmt4Y2xlUlNiUW5qOEpIb1Y0SGhKVDdEXzFBRDB4c2R2NzFFUXR1T3hsSXdJS2lfdDZv,5,"Love this,  just some suggestions :)","Love this,  just some suggestions :) I absolutely love this!! This is so adorable!!!! I'm going to give some suggestions, but you can just ignore me if you don't want to put it in the game haha.  (1) You can create more characters, just to have more fun.  (2) Can you add a petting action?? I feel bad for throwing him around since he's so adorable.   Well, these are some suggestions, use it if you want to, if not, it's okay too. Thank you for creating this though. *thx :)",undefined,undefined
gp:AOqpTOEgXdmrS3K4DHTAU-QdE-oHin322jabqd7swUXTQj_fQMJCre4sKqDZ1LoF3XaR5rqxH7Ktvup9-Uhu5lI,Jennifer Major,https://lh3.googleusercontent.com/-a-kOiseZD6A/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjVjHTvmiAKmSjRqOsmZksVuOeLF_A/w96-h96-p/photo.jpg,"May 15, 2017",https://play.google.com/store/apps/details?id=air.com.doubleflawless.StressBaal&reviewId=Z3A6QU9xcFRPRWdYZG1yUzNLNERIVEFVLVFkRS1vSGluMzIyamFicWQ3c3dVWFRRal9mUU1KQ3JlNHNLcURaMUxvRjNYYVI1cnF4SDdLdHZ1cDktVWh1NWxJ,4,,I LIKED IT BUT....        Can you tell me how to make it black. How do you make it burn I want to shake it up and down but I cant I want to be nice to it like its my pet.please respond and make an update. Oh and for the people who can't get him out of the ground just shake your phone or tablet. This game is like two years old so shouldn't fuzz baal be out I mean you don't need to take that long to put a game out do you,undefined,undefined
gp:AOqpTOGFwxj8x7YKUJCdTvXgT6BRp9FgN9IiPM3i1uKQK7Ro41zc_HXkxhjCbu5PrqluW2RVIpDkMdiVf0TR9lw,Soph Lyster,https://lh5.googleusercontent.com/-6JzBS76nbgk/AAAAAAAAAAI/AAAAAAAAAMk/OrddFKqzRqE/w96-h96-p/photo.jpg,"September 15, 2016",https://play.google.com/store/apps/details?id=air.com.doubleflawless.StressBaal&reviewId=Z3A6QU9xcFRPR0Z3eGo4eDdZS1VKQ2RUdlhnVDZCUnA5RmdOOUlpUE0zaTF1S1FLN1JvNDF6Y19IWGt4aGpDYnU1UHJxbHVXMlJWSXBEa01kaVZmMFRSOWx3,5,Love game,"Love game love the game. But can you do a friendly mode so someone can pat and play as well as torture the devil. New characters would be great. And add tools to attack the devil. These are just some suggestions I'd like to see come into the game. But other than that, its tons if fun. And I love it.",undefined,undefined
gp:AOqpTOGSleJCagQQdzzGoB4W2G3VUyRlxl25o0k8p4-ePvq5SIiyPV1roduIYfWszaZ8mVpi7FteP9cbKyfzJms,Christoper Pottas,https://lh5.googleusercontent.com/-tKJ9xcM5A1o/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjX1PkhlpYqCBMyQtSNTL6rqCOEa6A/w96-h96-p/photo.jpg,"December 12, 2017",https://play.google.com/store/apps/details?id=air.com.doubleflawless.StressBaal&reviewId=Z3A6QU9xcFRPR1NsZUpDYWdRUWR6ekdvQjRXMkczVlV5Umx4bDI1bzBrOHA0LWVQdnE1U0lpeVBWMXJvZHVJWWZXc3phWjhtVnBpN0Z0ZVA5Y2JLeWZ6Sm1z,5,,"Cute, funny and awesome, It's very entertaining. Also I can't wait for Fuzz Baal to come out, I can just imagine how cute it'll be, THANK YOU GUYS! TIP: And the people that are stressing about the Devil in the ceiling and he smashes to the ground, just shake your phone/tablet and he'll get out",undefined,undefined
gp:AOqpTOH7cZoCcQMBmU4J8isqllptgs84yUZG3nWqXqxJlYwa5Vs7ntony4To2DHsncb8iGtxDk4gvXW6u1PVp6I,Ms. Whatchamacallit.,https://lh3.googleusercontent.com/-rHcLvrKKOVI/AAAAAAAAAAI/AAAAAAAAAQs/0L7BcR4W4hI/w96-h96-p/photo.jpg,"October 23, 2017",https://play.google.com/store/apps/details?id=air.com.doubleflawless.StressBaal&reviewId=Z3A6QU9xcFRPSDdjWm9DY1FNQm1VNEo4aXNxbGxwdGdzODR5VVpHM25XcVhxeEpsWXdhNVZzN250b255NFRvMkRIc25jYjhpR3R4RGs0Z3ZYVzZ1MVBWcDZJ,4,,Love the references! I think he's really cute and I wish I came up with such a simple yet cute design for a character! Gane gets a bit boring and repetitive after a while. Can't wait to see if you add more! Whoever animated this is great.  Animation is fluid! Pretty good overall.,undefined,undefined
gp:AOqpTOF7SvBffREO6i9g62DhTPCz60z_AbEtmTbE075gkWi9JMlwXvUcp9nTvZWM3ps7RjFRsAX7g9C5Z4q6FWM,Kiwi Buddy,https://lh5.googleusercontent.com/-yRv61aBlcjM/AAAAAAAAAAI/AAAAAAAAABg/taxrkuvf1T4/w96-h96-p/photo.jpg,"November 23, 2016",https://play.google.com/store/apps/details?id=air.com.doubleflawless.StressBaal&reviewId=Z3A6QU9xcFRPRjdTdkJmZlJFTzZpOWc2MkRoVFBDejYwel9BYkV0bVRiRTA3NWdrV2k5Sk1sd1h2VWNwOW5UdlpXTTNwczdSakZSc0FYN2c5QzVaNHE2RldN,5,Hilarious!,"Hilarious! I think one of the best things to do from this here forward would be to allow him to wander outside the app, if you think you could. Just imagine getting annoyed on a youtube livestream and throwing him into the side of the screen a few times, or something like that. The animation is  also really good! I wish I could do that kind of work",undefined,undefined
gp:AOqpTOGkEKciGvYPjIfHcg6yyfcePeciAcuHOwl4UTQaaXbRaZgoAJOo8dc_wQoVwoqNoLI-idY1q5c6xc2p0N4,Daria Brzoskowska,https://lh6.googleusercontent.com/-Ldx0fK2Rx-s/AAAAAAAAAAI/AAAAAAAAAF4/uf_Pa2DSsV8/w96-h96-p/photo.jpg,"July 24, 2017",https://play.google.com/store/apps/details?id=air.com.doubleflawless.StressBaal&reviewId=Z3A6QU9xcFRPR2tFS2NpR3ZZUGpJZkhjZzZ5eWZjZVBlY2lBY3VIT3dsNFVUUWFhWGJSYVpnb0FKT284ZGNfd1FvVndvcU5vTEktaWRZMXE1YzZ4YzJwME40,5,,"Amazing stress-reliever. Many easter eggs and references, ton of funny jokes, and it's totally free! Leaving Baal for few seconds is the best option if you don't want to get bored. It really is a shame that Fuzz could never come to life.",undefined,undefined
gp:AOqpTOHF2N7JfCfvAkPzfhOJVPMht5Uc2M2d8LQQ7VWjMQ1TH4QYOkG85anZPVHZrtoLbJ9rslRMrqnrglGrKy4,It's Janine,https://lh5.googleusercontent.com/-XwlOZyg_JYM/AAAAAAAAAAI/AAAAAAAAAFQ/fu_0HI8tcdA/w96-h96-p/photo.jpg,"November 12, 2017",https://play.google.com/store/apps/details?id=air.com.doubleflawless.StressBaal&reviewId=Z3A6QU9xcFRPSEYyTjdKZkNmdkFrUHpmaE9KVlBNaHQ1VWMyTTJkOExRUTdWV2pNUTFUSDRRWU9rRzg1YW5aUFZIWnJ0b0xiSjlyc2xSTXJxbnJnbEdyS3k0,5,,"Awesome game. So good. Could you please hurry up and make fuzz baal? I can't wait! You should definitely get this. Oh, and if he is stuck in the floor you can just shake it to being him back up.",undefined,undefined
gp:AOqpTOH5_6E_yotH9SgMXRkCz3-_Gn99cuIwS4bQMptk9-RgN2t0GeEWVoZvb_8KYXnOcuECK7VMG2bwdPRSUz8,Ellie Hazen,https://lh4.googleusercontent.com/-pyV-yxpYVlc/AAAAAAAAAAI/AAAAAAAADh0/dobxbRoEpcM/w96-h96-p/photo.jpg,"September 18, 2016",https://play.google.com/store/apps/details?id=air.com.doubleflawless.StressBaal&reviewId=Z3A6QU9xcFRPSDVfNkVfeW90SDlTZ01YUmtDejMtX0duOTljdUl3UzRiUU1wdGs5LVJnTjJ0MEdlRVdWb1p2Yl84S1lYbk9jdUVDSzdWTUcyYndkUFJTVXo4,3,So adorable but...,So adorable but... EveryTime it gets stuck in the ceiling it smashes down to the floor and I have to get off the app for the adorable thing out of the ground... I hate giving a bad review but can u fix this!! It's really frustrating when the app is meant to calm u down but it's just pissing u off!😛😛😛😛😟,undefined,undefined
