id,userName,userImage,date,url,score,title,text,replyDate,replyText
gp:AOqpTOEXvfSSpVo674jtRMAfKR80egqwoyltHjZXDL5avNwaozxhWUQFDoihNZY4rM9h0jjfGxBEX_NinHG01w,Bla Bla Bla,https://lh4.googleusercontent.com/-J-gAPsTy4Pk/AAAAAAAAAAI/AAAAAAAAAeY/BDhSsQzB7dM/w96-h96-p/photo.jpg,"September 28, 2017",https://play.google.com/store/apps/details?id=com.panagola.game.bubblepopart&reviewId=Z3A6QU9xcFRPRVh2ZlNTcFZvNjc0anRSTUFmS1I4MGVncXdveWx0SGpaWERMNWF2Tndhb3p4aFdVUUZEb2loTlpZNHJNOWgwampmR3hCRVhfTmluSEcwMXc,5,,Filled with stress until I opened this app. Feel so much better! Thank you so much PANAGOLA!😀😘💕💟💖💗💞,undefined,undefined
gp:AOqpTOFCf06PioZBLy2MCh-8wwvK4UepzX41CpGVGkOEJyzy1akOGMO7J2Wr0a6sODkuZHtvO9HCFRigv8VwKQ,Gabriel Wendt,https://lh3.googleusercontent.com/-nvyT0KhzMvQ/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUyspSf9_AdUxcmoScrkmi33RH8Jg/w96-h96-p/photo.jpg,"September 15, 2017",https://play.google.com/store/apps/details?id=com.panagola.game.bubblepopart&reviewId=Z3A6QU9xcFRPRkNmMDZQaW9aQkx5Mk1DaC04d3d2SzRVZXB6WDQxQ3BHVkdrT0VKeXp5MWFrT0dNTzdKMldyMGE2c09Ea3VaSHR2TzlIQ0ZSaWd2OFZ3S1E,4,,Easy to use and you can pop virtual bubbles to your heart's content.,undefined,undefined
gp:AOqpTOFE_vkSz9TbktQGjhYEJhgoyHaS-q7tLxePXtBuqBJoYr-cfDmklgl0PcV_o9HnZr82Pb_UYIbGoc77Ow,Rachel Craig,https://lh4.googleusercontent.com/-9e__7D6fkWw/AAAAAAAAAAI/AAAAAAAAARY/O5uGVVvenjY/w96-h96-p/photo.jpg,"August 13, 2017",https://play.google.com/store/apps/details?id=com.panagola.game.bubblepopart&reviewId=Z3A6QU9xcFRPRkVfdmtTejlUYmt0UUdqaFlFSmhnb3lIYVMtcTd0THhlUFh0QnVxQkpvWXItY2ZEbWtsZ2wwUGNWX285SG5acjgyUGJfVVlJYkdvYzc3T3c,5,,"good fun,  and doesnt involve any brain ache",undefined,undefined
gp:AOqpTOHqXvHWnA5TOYDd7jzy1wXeIQE3oO4yjR_uVaHGsI2nsPPPt8o_F-g4IXBaceak7SR2thN_WuKLsqGJ0w,,https://lh3.googleusercontent.com/-_R-IAP3Ps8w/AAAAAAAAAAI/AAAAAAAAABk/F8MX7B8eO9c/w96-h96-p/photo.jpg,"July 19, 2017",https://play.google.com/store/apps/details?id=com.panagola.game.bubblepopart&reviewId=Z3A6QU9xcFRPSHFYdkhXbkE1VE9ZRGQ3anp5MXdYZUlRRTNvTzR5alJfdVZhSEdzSTJuc1BQUHQ4b19GLWc0SVhCYWNlYWs3U1IydGhOX1d1S0xzcUdKMHc,5,,It's awesome and best friend in loneliness and stress,undefined,undefined
gp:AOqpTOE2T-KbC6KDIDVbDqf1vtNdG0ZqU8uBkgofA6dyxfyi4EyIlrFrdWmwWnNSclW6trbhybnz_GessPTTsw,Debbie Trueman,https://lh5.googleusercontent.com/-trn5DLBtUr8/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjWw48FgmvOINhpRizbJSkY5jmPduw/w96-h96-p/photo.jpg,"August 3, 2017",https://play.google.com/store/apps/details?id=com.panagola.game.bubblepopart&reviewId=Z3A6QU9xcFRPRTJULUtiQzZLRElEVmJEcWYxdnROZEcwWnFVOHVCa2dvZkE2ZHl4ZnlpNEV5SWxyRnJkV213V25OU2NsVzZ0cmJoeWJuel9HZXNzUFRUc3c,5,,Very cool! Relaxing play.,undefined,undefined
gp:AOqpTOHPKVOOWEZctyU8ShpfIlJ15eo6eiwK6i10wAM_xfCz46miX0GsqTsLExoNi5iLeUIxR_iOhVAKtqqhAA,Richie DeMayo,https://lh4.googleusercontent.com/-Uyh1EQybSoM/AAAAAAAAAAI/AAAAAAAAACU/yJz_3vz-84w/w96-h96-p/photo.jpg,"August 10, 2017",https://play.google.com/store/apps/details?id=com.panagola.game.bubblepopart&reviewId=Z3A6QU9xcFRPSFBLVk9PV0VaY3R5VThTaHBmSWxKMTVlbzZlaXdLNmkxMHdBTV94ZkN6NDZtaVgwR3NxVHNMRXhvTmk1aUxlVUl4Ul9pT2hWQUt0cXFoQUE,4,,This is a fun game. I like it.,undefined,undefined
gp:AOqpTOGBOxP-n8Q5lr65U_qaPJAOjbZlvSVBRsK5vjBHaciBml89ZqmoORRjaAB6sScRjZxYloFaH7qql4XO7g,Carroll Jacobs,https://lh6.googleusercontent.com/-XgB3gN7WJd8/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUxZ6vHzbCi0OZx4-ufbSsb98Ociw/w96-h96-p/photo.jpg,"August 12, 2017",https://play.google.com/store/apps/details?id=com.panagola.game.bubblepopart&reviewId=Z3A6QU9xcFRPR0JPeFAtbjhRNWxyNjVVX3FhUEpBT2piWmx2U1ZCUnNLNXZqQkhhY2lCbWw4OVpxbW9PUlJqYUFCNnNTY1JqWnhZbG9GYUg3cXFsNFhPN2c,2,,Boring. A waste of time.,undefined,undefined
gp:AOqpTOH0DHhysIcx_MpUcG0EAaGPJgSvbVLk7G6amc0pRJC9V_oeg8uVeJGNUscdt_f11NiaH3ecMXkK1EmvCg,Sherri Matz,https://lh4.googleusercontent.com/-VwOT9-TeJD0/AAAAAAAAAAI/AAAAAAAAAAA/ACSILjUCGfq2UQR1HotCGwJh5wK3K4iWQQ/w96-h96-p/photo.jpg,"July 30, 2017",https://play.google.com/store/apps/details?id=com.panagola.game.bubblepopart&reviewId=Z3A6QU9xcFRPSDBESGh5c0ljeF9NcFVjRzBFQWFHUEpnU3ZiVkxrN0c2YW1jMHBSSkM5Vl9vZWc4dVZlSkdOVXNjZHRfZjExTmlhSDNlY01Ya0sxRW12Q2c,4,,Fun. Different. Not timed.,undefined,undefined
gp:AOqpTOEuGJULkfOm73RisGb73Ay5UKfXjDrKp-3LHyI7mxcHfNQI-m2BzZYNee3aGHjw0xHjxdy3Ip5IAXC0sQ,,https://lh5.googleusercontent.com/-cdAFr9z34z0/AAAAAAAAAAI/AAAAAAAAAAA/I3dMb8gvn5s/w96-h96-p/photo.jpg,"September 17, 2017",https://play.google.com/store/apps/details?id=com.panagola.game.bubblepopart&reviewId=Z3A6QU9xcFRPRXVHSlVMa2ZPbTczUmlzR2I3M0F5NVVLZlhqRHJLcC0zTEh5STdteGNIZk5RSS1tMkJ6WllOZWUzYUdIancweEhqeGR5M0lwNUlBWEMwc1E,5,,It's an awesome app. Enjoy it very much.,undefined,undefined
gp:AOqpTOGuxbSzcSUtAxa2vrUHmWMV7twJhaNqq_rrB_XK1Acd7YL9TpOpH4eC31sKb99E8unDqPfxipATXUTxKQ,,https://lh4.googleusercontent.com/-v7eIs7g-3B0/AAAAAAAAAAI/AAAAAAAAAAA/b3Xl8q_M4YA/w96-h96-p/photo.jpg,"September 2, 2017",https://play.google.com/store/apps/details?id=com.panagola.game.bubblepopart&reviewId=Z3A6QU9xcFRPR3V4YlN6Y1NVdEF4YTJ2clVIbVdNVjd0d0poYU5xcV9yckJfWEsxQWNkN1lMOVRwT3BINGVDMzFzS2I5OUU4dW5EcVBmeGlwQVRYVVR4S1E,5,,Terrific app. I'm glad I installed this on.Thanks.,undefined,undefined
